"","row","column","ID","event","event_short","block","H497"
"1",3,7,"LCOR-073","LC-102 13-15E","13-15E","large",3749.04
"2",10,13,"LCOR-077","LC-102 13-15E","13-15E","large",3992.88
"3",15,28,"LCOR-083","LC-102 13-15E","13-15E","large",3230.88
"4",10,27,"LCOR-322","LC-102 16-20","16-20","large",3413.76
"5",5,47,"LCOR-315","LC-102 16-20","16-20","small",4328.16
"6",8,20,"LCOR-101","LC-102 16-20","16-20","large",3962.4
"7",15,49,"LCOR-456","LC-102 2H","2H","small",2438.4
"8",4,51,"LCOR-219","LC-102 2H","2H","small",2255.52
"9",11,24,"LCOR-212","LC-102 2H","2H","large",3535.68
"10",5,24,"LCOR-229","LC-102 4A","4A","large",3688.08
"11",8,13,"LCOR-544","LC-102 4A","4A","large",2987.04
"12",7,6,"LCOR-003","LC-102 4A","4A","large",3962.4
"13",2,11,"LCOR-164","LC-102 5A","5A","large",3688.08
"14",8,49,"LCOR-578","LC-102 5A","5A","small",2529.84
"15",14,47,"LCOR-159","LC-102 5A","5A","small",3169.92
"16",6,5,"LCOR-573","LC-102 5C","5C","large",3810
"17",11,4,"LCOR-268","LC-102 5C","5C","large",3870.96
"18",4,8,"LCOR-279","LC-102 5C","5C","large",4511.04
"19",4,19,"LCOR-089","LC-102 8-9D","8-9D","large",3185.16
"20",12,10,"LCOR-286","LC-102 8-9D","8-9D","large",3413.76
"21",14,50,"LCOR-417","LC-102 8-9D","8-9D","small",2240.28
"22",8,25,"LCOR-199","CT717 3","CT3","large",2926.08
"23",15,20,"LCOR-493","CT717 3","CT3","large",3108.96
"24",9,5,"LCOR-346","CT717 3","CT3","large",3840.48
