row,column,ID,event,event_short,block,H497,SPAD,midday_Mpa,Midday_Mpa_II
8,3,LCOR-228,LC-102 4A,4A,large,2895.6,33.7,1.24,1.42
15,4,LCOR-211,LC-102 2H,2H,large,3505.2,,,
3,5,LCOR-070,LC-102 2H,2H,large,3291.84,36.6,1.31,
2,6,LCOR-577,LC-102 5A,5A,large,3078.48,39.1,1.19,
9,6,LCOR-310,LC-102 16-20,16-20,large,2895.6,,,
14,8,LCOR-167,LC-102 5A,5A,large,5273.04,,,
11,9,LCOR-231,LC-102 4A,4A,large,3931.92,,,
13,9,LCOR-504,CT717 3,CT3,large,2865.12,,,
5,10,LCOR-010,LC-102 4A,4A,large,3566.16,,,
13,11,LCOR-289,LC-102 8-9D,8-9D,large,3931.92,,,
6,14,LCOR-031,LC-102 5C,5C,large,3596.64,,,
3,16,LCOR-611,LC-102 13-15E,13-15E,large,2819.4,33.1,1.25,
9,16,LCOR-280,LC-102 5C,5C,large,3261.36,33.8,1.16,
10,16,LCOR-033,LC-102 5C,5C,large,3291.84,,,
2,22,LCOR-616,LC-102 13-15E,13-15E,large,2926.08,,,
9,23,LCOR-291,LC-102 8-9D,8-9D,large,3200.4,29.8,1.15,1.13
4,24,LCOR-608,LC-102 13-15E,13-15E,large,3322.32,,,
9,25,LCOR-506,LC-102 16-20,16-20,large,3169.92,31.3,1.38,
3,28,LCOR-086,LC-102 8-9D,8-9D,large,2255.52,,,
14,47,LCOR-159,LC-102 5A,5A,small,3169.92,,,
3,48,LCOR-505,LC-102 16-20,16-20,small,3474.72,,,
8,50,LCOR-501,CT717 3,CT3,small,2651.76,32.8,1.96,
4,51,LCOR-219,LC-102 2H,2H,small,2255.52,,,
