row,column,ID,event_short,H497,SPAD,MD WP(MPA)
9,15,LCOR-307,13-15E,2788.92,,
13,7,LCOR-296,13-15E,3931.92,,
15,16,LCOR-614,13-15E,2712.72,,
8,20,LCOR-101,16-20,3962.4,,
14,5,LCOR-314,16-20,3749.04,,
13,22,LCOR-514,16-20,3261.36,,
15,4,LCOR-211,2H,3505.2,,
4,51,LCOR-219,2H,2255.52,,
6,50,LCOR-457,2H,2560.32,,
11,9,LCOR-231,4A,3931.92,,
8,3,LCOR-228,4A,2895.6,,
12,45,LCOR-234,4A,3276.6,,
2,11,LCOR-164,5A,3688.08,,
4,4,LCOR-249,5A,2895.6,,
2,20,LCOR-162,5A,3474.72,,
15,8,LCOR-274,5C,3078.48,,
12,5,LCOR-563,5C,3535.68,,
9,14,LCOR-269,5C,3901.44,,
9,23,LCOR-291,8-9D,3200.4,,
11,23,LCOR-090,8-9D,4297.68,,
5,30,LCOR-281,8-9D,2225.04,,
15,21,LCOR-204,CT3,3413.76,,
6,24,LCOR-503,CT3,2987.04,,
10,23,LCOR-207,CT3,3566.16,,
