row,column,ID,event_short,H497,Drought.Score,SPAD,MPA
4,25,LCOR-606,13-15E,2956.56,2,,
8,26,LCOR-300,13-15E,3017.52,1,,
8,12,LCOR-303,13-15E,3505.2,1,,
14,5,LCOR-314,16-20,3749.04,0,,
11,20,LCOR-103,16-20,3291.84,1,,
10,51,LCOR-312,16-20,2346.96,1,,
11,25,LCOR-065,2H,3444.24,2,,
12,49,LCOR-460,2H,2545.08,0,,
13,45,LCOR-461,2H,3261.36,1,,
13,20,LCOR-534,4A,3596.64,1,,
3,9,LCOR-001,4A,4968.24,0,,
11,9,LCOR-231,4A,3931.92,0,,
4,22,LCOR-165,5A,2895.6,1,,
3,20,LCOR-242,5A,3535.68,1,,
7,19,LCOR-585,5A,2407.92,2,,
6,53,LCOR-566,5C,2529.84,1,,
6,49,LCOR-029,5C,2910.84,1,,
14,11,LCOR-040,5C,2895.6,1,,
10,5,LCOR-092,8-9D,3322.32,0,,
4,30,LCOR-093,8-9D,2621.28,1,,
10,26,LCOR-095,8-9D,2529.84,2,,
2,5,LCOR-344,CT3,3596.64,1,,
13,17,LCOR-502,CT3,3322.32,2,,
15,20,LCOR-493,CT3,3108.96,1,,
