,row,column,ID,event,event_short,block,H497,Drought.Score
1,8,12,LCOR-303,LC-102 13-15E,13-15E,large,3505.2,1
2,8,26,LCOR-300,LC-102 13-15E,13-15E,large,3017.52,1
3,7,16,LCOR-610,LC-102 13-15E,13-15E,large,3185.16,1
4,5,23,LCOR-319,LC-102 16-20,16-20,large,2804.16,1
5,8,20,LCOR-101,LC-102 16-20,16-20,large,3962.4,2
6,14,5,LCOR-314,LC-102 16-20,16-20,large,3749.04,0
7,2,14,LCOR-060,LC-102 2H,2H,large,3017.52,2
8,12,52,LCOR-215,LC-102 2H,2H,small,2804.16,0
9,3,6,LCOR-069,LC-102 2H,2H,large,3749.04,2
10,11,9,LCOR-231,LC-102 4A,4A,large,3931.92,0
11,12,20,LCOR-230,LC-102 4A,4A,large,3916.68,2
12,5,10,LCOR-010,LC-102 4A,4A,large,3566.16,1
13,7,19,LCOR-585,LC-102 5A,5A,large,2407.92,2
14,2,16,LCOR-247,LC-102 5A,5A,large,3596.64,1
15,8,10,LCOR-157,LC-102 5A,5A,large,3931.92,1
16,14,10,LCOR-039,LC-102 5C,5C,large,3474.72,1
17,6,53,LCOR-566,LC-102 5C,5C,small,2529.84,1
18,3,8,LCOR-036,LC-102 5C,5C,large,5212.08,2
19,6,47,LCOR-419,LC-102 8-9D,8-9D,small,3291.84,0
20,10,5,LCOR-092,LC-102 8-9D,8-9D,large,3322.32,0
21,11,28,LCOR-096,LC-102 8-9D,8-9D,large,3078.48,2
22,15,20,LCOR-493,CT717 3,CT3,large,3108.96,1
23,13,50,LCOR-210,CT717 3,CT3,small,2606.04,1
24,13,23,LCOR-202,CT717 3,CT3,large,3596.64,1
