Name,,,,,,
Date,,,,,,
dbh in mm @ 6in,,,,,,
height in feet (incremented in tenths),,,,,,
,,,,,,
row,column,ID,DBH,Height,Comments,Updated Growth 5/9
1,1,LCOR-1143,,,,
2,1,LCOR-1088,,,,
3,1,LCOR-1141,,,,
4,1,LCOR-1064,,,,
5,1,LCOR-1145,,,,
6,1,LCOR-1150,,,,
7,1,LCOR-1071,,,,
8,1,LCOR-1247,,,,
9,1,LCOR-1024,,,,
10,1,LCOR-1057,,,,
11,1,LCOR-1060,,,,
12,1,LCOR-1063,,,,
13,1,LCOR-1081,,,,
14,1,LCOR-1097,,,,
15,1,LCOR-1199,,,,
16,1,LCOR-1053,,,,
1,2,LCOR-1101,,,,
2,2,LCOR-1137,,,,
3,2,LCOR-1075,,,,
4,2,LCOR-1022,,,,
5,2,LCOR-1061,,,,
6,2,LCOR-1078,,,,
7,2,LCOR-1080,,,,
8,2,LCOR-1085,,,,
9,2,LCOR-1091,,,,
10,2,LCOR-1106,,,,
11,2,LCOR-1163,,,,
12,2,LCOR-1168,,,,
13,2,LCOR-1183,,,,
14,2,LCOR-1187,,,,
15,2,LCOR-1198,,,,
16,2,LCOR-1076,,,,
1,3,LCOR-1001,,,,
2,3,LCOR-125,16.2,9.05,,
3,3,LCOR-064,17.4,9.15,,9.34
4,3,LCOR-173,14.1,7.3,,
5,3,LCOR-104,20,9.55,,
6,3,LCOR-552,20.9,10.2,,
7,3,LCOR-395,17.9,8.57,,
8,3,LCOR-228,20.1,9.75,,9.88
9,3,LCOR-362,19.1,9.85,,
10,3,LCOR-259,23.5,11.3,,
11,3,LCOR-258,23,10.84,,
12,3,LCOR-188,10.5,5.45,,
13,3,LCOR-294,14.5,7.05,,
14,3,LCOR-253,19,9.27,,
15,3,LCOR-213,20.5,9.75,,
16,3,LCOR-1047,,,,
1,4,LCOR-1002,,,,
2,4,LCOR-087,24,11.22,,11.38
3,4,LCOR-308,24.5,11.77,,
4,4,LCOR-249,19.5,9.75,,
5,4,LCOR-244,13,6.55,,
6,4,LCOR-607,16,7.5,,
7,4,LCOR-396,22.8,10.85,,
8,4,LCOR-325,23.1,10.65,,
9,4,LCOR-054,31,13.75,,
10,4,LCOR-109,,,,1150- border
11,4,LCOR-268,25.1,12.85,,
12,4,LCOR-328,22,9.9,,10.08
13,4,LCOR-107,24,10.7,,
14,4,LCOR-201,25.9,12.35,,
15,4,LCOR-211,23.2,11.4,,
16,4,LCOR-1051,,,,
1,5,LCOR-082,22.9,10.7,,
2,5,LCOR-344,25,11.1,,
3,5,LCOR-070,22,10.77,,
4,5,LCOR-282,24.6,11.87,,
5,5,LCOR-027,25.1,11.8,,12.17
6,5,LCOR-573,25.1,12.35,,
7,5,LCOR-068,25.1,11.9,,
8,5,LCOR-575,42,17.2,,
9,5,LCOR-346,27,12.35,,
10,5,LCOR-092,24,10.75,,
11,5,LCOR-142,20,9.95,,
12,5,LCOR-563,22.2,11.45,,
13,5,LCOR-353,,,,dead
14,5,LCOR-314,26.5,12.1,,12.38
15,5,LCOR-042,24.1,11.45,,
16,5,LCOR-1059,,,,
1,6,LCOR-1003,,,,
2,6,LCOR-577,21.5,10.21,,
3,6,LCOR-069,24.9,11.85,,
4,6,LCOR-043,22.1,11.17,,
5,6,LCOR-062,21.2,10.15,,
6,6,LCOR-135,26,12.25,,
7,6,LCOR-003,28,12.85,,
