row,column,ID,Caliper,DBH,Height
3,3,LCOR-064,22.74,16.58,10.9
4,3,LCOR-173,21.22,14.66,10.3
5,3,LCOR-104,21.51,13.62,10.2
6,3,LCOR-552,30.95,23.6,14.3
7,3,LCOR-395,26.27,19.26,12.2
8,3,LCOR-228,26.9,21.17,12.6
9,3,LCOR-362,24.85,18.98,12.4
10,3,LCOR-259,35.51,28.53,14.7
11,3,LCOR-258,35.04,27.88,14.6
12,3,LCOR-188,9.43,7.04,5.32
13,3,LCOR-294,19.48,12.16,9.5
14,3,LCOR-253,30.22,21.59,13.5
15,3,LCOR-213,24.93,19.03,12.9
2,4,LCOR-087,36.05,26.76,14.6
3,4,LCOR-308,28.02,21.24,12.2
4,4,LCOR-249,30.36,21.76,13.5
5,4,LCOR-244,10.51,6.36,6.6
6,4,LCOR-607,19.07,13.12,9.5
7,4,LCOR-396,32.12,25.4,14.4
9,4,LCOR-054,41.86,33.68,17.6
11,4,LCOR-268,38.5,33.05,18.7
13,4,LCOR-107,24.53,15.81,11
14,4,LCOR-201,29.56,20.81,12.8
15,4,LCOR-211,39.03,28.33,15.9
1,5,LCOR-082,34.09,24.83,13.6
2,5,LCOR-344,30.56,21.48,13
3,5,LCOR-070,33.3,25.2,14.1
4,5,LCOR-282,37.8,27.74,15.2
5,5,LCOR-027,31.48,26.32,14.6
6,5,LCOR-573,37.34,30.93,16.3
7,5,LCOR-068,24.36,17.69,8.7
8,5,LCOR-575,60.53,47.29,20.9
9,5,LCOR-346,38.93,31.26,15.4
10,5,LCOR-092,36.73,29.33,15.1
11,5,LCOR-142,25.81,18.94,12.6
12,5,LCOR-563,26.19,19.24,12.6
14,5,LCOR-314,44.6,32.54,17.1
15,5,LCOR-042,37.65,29.74,16.2
2,6,LCOR-577,34.76,25.74,16
3,6,LCOR-069,33.5,25.22,14.4
4,6,LCOR-043,32.11,24.88,14.8
5,6,LCOR-062,29.04,22.19,13.2
6,6,LCOR-135,40.22,30.65,17.7
7,6,LCOR-003,42.53,34.13,18.1
8,6,LCOR-191,30.37,23.89,14.7
9,6,LCOR-310,27.55,19.98,12.6
10,6,LCOR-251,41.58,31.25,14.4
11,6,LCOR-358,40.59,31.89,18.1
12,6,LCOR-363,20.49,13.26,10.1
13,6,LCOR-355,27.52,22.27,13.7
14,6,LCOR-472,42.06,33.32,18.9
15,6,LCOR-421,37.1,25.04,15.8
2,7,LCOR-177,45.42,35.3,19.2
3,7,LCOR-073,36.59,27.27,16.3
4,7,LCOR-510,29.96,22.09,13.9
5,7,LCOR-474,34.08,24.84,14.5
6,7,LCOR-181,38.58,30.73,17.2
7,7,LCOR-148,38.81,32.07,16.9
8,7,LCOR-400,39.07,31.38,17.7
9,7,LCOR-530,45.38,36.29,18.6
12,7,LCOR-094,40.95,31.59,17.7
13,7,LCOR-296,44.45,29.31,16.8
14,7,LCOR-265,28.16,21.91,13.3
15,7,LCOR-198,17.56,10.76,9.5
2,8,LCOR-179,54.96,42.68,21.4
3,8,LCOR-036,53.12,41.43,20.5
4,8,LCOR-279,50.21,39.42,20.2
5,8,LCOR-078,36.09,27.89,15.1
6,8,LCOR-582,56.08,42.45,22.1
7,8,LCOR-385,51.84,39.38,19.6
8,8,LCOR-250,52.63,40.09,20.9
9,8,LCOR-034,44.43,36.21,19
10,8,LCOR-255,40.08,30.62,16.9
11,8,LCOR-238,28.17,18.56,12.1
12,8,LCOR-254,38.2,28.46,15.6
13,8,LCOR-469,21.9,13.66,10.7
14,8,LCOR-167,28.43,23.13,13
15,8,LCOR-274,23.1,15.3,11.7
2,9,LCOR-581,71.56,54.4,21.6
3,9,LCOR-001,60.3,42.8,22.7
4,9,LCOR-342,32.88,22.3,14.6
5,9,LCOR-471,51.25,39.8,21.4
6,9,LCOR-380,46.05,35.94,19.4
7,9,LCOR-076,44.5,36.6,19.6
8,9,LCOR-163,58.94,33.85,23
10,9,LCOR-217,35.02,25.66,14.9
11,9,LCOR-231,40.11,29.55,16.4
12,9,LCOR-075,18.66,12.45,8.9
13,9,LCOR-504,24.6,16.85,12
14,9,LCOR-511,41.59,28.42,17.9
15,9,LCOR-041,40.77,31.13,19.6
3,10,LCOR-023,45.94,34.23,20.2
4,10,LCOR-020,36.94,26.49,16.2
5,10,LCOR-010,35.23,34.26,15.7
6,10,LCOR-292,34.41,26.06,16
7,10,LCOR-420,42.31,32.02,18.1
8,10,LCOR-157,41.54,30.34,18.7
10,10,LCOR-263,36.25,26.22,15.5
11,10,LCOR-018,38.39,30.9,17.1
12,10,LCOR-286,32.02,21,15.8
13,10,LCOR-133,21.48,14.27,11
14,10,LCOR-039,36.29,26.04,15.5
15,10,LCOR-203,35.86,25.71,14.9
2,11,LCOR-164,41.86,32.22,17.4
3,11,LCOR-529,40.36,32.54,18.5
4,11,LCOR-386,41.52,30.23,16.3
5,11,LCOR-028,35.38,28.58,15.2
6,11,LCOR-527,38.3,29.86,18.1
8,11,LCOR-150,38.58,30.41,18.4
9,11,LCOR-233,43.37,29.59,18.5
10,11,LCOR-161,36.37,28.18,18
11,11,LCOR-019,23.27,17.7,11.6
12,11,LCOR-360,28.06,19.58,12.5
13,11,LCOR-289,33.35,23.07,13.3
14,11,LCOR-040,27.9,19.04,13
2,12,LCOR-180,38.3,29.73,15.9
3,12,LCOR-403,33.12,26.43,16.1
