"","event_short","strata","ID","V","n_strata","N","w_strata","sd","n_neymans","n_equal","n_prop","tier","block","construct","construct2","row","column","event"
"1","16-20",1,"LCOR-107",1584.50005562202,11,33,0.333333333333333,609.215178413755,2.34339749991303,5.5,5.5,"control","large","Escape","control",13,4,"LC-102 16-20"
"2","16-20",2,"LCOR-108",3773.96193663863,11,33,0.333333333333333,751.700902889676,2.89148084113832,5.5,5.5,"control","small","Escape","control",9,51,"LC-102 16-20"
"3","16-20",3,"LCOR-315",13239.3616031223,11,33,0.333333333333333,2928.90642553717,11.2662852769921,5.5,5.5,"control","small","Escape","control",5,47,"LC-102 16-20"
"4","16-20",3,"LCOR-508",4930.32012318621,11,33,0.333333333333333,2928.90642553717,11.2662852769921,5.5,5.5,"control","large","Escape","control",15,26,"LC-102 16-20"
"5","16-20",3,"LCOR-101",5780.05437027132,11,33,0.333333333333333,2928.90642553717,11.2662852769921,5.5,5.5,"control","large","Escape","control",8,20,"LC-102 16-20"
"6","16-20",2,"LCOR-318",3300.57422400074,11,33,0.333333333333333,751.700902889676,2.89148084113832,5.5,5.5,"control","large","Escape","control",15,24,"LC-102 16-20"
"7","16-20",2,"LCOR-518",3051.24049565703,11,33,0.333333333333333,751.700902889676,2.89148084113832,5.5,5.5,"control","large","Escape","control",10,21,"LC-102 16-20"
"8","16-20",1,"LCOR-100",742.648177736277,11,33,0.333333333333333,609.215178413755,2.34339749991303,5.5,5.5,"control","small","Escape","control",4,45,"LC-102 16-20"
"9","16-20",3,"LCOR-102",7701.37703473389,11,33,0.333333333333333,2928.90642553717,11.2662852769921,5.5,5.5,"control","small","Escape","control",13,46,"LC-102 16-20"
"10","16-20",1,"LCOR-313",396.84139194555,11,33,0.333333333333333,609.215178413755,2.34339749991303,5.5,5.5,"control","small","Escape","control",4,46,"LC-102 16-20"
"11","16-20",2,"LCOR-509",2942.41066062182,11,33,0.333333333333333,751.700902889676,2.89148084113832,5.5,5.5,"control","small","Escape","control",7,48,"LC-102 16-20"
"12","16-20",3,"LCOR-505",12685.6149263977,11,33,0.333333333333333,2928.90642553717,11.2662852769921,5.5,5.5,"control","small","Escape","control",3,48,"LC-102 16-20"
"13","16-20",1,"LCOR-312",1822.74242225452,11,33,0.333333333333333,609.215178413755,2.34339749991303,5.5,5.5,"control","small","Escape","control",10,51,"LC-102 16-20"
"14","16-20",1,"LCOR-316",583.806957624288,11,33,0.333333333333333,609.215178413755,2.34339749991303,5.5,5.5,"control","small","Escape","control",3,45,"LC-102 16-20"
"15","16-20",2,"LCOR-510",2986.77766828399,11,33,0.333333333333333,751.700902889676,2.89148084113832,5.5,5.5,"control","large","Escape","control",4,7,"LC-102 16-20"
"16","16-20",2,"LCOR-105",2062.61612545533,11,33,0.333333333333333,751.700902889676,2.89148084113832,5.5,5.5,"control","large","Escape","control",13,16,"LC-102 16-20"
"17","4A",2,"LCOR-232",4203.69276561264,6,19,0.315789473684211,217.325692568136,0.300327090596211,3.16666666666667,3,"elite","small","LC-102","transgenic",4,47,"LC-102 4A"
"18","4A",3,"LCOR-233",8330.19273771787,6,19,0.315789473684211,5505.52636355748,7.60820635346445,3.16666666666667,3,"elite","large","LC-102","transgenic",9,11,"LC-102 4A"
