,event_short,strata,ID,V,n_strata,N,w_strata,sd,n_neymans,n_equal,n_prop,tier,block,construct,construct2,row,column,event
1,16-20,2,LCOR-108,3773.961937,11,33,0.333333333,751.7009029,2.891480841,5.5,5.5,control,small,Escape,control,9,51,LC-102 16-20
2,16-20,3,LCOR-315,13239.3616,11,33,0.333333333,2928.906426,11.26628528,5.5,5.5,control,small,Escape,control,5,47,LC-102 16-20
3,16-20,3,LCOR-508,4930.320123,11,33,0.333333333,2928.906426,11.26628528,5.5,5.5,control,large,Escape,control,15,26,LC-102 16-20
4,16-20,3,LCOR-101,5780.05437,11,33,0.333333333,2928.906426,11.26628528,5.5,5.5,control,large,Escape,control,8,20,LC-102 16-20
5,16-20,2,LCOR-318,3300.574224,11,33,0.333333333,751.7009029,2.891480841,5.5,5.5,control,large,Escape,control,15,24,LC-102 16-20
6,16-20,2,LCOR-518,3051.240496,11,33,0.333333333,751.7009029,2.891480841,5.5,5.5,control,large,Escape,control,10,21,LC-102 16-20
7,16-20,1,LCOR-100,742.6481777,11,33,0.333333333,609.2151784,2.3433975,5.5,5.5,control,small,Escape,control,4,45,LC-102 16-20
8,16-20,3,LCOR-102,7701.377035,11,33,0.333333333,2928.906426,11.26628528,5.5,5.5,control,small,Escape,control,13,46,LC-102 16-20
9,16-20,1,LCOR-313,396.8413919,11,33,0.333333333,609.2151784,2.3433975,5.5,5.5,control,small,Escape,control,4,46,LC-102 16-20
10,16-20,2,LCOR-509,2942.410661,11,33,0.333333333,751.7009029,2.891480841,5.5,5.5,control,small,Escape,control,7,48,LC-102 16-20
11,16-20,1,LCOR-312,1822.742422,11,33,0.333333333,609.2151784,2.3433975,5.5,5.5,control,small,Escape,control,10,51,LC-102 16-20
12,16-20,1,LCOR-316,583.8069576,11,33,0.333333333,609.2151784,2.3433975,5.5,5.5,control,small,Escape,control,3,45,LC-102 16-20
13,16-20,2,LCOR-510,2986.777668,11,33,0.333333333,751.7009029,2.891480841,5.5,5.5,control,large,Escape,control,4,7,LC-102 16-20
14,16-20,2,LCOR-105,2062.616125,11,33,0.333333333,751.7009029,2.891480841,5.5,5.5,control,large,Escape,control,13,16,LC-102 16-20
15,4A,2,LCOR-232,4203.692766,6,19,0.315789474,217.3256926,0.300327091,3.166666667,3,elite,small,LC-102,transgenic,4,47,LC-102 4A
16,4A,1,LCOR-230,4022.545046,7,19,0.368421053,987.1269327,1.591487484,3.166666667,3.5,elite,large,LC-102,transgenic,12,20,LC-102 4A
17,4A,1,LCOR-238,2298.600736,7,19,0.368421053,987.1269327,1.591487484,3.166666667,3.5,elite,large,LC-102,transgenic,11,8,LC-102 4A
18,4A,2,LCOR-012,4408.849573,6,19,0.315789474,217.3256926,0.300327091,3.166666667,3,elite,large,LC-102,transgenic,6,21,LC-102 4A
