"","row","column","ID","event_short","block","construct"
"1",15,28,"LCOR-083","13-15E","large","LC-102"
"2",12,9,"LCOR-075","13-15E","large","LC-102"
"3",15,16,"LCOR-614","13-15E","large","LC-102"
"4",5,17,"LCOR-079","13-15E","large","LC-102"
"5",7,26,"LCOR-613","13-15E","large","LC-102"
"6",3,16,"LCOR-611","13-15E","large","LC-102"
"7",7,9,"LCOR-076","13-15E","large","LC-102"
"8",13,7,"LCOR-296","13-15E","large","LC-102"
"9",3,7,"LCOR-073","13-15E","large","LC-102"
"10",5,8,"LCOR-078","13-15E","large","LC-102"
"11",7,16,"LCOR-610","13-15E","large","LC-102"
"12",3,14,"LCOR-604","13-15E","large","LC-102"
"13",10,13,"LCOR-077","13-15E","large","LC-102"
"14",13,24,"LCOR-084","13-15E","large","LC-102"
"15",10,18,"LCOR-306","13-15E","large","LC-102"
"16",15,25,"LCOR-301","13-15E","large","LC-102"
"17",6,22,"LCOR-340","CT3","large","Control"
"18",9,26,"LCOR-341","CT3","large","Control"
"19",6,24,"LCOR-503","CT3","large","Control"
"20",7,27,"LCOR-197","CT3","large","Control"
"21",13,50,"LCOR-210","CT3","small","Control"
"22",5,22,"LCOR-209","CT3","large","Control"
"23",10,28,"LCOR-337","CT3","large","Control"
"24",5,50,"LCOR-208","CT3","small","Control"
"25",7,13,"LCOR-338","CT3","large","Control"
"26",13,23,"LCOR-202","CT3","large","Control"
"27",4,21,"LCOR-350","CT3","large","Control"
"28",9,5,"LCOR-346","CT3","large","Control"
"29",7,24,"LCOR-339","CT3","large","Control"
"30",13,17,"LCOR-502","CT3","large","Control"
"31",4,9,"LCOR-342","CT3","large","Control"
"32",15,10,"LCOR-203","CT3","large","Control"
"33",7,14,"LCOR-347","CT3","large","Control"
