row,column,ID,event,event_short,construct,construct2,block
3,3,LCOR-064,LC-102 2H,2H,LC-102,transgenic,large
4,3,LCOR-173,LC-102 1C,1C,LC-102,transgenic,large
5,3,LCOR-104,LC-102 16-20,16-20,Escape,control,large
6,3,LCOR-552,LC-102 7,7,LC-102,transgenic,large
7,3,LCOR-395,LC-102 1C,1C,LC-102,transgenic,large
8,3,LCOR-228,LC-102 4A,4A,LC-102,transgenic,large
9,3,LCOR-362,LC-102 1,1,LC-102,transgenic,large
10,3,LCOR-259,LC-102 4B,4B,LC-102,transgenic,large
11,3,LCOR-258,LC-102 4B,4B,LC-102,transgenic,large
12,3,LCOR-188,LC-102 13-15B,13-15B,LC-102,transgenic,large
13,3,LCOR-294,LC-102 8-9D,8-9D,Escape,control,large
14,3,LCOR-253,LC-102 4B,4B,LC-102,transgenic,large
15,3,LCOR-213,LC-102 2H,2H,LC-102,transgenic,large
2,4,LCOR-087,LC-102 8-9D,8-9D,Escape,control,large
3,4,LCOR-308,LC-102 13-15E,13-15E,LC-102,transgenic,large
4,4,LCOR-249,LC-102 5A,5A,LC-102,transgenic,large
5,4,LCOR-244,LC-102 5A,5A,LC-102,transgenic,large
6,4,LCOR-607,LC-102 13-15E,13-15E,LC-102,transgenic,large
7,4,LCOR-396,LC-102 1C,1C,LC-102,transgenic,large
9,4,LCOR-054,LC-102 1,1,LC-102,transgenic,large
11,4,LCOR-268,LC-102 5C,5C,LC-102,transgenic,large
13,4,LCOR-107,LC-102 16-20,16-20,Escape,control,large
14,4,LCOR-201,CT717 3,CT3,Control,control,large
15,4,LCOR-211,LC-102 2H,2H,LC-102,transgenic,large
2,5,LCOR-344,CT717 3,CT3,Control,control,large
3,5,LCOR-070,LC-102 2H,2H,LC-102,transgenic,large
4,5,LCOR-282,LC-102 8-9D,8-9D,Escape,control,large
5,5,LCOR-027,LC-102 4B,4B,LC-102,transgenic,large
6,5,LCOR-573,LC-102 5C,5C,LC-102,transgenic,large
8,5,LCOR-575,LC-102 5A,5A,LC-102,transgenic,large
10,5,LCOR-092,LC-102 8-9D,8-9D,Escape,control,large
11,5,LCOR-142,LC-102 7,7,LC-102,transgenic,large
12,5,LCOR-563,LC-102 5C,5C,LC-102,transgenic,large
14,5,LCOR-314,LC-102 16-20,16-20,Escape,control,large
15,5,LCOR-042,LC-102 5C,5C,LC-102,transgenic,large
2,6,LCOR-577,LC-102 5A,5A,LC-102,transgenic,large
3,6,LCOR-069,LC-102 2H,2H,LC-102,transgenic,large
