row,column,ID,Diameter,SPAD,Drought Score,Stem damage,Root damage,Top dieback
1,1,LCOR-1143,,,,,,
2,1,LCOR-1088,,,,,,
3,1,LCOR-1141,,,,,,
4,1,LCOR-1064,,,,,,
5,1,LCOR-1145,,,,,,
6,1,LCOR-1150,,,,,,
7,1,LCOR-1071,,,,,,
8,1,LCOR-1247,,,,,,
9,1,LCOR-1024,,,,,,
10,1,LCOR-1057,,,,,,
11,1,LCOR-1060,,,,,,
12,1,LCOR-1063,,,,,,
13,1,LCOR-1081,,,,,,
14,1,LCOR-1097,,,,,,
15,1,LCOR-1199,,,,,,
16,1,LCOR-1053,,,,,,
1,2,LCOR-1101,,,,,,
2,2,LCOR-1137,,,,,,
3,2,LCOR-1075,,,,,,
4,2,LCOR-1022,,,,,,
5,2,LCOR-1061,,,,,,
6,2,LCOR-1078,,,,,,
7,2,LCOR-1080,,,,,,
8,2,LCOR-1085,,,,,,
9,2,LCOR-1091,,,,,,
10,2,LCOR-1106,,,,,,
11,2,LCOR-1163,,,,,,
12,2,LCOR-1168,,,,,,
13,2,LCOR-1183,,,,,,
14,2,LCOR-1187,,,,,,
15,2,LCOR-1198,,,,,,
16,2,LCOR-1076,,,,,,
1,3,LCOR-1001,,,,,,
2,3,LCOR-125,22.47,26.4,1,0,2,1
3,3,LCOR-064,23.45,25,1,bio,0,0
4,3,LCOR-173,21.3,26.8,1,0,0,0
5,3,LCOR-104,21.9,22.5,2,bio,1,1
6,3,LCOR-552,31.71,31,0,bio,0,
7,3,LCOR-395,26.72,29.5,0,bio,1,
8,3,LCOR-228,28.02,28.9,1,bio,1,
9,3,LCOR-362,25.5,23.4,1,0,2,
10,3,LCOR-259,36.65,30.8,0,bio,0,
11,3,LCOR-258,34.93,30.1,1,0,0,
12,3,LCOR-188,10.94,,4,bio,2,1
13,3,LCOR-294,20.12,27.5,1,0,1,
14,3,LCOR-253,31.64,28.3,1,0,1,
15,3,LCOR-213,bag,26,1,bag,1,
16,3,LCOR-1047,- ,,,,,
1,4,LCOR-1002,-,,,,,
2,4,LCOR-087,35.82,30.3,0,0,0,
3,4,LCOR-308,28.33,17.7,2,phys,2,1
4,4,LCOR-249,29.08,23.4,1,bio,0,0
5,4,LCOR-244,10.36,,5,0,2,1
6,4,LCOR-607,19.86,24.4,2,0,2,
7,4,LCOR-396,32.79,31.8,1,0,0,
8,4,LCOR-325,23.35,17.4,4,0,2,1
9,4,LCOR-054,42.23,29.8,0,bio,0,
10,4,LCOR-109,20.46,28.5,0,0,2,
11,4,LCOR-268,bag,30.1,0,bag,0,
12,4,LCOR-328,31.03,25.4,1,bio,0,
13,4,LCOR-107,24.91,19.4,4,bio,0,1
14,4,LCOR-201,bag,27.8,2,bag,1,1
15,4,LCOR-211,40.08,30.4,0,bio,0,
16,4,LCOR-1051,- ,,,,,
1,5,LCOR-082,35.74,,1,bio,0,
2,5,LCOR-344,30.59,27.9,1,0,1,
3,5,LCOR-070,32.97,35.2,0,phys,1,
4,5,LCOR-282,37.19,33.9,2,bio,1,
5,5,LCOR-027,31.57,26,2,0,1,
6,5,LCOR-573,36.99,32.1,0,nio,0,
7,5,LCOR-068,25.15,21.3,4,nio,2,broken
8,5,LCOR-575,58.92,31.9,0,phys,1,
9,5,LCOR-346,bag,29.3,0,bag,1,
10,5,LCOR-092,38.1,29.4,0,bio,1,
11,5,LCOR-142,25.58,24.3,1,0,1,
