"","row","column","ID","event_short","block","construct"
"1",2,46,"LCOR-112","16-20","small","Escape"
"2",6,23,"LCOR-106","16-20","large","Escape"
"3",9,51,"LCOR-108","16-20","small","Escape"
"4",13,16,"LCOR-105","16-20","large","Escape"
"5",10,27,"LCOR-322","16-20","large","Escape"
"6",13,22,"LCOR-514","16-20","large","Escape"
"7",15,26,"LCOR-508","16-20","large","Escape"
"8",8,20,"LCOR-101","16-20","large","Escape"
"9",14,9,"LCOR-511","16-20","large","Escape"
"10",14,5,"LCOR-314","16-20","large","Escape"
"11",5,47,"LCOR-315","16-20","small","Escape"
"12",11,15,"LCOR-507","16-20","large","Escape"
"13",13,46,"LCOR-102","16-20","small","Escape"
"14",9,13,"LCOR-320","16-20","large","Escape"
"15",7,12,"LCOR-111","16-20","large","Escape"
"16",3,48,"LCOR-505","16-20","small","Escape"
"17",11,51,"LCOR-225","4A","small","LC-102"
"18",14,12,"LCOR-002","4A","large","LC-102"
"19",13,20,"LCOR-534","4A","large","LC-102"
"20",4,47,"LCOR-232","4A","small","LC-102"
"21",3,9,"LCOR-001","4A","large","LC-102"
"22",9,11,"LCOR-233","4A","large","LC-102"
"23",11,9,"LCOR-231","4A","large","LC-102"
"24",13,14,"LCOR-014","4A","large","LC-102"
"25",10,24,"LCOR-546","4A","large","LC-102"
"26",7,6,"LCOR-003","4A","large","LC-102"
"27",4,4,"LCOR-249","5A","large","LC-102"
"28",4,22,"LCOR-165","5A","large","LC-102"
"29",3,22,"LCOR-245","5A","large","LC-102"
"30",2,6,"LCOR-577","5A","large","LC-102"
"31",9,21,"LCOR-584","5A","large","LC-102"
"32",2,20,"LCOR-162","5A","large","LC-102"
"33",2,9,"LCOR-581","5A","large","LC-102"
"34",8,5,"LCOR-575","5A","large","LC-102"
"35",14,46,"LCOR-155","5A","small","LC-102"
"36",8,8,"LCOR-250","5A","large","LC-102"
"37",8,10,"LCOR-157","5A","large","LC-102"
"38",8,9,"LCOR-163","5A","large","LC-102"
"39",6,8,"LCOR-582","5A","large","LC-102"
"40",12,12,"LCOR-241","5A","large","LC-102"
"41",12,18,"LCOR-243","5A","large","LC-102"
"42",2,11,"LCOR-164","5A","large","LC-102"
"43",7,25,"LCOR-160","5A","large","LC-102"
"44",11,28,"LCOR-096","8-9D","large","Escape"
"45",15,51,"LCOR-413","8-9D","small","Escape"
"46",7,53,"LCOR-097","8-9D","small","Escape"
"47",14,50,"LCOR-417","8-9D","small","Escape"
"48",2,4,"LCOR-087","8-9D","large","Escape"
"49",10,5,"LCOR-092","8-9D","large","Escape"
"50",11,23,"LCOR-090","8-9D","large","Escape"
"51",7,10,"LCOR-420","8-9D","large","Escape"
"52",6,47,"LCOR-419","8-9D","small","Escape"
"53",2,21,"LCOR-098","8-9D","large","Escape"
"54",14,23,"LCOR-290","8-9D","large","Escape"
"55",7,17,"LCOR-411","8-9D","large","Escape"
"56",2,26,"LCOR-293","8-9D","large","Escape"
"57",4,5,"LCOR-282","8-9D","large","Escape"
