"","Event","mean_diameter","var","n","se","tst","sd","upper_diameter","lower_diameter"
"1","1",29.5716129032258,70.8167339784946,31,1.51142673441349,2.03951344639641,8.41526790889599,32.6541880513051,26.4890377551465
"2","13-15B",28.7705263157895,98.2047052631579,19,2.27347062836997,2.09302405440831,9.90982872017261,33.5289550279586,24.0120976036204
"3","13-15E",29.990625,79.8377028225807,32,1.57953417601698,2.0369333434601,8.93519461582011,33.2080308302638,26.7732191697362
"4","16-20",31.7236363636364,111.952761363636,33,1.84187619565219,2.03451529744934,10.5807731930912,35.4709616596985,27.9763110675742
"5","1C",31.8211111111111,73.7751701587302,36,1.43154122615695,2.02809400098045,8.58924735694171,34.7244112840362,28.917810938186
"6","2H",29.631724137931,58.4756647783251,29,1.42000078652631,2.0452296421327,7.64693826170482,32.5359518383864,26.7274964374757
"7","4A",35.3468421052632,87.0024116959064,19,2.13987716932177,2.09302405440831,9.32750833266347,39.8256564941328,30.8680277163935
"8","4B",33.2743243243243,39.778153003003,37,1.03686316179975,2.02619246302911,6.30699238964207,35.3752086479555,31.1734400006931
"9","5",30.2451724137931,65.5480544334975,29,1.50342200964537,2.0452296421327,8.09617529661368,33.3200156725545,27.1703291550317
"10","5A",35.2020588235294,170.598750178253,34,2.24000229896319,2.03224450931772,13.0613456495973,39.7542911964564,30.6498264506024
"11","5C",33.8233333333333,74.1607291666667,33,1.49909800321137,2.03451529744934,8.61166239274779,36.8732711532426,30.773395513424
"12","7",31.69,97.4438774193548,32,1.7450275554715,2.0369333434601,9.87136654265026,35.2445048129966,28.1354951870034
"13","8-9D",33.1958620689655,76.8878251231527,29,1.62828262736893,2.0452296421327,8.76857030097568,36.5260739642302,29.8656501737009
"14","CT3",29.3493939393939,45.9182808712121,33,1.17960292331928,2.03451529744934,6.77630289104701,31.749314131803,26.9494737469849
