"","Event","mean_height","var","n","se","tst","sd","upper_height","lower_height"
"1","1",4105.95096774194,852056.735009032,31,165.788121194866,2.03951344639641,923.06919296932,4444.07807017166,3767.82386531221
"2","13-15B",4004.91157894737,1356347.71174737,19,267.18293671362,2.09302405440831,1164.62342057309,4564.13189241643,3445.69126547831
"3","13-15E",4000.5,1030924.05677419,32,179.489210745921,2.0369333434601,1015.3443045461,4366.1075581597,3634.8924418403
"4","16-20",3994.72727272727,972052.601345455,33,171.627909836107,2.03451529744934,985.927279947895,4343.90688075809,3645.54766469646
"5","1C",4334.08666666667,833728.839451429,36,152.181255183437,2.02809400098045,913.087531100622,4642.72455736587,4025.44877596746
"6","2H",3966.60413793103,624290.122782266,29,146.72166034087,2.0452296421327,790.120321711995,4266.68362680311,3666.52464905896
"7","4A",4713.17052631579,1015245.50770526,19,231.157898609913,2.09302405440831,1007.59392004183,5196.98956847281,4229.35148415876
"8","4B",4441.84216216216,486587.344172973,37,114.677850093086,2.02619246302911,697.558129601378,4674.20155769715,4209.48276662717
"9","5",4222.00551724138,825152.902368473,29,168.681796165246,2.0452296421327,908.379272313318,4566.99852684673,3877.01250763603
"10","5A",4680.29364705882,1486478.05101587,34,209.093143543583,2.03224450931772,1219.21206154462,5105.22203996125,4255.3652541564
"11","5C",4596.93818181818,831044.085709091,33,158.69201023491,2.03451529744934,911.616194299493,4919.79950422409,4274.07685941227
"12","7",4352.925,1126250.8172129,32,187.604205810806,2.0369333434601,1061.2496488635,4735.06226218938,3970.78773781062
"13","8-9D",4274.55724137931,770475.115649261,29,162.997262051181,2.0452296421327,877.767119257301,4607.92407331286,3941.19040944576
"14","CT3",3899.77745454545,506865.684213818,33,123.933716914718,2.03451529744934,711.945000834909,4151.9224974782,3647.6324116127
