"","Event","mean_Volume","var","n","se","tst","sd","upper_volume","lower_volume"
"1","1",3376.44432777513,5751914.47563322,31,430.750076315992,2.03951344639641,2398.31492419849,4254.96490045787,2497.92375509238
"2","13-15B",3379.22120660353,9773830.16086427,19,717.22528798816,2.09302405440831,3126.31255009224,4880.39098679267,1878.05142641438
"3","13-15E",3475.90183803509,7682205.64190052,32,489.968291126468,2.0369333434601,2771.67920977528,4473.93458746876,2477.86908860142
"4","16-20",3926.76080479911,10315728.9094598,33,559.104503417033,2.03451529744934,3211.81084584068,5064.26746987388,2789.25413972434
"5","1C",4059.83435671906,8484760.15477224,36,485.476860495953,2.02809400098045,2912.86116297572,5044.42706510572,3075.2416483324
"6","2H",3151.81022991831,3638521.32100954,29,354.212157398084,2.0452296421327,1907.49084427935,3876.25543383264,2427.36502600397
"7","4A",5458.63438580373,19888460.4095884,19,1023.11342195715,2.09302405440831,4459.64801409129,7600.03538834804,3317.23338325943
"8","4B",4208.18863562768,4289546.04719621,37,340.490347809228,2.02619246302911,2071.12192958218,4898.0876120929,3518.28965916246
"9","5",3566.96739472794,6218210.47831278,29,463.056207145852,2.0452296421327,2493.63399044703,4514.02367555618,2619.9111138997
"10","5A",6008.98161762318,36042215.1959193,34,1029.59465461955,2.03224450931772,6003.51690227648,8101.36970129663,3916.59353394972
"11","5C",4793.03672830301,11234205.2314577,33,583.464190468726,2.03451529744934,3351.74659415919,5980.10354932553,3605.96990728049
"12","7",4209.28604466339,9010264.69468985,32,530.632426175651,2.0369333434601,3001.71029493018,5290.1489266617,3128.42316266507
"13","8-9D",4293.70480808244,7092093.29988729,29,494.524965371238,2.0452296421327,2663.0984397666,5305.12192603434,3282.28769013053
"14","CT3",2975.74610308276,3044571.85631882,33,303.742906455085,2.03451529744934,1744.87015457277,3593.71569275735,2357.77651340817
