"","ID","SPAD_June_2022","SPAD_July_2022","SPAD_aug_2022","SPAD_sep_2022","SPAD_July_2023","SPAD_Aug_2023","SPAD_Sep_2023","avg_SPAD","TGI_mean","GRVI_mean","MGRVI_mean","EXG_mean","EXGR_mean","NDVI_mean","NDRE_mean","GNDVI_mean","SAVI_mean","OSAVI_mean","MSAVI_mean","GCI_mean","RECI_mean","shadow_area","V497","H497","D497","V801","H801","D801","HD497","HD801","branchiness"
"1","LCOR-064",26.5,32.63333333,48.9,43.93333333,25,22.9,19.7,31.3666666657143,0.113171004,0.414829035,0.689891011,0.514765363,-0.278697748,0.612959705,-0.149413843,0.281396742,0.473954182,0.544365309,0.471984016,0.816378889,-0.254929057,0.900200244,615.7328532918,2712.72,17,1349.31048725747,3322.32,22.74,159.571764705882,146.100263852243,-0.39841340868401
"2","LCOR-173",28.3,27.4,41.5,45,26.8,27.1,27,31.8714285714286,0.118822051,0.303140205,0.534507618,0.387604108,-0.41979761,0.472515013,-0.068429425,0.209540759,0.389929976,0.433191801,0.383995699,0.54918577,-0.122199075,0.399296742,342.5180072664,2225.04,14,1110.27985761162,3139.44,21.22,158.931428571429,147.947219604147,-0.261000732614073
"3","LCOR-104",30.66666667,18.2,37.83333333,47.76666667,22.5,26.3,23.5,29.5380952385714,0.123305854,0.332784468,0.58884754,0.415406094,-0.386001956,0.490662482,-0.088017423,0.196840922,0.393139419,0.443526565,0.384324433,0.52078887,-0.154133079,0.727290494,829.6270659648,2926.08,19,1129.75811553603,3108.96,21.51,154.004210526316,144.535564853556,-0.234649873153571
"4","LCOR-552",30.73333333,25.56666667,38.9,43.56666667,31,23.3,33.5,32.3666666671429,0.144117175,0.469624274,0.764909577,0.575717938,-0.214150668,0.633503321,-0.162700206,0.238693163,0.483020695,0.559525182,0.48055573,0.665287825,-0.276744383,0.41355734,957.556632,3048,20,3279.15406277166,4358.64,30.95,152.4,140.828432956381,0.0392234789519516
"5","LCOR-395",27.1,24.4,38.73333333,42.93333333,29.5,17.2,33.6,30.4952380942857,0.13625687,0.338833424,0.594434504,0.416384011,-0.380528433,0.469594788,-0.078940852,0.164673755,0.385908629,0.430118561,0.379316062,0.420656405,-0.140860758,0.279864234,608.49731599125,2529.84,17.5,2015.50766188245,3718.56,26.27,144.562285714286,141.551579748763,0.0140981270951515
"6","LCOR-228",27.8,30.46666667,41.66666667,49.33333333,28.9,24,29.5,33.0952380957143,0.124145079,0.387209749,0.668655777,0.476244688,-0.32013402,0.581952381,-0.144613314,0.254563618,0.448472548,0.516034889,0.440815401,0.714658976,-0.245362782,0.303037706,909.6788004,2895.6,20,2182.62729661679,3840.48,26.9,144.78,142.768773234201,0.116293187896858
"7","LCOR-362",36.13333333,24.1,39.9,26.0783126460437,23.4,0,21.4,27.1333333328571,0.142062706,0.407951101,0.694327376,0.507478205,-0.290628603,0.596418762,-0.120511394,0.250516637,0.485060035,0.543935394,0.483002599,0.688307953,-0.214112769,0.340471775,825.3060916629,2910.84,19,1833.06957238108,3779.52,24.85,153.202105263158,152.093360160966,0.0734588920605107
"8","LCOR-259",33.93333333,33.26666667,35.7,46.16666667,30.8,28.6,24.7,33.30952381,0.124670065,0.337450403,0.597174015,0.438319985,-0.372148704,0.4932893,-0.063470768,0.193810435,0.384179375,0.438793131,0.373962114,0.504071506,-0.108116417,0.363645247,1454.2292875605,3352.8,23.5,4437.34459617576,4480.56,35.51,142.672340425532,126.177414812729,0.187629978126954
"9","LCOR-258",32.96666667,31.6,33.7,45.46666667,30.1,19.6,23.5,30.9904761914286,0.166947587,0.405566281,0.684929319,0.539754198,-0.276476651,0.571646969,-0.047867806,0.224752382,0.47230945,0.523407783,0.469370357,0.615406374,-0.081189747,0.37968842,1178.50384774057,3246.12,21.5,4291.26691173977,4450.08,35.04,150.982325581395,127,0.137472095582906
"10","LCOR-188",27.46666667,25.56666667,41.66666667,44.1,26.0488584474886,26.0488584474886,25.7,30.9425309864253,0.178026425,0.423437595,0.713735686,0.565034178,-0.251920886,0.606108665,-0.071493957,0.247164726,0.527922418,0.570867485,0.530683147,0.664735423,-0.132312351,0.081998438,126.87625374,1615.44,10,143.839967948775,1661.16,10.5,161.544,158.205714285714,0.0723337921085648
"11","LCOR-294",22.96666667,24.8,43.86666667,44.4,27.5,27.5,26.2,31.0333333342857,0.166250213,0.376605212,0.653550487,0.527746071,-0.304369296,0.57133277,-0.047519041,0.252186985,0.489821579,0.533337448,0.488868131,0.69758315,-0.082996029,0.231734716,323.7498972792,2103.12,14,862.99044564827,2895.6,19.48,150.222857142857,148.64476386037,-0.0927314308717301
"12","LCOR-253",27.63333333,27.46666667,38.63333333,49.63333333,28.3,21.3,29,31.7095238085714,0.175367387,0.405786295,0.688744717,0.58561694,-0.25500876,0.593329758,-0.047039149,0.251908975,0.500797991,0.549762038,0.50127536,0.69523508,-0.084994191,0.24064759,652.48507377375,2712.72,17.5,2951.39383453144,4114.8,30.22,155.012571428571,136.161482461946,0.146218326821911
"13","LCOR-213",34.73333333,25.03333333,45.63333333,42.76666667,26,27.2,32.8,33.4523809514286,0.168789492,0.384432698,0.651598515,0.547067191,-0.289021325,0.559856619,-0.076235909,0.235251973,0.475825011,0.520389295,0.475844201,0.635757505,-0.135158131,0.417122489,820.985117361,2895.6,19,1919.28179767998,3931.92,24.93,152.4,157.718411552347,-0.015613388942914
"14","LCOR-087",29.86666667,31.33333333,39.36666667,45.26666667,30.3,22.4,25.2,31.9619047628571,0.093368789,0.304073533,0.540214937,0.409437013,-0.41025918,0.5259829,-0.11995269,0.275285196,0.391918063,0.457369176,0.381536078,0.787902035,-0.208730944,1.057066821,1424.6647265475,3429,23,4542.21692386155,4450.08,36.05,149.086956521739,123.441886269071,-0.230410913684787
"15","LCOR-308",34.3,30.03333333,40.26666667,44.4,17.7,28.8,25.3,31.5428571428571,0.126370456,0.433183264,0.72139544,0.558623267,-0.247705762,0.652310648,-0.160149611,0.310741967,0.507152537,0.581077117,0.507295577,0.922187347,-0.27071981,1.051719096,1613.2914135936,3566.16,24,2292.9816001124,3718.56,28.02,148.59,132.710920770878,-0.189096414666351
"16","LCOR-249",34.23333333,30.76666667,36.33333333,45.23333333,23.4,29.7,31.3,32.9952380942857,0.142980291,0.445872784,0.732278824,0.570827117,-0.233108814,0.647744252,-0.111968554,0.291418021,0.523855063,0.588154499,0.526730464,0.835977701,-0.196930115,0.475947456,820.985117361,2895.6,19,2978.80298344364,4114.8,30.36,152.4,135.533596837945,-0.0700762236613731
"17","LCOR-244",28,28.73333333,41.83333333,38.43333333,26.0488584474886,26.0488584474886,26.9751708428246,30.867555389686,0.155013622,0.469010049,0.759582195,0.639208733,-0.18224142,0.674854928,-0.109560774,0.308461128,0.551135408,0.615927514,0.558740413,0.917540936,-0.19348942,0.285211958,230.9626596384,2042.16,12,230.9626596384,2042.16,12,170.18,170.18,-0.207863794617537
"18","LCOR-607",33.8,32.06666667,52.06666667,40.33333333,24.4,21.8,21.2,32.2380952385714,0.134499639,0.518326161,0.810402892,0.680304594,-0.128284099,0.73315168,-0.198379339,0.347790341,0.555885759,0.64398974,0.563521984,1.104325672,-0.322411382,0.429600512,403.969204125,2286,15,827.045624948965,2895.6,19.07,152.4,151.840587309911,-0.264170487105628
