"","Event","mean_HD","var","n","se","tst","sd","upper_HD","lower_HD"
"1","1",141.625280150692,153.208202319566,31,2.22310595222646,2.03951344639641,12.3777300956018,146.159334633022,137.091225668363
"2","13-15B",143.082855846095,426.976154075415,19,4.7405093778901,2.09302405440831,20.6634013191298,153.004856004168,133.160855688023
"3","13-15E",135.720877641601,139.754041965743,32,2.08981190814615,2.0369333434601,11.8217613732363,139.977685198863,131.464070084338
"4","16-20",129.452717786724,251.661522486384,33,2.76154064645292,2.03451529744934,15.8638432445099,135.07111447646,123.834321096987
"5","1C",138.874681171897,157.334667712711,36,2.09055194541159,2.02809400098045,12.5433116724696,143.114517031124,134.634845312669
"6","2H",136.198707903095,138.747429812434,29,2.18732579454073,2.0452296421327,11.7791098904982,140.672291455091,131.725124351099
"7","4A",135.023312474145,84.8038241581561,19,2.11266636415188,2.09302405440831,9.20889918275556,139.445173993254,130.601450955035
"8","4B",134.597353272708,65.6165133993474,37,1.33169789406736,2.02619246302911,8.10040205170999,137.295629508699,131.899077036717
"9","5",142.326515341445,250.533334367623,29,2.93923127627536,2.0452296421327,15.8282448290271,148.337918272767,136.315112410123
"10","5A",138.638435092473,429.849262103604,34,3.55564696728856,2.03224450931772,20.7328064213122,145.864379118818,131.412491066129
"11","5C",137.86762552885,102.551638025745,33,1.76284582273083,2.03451529744934,10.1267782648651,141.454162322241,134.28108873546
"12","7",141.500041416278,241.807830039633,32,2.74890790837717,2.0369333434601,15.5501713829666,147.099383592953,135.900699239604
"13","8-9D",131.441619601264,182.512388715486,29,2.5086910222986,2.0452296421327,13.5097146052567,136.572468843022,126.310770359507
"14","CT3",134.438431326439,157.263793140673,34,2.15067563351799,2.03224450931772,12.5404861604594,138.80913007398,130.067732578899
