"","Event","mean_SPAD","var","n","NA","se","tst","sd","upper_SPAD","lower_SPAD"
"1","1",24.8857142857143,12.3528571428571,28,"LC-102",0.664208904929582,2.04840714179524,3.51466316207644,26.246284550216,23.5251440212125
"2","13-15B",28.2117647058824,13.7790441176471,17,"LC-102",0.900295510885406,2.10981557783332,3.71201348564994,30.1112221994018,26.3123072123629
"3","13-15E",25.925,16.7758068783069,28,"LC-102",0.774038732841924,2.04840714179524,4.09582798446259,27.5105464683795,24.3394535316205
"4","16-20",26.9586206896552,15.4128571428571,29,"Escape",0.729025261916427,2.0452296421327,3.92592118398436,28.4496447651902,25.4675966141201
"5","1C",25.05,11.2479144385027,34,"LC-102",0.575170420742529,2.03224450931772,3.35379105468762,26.218886929476,23.881113070524
"6","2H",28.3222222222222,21.0887179487179,27,"LC-102",0.883778042118209,2.05183051648029,4.59224541468745,30.1355849788356,26.5088594656089
"7","4A",24.2294117647059,5.82191176470588,17,"LC-102",0.585205432240573,2.10981557783332,2.41286380981312,25.4640873018797,22.994736227532
"8","4B",25.6942857142857,9.29534453781513,35,"LC-102",0.515345779558738,2.03010792825034,3.04882674775316,26.7404932671583,24.6480781614132
"9","5",26.2083333333333,20.2660869565217,24,"LC-102",0.918923440693006,2.06389856162803,4.50178708476109,28.1048981008259,24.3117685658408
"10","5A",25.878125,10.7824193548387,32,"LC-102",0.580474465277078,2.0369333434601,3.28365944562446,27.0605127933501,24.6957372066499
"11","5C",24.6875,12.9458064516129,32,"LC-102",0.636047523077406,2.0369333434601,3.59802813379953,25.9830864077816,23.3919135922184
"12","7",27.2034482758621,10.2223399014778,29,"LC-102",0.59371245511721,2.0452296421327,3.19723941885462,28.4177265879712,25.989169963753
"13","8-9D",26.3714285714286,22.3025396825397,28,"Escape",0.892479285124544,2.04840714179524,4.7225564774325,28.199589512982,24.5432676298751
"14","CT3",26.2833333333333,11.5471724137931,30,"Control",0.620407726520582,2.04227245630124,3.39811306665819,27.5503749448828,25.0162917217839
