ID,Event,Fold ,STDV 
LCOR-079 August,13-15E,0.996661444,0.021990511
LCOR-084 August,13-15E,0.030065745,0.000142706
LCOR-301 August,13-15E,0.914664468,0.017986383
LCOR-303 August,13-15E,3.156906714,0.017610843
LCOR-610 August,13-15E,3.132541949,0.097443224
LCOR-611 August,13-15E,2.335967588,0.091191266
LCOR-101 August,16-20,5.40784E-05,1.09025E-05
LCOR-102 August,16-20,0.000131368,6.25747E-06
LCOR-319 August,16-20,0.000341228,2.8269E-05
LCOR-505 August,16-20,1.36734E-05,2.33739E-06
LCOR-506 August,16-20,5.0253E-05,9.07759E-06
LCOR-507 August,16-20,0.000589282,1.25569E-05
LCOR-064 August,2H,1.097262586,0.001469716
LCOR-069 August,2H,1.829280753,0.008871132
LCOR-449 August,2H,2.011409364,0.061020394
LCOR-450 August,2H,1.719457843,0.023648732
LCOR-460 August,2H,1.726312763,0.030358019
LCOR-461 August,2H,1.506358296,0.017464708
LCOR-001 August,4A,1.508805569,0.05387686
LCOR-003 August,4A,0.809541205,0.013545402
LCOR-227 August,4A,0.532128786,0.005839021
LCOR-230 August,4A,0.374749231,0.005333225
LCOR-234 August,4A,0.645672106,0.012909785
LCOR-544 August,4A,0.614401213,0.008908137
LCOR-162 August,5A,1.720964409,0.001167042
LCOR-163 August,5A,2.822861186,0.033855167
LCOR-242 August,5A,1.090651096,0.058255161
LCOR-582 August,5A,1.922899571,0.071725852
LCOR-585 August,5A,1.177945386,0.01195747
LCOR-586 August,5A,1.342990414,0.065261138
LCOR-033 August,5C,1.638187022,0.026041657
LCOR-042 August,5C,1.554375347,0.033142625
LCOR-275 August,5C,1.382230594,0.0278728
LCOR-279 August,5C,1.590181783,0.012459255
LCOR-568 August,5C,2.086430248,0.072747315
LCOR-572 August,5C,1.87767743,0.100490593
LCOR-092 August,8-9D,7.14696E-05,9.46469E-06
LCOR-095 August,8-9D,0.000104235,2.13204E-06
LCOR-098 August,8-9D,2.0408E-05,3.7798E-06
LCOR-290 August,8-9D,1.61192E-05,4.52496E-06
LCOR-292 August,8-9D,0.000165771,1.20371E-05
LCOR-417 August,8-9D,0.000480279,2.44921E-06
LCOR-207 August,CT3,1.04897E-05,1.28071E-06
LCOR-347 August,CT3,8.79354E-05,3.98978E-07
LCOR-494 August,CT3,0.003376014,6.35032E-05
LCOR-495 August,CT3,0.000125097,1.66131E-05
LCOR-501 August,CT3,0.001066469,1.03097E-05
LCOR-502 August,CT3,0.00021944,1.31085E-05
