ID,Event,Fold ,STDV 
LCOR-079 August,13-15E,0.690617504,0.011251129
LCOR-084 August,13-15E,0.050027496,8.21466E-05
LCOR-301 August,13-15E,1.003673997,0.005051306
LCOR-303 August,13-15E,1.994785662,0.032737552
LCOR-610 August,13-15E,2.653458016,0.040427707
LCOR-611 August,13-15E,2.127538391,0.00365023
LCOR-101 August,16-20,3.69591E-05,7.4394E-08
LCOR-102 August,16-20,0.000223488,5.89135E-05
LCOR-319 August,16-20,0.000441954,0.000188991
LCOR-505 August,16-20,2.67898E-05,2.04817E-05
LCOR-506 August,16-20,5.27344E-05,1.27974E-05
LCOR-507 August,16-20,0.000452548,4.94094E-05
LCOR-064 August,2H,0.424804989,0.001418673
LCOR-069 August,2H,1.77848538,0.006882443
LCOR-449 August,2H,1.346587827,0.026152031
LCOR-450 August,2H,0.902526308,0.004473764
LCOR-460 August,2H,2.002605719,0.050311101
LCOR-461 August,2H,3.478706833,0.009954292
LCOR-001 August,4A,2.157983865,0.014531375
LCOR-003 August,4A,1.091461493,0.006753457
LCOR-227 August,4A,1.136844333,0.007080807
LCOR-230 August,4A,0.911457554,0.031031506
LCOR-234 August,4A,1.348532045,0.000429032
LCOR-544 August,4A,0.931231524,0.01828165
LCOR-162 August,5A,1.611218057,0.045104139
LCOR-163 August,5A,1.879945821,0.0167146
LCOR-242 August,5A,2.013904938,0.049912699
LCOR-582 August,5A,2.21715515,0.064188872
LCOR-585 August,5A,0.713228647,0.008549126
LCOR-586 August,5A,1.808921654,0.075937239
LCOR-033 August,5C,1.430163366,3.93381E-05
LCOR-042 August,5C,1.907344332,0.008791643
LCOR-275 August,5C,1.054641325,0.029790405
LCOR-279 August,5C,1.625767825,0.013259914
LCOR-568 August,5C,0.834895937,0.016810723
LCOR-572 August,5C,1.661885464,0.004779004
LCOR-092 August,8-9D,#VALUE!,#VALUE!
LCOR-095 August,8-9D,0.000149003,5.2905E-05
LCOR-098 August,8-9D,#VALUE!,#VALUE!
LCOR-290 August,8-9D,#VALUE!,#VALUE!
LCOR-292 August,8-9D,0.000121413,2.07907E-05
LCOR-417 August,8-9D,0.000872975,0.000125124
LCOR-207 August,CT3,3.60252E-05,2.58216E-05
LCOR-347 August,CT3,6.84076E-05,7.35408E-06
LCOR-494 August,CT3,0.003255284,8.89225E-05
LCOR-495 August,CT3,0.000116274,1.64661E-05
LCOR-501 August,CT3,0.001532827,0.00018016
LCOR-502 August,CT3,0.000255843,2.27653E-05
