ID,Event,Fold,STDV
LCOR-079 August,13-15E,0.09396925,0.000523214
LCOR-084 August,13-15E,0.144864522,7.30472E-05
LCOR-301 August,13-15E,0.156862916,0.000231788
LCOR-303 August,13-15E,0.222945975,0.00383154
LCOR-610 August,13-15E,0.388307289,0.001065699
LCOR-611 August,13-15E,0.32338826,0.005040321
LCOR-101 August,16-20,0.569008104,0.00912555
LCOR-102 August,16-20,1.419895595,0.005723212
LCOR-319 August,16-20,0.728164784,0.008471851
LCOR-505 August,16-20,1.76870422,0.073710264
LCOR-506 August,16-20,0.696472613,0.009684915
LCOR-507 August,16-20,0.560820697,0.00324315
LCOR-064 August,2H,0.18101521,1.04247E-05
LCOR-069 August,2H,0.344869619,0.002873984
LCOR-449 August,2H,0.197414526,0.002375876
LCOR-450 August,2H,0.145293717,0.000437105
LCOR-460 August,2H,0.331272326,0.000968115
LCOR-461 August,2H,0.504254483,0.002850895
LCOR-001 August,4A,1.183597183,0.003921816
LCOR-003 August,4A,0.900716305,0.010570461
LCOR-227 August,4A,0.700053338,0.020125124
LCOR-230 August,4A,0.583128888,0.012351176
LCOR-234 August,4A,1.256229677,0.011833486
LCOR-544 August,4A,0.4567054,0.009691587
LCOR-162 August,5A,1.031413316,0.022068287
LCOR-163 August,5A,1.662831146,0.011064351
LCOR-242 August,5A,0.995098053,0.040802552
LCOR-582 August,5A,1.689231168,0.048254449
LCOR-585 August,5A,0.508875981,0.003745036
LCOR-586 August,5A,0.893108521,0.011256711
LCOR-033 August,5C,0.773902566,0.000399586
LCOR-042 August,5C,1.237427837,0.017862169
LCOR-275 August,5C,0.791826964,0.01740183
LCOR-279 August,5C,1.776753487,0.020389183
LCOR-568 August,5C,0.365393169,0.00562014
LCOR-572 August,5C,0.669619904,0.017107792
LCOR-092 August,8-9D,1.830665094,0.001249114
LCOR-095 August,8-9D,0.428118763,0.002861828
LCOR-098 August,8-9D,1.020749062,0.032224344
LCOR-290 August,8-9D,1.875467192,0.001995978
LCOR-292 August,8-9D,1.055611298,0.014504733
LCOR-417 August,8-9D,1.134469452,0.012160012
LCOR-207 August,CT3,0.648605775,0.007281877
LCOR-347 August,CT3,1.360380255,0.038126661
LCOR-494 August,CT3,0.570377471,0.003504513
LCOR-495 August,CT3,0.468093922,0.019041167
LCOR-501 August,CT3,0.929217111,0.009046057
LCOR-502 August,CT3,0.53223816,0.009749294
