ID,Event,Fold ,STDV 
LCOR-084 July,13-15E,1.053712462,0.009611654
LCOR-301 July,13-15E,0.657675201,0.002025643
LCOR-306 July,13-15E,0.560632292,0.016059083
LCOR-611 July,13-15E,0.988188308,0.030124316
LCOR-613 July,13-15E,1.357225919,0.005056181
LCOR-616 July,13-15E,1.92046192,0.060464523
LCOR-102 July,16-20,8.95509E-05,5.52562E-06
LCOR-106 July,16-20,0.002398255,0.000102095
LCOR-310 July,16-20,0.001814249,3.26976E-05
LCOR-505 July,16-20,0.00022931,2.60118E-05
LCOR-507 July,16-20,0.003762042,3.35882E-05
LCOR-518 July,16-20,0.000440988,1.59753E-05
LCOR-068 July,2H,0.693376745,0.007442596
LCOR-069 July,2H,0.344311775,0.005487472
LCOR-217 July,2H,0.532556499,0.010409605
LCOR-449 July,2H,1.047976668,0.003925699
LCOR-450 July,2H,1.64574974,0.016408482
LCOR-457 July,2H,0.838873327,0.019463334
LCOR-012 July,4A,0.684800981,0.027182025
LCOR-227 July,4A,0.371777482,0.001208386
LCOR-230 July,4A,0.424580922,0.004736751
LCOR-234 July,4A,0.548103233,0.016978868
LCOR-534 July,4A,0.402470628,0.005750566
LCOR-544 July,4A,0.5613066,0.056065447
LCOR-157 July,5A,0.7188976,0.005328587
LCOR-162 July,5A,0.494658395,0.005349654
LCOR-163 July,5A,0.814301283,0.005751035
LCOR-241 July,5A,0.555249193,0.003880913
LCOR-242 July,5A,0.505590651,0.005941513
LCOR-251 July,5A,1.044113245,0.02735776
LCOR-033 July,5C,0.990650997,0.011535279
LCOR-274 July,5C,0.680182991,0.002189933
LCOR-275 July,5C,0.645134769,0.011310629
LCOR-562 July,5C,1.037673492,0.000954158
LCOR-563 July,5C,0.591528615,0.013544921
LCOR-572 July,5C,0.926292548,0.013770636
LCOR-092 July,8-9D,0.001027625,2.39085E-05
LCOR-098 July,8-9D,0.000355392,2.70095E-05
LCOR-288 July,8-9D,1.35638E-05,1.11125E-06
LCOR-289 July,8-9D,0.001461319,4.28139E-05
LCOR-290 July,8-9D,0.000175784,1.65314E-05
LCOR-293 July,8-9D,0.004875352,0.000547763
LCOR-204 July,CT3,0.000248794,1.23673E-06
LCOR-207 July,CT3,2.95508E-05,1.9479E-06
LCOR-341 July,CT3,6.8303E-05,1.76054E-05
LCOR-344 July,CT3,6.13124E-06,3.62013E-07
LCOR-495 July,CT3,0.000433467,2.46822E-05
LCOR-501 July,CT3,2.1755E-05,1.37638E-05
