ID,Event,Fold ,STDV 
LCOR-084 July,13-15E,1.382848919,0.019374511
LCOR-301 July,13-15E,0.315210493,0.002242562
LCOR-306 July,13-15E,0.801869821,0.025166371
LCOR-611 July,13-15E,0.914393431,0.016879932
LCOR-613 July,13-15E,1.809818874,0.023503588
LCOR-616 July,13-15E,1.729598924,0.010219617
LCOR-102 July,16-20,9.55149E-05,4.85973E-05
LCOR-106 July,16-20,0.002231038,9.16248E-05
LCOR-310 July,16-20,0.001693963,0.000116594
LCOR-505 July,16-20,0.000168393,5.81524E-05
LCOR-507 July,16-20,0.005283439,0.000340253
LCOR-518 July,16-20,0.000566192,9.39182E-05
LCOR-068 July,2H,0.874954183,0.020322938
LCOR-069 July,2H,0.430604126,0.009504247
LCOR-217 July,2H,1.050096984,0.035438294
LCOR-449 July,2H,0.676198126,0.001298825
LCOR-450 July,2H,1.790174107,0.014678231
LCOR-457 July,2H,1.029034937,0.003362441
LCOR-012 July,4A,0.865643796,0.016283469
LCOR-227 July,4A,0.822148597,0.004962518
LCOR-230 July,4A,0.761784903,0.007215436
LCOR-234 July,4A,0.982060959,0.00684189
LCOR-534 July,4A,0.958554528,0.026198129
LCOR-544 July,4A,0.973328256,0.038812808
LCOR-157 July,5A,1.105008709,0.013693748
LCOR-162 July,5A,0.912696709,0.012545228
LCOR-163 July,5A,0.652398872,0.005225552
LCOR-241 July,5A,0.748697783,0.016453035
LCOR-242 July,5A,0.801986838,0.023363554
LCOR-251 July,5A,1.204461219,0.018567328
LCOR-033 July,5C,0.95009471,0.011342017
LCOR-274 July,5C,0.509672185,0.00282162
LCOR-275 July,5C,0.709745315,0.008764062
LCOR-562 July,5C,1.386693495,0.017355783
LCOR-563 July,5C,0.757246497,0.023022636
LCOR-572 July,5C,1.137844798,0.009710646
LCOR-092 July,8-9D,0.001130135,0.000133368
LCOR-098 July,8-9D,0.000489733,1.21826E-07
LCOR-288 July,8-9D,5.17683E-05,2.91034E-05
LCOR-289 July,8-9D,0.00335137,0.00023497
LCOR-290 July,8-9D,0.000172443,5.02803E-06
LCOR-293 July,8-9D,0.005643328,0.000607936
LCOR-204 July,CT3,9.88068E-05,1.15654E-05
LCOR-207 July,CT3,2.70519E-05,2.36465E-05
LCOR-341 July,CT3,2.98177E-05,1.69123E-05
LCOR-344 July,CT3,#VALUE!,#VALUE!
LCOR-495 July,CT3,0.000403101,5.38458E-06
LCOR-501 July,CT3,1.50959E-05,8.27921E-06
