ID,Event,Fold ,STDV 
LCOR-084 July,13-15E,0.095883097,0.000188549
LCOR-301 July,13-15E,0.186756836,0.002133844
LCOR-306 July,13-15E,0.174233206,0.002891295
LCOR-611 July,13-15E,0.147042681,0.003874094
LCOR-613 July,13-15E,0.177068387,0.001518531
LCOR-616 July,13-15E,0.136891382,0.002703774
LCOR-102 July,16-20,1.138052804,0.001701117
LCOR-106 July,16-20,1.04890046,0.005473423
LCOR-310 July,16-20,1.216046832,0.010284398
LCOR-505 July,16-20,1.437650859,0.001726065
LCOR-507 July,16-20,0.989804798,0.009955408
LCOR-518 July,16-20,1.527641939,0.021645534
LCOR-068 July,2H,0.277671071,0.003202457
LCOR-069 July,2H,0.181273641,0.000133904
LCOR-217 July,2H,0.158970434,0.002663566
LCOR-449 July,2H,0.301942367,0.000354362
LCOR-450 July,2H,0.18658676,0.000514939
LCOR-457 July,2H,0.214302071,0.001790097
LCOR-012 July,4A,1.192008624,0.030376099
LCOR-227 July,4A,0.788704736,0.012248262
LCOR-230 July,4A,1.04342944,0.006861556
LCOR-234 July,4A,0.890781037,0.011483052
LCOR-534 July,4A,0.960028649,0.005800465
LCOR-544 July,4A,0.636538022,0.018764256
LCOR-157 July,5A,1.22846328,0.035674544
LCOR-162 July,5A,1.038037193,0.002896589
LCOR-163 July,5A,1.209345238,0.007258835
LCOR-241 July,5A,1.135888286,0.002485115
LCOR-242 July,5A,1.130150306,0.033469333
LCOR-251 July,5A,1.494913454,0.016271368
LCOR-033 July,5C,1.301542446,0.003184404
LCOR-274 July,5C,0.860095351,0.002915985
LCOR-275 July,5C,1.207734309,0.006352028
LCOR-562 July,5C,1.015860347,0.00166752
LCOR-563 July,5C,0.732867582,0.021140697
LCOR-572 July,5C,1.171504465,0.026448585
LCOR-092 July,8-9D,1.404149054,0.017868182
LCOR-098 July,8-9D,0.935763752,0.014981839
LCOR-288 July,8-9D,1.165950104,0.014567942
LCOR-289 July,8-9D,1.380334847,0.037033936
LCOR-290 July,8-9D,1.442887185,0.010533389
LCOR-293 July,8-9D,1.150728901,0.144473155
LCOR-204 July,CT3,1.022800792,0.011868346
LCOR-207 July,CT3,1.019347513,0.003801917
LCOR-341 July,CT3,0.639609447,0.009512113
LCOR-344 July,CT3,0.959954987,0.005076258
LCOR-495 July,CT3,1.131929891,0.018930576
LCOR-501 July,CT3,1.380572543,0.038458818
