SYS,SYS,SYS,SYS,SYS,USERDEF,USERDEF,USERDEF,USERDEF,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,MATCH,MATCH,MATCH,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,META,META,META,META,META,META,META
Obs#,Time,Date,configName,configAuthor,remark,Observation,,ID,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,flashID,Fo,Fm,Fv/Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,rh_s,rh_r,Tref,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,pitch,roll,heading,angle_inc_leaf,direct_pct,slope_leaf,az_leaf,dec_solar,az_solar,zenith_solar,gps_time,gps_date,latitude,longitude,altitude,gps_sats,gps_HDOP,match_time,match_date,rh_adj,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
,HHMMSS,YYYYMMDD,,,,,,,mol+1m-2s-1,mol+1m-2s-1,mol+1m-2s-1,mmol+1m-2s-1,kPa,kPa,kPa,kPa,mmol+1mol-1,mmol+1mol-1,mmol+1mol-1,cm+2,,,,,,,,,,umol+1m-2s-1,%,%,C,C,kPa,umol+1sec-1,umol+1sec-1,%,umol+1m-2s-1,V,,,,,,,,,,,,,,,,,,HHMMSS,YYYYMMDD,%,,,,,,,,umol+1sec-1,(umol+1m-2s-1)s-1,s,,,umol+1m-2s-1,Hz,s-1,s,ms,ms,ms,,%,,,,,V,V,V,V,V,V,V,V,V,A,,,,,,,,,,,,,,,,,
1,12:39:10,7/12/23,Auto gsw+F,LI-COR Default,,1,,LCOR-308,0.014663,2.918731,0.014589,0.213744,1.385262,1.379229,2.837906,1.452644,13.620064,13.67964,28.024687,0.441786,PSF-00508_20230712123910,0,0,0,62.578083,106.524368,0.412547,0.5,0.8,39.449043,45.58,45.38,24.25,23.11,101.26,156.3,156,0.2,239,3.601,53,-114,239,,,,,,,,17:27:44,7/12/23,44.58894,-123.199348,81.400002,13,0.73,12:31:30,7/12/23,-0.25,0,-0.001,-9999,0.254,0.417,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,102.98967,25,-2.428404,102.547646,103.055077,-0.507431,2.473915,2.490271,1.653966,0.93497,0.281065,-0.013568,0.143972,0.313148,62.578083,0.000419,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230712123910,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-04-21T19:36:20.491Z
2,12:49:18,7/12/23,Auto gsw+F,LI-COR Default,,2,,,-0.0103,2.91995,-0.010336,-0.199346,1.439976,1.445594,3.346732,1.906756,14.275883,14.220404,33.050468,0.441786,PSF-00508_20230712124918,0,0,0,88.485718,132.269882,0.331021,0.5,0.8,187.792084,46.86,47.04,24.43,25.86,101.26,156.5,156.2,0.2,1418,3.6,15,18,250,,,,,,,,17:37:49,7/12/23,44.588882,-123.19928,82.5,12,0.91,12:49:10,7/12/23,-2.65,0.002,0.003,-9999,-0.534,-0.614,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,125.225899,25,-5.0229,124.436974,125.094017,-0.657043,2.476196,2.495459,1.655218,0.935342,0.279003,0.016665,0.21788,1.328056,88.485718,0.000414,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230712124918,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-04-21T19:36:20.491Z
3,12:51:32,7/12/23,Auto gsw+F,LI-COR Default,,3,,,-0.097142,2.920586,-0.100484,-2.686789,1.374071,1.449792,4.009377,2.635306,14.318933,13.57107,39.598782,0.441786,PSF-00508_20230712125132,0,0,0,63.964249,73.247528,0.126738,0.5,0.8,101.769272,44.1,46.53,24.66,28.95,101.25,156.6,156,0.4,2007,3.6,48,17,289,,,,,,,,17:40:06,7/12/23,44.588879,-123.19928,82.400002,13,0.73,12:49:10,7/12/23,-2.65,0.002,-0.002,-9999,4.41,1.762,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,71.138618,25,-1.557793,70.655464,71.022018,-0.366554,2.475428,2.491493,1.655873,0.934824,0.276436,0.051467,0.232787,1.835148,63.964249,0.000419,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230712125132,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-04-21T19:36:20.491Z
4,12:51:49,7/12/23,Auto gsw+F,LI-COR Default,,4,,,-0.095157,2.920637,-0.098362,-2.67335,1.344038,1.419398,4.022882,2.678844,14.019095,13.274779,39.733154,0.441786,PSF-00508_20230712125149,0,0,0,57.488323,10.897636,-4.275302,0.5,0.8,-3416.533203,43.03,45.44,24.7,29,101.25,156.6,155.3,0.8,1998,3.599,42,10,272,,,,,,,,17:40:23,7/12/23,44.588879,-123.19928,82.5,14,0.7,12:49:10,7/12/23,-2.65,0,0.001,-9999,-0.064,-0.101,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,10.897636,25,0.854128,0.658393,12.117869,-11.459476,2.4739,2.48996,1.655926,0.933231,0.275986,0.0517,0.234472,1.826856,57.488323,0.000413,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230712125149,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-04-21T19:36:20.491Z
1,12:52:19,7/12/23,Auto gsw+F,LI-COR Default,,1,,,0.003934,2.919,0.003928,0.113775,1.432857,1.429648,4.282537,2.84968,14.119775,14.151465,42.296032,0.441786,PSF-00508_20230712125219,0,0,0,61.064957,67.867203,0.100229,0.5,0.8,79.170197,45.65,45.54,24.78,30.09,101.25,156.4,156.2,0.1,1975,3.598,54,-16,242,,,,,,,,0:00:00,0000-00-00,nan,nan,nan,0,nan,12:52:10,7/12/23,-0.08,0,-0.001,-9999,0.007,0.111,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,66.991211,25,-0.637445,66.893936,66.956528,-0.062592,2.474027,2.490008,1.654241,0.935383,0.275082,0.064279,0.362093,1.80698,61.064957,0.000411,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230712125219,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-04-21T19:36:20.491Z
2,12:52:53,7/12/23,Auto gsw+F,LI-COR Default,,2,,,0.005599,2.919237,0.005589,0.097857,1.421949,1.41919,3.154835,1.732886,14.015753,14.043007,31.156792,0.441786,PSF-00508_20230712125253,0,0,0,40.005684,36.318542,-0.101522,0.5,0.8,-74.742615,45.12,45.03,24.85,24.87,101.26,156.4,156,0.3,1841,3.599,6,8,344,,,,,,,,0:00:00,0000-00-00,44.588852,-123.199287,73,4,1.76,12:52:10,7/12/23,-0.08,0.001,0.002,-9999,-6.898,-3.336,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,36.318542,25,-4.451733,17.101406,29.958664,-12.857258,2.473291,2.489237,1.654485,0.934782,0.274343,-0.000128,0.363775,1.691487,40.005684,0.000439,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230712125253,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-04-21T19:36:20.491Z
3,12:53:07,7/12/23,Auto gsw+F,LI-COR Default,,3,,LCOR-068,0.006675,2.921684,0.00666,0.159327,1.418634,1.41415,3.778665,2.36003,13.966672,14.010962,37.3195,0.441786,PSF-00508_20230712125307,0,0,0,67.289825,73.306343,0.082074,0.5,0.8,67.056816,45,44.85,24.86,27.93,101.25,156.7,156,0.4,2043,3.598,31,4,309,,,,,,,,17:41:42,7/12/23,44.588974,-123.199181,61.799999,5,1.56,12:52:10,7/12/23,-0.08,0,0.001,-9999,-0.293,0.517,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,72.623489,25,-0.535691,72.474358,72.541039,-0.066681,2.473043,2.489062,1.657007,0.934893,0.274279,0.036546,0.364602,1.86537,67.289825,0.000417,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230712125307,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-04-21T19:36:20.491Z
4,12:57:35,7/12/23,Auto gsw+F,LI-COR Default,,4,,,0.088181,2.918359,0.085595,1.256685,1.510403,1.47498,2.963795,1.453392,14.570613,14.920545,29.277905,0.441786,PSF-00508_20230712125735,0,0,0,97.703934,310.161499,0.68499,0.5,0.8,44.066914,45.96,44.88,25.55,23.83,101.23,156.3,155.7,0.4,161,3.597,44,-38,38,,,,,,,,17:46:09,7/12/23,44.588951,-123.199249,64.199997,6,1.24,12:52:10,7/12/23,-0.08,0.001,0,-9999,-0.099,0.685,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,299.406067,25,-7.373734,299.546967,299.627167,-0.0802,2.472931,2.490284,1.653584,0.934136,0.266769,-0.020668,0.386106,0.245821,97.703934,0.000429,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230712125735,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-04-21T19:36:20.491Z
