flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00508_20230711131019,13:10:19,2023-07-11,PFA-00566,PSA-00583,PSF-00508,0.000000,0.000000,0.000000,148.380081,77.308777,0.478981,273.248047

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,109.281776,6999.712891,1
0.010000,126.283051,6999.712891,1
0.020000,133.023254,6999.712891,1
0.030000,136.277679,6999.712891,1
0.040000,137.803680,6999.712891,1
0.050000,138.562195,6999.712891,1
0.060000,138.994934,6999.712891,1
0.070000,139.239197,6999.712891,1
0.080000,139.390106,6999.712891,1
0.090000,139.490601,6999.712891,1
0.100000,139.569641,6999.712891,1
0.110000,139.629715,6999.712891,1
0.120000,139.688019,6999.712891,1
0.130000,139.737732,6999.712891,1
0.140000,139.791733,6999.712891,1
0.150000,139.817474,6999.712891,1
0.160000,139.856812,6999.712891,1
0.170000,139.872910,6999.712891,1
0.180000,139.903305,6999.712891,1
0.190000,139.931198,6999.712891,1
0.200000,139.944794,6999.712891,1
0.210000,139.965179,6999.712891,1
0.220000,139.980560,6999.712891,1
0.230000,140.001648,6999.712891,1
0.240000,140.024185,6999.712891,1
0.250000,140.020248,6999.712891,1
0.260000,140.041000,6999.712891,1
0.270000,140.061371,6999.712891,1
0.280000,140.067108,6999.712891,1
0.290000,140.088562,6999.712891,1
0.300000,140.083191,6941.392578,2
0.310000,139.998444,6883.072754,2
0.320000,139.952301,6824.752441,2
0.330000,139.842865,6766.432617,2
0.340000,139.812820,6708.112305,2
0.350000,139.698029,6649.791992,2
0.360000,139.681931,6591.472168,2
0.370000,139.561768,6533.151855,2
0.380000,139.417999,6474.832031,2
0.390000,139.394043,6416.511719,2
0.400000,139.276749,6358.191406,2
0.410000,139.245270,6299.871582,2
0.420000,139.144058,6241.551270,2
0.430000,139.121536,6183.231445,2
0.440000,139.008881,6124.911133,2
0.450000,138.879425,6066.590820,2
0.460000,138.856171,6008.270996,2
0.470000,138.749954,5949.950684,2
0.480000,138.616211,5891.630371,2
0.490000,138.585449,5833.310547,2
0.500000,138.481384,5774.990234,2
0.510000,138.334030,5716.670410,2
0.520000,138.280396,5658.350098,2
0.530000,138.156647,5600.029785,2
0.540000,138.007874,5541.709961,2
0.550000,137.837646,5483.389648,2
0.560000,137.691025,5425.069824,2
0.570000,137.638092,5366.749512,2
0.580000,137.506134,5308.429199,2
0.590000,137.355560,5250.109375,2
0.600000,139.617569,6999.712891,3
0.610000,140.039566,6999.712891,3
0.620000,140.148636,6999.712891,3
0.630000,140.181900,6999.712891,3
0.640000,140.171173,6999.712891,3
0.650000,140.174744,6999.712891,3
0.660000,140.160080,6999.712891,3
0.670000,140.156509,6999.712891,3
0.680000,140.136124,6999.712891,3
0.690000,140.113953,6999.712891,3
0.700000,140.097855,6999.712891,3
0.710000,140.091064,6999.712891,3
0.720000,140.071030,6999.712891,3
0.730000,140.065308,6999.712891,3
0.740000,140.044220,6999.712891,3
0.750000,140.031693,6999.712891,3
0.760000,140.001297,6999.712891,3
0.770000,139.987350,6999.712891,3
0.780000,139.975189,6999.712891,3
0.790000,139.942291,6999.712891,3
0.800000,139.930847,6999.712891,3
0.810000,139.915817,6999.712891,3
0.820000,139.898651,6999.712891,3
0.830000,139.881851,6999.712891,3
0.839999,139.865402,6999.712891,3
0.849999,139.838226,6999.712891,3
0.859999,139.831787,6999.712891,3
0.869999,139.802811,6999.712891,3
0.879999,139.774200,6999.712891,3
0.889999,139.749527,6999.712891,3
