flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00508_20230712125149,12:51:49,2023-07-12,PFA-00566,PSA-00583,PSF-00508,0.000000,0.000000,0.000000,10.897636,57.488323,-4.275302,2004.524536

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,10.897636,6999.712891,1
0.010000,8.086324,6999.712891,1
0.020000,5.445242,6999.712891,1
0.030000,3.535509,6999.712891,1
0.040000,2.283454,6999.712891,1
0.050000,1.612544,6999.712891,1
0.060000,1.318216,6999.712891,1
0.070000,1.213431,6999.712891,1
0.080000,1.175523,6999.712891,1
0.090000,1.187682,6999.712891,1
0.100000,1.179457,6999.712891,1
0.110000,1.189113,6999.712891,1
0.120000,1.200914,6999.712891,1
0.130000,1.228094,6999.712891,1
0.140000,1.261711,6999.712891,1
0.150000,1.324296,6999.712891,1
0.160000,1.374006,6999.712891,1
0.170000,1.390100,6999.712891,1
0.180000,1.426220,6999.712891,1
0.190000,1.411200,6999.712891,1
0.200000,1.349688,6999.712891,1
0.210000,1.272440,6999.712891,1
0.220000,1.216650,6999.712891,1
0.230000,1.224160,6999.712891,1
0.240000,1.253843,6999.712891,1
0.250000,1.182318,6999.712891,1
0.260000,1.031399,6999.712891,1
0.270000,0.914454,6999.712891,1
0.280000,0.735641,6999.712891,1
0.290000,0.519991,6999.712891,1
0.300000,0.423074,6941.392578,2
0.310000,0.367641,6883.072754,2
0.320000,0.359774,6824.752441,2
0.330000,0.342250,6766.432617,2
0.340000,0.335455,6708.112305,2
0.350000,0.342965,6649.791992,2
0.360000,0.332236,6591.472168,2
0.370000,0.341177,6533.151855,2
0.380000,0.342965,6474.832031,2
0.390000,0.327587,6416.511719,2
0.400000,0.332952,6358.191406,2
0.410000,0.336528,6299.871582,2
0.420000,0.311852,6241.551270,2
0.430000,0.333667,6183.231445,2
0.440000,0.375867,6124.911133,2
0.450000,0.526071,6066.590820,2
0.460000,0.640154,6008.270996,2
0.470000,0.627637,5949.950684,2
0.480000,0.633001,5891.630371,2
0.490000,0.621557,5833.310547,2
0.500000,0.638366,5774.990234,2
0.510000,0.625134,5716.670410,2
0.520000,0.625849,5658.350098,2
0.530000,0.619769,5600.029785,2
0.540000,0.619411,5541.709961,2
0.550000,0.633001,5483.389648,2
0.560000,0.627637,5425.069824,2
0.570000,0.615835,5366.749512,2
0.580000,0.637650,5308.429199,2
0.590000,0.621557,5250.109375,2
0.600000,0.646234,6999.712891,3
0.610000,0.645161,6999.712891,3
0.620000,0.650167,6999.712891,3
0.630000,0.649095,6999.712891,3
0.640000,0.650167,6999.712891,3
0.650000,0.646949,6999.712891,3
0.660000,0.648379,6999.712891,3
0.670000,0.650167,6999.712891,3
0.680000,0.647306,6999.712891,3
0.690000,0.648737,6999.712891,3
0.700000,0.656247,6999.712891,3
0.710000,0.652313,6999.712891,3
0.720000,0.650883,6999.712891,3
0.730000,0.652671,6999.712891,3
0.740000,0.642300,6999.712891,3
0.750000,0.658035,6999.712891,3
0.760000,0.658393,6999.712891,3
0.770000,0.646234,6999.712891,3
0.780000,0.652671,6999.712891,3
0.790000,0.653028,6999.712891,3
0.800000,0.655890,6999.712891,3
0.810000,0.643730,6999.712891,3
0.820000,0.648379,6999.712891,3
0.830000,0.651240,6999.712891,3
0.839999,0.645518,6999.712891,3
0.849999,0.653744,6999.712891,3
0.859999,0.653028,6999.712891,3
0.869999,0.646234,6999.712891,3
0.879999,0.654817,6999.712891,3
0.889999,0.647306,6999.712891,3
