"","ID","Event","sample_date","gene","expression_level","Class"
"1","LCOR-202","CT3","09-12-2021","PLGG1",1.3,"WT"
"2","LCOR-200","CT3","09-12-2021","PLGG1",1.49,"WT"
"3","LCOR-340","CT3","09-12-2021","PLGG1",0.87,"WT"
"4","LCOR-493","CT3","09-12-2021","PLGG1",0.71,"WT"
"5","LCOR-338","CT3","09-12-2021","PLGG1",0.98,"WT"
"7","LCOR-303","13-15E","09-12-2021","PLGG1",0.13,"high"
"8","LCOR-614","13-15E","09-12-2021","PLGG1",0.19,"high"
"9","LCOR-075","13-15E","09-12-2021","PLGG1",0.26,"high"
"10","LCOR-107","16-20","09-12-2021","PLGG1",0.68,"Control"
"11","LCOR-106","16-20","09-12-2021","PLGG1",1.05,"Control"
"12","LCOR-310","16-20","09-12-2021","PLGG1",0.13,"Control"
"13","LCOR-105","16-20","09-12-2021","PLGG1",1.1,"Control"
"14","LCOR-101","16-20","09-12-2021","PLGG1",0.11,"Control"
"19","LCOR-066","2H","09-12-2021","PLGG1",0.27,"high"
"20","LCOR-057","2H","09-12-2021","PLGG1",0.19,"high"
"21","LCOR-458","2H","09-12-2021","PLGG1",0.19,"high"
"22","LCOR-211","2H","09-12-2021","PLGG1",0.17,"high"
"23","LCOR-065","2H","09-12-2021","PLGG1",0.12,"high"
"24","LCOR-213","2H","09-12-2021","PLGG1",0.19,"high"
"25","LCOR-058","2H","09-12-2021","PLGG1",0.15,"high"
"26","LCOR-533","4A","09-12-2021","PLGG1",0.53,"intermediate"
"27","LCOR-230","4A","09-12-2021","PLGG1",0.69,"intermediate"
"28","LCOR-546","4A","09-12-2021","PLGG1",0.68,"intermediate"
"29","LCOR-582","5A","09-12-2021","PLGG1",0.38,"intermediate"
"30","LCOR-245","5A","09-12-2021","PLGG1",0.76,"intermediate"
"31","LCOR-241","5A","09-12-2021","PLGG1",0.65,"intermediate"
"32","LCOR-161","5A","09-12-2021","PLGG1",0.68,"intermediate"
"33","LCOR-411","8-9D","09-12-2021","PLGG1",1.1,"Control"
"34","LCOR-085","8-9D","09-12-2021","PLGG1",0.64,"Control"
"35","LCOR-502","CT3","09-12-2021","PLGG1",1.01,"WT"
"40","LCOR-301","13-15E","09-12-2021","PLGG1",0.11,"high"
"41","LCOR-604","13-15E","09-12-2021","PLGG1",0.12,"high"
"42","LCOR-314","16-20","09-12-2021","PLGG1",0.85,"Control"
"43","LCOR-508","16-20","09-12-2021","PLGG1",1.01,"Control"
"48","LCOR-063","2H","09-12-2021","PLGG1",0.16,"high"
"49","LCOR-233","4A","09-12-2021","PLGG1",1.11,"intermediate"
"50","LCOR-001","4A","09-12-2021","PLGG1",1.09,"intermediate"
"51","LCOR-534","4A","09-12-2021","PLGG1",0.95,"intermediate"
"52","LCOR-012","4A","09-12-2021","PLGG1",0.74,"intermediate"
"53","LCOR-003","4A","09-12-2021","PLGG1",0.95,"intermediate"
"54","LCOR-157","5A","09-12-2021","PLGG1",0.72,"intermediate"
"55","LCOR-164","5A","09-12-2021","PLGG1",0.53,"intermediate"
"56","LCOR-247","5A","09-12-2021","PLGG1",0.68,"intermediate"
"57","LCOR-163","5A","09-12-2021","PLGG1",0.49,"intermediate"
"58","LCOR-092","8-9D","09-12-2021","PLGG1",1.24,"Control"
"59","LCOR-089","8-9D","09-12-2021","PLGG1",0.73,"Control"
"60","LCOR-281","8-9D","09-12-2021","PLGG1",0.78,"Control"
"61","LCOR-094","8-9D","09-12-2021","PLGG1",0.95,"Control"
"62","LCOR-087","8-9D","09-12-2021","PLGG1",0.8,"Control"
"65","LCOR-030","5C","09-12-2021","PLGG1",0.9,"intermediate"
"66","LCOR-035","5C","09-12-2021","PLGG1",0.46,"intermediate"
"67","LCOR-574","5C","09-12-2021","PLGG1",0.87,"intermediate"
"68","LCOR-563","5C","09-12-2021","PLGG1",0.82,"intermediate"
"69","LCOR-040","5C","09-12-2021","PLGG1",0.58,"intermediate"
"70","LCOR-036","5C","09-12-2021","PLGG1",0.21,"intermediate"
"71","LCOR-572","5C","09-12-2021","PLGG1",0.63,"intermediate"
"72","LCOR-562","5C","09-12-2021","PLGG1",0.71,"intermediate"
"73","LCOR-033","5C","09-12-2021","PLGG1",0.81,"intermediate"
"74","LCOR-279","5C","09-12-2021","PLGG1",0.34,"intermediate"
"75","LCOR-271","5C","09-12-2021","PLGG1",0.65,"intermediate"
"84","LCOR-286","8-9D","09-12-2021","PLGG1",0.94,"Control"
"85","LCOR-294","8-9D","09-12-2021","PLGG1",1.05,"Control"
"86","LCOR-611","13-15E","09-12-2021","PLGG1",0.14,"high"
"87","LCOR-348","CT3","09-12-2021","PLGG1",0.99,"WT"
"88","LCOR-204","CT3","09-12-2021","PLGG1",0.58,"WT"
"89","LCOR-250","5A","09-12-2021","PLGG1",0.47,"intermediate"
"90","LCOR-297","13-15E","09-12-2021","PLGG1",0.11,"high"
"91","LCOR-511","16-20","09-12-2021","PLGG1",0.72,"Control"
"92","LCOR-202","CT3","09-12-2021","GDH",0,"WT"
"93","LCOR-200","CT3","09-12-2021","GDH",0,"WT"
"94","LCOR-340","CT3","09-12-2021","GDH",0,"WT"
"95","LCOR-493","CT3","09-12-2021","GDH",0,"WT"
"96","LCOR-338","CT3","09-12-2021","GDH",0,"WT"
"98","LCOR-303","13-15E","09-12-2021","GDH",1.74,"high"
"99","LCOR-614","13-15E","09-12-2021","GDH",1.51,"high"
"100","LCOR-075","13-15E","09-12-2021","GDH",3.14,"high"
"101","LCOR-107","16-20","09-12-2021","GDH",0,"Control"
"102","LCOR-106","16-20","09-12-2021","GDH",0,"Control"
"103","LCOR-310","16-20","09-12-2021","GDH",0,"Control"
"104","LCOR-105","16-20","09-12-2021","GDH",0.01,"Control"
"105","LCOR-101","16-20","09-12-2021","GDH",1.37,"Control"
"110","LCOR-066","2H","09-12-2021","GDH",1.84,"high"
"111","LCOR-057","2H","09-12-2021","GDH",3.11,"high"
"112","LCOR-458","2H","09-12-2021","GDH",0.97,"high"
"113","LCOR-211","2H","09-12-2021","GDH",0.94,"high"
"114","LCOR-065","2H","09-12-2021","GDH",1.64,"high"
"115","LCOR-213","2H","09-12-2021","GDH",0.96,"high"
"116","LCOR-058","2H","09-12-2021","GDH",1.62,"high"
"117","LCOR-533","4A","09-12-2021","GDH",0.69,"intermediate"
"118","LCOR-230","4A","09-12-2021","GDH",1.07,"intermediate"
"119","LCOR-546","4A","09-12-2021","GDH",0.77,"intermediate"
"120","LCOR-582","5A","09-12-2021","GDH",0.66,"intermediate"
"121","LCOR-245","5A","09-12-2021","GDH",1.39,"intermediate"
"122","LCOR-241","5A","09-12-2021","GDH",1.08,"intermediate"
"123","LCOR-161","5A","09-12-2021","GDH",1.4,"intermediate"
"124","LCOR-411","8-9D","09-12-2021","GDH",0,"Control"
"125","LCOR-085","8-9D","09-12-2021","GDH",0,"Control"
"126","LCOR-502","CT3","09-12-2021","GDH",0,"WT"
"131","LCOR-301","13-15E","09-12-2021","GDH",1.58,"high"
"132","LCOR-604","13-15E","09-12-2021","GDH",1.32,"high"
"133","LCOR-314","16-20","09-12-2021","GDH",0,"Control"
"134","LCOR-508","16-20","09-12-2021","GDH",0.02,"Control"
"139","LCOR-063","2H","09-12-2021","GDH",1.55,"high"
"140","LCOR-233","4A","09-12-2021","GDH",0.82,"intermediate"
"141","LCOR-001","4A","09-12-2021","GDH",0.83,"intermediate"
"142","LCOR-534","4A","09-12-2021","GDH",0.74,"intermediate"
"143","LCOR-012","4A","09-12-2021","GDH",0.72,"intermediate"
"144","LCOR-003","4A","09-12-2021","GDH",0.88,"intermediate"
"145","LCOR-157","5A","09-12-2021","GDH",1.02,"intermediate"
"146","LCOR-164","5A","09-12-2021","GDH",0.75,"intermediate"
