row,column,ID,mass1,mass2,mass3,mass_avg,area1,area2,area3,area_avg,SLA,LMA,
4,19,LCOR-089,0.06,0.18,0.09,0.11,6.44,18.71,9.51,11.55333333,105.030303,0.009521062,
4,9,LCOR-342,0.07,0.15,0.27,0.163333333,21.49,12.05,6.33,13.29,81.36734694,0.012289942,
7,5,LCOR-068,0.08,0.14,0.13,0.116666667,14.22,9.12,15.63,12.99,111.3428571,0.008981268,
15,7,LCOR-198,0.08,0.13,0.09,0.1,9.72,8.84,12.96,10.50666667,105.0666667,0.009517766,
13,4,LCOR-107,0.091,0.16,0.14,0.130333333,15.11,9.23,13.37,12.57,96.44501279,0.010368602,
4,22,LCOR-165,0.1,0.17,0.14,0.136666667,16.1,14.1,9.36,13.18666667,96.48780488,0.010364004,
6,24,LCOR-503,0.1,0.15,0.1,0.116666667,11,15.27,11.2,12.49,107.0571429,0.009340806,
7,27,LCOR-197,0.1,0.13,0.12,0.116666667,10.21,13.66,11.78,11.88333333,101.8571429,0.009817672,
4,25,LCOR-606,0.11,0.12,0.1,0.11,11.31,11.54,13.56,12.13666667,110.3333333,0.009063444,
9,26,LCOR-341,0.11,0.15,0.1,0.12,11.17,10.35,14.48,12,100,0.01,
12,5,LCOR-563,0.12,0.17,0.17,0.153333333,15.33,11.04,14,13.45666667,87.76086957,0.0113946,
3,6,LCOR-069,0.12,0.15,0.22,0.163333333,16,11,12.65,13.21666667,80.91836735,0.012358134,
2,18,LCOR-058,0.12,0.22,0.12,0.153333333,18.32,11.25,10.91,13.49333333,88,0.011363636,
11,20,LCOR-103,0.12,0.15,0.09,0.12,17.16,11.66,12.9,13.90666667,115.8888889,0.008628955,
10,26,LCOR-095,0.12,0.08,0.08,0.093333333,14.37,8.97,9.43,10.92333333,117.0357143,0.0085444,
3,4,LCOR-308,0.13,0.11,0.21,0.15,15.01,11.6,9.63,12.08,80.53333333,0.012417219,
