row,column,ID,Drought Score,Stem damage,Root damage,Top dieback,SPAD
1,1,LCOR-1143,,,,,#N/A
2,1,LCOR-1088,,,,,#N/A
3,1,LCOR-1141,,,,,#N/A
4,1,LCOR-1064,,,,,#N/A
5,1,LCOR-1145,,,,,#N/A
6,1,LCOR-1150,,,,,#N/A
7,1,LCOR-1071,,,,,#N/A
8,1,LCOR-1247,,,,,#N/A
9,1,LCOR-1024,,,,,#N/A
10,1,LCOR-1057,,,,,#N/A
11,1,LCOR-1060,,,,,#N/A
12,1,LCOR-1063,,,,,#N/A
13,1,LCOR-1081,,,,,#N/A
14,1,LCOR-1097,,,,,#N/A
15,1,LCOR-1199,,,,,#N/A
16,1,LCOR-1053,,,,,#N/A
1,2,LCOR-1101,,,,,#N/A
2,2,LCOR-1137,,,,,#N/A
3,2,LCOR-1075,,,,,#N/A
4,2,LCOR-1022,,,,,#N/A
5,2,LCOR-1061,,,,,#N/A
6,2,LCOR-1078,,,,,#N/A
7,2,LCOR-1080,,,,,#N/A
8,2,LCOR-1085,,,,,#N/A
9,2,LCOR-1091,,,,,#N/A
10,2,LCOR-1106,,,,,#N/A
11,2,LCOR-1163,,,,,#N/A
12,2,LCOR-1168,,,,,#N/A
13,2,LCOR-1183,,,,,#N/A
14,2,LCOR-1187,,,,,#N/A
15,2,LCOR-1198,,,,,#N/A
16,2,LCOR-1076,,,,,#N/A
1,3,LCOR-1001,,,,,#N/A
2,3,LCOR-125,1,0,2,1,23.7
3,3,LCOR-064,1,bio,0,0,22.9
4,3,LCOR-173,1,0,0,0,27.1
5,3,LCOR-104,2,bio,1,1,26.3
6,3,LCOR-552,0,bio,0,,23.3
7,3,LCOR-395,0,bio,1,,17.2
8,3,LCOR-228,1,bio,1,,24
9,3,LCOR-362,1,0,2,,0
10,3,LCOR-259,0,bio,0,,28.6
11,3,LCOR-258,1,0,0,,19.6
12,3,LCOR-188,4,bio,2,1,#N/A
13,3,LCOR-294,1,0,1,,27.5
14,3,LCOR-253,1,0,1,,21.3
15,3,LCOR-213,1,bag,1,,27.2
16,3,LCOR-1047,,,,,#N/A
1,4,LCOR-1002,,,,,#N/A
2,4,LCOR-087,0,0,0,,22.4
3,4,LCOR-308,2,phys,2,1,28.8
4,4,LCOR-249,1,bio,0,0,29.7
5,4,LCOR-244,5,0,2,1,#N/A
6,4,LCOR-607,2,0,2,,21.8
7,4,LCOR-396,1,0,0,,29.8
8,4,LCOR-325,4,0,2,1,17.7
9,4,LCOR-054,0,bio,0,,23.3
10,4,LCOR-109,0,0,2,,17
11,4,LCOR-268,0,bag,0,,28.2
12,4,LCOR-328,1,bio,0,,27.4
13,4,LCOR-107,4,bio,0,1,16.7
14,4,LCOR-201,2,bag,1,1,19.1
15,4,LCOR-211,0,bio,0,,25.5
16,4,LCOR-1051,,,,,#N/A
