Name,Chaney Hart,,,,,,
Date,6/2/23,,,,,,
,,,,,,,
For each tree,,,,,,,
Divide into 3 sections,,,,,,,
0 = no damage,,,,,,,
1 = 25% or less affected branches,,,,,,,
2=50% or less affected branches,,,,,,,
3 = 75% or less affected branches,,,,,,,
4 = greater than 75% branches affected,,,,,,,
sum scores,,,,,,,
note if apical bud is affected,,,,,,,
,,,,,,,
row,column,ID,score -top,score-mid,score-bottom,Score,Note
1,1,LCOR-1143,,,,,
2,1,LCOR-1088,,,,,
3,1,LCOR-1141,,,,,
4,1,LCOR-1064,,,,,
5,1,LCOR-1145,,,,,
6,1,LCOR-1150,,,,,
7,1,LCOR-1071,,,,,
8,1,LCOR-1247,,,,,
9,1,LCOR-1024,,,,,
10,1,LCOR-1057,,,,,
11,1,LCOR-1060,,,,,
12,1,LCOR-1063,,,,,
13,1,LCOR-1081,,,,,
14,1,LCOR-1097,,,,,
15,1,LCOR-1199,,,,,
16,1,LCOR-1053,,,,,
1,2,LCOR-1101,,,,,
2,2,LCOR-1137,,,,,
3,2,LCOR-1075,,,,,
4,2,LCOR-1022,,,,,
5,2,LCOR-1061,,,,,
6,2,LCOR-1078,,,,,
7,2,LCOR-1080,,,,,
8,2,LCOR-1085,,,,,
9,2,LCOR-1091,,,,,
10,2,LCOR-1106,,,,,
11,2,LCOR-1163,,,,,
12,2,LCOR-1168,,,,,
13,2,LCOR-1183,,,,,
14,2,LCOR-1187,,,,,
15,2,LCOR-1198,,,,,
16,2,LCOR-1076,,,,,
1,3,LCOR-1001,,,,,
2,3,LCOR-125,0,0,0,0,
3,3,LCOR-064,0,0,0,0,
4,3,LCOR-173,0,0,0,0,
5,3,LCOR-104,0,0,0,0,
6,3,LCOR-552,0,0,0,0,
7,3,LCOR-395,0,0,0,0,
8,3,LCOR-228,0,0,0,0,
9,3,LCOR-362,0,0,0,0,
10,3,LCOR-259,0,0,0,0,
11,3,LCOR-258,0,0,0,0,
12,3,LCOR-188,0,0,0,0,
13,3,LCOR-294,0,0,0,0,
14,3,LCOR-253,0,0,0,0,
15,3,LCOR-213,0,0,2,2,
16,3,LCOR-1047,,,,0,
1,4,LCOR-1002,,,,0,
2,4,LCOR-087,0,0,0,0,
3,4,LCOR-308,0,0,0,0,
4,4,LCOR-249,0,0,0,0,
5,4,LCOR-244,4,4,4,12,
6,4,LCOR-607,0,0,0,0,
7,4,LCOR-396,0,0,0,0,
8,4,LCOR-325,0,0,0,0,
9,4,LCOR-054,0,0,0,0,
10,4,LCOR-109,0,0,0,0,
11,4,LCOR-268,0,0,0,0,
12,4,LCOR-328,0,0,0,0,
13,4,LCOR-107,0,0,1,1,
14,4,LCOR-201,0,0,0,0,
15,4,LCOR-211,0,0,0,0,
16,4,LCOR-1051,,,,0,
1,5,LCOR-082,0,0,0,0,
2,5,LCOR-344,0,0,0,0,
3,5,LCOR-070,0,0,0,0,
4,5,LCOR-282,0,0,0,0,
5,5,LCOR-027,0,0,0,0,
6,5,LCOR-573,0,0,0,0,
7,5,LCOR-068,0,0,1,1,
8,5,LCOR-575,0,0,0,0,
9,5,LCOR-346,0,0,0,0,
10,5,LCOR-092,0,0,0,0,
11,5,LCOR-142,0,0,0,0,
12,5,LCOR-563,0,1,0,1,
13,5,LCOR-353,,,,0,
14,5,LCOR-314,0,0,0,0,
15,5,LCOR-042,0,0,0,0,
16,5,LCOR-1059,,,,0,
1,6,LCOR-1003,,,,0,
2,6,LCOR-577,0,0,0,0,
3,6,LCOR-069,0,0,0,0,
4,6,LCOR-043,0,0,0,0,
5,6,LCOR-062,0,0,0,0,
6,6,LCOR-135,0,0,0,0,
7,6,LCOR-003,0,0,0,0,
8,6,LCOR-191,0,0,0,0,
9,6,LCOR-310,0,0,0,0,
10,6,LCOR-251,3,0,0,3,
11,6,LCOR-358,0,0,3,3,
12,6,LCOR-363,0,1,3,4,
13,6,LCOR-355,0,0,0,0,
14,6,LCOR-472,0,0,0,0,
15,6,LCOR-421,0,0,0,0,
16,6,LCOR-1102,,,,0,
1,7,LCOR-1004,,,,0,
2,7,LCOR-177,0,0,0,0,
3,7,LCOR-073,0,0,0,0,
4,7,LCOR-510,0,0,0,0,
5,7,LCOR-474,0,0,0,0,
6,7,LCOR-181,0,0,0,0,
7,7,LCOR-148,0,0,0,0,
8,7,LCOR-400,0,0,0,0,
9,7,LCOR-530,0,0,0,0,
10,7,LCOR-587,0,0,0,0,
11,7,LCOR-005,,,,0,
12,7,LCOR-094,0,0,0,0,
13,7,LCOR-296,0,0,0,0,
14,7,LCOR-265,0,0,0,0,
15,7,LCOR-198,0,0,0,0,
16,7,LCOR-1111,,,,0,
1,8,LCOR-1005,,,,0,
2,8,LCOR-179,0,0,0,0,
3,8,LCOR-036,0,0,0,0,
4,8,LCOR-279,0,0,0,0,
5,8,LCOR-078,0,0,0,0,
6,8,LCOR-582,0,0,0,0,
7,8,LCOR-385,0,0,2,2,
8,8,LCOR-250,0,0,0,0,
9,8,LCOR-034,0,0,0,0,
10,8,LCOR-255,0,0,0,0,
11,8,LCOR-238,0,0,0,0,
12,8,LCOR-254,0,0,0,0,
13,8,LCOR-469,0,0,0,0,
14,8,LCOR-167,0,0,0,0,
15,8,LCOR-274,0,0,0,0,
16,8,LCOR-1114,,,,0,
1,9,LCOR-1006,,,,0,
2,9,LCOR-581,0,0,0,0,
3,9,LCOR-001,0,0,0,0,
4,9,LCOR-342,0,0,0,0,
5,9,LCOR-471,0,0,0,0,
6,9,LCOR-380,0,0,0,0,
7,9,LCOR-076,0,0,0,0,
8,9,LCOR-163,0,0,0,0,
9,9,LCOR-609,0,0,0,0,
10,9,LCOR-217,0,0,0,0,
11,9,LCOR-231,0,0,0,0,
