"","row.x","column.x","ID","SPAD_June","SPAD_July","SPAD_June_2022","SPAD_July_2022","row.y","column.y","SPAD.1","SPAD.2","SPAD.3","Aug_avg_SPAD","Comments","SPAD_aug_2022","row.x.x","column.x.x","SPAD1","SPAD2","SPAD3","SPADavg","SPAD_sep_2022","row.y.y","column.y.y","DS_1","DS_18","DS_32","DS_55","SPAD_18","SPAD_32","SPAD_55","SPAD_July_2023","SPAD_Aug_2023","SPAD_Sep_2023","avg_SPAD"
"1",3,3,"LCOR-064","26.5","32.63333333",26.5,32.63333333,3,3,46.1,49.8,50.8,48.9,"",48.9,3,3,40.5,45.8,45.5,"43.93333333",43.93333333,3,3,0,"1","1",2,"25","22.9",19.7,25,22.9,19.7,33.5583333325
"2",4,3,"LCOR-173","28.3","27.4",28.3,27.4,4,3,42.7,41.4,40.4,41.5,"",41.5,4,3,45.8,43.6,45.6,"45",45,4,3,0,"1","1",1,"26.8","27.1",27,26.8,27.1,27,33.075
"3",5,3,"LCOR-104","30.66666667","18.2",30.66666667,18.2,5,3,35.6,38.7,39.2,37.83333333,"",37.83333333,5,3,51.4,44.6,47.3,"47.76666667",47.76666667,5,3,1,"2","2",3,"22.5","26.3",23.5,22.5,26.3,23.5,30.575
"4",6,3,"LCOR-552","30.73333333","25.56666667",30.73333333,25.56666667,6,3,34.3,40.5,41.9,38.9,"",38.9,6,3,42.8,45.2,42.7,"43.56666667",43.56666667,6,3,0,"0","0",0,"31","23.3",33.5,31,23.3,33.5,33.18333333375
"5",7,3,"LCOR-395","27.1","24.4",27.1,24.4,7,3,41.1,36.4,38.7,38.73333333,"",38.73333333,7,3,45.8,39.8,43.2,"42.93333333",42.93333333,7,3,0,"0","0",1,"29.5","17.2",33.6,29.5,17.2,33.6,31.52499999875
"6",8,3,"LCOR-228","27.8","30.46666667",27.8,30.46666667,8,3,40.5,45.2,39.3,41.66666667,"",41.66666667,8,3,50.8,47.4,49.8,"49.33333333",49.33333333,8,3,0,"1","1",1,"28.9","24",29.5,28.9,24,29.5,34.1666666675
"7",9,3,"LCOR-362","36.13333333","24.1",36.13333333,24.1,9,3,41.9,39.1,38.7,39.9,"",39.9,9,3,45.3,45.1,44.6,"45",45,9,3,0,"1","1",2,"23.4","0",21.4,23.4,0,21.4,28.72916666625
"8",10,3,"LCOR-259","33.93333333","33.26666667",33.93333333,33.26666667,10,3,32.3,33.8,41,35.7,"",35.7,10,3,50.7,41.3,46.5,"46.16666667",46.16666667,10,3,0,"0","0",1,"30.8","28.6",24.7,30.8,28.6,24.7,33.60833333375
"9",11,3,"LCOR-258","32.96666667","31.6",32.96666667,31.6,11,3,36.9,31,33.2,33.7,"",33.7,11,3,42.7,43.7,50,"45.46666667",45.46666667,11,3,0,"1","1",1,"30.1","19.6",23.5,30.1,19.6,23.5,31.3291666675
"10",13,3,"LCOR-294","22.96666667","24.8",22.96666667,24.8,13,3,43.6,38.4,49.6,43.86666667,"",43.86666667,13,3,45.4,44.7,43.1,"44.4",44.4,13,3,0,"1","1",2,"27.5","27.5",26.2,27.5,27.5,26.2,32.63750000125
"11",14,3,"LCOR-253","27.63333333","27.46666667",27.63333333,27.46666667,14,3,42.7,40.4,32.8,38.63333333,"",38.63333333,14,3,51.1,47,50.8,"49.63333333",49.63333333,14,3,0,"1","1",1,"28.3","21.3",29,28.3,21.3,29,32.57499999875
"12",15,3,"LCOR-213","34.73333333","25.03333333",34.73333333,25.03333333,15,3,50.5,46.9,39.5,45.63333333,"insect damage",45.63333333,15,3,41.8,39.5,47,"42.76666667",42.76666667,15,3,0,"1","1",1,"26","27.2",32.8,26,27.2,32.8,34.97499999875
"13",2,4,"LCOR-087","29.86666667","31.33333333",29.86666667,31.33333333,2,4,37.6,43.4,37.1,39.36666667,"",39.36666667,2,4,47.5,46.2,42.1,"45.26666667",45.26666667,2,4,0,"0","0",2,"30.3","22.4",25.2,30.3,22.4,25.2,32.88750000125
"14",3,4,"LCOR-308","34.3","30.03333333",34.3,30.03333333,3,4,33.1,40.3,47.4,40.26666667,"",40.26666667,3,4,42.8,44.4,46,"44.4",44.4,3,4,1,"2","2",3,"17.7","28.8",25.3,17.7,28.8,25.3,32.63333333375
"15",4,4,"LCOR-249","34.23333333","30.76666667",34.23333333,30.76666667,4,4,34.4,38.7,35.9,36.33333333,"",36.33333333,4,4,45.4,44.4,45.9,"45.23333333",45.23333333,4,4,0,"1","1",1,"23.4","29.7",31.3,23.4,29.7,31.3,33.41249999875
