"","ID","SPAD_June_2022","SPAD_July_2022","SPAD_aug_2022","SPAD_sep_2022","SPAD_July_2023","SPAD_Aug_2023","SPAD_Sep_2023","avg_SPAD","row","column"
"2","LCOR-064",26.5,32.63333333,48.9,43.93333333,25,22.9,19.7,31.3666666657143,3,3
"3","LCOR-173",28.3,27.4,41.5,45,26.8,27.1,27,31.8714285714286,4,3
"4","LCOR-104",30.66666667,18.2,37.83333333,47.76666667,22.5,26.3,23.5,29.5380952385714,5,3
"5","LCOR-552",30.73333333,25.56666667,38.9,43.56666667,31,23.3,33.5,32.3666666671429,6,3
"6","LCOR-395",27.1,24.4,38.73333333,42.93333333,29.5,17.2,33.6,30.4952380942857,7,3
"7","LCOR-228",27.8,30.46666667,41.66666667,49.33333333,28.9,24,29.5,33.0952380957143,8,3
"8","LCOR-362",36.13333333,24.1,39.9,26.0783126460437,23.4,0,21.4,27.1333333328571,9,3
"9","LCOR-259",33.93333333,33.26666667,35.7,46.16666667,30.8,28.6,24.7,33.30952381,10,3
"10","LCOR-258",32.96666667,31.6,33.7,45.46666667,30.1,19.6,23.5,30.9904761914286,11,3
"11","LCOR-188",27.46666667,25.56666667,41.66666667,44.1,26.0488584474886,26.0488584474886,25.7,30.9425309864253,12,3
"12","LCOR-294",22.96666667,24.8,43.86666667,44.4,27.5,27.5,26.2,31.0333333342857,13,3
"13","LCOR-253",27.63333333,27.46666667,38.63333333,49.63333333,28.3,21.3,29,31.7095238085714,14,3
"14","LCOR-213",34.73333333,25.03333333,45.63333333,42.76666667,26,27.2,32.8,33.4523809514286,15,3
"15","LCOR-087",29.86666667,31.33333333,39.36666667,45.26666667,30.3,22.4,25.2,31.9619047628571,2,4
"16","LCOR-308",34.3,30.03333333,40.26666667,44.4,17.7,28.8,25.3,31.5428571428571,3,4
"17","LCOR-249",34.23333333,30.76666667,36.33333333,45.23333333,23.4,29.7,31.3,32.9952380942857,4,4
"18","LCOR-244",28,28.73333333,41.83333333,38.43333333,26.0488584474886,26.0488584474886,26.9751708428246,30.867555389686,5,4
"19","LCOR-607",33.8,32.06666667,52.06666667,40.33333333,24.4,21.8,21.2,32.2380952385714,6,4
"20","LCOR-396",32.03333333,28.53333333,40.93333333,44.4,31.8,29.8,28.7,33.7428571414286,7,4
"22","LCOR-054",34.06666667,30.53333333,37.06666667,44.83333333,29.8,23.3,27,32.3714285714286,9,4
"23","LCOR-268",34.23333333,29.53333333,37.43333333,45.73333333,30.1,28.2,31.3,33.7904761885714,11,4
"25","LCOR-107",33.13333333,30.26666667,38.83333333,45.03333333,19.4,16.7,25.8,29.88095238,13,4
"26","LCOR-201",31.23333333,28.43333333,37.9,47.1,27.8,19.1,36.4,32.5666666657143,14,4
"27","LCOR-211",31.5,26.6,40.16666667,43.96666667,30.4,25.5,29.7,32.5476190485714,15,4
"28","LCOR-344",33.06666667,25.5,36.36666667,44.56666667,27.9,30.4,19.2,31.0000000014286,2,5
"29","LCOR-070",29.4,32.03333333,44.36666667,42.06666667,35.2,28.4,31,34.6380952385714,3,5
"30","LCOR-282",30.96666667,28.06666667,35.86666667,46.43333333,33.9,24.9,27.6,32.5333333342857,4,5
"31","LCOR-027",33.1,29.06666667,35.5,42.93333333,26,30,23.4,31.4285714285714,5,5
"32","LCOR-573",34,26.96666667,39.93333333,43,32.1,25.2,23.3,32.0714285714286,6,5
"34","LCOR-575",38.13333333,28.36666667,32.03333333,41.66666667,31.9,26.2,30,32.6142857142857,8,5
"35","LCOR-346",36,22.83333333,39.23333333,43.96666667,29.3,23.2,30.5,32.1476190471429,9,5
"36","LCOR-092",30.43333333,29.45,37.36666667,44.3,29.4,25.5,23.6,31.4357142857143,10,5
"37","LCOR-142",29.4,29.2,44.1,44.6,24.3,21.7,23.2,30.9285714285714,11,5
"38","LCOR-563",32.7,30.3,39.93333333,46.2,20.6,16.3,23.5,29.9333333328571,12,5
"39","LCOR-314",36.53333333,28.36666667,34.56666667,46.9,29.1,26.3,25.2,32.4238095242857,14,5
"40","LCOR-042",32.93333333,21.16666667,34.9,46.86666667,27.1,18.3,25.1,29.4809523814286,15,5
"41","LCOR-577",30.6,31.66666667,34.9,41.3,29.9,22.4,32.8,31.9380952385714,2,6
"42","LCOR-069",33.53333333,33.73333333,41.5,46.03333333,26.1,30.7,26.4,33.9999999985714,3,6
"43","LCOR-043",37.1,28,37.03333333,44.76666667,30.3,21.6,24.8,31.9428571428571,4,6
"44","LCOR-062",26.03333333,29.6,35.33333333,44.93333333,25.7,28.8,22.5,30.4142857128571,5,6
"45","LCOR-135",31.06666667,31.56666667,30.73333333,45.36666667,33,24.7,31.2,32.51904762,6,6
"46","LCOR-003",33.76666667,28.86666667,38.43333333,44.26666667,30,21.4,27.4,32.01904762,7,6
"47","LCOR-191",30.6,28.33333333,42.4,39.56666667,29.6,17.2,26.9,30.6571428571429,8,6
"48","LCOR-310",28.76666667,29.33333333,40.53333333,45.73333333,30.6,22,35.2,33.1666666657143,9,6
