row,column,ID,Top_0,Bottom_0,Top_2,Bottom_2,Top_6,Bottom_6
1,1,LCOR-1143,,,,,,
2,1,LCOR-1088,,,,,,
3,1,LCOR-1141,,,,,,
4,1,LCOR-1064,,,,,,
5,1,LCOR-1145,,,,,,
6,1,LCOR-1150,,,,,,
7,1,LCOR-1071,,,,,,
8,1,LCOR-1247,,,,,,
9,1,LCOR-1024,,,,,,
10,1,LCOR-1057,,,,,,
11,1,LCOR-1060,,,,,,
12,1,LCOR-1063,,,,,,
13,1,LCOR-1081,,,,,,
14,1,LCOR-1097,,,,,,
15,1,LCOR-1199,,,,,,
16,1,LCOR-1053,,,,,,
1,2,LCOR-1101,,,,,,
2,2,LCOR-1137,,,,,,
3,2,LCOR-1075,,,,,,
4,2,LCOR-1022,,,,,,
5,2,LCOR-1061,,,,,,
6,2,LCOR-1078,,,,,,
7,2,LCOR-1080,,,,,,
8,2,LCOR-1085,,,,,,
9,2,LCOR-1091,,,,,,
10,2,LCOR-1106,,,,,,
11,2,LCOR-1163,,,,,,
12,2,LCOR-1168,,,,,,
13,2,LCOR-1183,,,,,,
14,2,LCOR-1187,,,,,,
15,2,LCOR-1198,,,,,,
16,2,LCOR-1076,,,,,,
1,3,LCOR-1001,,,,,,
2,3,LCOR-125,1,1,3,3,4,4
3,3,LCOR-064,1,2,3,3,4,4
4,3,LCOR-173,1,1,2,2,4,4
5,3,LCOR-104,1,1,3,3,4,4
6,3,LCOR-552,1,2,3,3,4,4
7,3,LCOR-395,1,1,3,3,4,4
8,3,LCOR-228,2,2,3,3,4,4
9,3,LCOR-362,2,2,3,3,4,4
10,3,LCOR-259,2,2,3,3,4,4
11,3,LCOR-258,2,2,3,3,4,4
12,3,LCOR-188,1,1,3,2,4,4
13,3,LCOR-294,1,1,2,2,4,4
14,3,LCOR-253,2,2,3,3,4,4
15,3,LCOR-213,2,2,3,3,4,4
16,3,LCOR-1047,,,,,,
1,4,LCOR-1002,,,,,,
2,4,LCOR-087,1,1,2,2,4,3
3,4,LCOR-308,1,2,2,3,4,4
4,4,LCOR-249,1,2,2,3,4,4
5,4,LCOR-244,1,1,3,2,4,4
6,4,LCOR-607,2,1,3,3,4,4
7,4,LCOR-396,2,2,3,3,4,4
8,4,LCOR-325,2,1,2,3,4,4
9,4,LCOR-054,2,2,3,3,4,4
10,4,LCOR-109,1,1,,,4,4
11,4,LCOR-268,2,2,3,3,4,4
12,4,LCOR-328,1,1,3,3,4,4
13,4,LCOR-107,2,2,3,3,4,4
14,4,LCOR-201,2,2,2,3,4,4
15,4,LCOR-211,2,2,3,3,4,4
16,4,LCOR-1051,,,,,,
1,5,LCOR-082,,,3,3,4,4
2,5,LCOR-344,1,1,2,2,4,4
3,5,LCOR-070,2,1,2,3,4,4
4,5,LCOR-282,1,1,2,2,4,3
5,5,LCOR-027,2,2,3,3,4,4
6,5,LCOR-573,2,1,3,3,4,4
7,5,LCOR-068,2,2,3,3,4,4
8,5,LCOR-575,2,1,3,4,4,4
9,5,LCOR-346,2,1,3,3,4,4
10,5,LCOR-092,1,1,2,3,4,3
11,5,LCOR-142,2,2,3,4,4,4
12,5,LCOR-563,2,2,3,4,4,4
13,5,LCOR-353,,,,,4,4
14,5,LCOR-314,2,2,,,4,4
15,5,LCOR-042,2,2,2,3,4,4
16,5,LCOR-1059,,,,,,
1,6,LCOR-1003,,,,,,
