"","row","column","event_short","construct","construct2","ID","DS_1","DS_18","DS_32","DS_55","delta1","delta2","delta3"
"1",3,3,"2H","LC-102","transgenic","LCOR-064",0,1,1,2,1,0,1
"2",4,3,"1C","LC-102","transgenic","LCOR-173",0,1,1,1,1,0,0
"3",5,3,"16-20","Escape","control","LCOR-104",1,2,2,3,1,0,1
"4",6,3,"7","LC-102","transgenic","LCOR-552",0,0,0,0,0,0,0
"5",7,3,"1C","LC-102","transgenic","LCOR-395",0,0,0,1,0,0,1
"6",8,3,"4A","LC-102","transgenic","LCOR-228",0,1,1,1,1,0,0
"7",9,3,"1","LC-102","transgenic","LCOR-362",0,1,1,2,1,0,1
"8",10,3,"4B","LC-102","transgenic","LCOR-259",0,0,0,1,0,0,1
"9",11,3,"4B","LC-102","transgenic","LCOR-258",0,1,1,1,1,0,0
"10",12,3,"13-15B","LC-102","transgenic","LCOR-188",3,4,4,4,1,0,0
"11",13,3,"8-9D","Escape","control","LCOR-294",0,1,1,2,1,0,1
"12",14,3,"4B","LC-102","transgenic","LCOR-253",0,1,1,1,1,0,0
"13",15,3,"2H","LC-102","transgenic","LCOR-213",0,1,1,1,1,0,0
"14",2,4,"8-9D","Escape","control","LCOR-087",0,0,0,2,0,0,2
"15",3,4,"13-15E","LC-102","transgenic","LCOR-308",1,2,2,3,1,0,1
"16",4,4,"5A","LC-102","transgenic","LCOR-249",0,1,1,1,1,0,0
"17",5,4,"5A","LC-102","transgenic","LCOR-244",5,5,5,5,0,0,0
"18",6,4,"13-15E","LC-102","transgenic","LCOR-607",1,2,2,2,1,0,0
"19",7,4,"1C","LC-102","transgenic","LCOR-396",0,1,1,1,1,0,0
"20",9,4,"1","LC-102","transgenic","LCOR-054",0,0,0,1,0,0,1
"21",11,4,"5C","LC-102","transgenic","LCOR-268",0,0,0,1,0,0,1
"22",13,4,"16-20","Escape","control","LCOR-107",3,4,4,4,1,0,0
"23",14,4,"CT3","Control","control","LCOR-201",0,2,2,2,2,0,-1
"24",15,4,"2H","LC-102","transgenic","LCOR-211",0,0,0,1,0,0,1
"25",2,5,"CT3","Control","control","LCOR-344",0,1,1,2,1,0,1
"26",3,5,"2H","LC-102","transgenic","LCOR-070",0,0,0,1,0,0,1
"27",4,5,"8-9D","Escape","control","LCOR-282",1,2,2,2,1,0,0
"28",5,5,"4B","LC-102","transgenic","LCOR-027",1,2,2,3,1,0,1
"29",6,5,"5C","LC-102","transgenic","LCOR-573",0,0,0,1,0,0,1
"30",8,5,"5A","LC-102","transgenic","LCOR-575",0,0,0,1,0,0,1
"31",10,5,"8-9D","Escape","control","LCOR-092",0,0,0,1,0,0,1
"32",11,5,"7","LC-102","transgenic","LCOR-142",1,1,1,2,0,0,1
"33",12,5,"5C","LC-102","transgenic","LCOR-563",1,2,2,3,1,0,1
"34",14,5,"16-20","Escape","control","LCOR-314",0,0,0,1,0,0,1
"35",15,5,"5C","LC-102","transgenic","LCOR-042",0,1,1,1,1,0,0
"36",2,6,"5A","LC-102","transgenic","LCOR-577",0,0,0,1,0,0,1
"37",3,6,"2H","LC-102","transgenic","LCOR-069",1,2,2,4,1,0,2
"38",4,6,"1","LC-102","transgenic","LCOR-043",1,1,1,2,0,0,1
"39",5,6,"2H","LC-102","transgenic","LCOR-062",0,1,1,2,1,0,1
"40",6,6,"5","LC-102","transgenic","LCOR-135",0,0,0,1,0,0,1
"41",7,6,"4A","LC-102","transgenic","LCOR-003",0,0,0,1,0,0,1
"42",8,6,"13-15B","LC-102","transgenic","LCOR-191",1,1,1,2,0,0,1
"43",9,6,"16-20","Escape","control","LCOR-310",0,1,1,1,1,0,0
"44",10,6,"5A","LC-102","transgenic","LCOR-251",0,3,3,3,3,0,-1
"45",11,6,"1","LC-102","transgenic","LCOR-358",0,3,3,3,3,0,0
"46",12,6,"1","LC-102","transgenic","LCOR-363",1,1,1,2,0,0,1
"47",13,6,"1","LC-102","transgenic","LCOR-355",1,2,2,2,1,0,0
"48",14,6,"13-15B","LC-102","transgenic","LCOR-472",0,0,0,1,0,0,1
"49",15,6,"4B","LC-102","transgenic","LCOR-421",0,0,1,2,0,1,1
"50",2,7,"1C","LC-102","transgenic","LCOR-177",0,0,0,1,0,0,1
"51",3,7,"13-15E","LC-102","transgenic","LCOR-073",0,1,1,1,1,0,0
"52",4,7,"16-20","Escape","control","LCOR-510",0,0,1,2,0,1,1
"53",5,7,"13-15B","LC-102","transgenic","LCOR-474",0,0,0,1,0,0,1
"54",6,7,"1C","LC-102","transgenic","LCOR-181",0,0,0,1,0,0,1
"55",7,7,"7","LC-102","transgenic","LCOR-148",0,0,0,1,0,0,1
"56",8,7,"1C","LC-102","transgenic","LCOR-400",0,0,0,1,0,0,1
"57",9,7,"5","LC-102","transgenic","LCOR-530",0,0,0,1,0,0,1
"58",12,7,"8-9D","Escape","control","LCOR-094",0,0,0,0,0,0,0
"59",13,7,"13-15E","LC-102","transgenic","LCOR-296",0,0,0,1,0,0,1
"60",14,7,"4B","LC-102","transgenic","LCOR-265",1,1,1,2,0,0,1
"61",15,7,"CT3","Control","control","LCOR-198",2,4,4,4,2,0,0
"62",2,8,"1C","LC-102","transgenic","LCOR-179",0,1,1,1,1,0,0
"63",3,8,"5C","LC-102","transgenic","LCOR-036",0,2,2,2,2,0,-1
"64",4,8,"5C","LC-102","transgenic","LCOR-279",0,1,1,1,1,0,0
"65",5,8,"13-15E","LC-102","transgenic","LCOR-078",0,2,2,2,2,0,-1
"66",6,8,"5A","LC-102","transgenic","LCOR-582",0,2,2,2,2,0,-2
"67",7,8,"7","LC-102","transgenic","LCOR-385",0,3,3,3,3,0,-3
"68",8,8,"5A","LC-102","transgenic","LCOR-250",0,1,1,1,1,0,-1
"69",9,8,"5C","LC-102","transgenic","LCOR-034",0,3,3,3,3,0,-1
"70",10,8,"4B","LC-102","transgenic","LCOR-255",0,2,2,2,2,0,0
"71",11,8,"4A","LC-102","transgenic","LCOR-238",2,3,4,4,1,1,0
"72",12,8,"4B","LC-102","transgenic","LCOR-254",0,2,2,2,2,0,-1
"73",13,8,"13-15B","LC-102","transgenic","LCOR-469",1,2,2,3,1,0,1
"74",14,8,"5A","LC-102","transgenic","LCOR-167",1,3,3,3,2,0,0
"75",15,8,"5C","LC-102","transgenic","LCOR-274",0,1,2,2,1,1,0
"76",2,9,"5A","LC-102","transgenic","LCOR-581",0,0,0,0,0,0,0
"77",3,9,"4A","LC-102","transgenic","LCOR-001",0,0,0,1,0,0,1
"78",4,9,"CT3","Control","control","LCOR-342",1,1,1,2,0,0,1
"79",5,9,"13-15B","LC-102","transgenic","LCOR-471",0,1,1,1,1,0,0
"80",6,9,"7","LC-102","transgenic","LCOR-380",0,1,1,1,1,0,0
"81",7,9,"13-15E","LC-102","transgenic","LCOR-076",0,1,1,1,1,0,0
"82",8,9,"5A","LC-102","transgenic","LCOR-163",0,0,0,1,0,0,1
"83",10,9,"2H","LC-102","transgenic","LCOR-217",1,1,2,2,0,1,0
