"","Day","percent_0","event","construct","percent_1","percent_2","percent_3","percent_4","percent_5"
"1","01","0.28125","CT3","Control","0.5312500","0.1562500","0.03125000","0.00000","0.00000"
"2","18","0.03125","CT3","Control","0.3800000","0.2250000","0.06060606","0.03125","0.03125"
"3","32","0.03125","CT3","Control","0.3541667","0.2439024","0.08823529","0.03125","0.00000"
"4","55","0.03125","CT3","Control","0.2790698","0.2954545","0.13888889","0.03125","0.00000"
"5","01","0.33333333","16-20","Escape","0.4242424","0.1212121","0.06060606","0.06060606","0.0000000"
"6","18","0.21212121","16-20","Escape","0.3333333","0.1875000","0.13333333","0.10344828","0.1034483"
"7","32","0.18181818","16-20","Escape","0.2500000","0.2285714","0.20588235","0.10000000","0.0000000"
"8","55","0.06060606","16-20","Escape","0.1842105","0.2790698","0.22500000","0.08823529","0.0000000"
"9","01","0.51724138","8-9D","Escape","0.3103448","0.1034483","0.03448276","0.03448276","0.00000000"
"10","18","0.37931034","8-9D","Escape","0.3333333","0.2173913","0.14285714","0.05263158","0.05263158"
"11","32","0.34482759","8-9D","Escape","0.3448276","0.2083333","0.13636364","0.05000000","0.00000000"
"12","55","0.06896552","8-9D","Escape","0.3250000","0.1818182","0.20588235","0.03571429","0.00000000"
"13","01","0.35294118","5A","Transgenic","0.5000000","0.08823529","0.00000000","0.00000000","0.05882353"
"14","18","0.20588235","5A","Transgenic","0.4130435","0.12903226","0.06896552","0.00000000","0.00000000"
"15","32","0.20588235","5A","Transgenic","0.3863636","0.12903226","0.10000000","0.03571429","0.06896552"
"16","55","0.02941176","5A","Transgenic","0.3773585","0.15384615","0.10810811","0.02941176","0.05714286"
"17","01","0.4736842","4A","Transgenic","0.4210526","0.10526316","0.00000000","0.00000000","0"
"18","18","0.2631579","4A","Transgenic","0.4400000","0.06666667","0.12500000","0.00000000","0"
"19","32","0.2631579","4A","Transgenic","0.4400000","0.06666667","0.06666667","0.06666667","0"
"20","55","0.1578947","4A","Transgenic","0.3600000","0.20000000","0.11111111","0.05882353","0"
"21","01","0.34375","13-15E","Transgenic","0.5000000","0.0937500","0.06250000","0.00000000","0.00000000"
"22","18","0.21875","13-15E","Transgenic","0.3902439","0.2187500","0.03846154","0.03846154","0.03846154"
"23","32","0.18750","13-15E","Transgenic","0.3500000","0.1875000","0.16129032","0.03703704","0.00000000"
"24","55","0.06250","13-15E","Transgenic","0.3478261","0.1891892","0.16666667","0.03225806","0.00000000"
"25","01","0.34482759","2H","Transgenic","0.5517241","0.06896552","0.03448276","0.00000000","0.00000000"
"26","18","0.13793103","2H","Transgenic","0.3750000","0.24242424","0.03846154","0.03846154","0.03846154"
"27","32","0.13793103","2H","Transgenic","0.3589744","0.26470588","0.03846154","0.00000000","0.03846154"
"28","55","0.03448276","2H","Transgenic","0.3488372","0.24324324","0.06666667","0.03448276","0.03448276"
