Leaf collection and SPAD,,,,,,,
pick 3 leaves from top of tree. Ranging from leaf 8-15,,,,,,,
Leaves should be fully expanded,,,,,,,
Pick leaves. Measure SPADbag and then put in labeled paper ,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
row,column,ID,event_short,block,Leaf_collection,SPAD,Drought Score
3,3,LCOR-064,2H,large,yes,,
4,3,LCOR-173,1C,large,no,,
5,3,LCOR-104,16-20,large,yes,,
6,3,LCOR-552,7,large,no,,
7,3,LCOR-395,1C,large,no,,
8,3,LCOR-228,4A,large,yes,,
9,3,LCOR-362,1,large,no,,
10,3,LCOR-259,4B,large,no,,
11,3,LCOR-258,4B,large,no,,
12,3,LCOR-188,13-15B,large,no,,
13,3,LCOR-294,8-9D,large,yes,,
14,3,LCOR-253,4B,large,no,,
15,3,LCOR-213,2H,large,yes,,
2,4,LCOR-087,8-9D,large,yes,,
3,4,LCOR-308,13-15E,large,yes,,
4,4,LCOR-249,5A,large,yes,,
5,4,LCOR-244,5A,large,yes,,
6,4,LCOR-607,13-15E,large,yes,,
7,4,LCOR-396,1C,large,no,,
9,4,LCOR-054,1,large,no,,
11,4,LCOR-268,5C,large,yes,,
13,4,LCOR-107,16-20,large,yes,,
14,4,LCOR-201,CT3,large,yes,,
15,4,LCOR-211,2H,large,yes,,
1,5,LCOR-082,13-15E,large,yes,,
2,5,LCOR-344,CT3,large,yes,,
3,5,LCOR-070,2H,large,yes,,
4,5,LCOR-282,8-9D,large,yes,,
5,5,LCOR-027,4B,large,no,,
6,5,LCOR-573,5C,large,yes,,
7,5,LCOR-068,2H,large,yes,,
8,5,LCOR-575,5A,large,yes,,
9,5,LCOR-346,CT3,large,yes,,
10,5,LCOR-092,8-9D,large,yes,,
11,5,LCOR-142,7,large,no,,
12,5,LCOR-563,5C,large,yes,,
14,5,LCOR-314,16-20,large,yes,,
15,5,LCOR-042,5C,large,yes,,
2,6,LCOR-577,5A,large,yes,,
3,6,LCOR-069,2H,large,yes,,
4,6,LCOR-043,1,large,no,,
5,6,LCOR-062,2H,large,yes,,
6,6,LCOR-135,5,large,no,,
7,6,LCOR-003,4A,large,yes,,
8,6,LCOR-191,13-15B,large,no,,
9,6,LCOR-310,16-20,large,yes,,
10,6,LCOR-251,5A,large,yes,,
11,6,LCOR-358,1,large,no,,
12,6,LCOR-363,1,large,no,,
13,6,LCOR-355,1,large,no,,
14,6,LCOR-472,13-15B,large,no,,
15,6,LCOR-421,4B,large,no,,
2,7,LCOR-177,1C,large,no,,
3,7,LCOR-073,13-15E,large,yes,,
4,7,LCOR-510,16-20,large,yes,,
5,7,LCOR-474,13-15B,large,no,,
6,7,LCOR-181,1C,large,no,,
7,7,LCOR-148,7,large,no,,
8,7,LCOR-400,1C,large,no,,
9,7,LCOR-530,5,large,no,,
12,7,LCOR-094,8-9D,large,yes,,
13,7,LCOR-296,13-15E,large,yes,,
14,7,LCOR-265,4B,large,no,,
15,7,LCOR-198,CT3,large,yes,,
2,8,LCOR-179,1C,large,no,,
3,8,LCOR-036,5C,large,yes,,
4,8,LCOR-279,5C,large,yes,,
5,8,LCOR-078,13-15E,large,yes,,
6,8,LCOR-582,5A,large,yes,,
7,8,LCOR-385,7,large,no,,
8,8,LCOR-250,5A,large,yes,,
9,8,LCOR-034,5C,large,yes,,
10,8,LCOR-255,4B,large,no,,
11,8,LCOR-238,4A,large,yes,,
12,8,LCOR-254,4B,large,no,,
