"","ID_2","k_sat","phi_J","theta_J","Rd","ID","row","column","event","event_short","block","construct","construct2","sample_date"
"1","LCOR-003",12.1266315766466,0.772492591843706,0.772492591843706,1.98894973492616,"LCOR-003",7,6,"LC-102 4A","4A","large","LC-102","transgenic","July27"
"2","LCOR-040",2.44770104057934,0.942780086325527,0.942780086325527,0.312993952662429,"LCOR-040",14,11,"LC-102 5C","5C","large","LC-102","transgenic","Aug29"
"3","LCOR-063",13.2007550324308,0.723074570683379,0.723074570683379,1.2877501868762,"LCOR-063",11,22,"LC-102 2H","2H","large","LC-102","transgenic","Jun14"
"4","LCOR-065",11.8300064636652,0.702070220547348,0.702070220547348,1.01575345760722,"LCOR-065",11,25,"LC-102 2H","2H","large","LC-102","transgenic","Aug29"
"5","LCOR-073",21.2445317108103,0.763378318161474,0.763378318161474,1.9941117204974,"LCOR-073",3,7,"LC-102 13-15E","13-15E","large","LC-102","transgenic","Jun22"
"6","LCOR-089",4.24425816398452,0.65564427752551,0.65564427752551,0.90914416699861,"LCOR-089",4,19,"LC-102 8-9D","8-9D","large","Escape","control","Jun22"
"7","LCOR-092",15.4783749830812,0.910521082222465,0.910521082222465,1.16723214966404,"LCOR-092",10,5,"LC-102 8-9D","8-9D","large","Escape","control","Aug29"
"8","LCOR-101",13.8651616932965,0.782727514815562,0.782727514815562,1.15869471679449,"LCOR-101",8,20,"LC-102 16-20","16-20","large","Escape","control","July20"
"9","LCOR-155",19.6910565563133,0.734965391303453,0.734965391303453,2.45084422277785,"LCOR-155",14,46,"LC-102 5A","5A","small","LC-102","transgenic","Jun14"
"10","LCOR-164",18.1350145757705,0.798321148629717,0.798321148629717,1.83112095001504,"LCOR-164",2,11,"LC-102 5A","5A","large","LC-102","transgenic","Jun22"
"11","LCOR-164",18.1350145757705,0.798321148629717,0.798321148629717,1.83112095001504,"LCOR-164",2,11,"LC-102 5A","5A","large","LC-102","transgenic","July20"
"12","LCOR-165",2.94915872599613,0.807743389813461,0.807743389813461,0.959494535580228,"LCOR-165",4,22,"LC-102 5A","5A","large","LC-102","transgenic","Aug29"
"13","LCOR-199",14.7342791570261,0.944481778490953,0.944481778490953,1.52174257573574,"LCOR-199",8,25,"CT717 3","CT3","large","Control","control","Jun22"
"14","LCOR-203",8.56996568586839,1.83398653316456e-05,1.83398653316456e-05,2.64895923344172,"LCOR-203",15,10,"CT717 3","CT3","large","Control","control","July27"
"15","LCOR-204",15.9080018864946,0.730595394646833,0.730595394646833,1.61862205151695,"LCOR-204",15,21,"CT717 3","CT3","large","Control","control","July20"
"16","LCOR-211",19.7738187740685,0.768888399917954,0.768888399917954,1.28941107204786,"LCOR-211",15,4,"LC-102 2H","2H","large","LC-102","transgenic","July20"
"17","LCOR-228",13.5281104948319,0.748295220819128,0.748295220819128,2.13896316023514,"LCOR-228",8,3,"LC-102 4A","4A","large","LC-102","transgenic","July18"
"18","LCOR-231",16.5312030799036,0.862232954736364,0.862232954736364,1.09869244216788,"LCOR-231",11,9,"LC-102 4A","4A","large","LC-102","transgenic","July20"
"19","LCOR-231",16.5312030799036,0.862232954736364,0.862232954736364,1.09869244216788,"LCOR-231",11,9,"LC-102 4A","4A","large","LC-102","transgenic","Aug29"
"20","LCOR-268",21.5543865424335,0.837111274415433,0.837111274415433,2.10920157504612,"LCOR-268",11,4,"LC-102 5C","5C","large","LC-102","transgenic","Jun14"
"21","LCOR-274",15.3692704389604,0.774137883391712,0.774137883391712,1.0294129732505,"LCOR-274",15,8,"LC-102 5C","5C","large","LC-102","transgenic","July20"
