"","ID_2","Vcmax","Jmax","Rd","Amax","ID","Jmax_Vcmax_ratio","row","column","event","event_short","block","construct","construct2","sample_date"
"1","LCOR-003",96.2373847894383,156.905380220919,1.30679495232869,30.5053402283224,"LCOR-003",1.63039946029517,7,6,"LC-102 4A","4A","large","LC-102","transgenic","July27"
"2","LCOR-040",93.3994292228823,143.668163384865,0.428339245379631,29.7879555503218,"LCOR-040",1.53821243427542,14,11,"LC-102 5C","5C","large","LC-102","transgenic","Aug29"
"3","LCOR-063",95.3738430119028,165.495486536728,2.05255079359066,32.2011150992869,"LCOR-063",1.73522929673783,11,22,"LC-102 2H","2H","large","LC-102","transgenic","Jun14"
"4","LCOR-065",79.7850945958922,117.473599668823,-0.188117845024196,25.5377344344539,"LCOR-065",1.47237526337246,11,25,"LC-102 2H","2H","large","LC-102","transgenic","Aug29"
"5","LCOR-073",111.744929897571,190.320633376517,1.68104077516454,36.3779453471251,"LCOR-073",1.70317018902755,3,7,"LC-102 13-15E","13-15E","large","LC-102","transgenic","Jun22"
"6","LCOR-092",70.5721944858364,105.764909437087,0.534319697560895,22.5117771181675,"LCOR-092",1.49867678350733,10,5,"LC-102 8-9D","8-9D","large","Escape","control","Aug29"
"7","LCOR-101",95.8155451175507,166.369587718995,2.44242026248704,31.2728779478755,"LCOR-101",1.73635277568881,8,20,"LC-102 16-20","16-20","large","Escape","control","July20"
"8","LCOR-155",105.233797731387,167.872494498244,1.11770979981847,33.5376260480829,"LCOR-155",1.59523364277648,14,46,"LC-102 5A","5A","small","LC-102","transgenic","Jun14"
"9","LCOR-164",73.0007478972082,117.296849650111,1.28209284590509,24.0574775462595,"LCOR-164",1.60678969776139,2,11,"LC-102 5A","5A","large","LC-102","transgenic","Jun22"
"10","LCOR-164",73.0007478972082,117.296849650111,1.28209284590509,24.0574775462595,"LCOR-164",1.60678969776139,2,11,"LC-102 5A","5A","large","LC-102","transgenic","July20"
"11","LCOR-165",25.0416809706111,54.5680312747822,0.671164808363609,11.3694960112976,"LCOR-165",2.1790881905581,4,22,"LC-102 5A","5A","large","LC-102","transgenic","Aug29"
"12","LCOR-199",109.02294220481,172.119680469846,1.85911411704007,33.15728844257,"LCOR-199",1.57874734426542,8,25,"CT717 3","CT3","large","Control","control","Jun22"
"13","LCOR-203",36.4824093832256,90.2472816815168,1.61924608702246,17.8987340603319,"LCOR-203",2.47372043697892,15,10,"CT717 3","CT3","large","Control","control","July27"
"14","LCOR-204",72.7871708523511,125.294358740085,1.08849717254609,25.7780231082126,"LCOR-204",1.72137970569353,15,21,"CT717 3","CT3","large","Control","control","July20"
"15","LCOR-211",70.4984270560847,123.341379723824,1.75172659815528,24.9949298820532,"LCOR-211",1.74956215158816,15,4,"LC-102 2H","2H","large","LC-102","transgenic","July20"
"16","LCOR-228",105.600142043182,159.556374261388,0.485643289183634,31.7037188993883,"LCOR-228",1.51094848145319,8,3,"LC-102 4A","4A","large","LC-102","transgenic","July18"
"17","LCOR-229",70.4428696498245,139.345422402517,1.60448386781108,28.1220880249185,"LCOR-229",1.9781338139007,5,24,"LC-102 4A","4A","large","LC-102","transgenic","Jun22"
"18","LCOR-231",95.4325607486891,170.003906410175,2.52551737270777,32.1125517262049,"LCOR-231",1.78140359093854,11,9,"LC-102 4A","4A","large","LC-102","transgenic","July20"
"19","LCOR-242",80.1363988892985,133.604175318423,0.154044902129876,28.5271970056118,"LCOR-242",1.66720962222156,3,20,"LC-102 5A","5A","large","LC-102","transgenic","Aug29"
"20","LCOR-268",120.51821089961,176.839340813207,0.879220371659785,35.4300169086539,"LCOR-268",1.46732464324841,11,4,"LC-102 5C","5C","large","LC-102","transgenic","Jun14"
"21","LCOR-274",74.2840686832554,127.443337267822,1.51501610620535,25.819072687914,"LCOR-274",1.71562139132734,15,8,"LC-102 5C","5C","large","LC-102","transgenic","July20"
"22","LCOR-275",53.435776799734,98.1343304854196,1.19747967236095,19.8756447104027,"LCOR-275",1.83649113688768,9,17,"LC-102 5C","5C","large","LC-102","transgenic","July27"
"23","LCOR-280",78.3358962208362,135.45262848729,0.691180512197814,27.8565433790146,"LCOR-280",1.72912591828192,9,16,"LC-102 5C","5C","large","LC-102","transgenic","July18"
"24","LCOR-291",42.4704825248804,95.1210628996483,1.41029300072691,18.9771589221765,"LCOR-291",2.23969819141856,9,23,"LC-102 8-9D","8-9D","large","Escape","control","July18"
"25","LCOR-291",42.4704825248804,95.1210628996483,1.41029300072691,18.9771589221765,"LCOR-291",2.23969819141856,9,23,"LC-102 8-9D","8-9D","large","Escape","control","July20"
"26","LCOR-303",63.4886340082658,113.61083715905,1.0357798012717,23.0837809094096,"LCOR-303",1.78946734220583,8,12,"LC-102 13-15E","13-15E","large","LC-102","transgenic","Aug29"
"27","LCOR-307",86.8437031282545,144.465409156478,0.739796558233943,29.8956503546375,"LCOR-307",1.66351046711038,9,15,"LC-102 13-15E","13-15E","large","LC-102","transgenic","Jun14"
"28","LCOR-307",86.8437031282545,144.465409156478,0.739796558233943,29.8956503546375,"LCOR-307",1.66351046711038,9,15,"LC-102 13-15E","13-15E","large","LC-102","transgenic","July20"
"29","LCOR-314",72.6276867274063,128.559206996021,0.656745429158825,26.8940058497606,"LCOR-314",1.77011292509621,14,5,"LC-102 16-20","16-20","large","Escape","control","Aug29"
"30","LCOR-318",90.1116863798467,139.504843543635,0.705768659840304,29.3302318071682,"LCOR-318",1.54813264680878,15,24,"LC-102 16-20","16-20","large","Escape","control","Jun14"
"31","LCOR-322",88.6707369227668,147.227923984661,1.48901157982462,29.3064097759269,"LCOR-322",1.66038908769753,10,27,"LC-102 16-20","16-20","large","Escape","control","Jun22"
"32","LCOR-347",104.963626345362,184.128522202614,0.936816406352221,37.1388107001804,"LCOR-347",1.75421266026743,7,14,"CT717 3","CT3","large","Control","control","Jun14"
"33","LCOR-412",62.9838764556853,110.149017202901,1.32171708395632,22.6522087055544,"LCOR-412",1.74884467900925,6,48,"LC-102 8-9D","8-9D","small","Escape","control","Jun14"
"34","LCOR-456",77.5590157255421,125.250899294318,1.57257585942673,25.5751920591077,"LCOR-456",1.61491089233963,15,49,"LC-102 2H","2H","small","LC-102","transgenic","Jun22"
"35","LCOR-501",59.6764532781837,95.8281175155749,-0.193480810126727,21.1115954886238,"LCOR-501",1.60579445076719,8,50,"CT717 3","CT3","small","Control","control","July18"
"36","LCOR-546",97.4388951526961,154.460452678377,1.12446062670334,31.5676051857273,"LCOR-546",1.58520324390298,10,24,"LC-102 4A","4A","large","LC-102","transgenic","Jun14"
"37","LCOR-573",96.3105867754145,153.221105760751,1.19529185319813,31.3346688294911,"LCOR-573",1.59090615986013,6,5,"LC-102 5C","5C","large","LC-102","transgenic","Jun22"
"38","LCOR-577",99.1892813920012,137.710107083367,1.36185856414593,25.1213004124206,"LCOR-577",1.38835673724795,2,6,"LC-102 5A","5A","large","LC-102","transgenic","July18"
"39","LCOR-578",65.615201391147,99.6757672233027,1.31762036799762,19.8934442538736,"LCOR-578",1.51909565329401,8,49,"LC-102 5A","5A","small","LC-102","transgenic","July27"
"40","LCOR-610",63.9789741880906,97.4455654342197,0.652489981114294,20.4607292217268,"LCOR-610",1.52308733722021,7,16,"LC-102 13-15E","13-15E","large","LC-102","transgenic","July27"
"41","LCOR-611",79.1537282595713,121.57449129981,1.49801022856565,24.0795572721442,"LCOR-611",1.53592880554061,3,16,"LC-102 13-15E","13-15E","large","LC-102","transgenic","July18"
