"","ID","Csetpoint","E","A","Ci","Qin","gsw","VPDlead","Fs","Fm_prime","PhiPS2","PhiCO2","ETR","Tleaf","sample_date.x","event_short","construct","construct2","block","sample_date.y","tier"
"1","LCOR-003",0,0.0015758115,-1.3539704315,50.014533875,1500.21,0.090538743,1.7362697345,526.71665385,607.97,0.1336203585,0.0005353875,84.273422515,28.77,"July27","4A","LC-102","transgenic","large","July27","top"
"2","LCOR-003",100,0.001181851,1.057432842,71.59907901,1500.02,0.068816205,1.707749133,524.91904,616.56,0.148632672,0.002447382,93.72983618,28.6956,"July27","4A","LC-102","transgenic","large","July27","top"
"3","LCOR-003",200,0.001555072,3.976169464,119.6216442,1499.88,0.09006051,1.724430695,524.45024,625.67,0.16177819,0.004762027,102.0100944,28.6837,"July27","4A","LC-102","transgenic","large","July27","top"
"4","LCOR-003",300,0.001415472,6.760485695,155.1854948,1500.12,0.083386712,1.692390459,524.4198,632.05,0.170287477,0.006968743,107.3928108,28.8367,"July27","4A","LC-102","transgenic","large","July27","top"
"5","LCOR-003",400,0.001436953,10.982417218,123.964370776667,1499.90666666667,0.0814225956666667,1.77472814666667,526.314234366667,652.416666666667,0.193011403,0.0103174933333333,121.7059643,28.7378666666667,"July27","4A","LC-102","transgenic","large","July27","top"
"6","LCOR-003",600,0.001860918,18.37195625,295.6506666,1499.98,0.10964901,1.700074833,558.03392,742.32,0.248256924,0.016176119,156.550109,28.7988,"July27","4A","LC-102","transgenic","large","July27","top"
"7","LCOR-003",800,0.002194385,23.7628559,444.6199566,1499.93,0.12424175,1.775157101,592.1930769,815.03,0.273409473,0.02045124,172.4054932,28.7498,"July27","4A","LC-102","transgenic","large","July27","top"
"8","LCOR-003",1000,0.001582324,27.7048338,476.3919699,1500.2,0.094783143,1.667515847,610.27732,847.69,0.280070167,0.023572691,176.6373698,28.7209,"July27","4A","LC-102","transgenic","large","July27","top"
"9","LCOR-003",1200,0.001150705,29.6220786,404.291107,1500.05,0.064547227,1.770960099,601.81056,827.63,0.272850718,0.025095157,172.0669482,28.7364,"July27","4A","LC-102","transgenic","large","July27","top"
"10","LCOR-003",1500,0.001755833,28.70945999,995.8258241,1500.16,0.10620693,1.654678929,582.7252,785.21,0.257873435,0.024369791,162.6337862,28.7522,"July27","4A","LC-102","transgenic","large","July27","top"
"11","LCOR-003",2000,0.001344433,29.1565819,1322.203309,1499.94,0.078693046,1.701191838,559.098,746.7,0.251241462,0.024727899,158.4279294,28.7766,"July27","4A","LC-102","transgenic","large","July27","top"
"12","LCOR-040",0,0.0017447045,-1.3414456585,37.99084588,1499.9769355,0.1349546995,1.3054781595,679.86509615,758.63,0.103742925,-0.000105393,65.4200017,26.033948385,"Aug29","5C","LC-102","transgenic","large","Aug29","top"
"13","LCOR-040",100,0.001946055,2.210816472,71.93722677,1500.040968,0.151749556,1.299052001,691.3332692,790.34,0.125271062,0.002711117,78.99876635,25.99499677,"Aug29","5C","LC-102","transgenic","large","Aug29","top"
"14","LCOR-040",200,0.001662348,6.566679202,106.7722992,1499.950323,0.128969922,1.300007428,729.77192,853.56,0.145025634,0.006165109,91.45093525,26.08177097,"Aug29","5C","LC-102","transgenic","large","Aug29","top"
"15","LCOR-040",300,0.002073745,11.28224835,168.2631456,1499.917097,0.161028805,1.30683722,817.99576,976.37,0.162207196,0.009904374,102.2830913,25.95477742,"Aug29","5C","LC-102","transgenic","large","Aug29","top"
