"","tier","Csetpoint","sample_date.x.x","n.x","A_sd","A","A_se","A_qt","A_upper","A_lower","gsw_sd","gsw","gsw_se","gsw_qt","gsw_upper","gsw_lower","Ci_sd","Ci","Ci_se","Ci_qt","Ci_upper","Ci_lower","sample_date.x.y","n.y","PhiPS2_sd","PhiPS2","PhiPS2_se","PhiPS2_qt","PhiPS2_upper","PhiPS2_lower","ETR_sd","ETR","ETR_se","ETR_qt","ETR_upper","ETR_lower"
"1","WT",0,"Aug29",1,NA,-0.4260215035,NA,12.7062047361747,NA,NA,NA,0.0171179575,NA,12.7062047361747,NA,NA,NA,82.73398885,NA,12.7062047361747,NA,NA,"July18",1,NA,0.105507031,NA,12.7062047361747,NA,NA,NA,66.533267535,NA,12.7062047361747,NA,NA
"2","WT",0,"Aug29",1,NA,-0.4260215035,NA,12.7062047361747,NA,NA,NA,0.0171179575,NA,12.7062047361747,NA,NA,NA,82.73398885,NA,12.7062047361747,NA,NA,"July20",1,NA,0.12048981,NA,12.7062047361747,NA,NA,NA,75.98231777,NA,12.7062047361747,NA,NA
"3","WT",0,"Aug29",1,NA,-0.4260215035,NA,12.7062047361747,NA,NA,NA,0.0171179575,NA,12.7062047361747,NA,NA,NA,82.73398885,NA,12.7062047361747,NA,NA,"July27",1,NA,0.0910726255,NA,12.7062047361747,NA,NA,NA,57.431879735,NA,12.7062047361747,NA,NA
"4","WT",0,"July18",1,NA,-1.042550279,NA,12.7062047361747,NA,NA,NA,0.2361765085,NA,12.7062047361747,NA,NA,NA,32.64360864,NA,12.7062047361747,NA,NA,"July18",1,NA,0.105507031,NA,12.7062047361747,NA,NA,NA,66.533267535,NA,12.7062047361747,NA,NA
"5","WT",0,"July18",1,NA,-1.042550279,NA,12.7062047361747,NA,NA,NA,0.2361765085,NA,12.7062047361747,NA,NA,NA,32.64360864,NA,12.7062047361747,NA,NA,"July20",1,NA,0.12048981,NA,12.7062047361747,NA,NA,NA,75.98231777,NA,12.7062047361747,NA,NA
"6","WT",0,"July18",1,NA,-1.042550279,NA,12.7062047361747,NA,NA,NA,0.2361765085,NA,12.7062047361747,NA,NA,NA,32.64360864,NA,12.7062047361747,NA,NA,"July27",1,NA,0.0910726255,NA,12.7062047361747,NA,NA,NA,57.431879735,NA,12.7062047361747,NA,NA
"7","WT",0,"July20",1,NA,-1.5276014955,NA,12.7062047361747,NA,NA,NA,0.1559797765,NA,12.7062047361747,NA,NA,NA,41.24381803,NA,12.7062047361747,NA,NA,"July18",1,NA,0.105507031,NA,12.7062047361747,NA,NA,NA,66.533267535,NA,12.7062047361747,NA,NA
"8","WT",0,"July20",1,NA,-1.5276014955,NA,12.7062047361747,NA,NA,NA,0.1559797765,NA,12.7062047361747,NA,NA,NA,41.24381803,NA,12.7062047361747,NA,NA,"July20",1,NA,0.12048981,NA,12.7062047361747,NA,NA,NA,75.98231777,NA,12.7062047361747,NA,NA
"9","WT",0,"July20",1,NA,-1.5276014955,NA,12.7062047361747,NA,NA,NA,0.1559797765,NA,12.7062047361747,NA,NA,NA,41.24381803,NA,12.7062047361747,NA,NA,"July27",1,NA,0.0910726255,NA,12.7062047361747,NA,NA,NA,57.431879735,NA,12.7062047361747,NA,NA
"10","WT",0,"July27",1,NA,-1.1698124735,NA,12.7062047361747,NA,NA,NA,0.0717454045,NA,12.7062047361747,NA,NA,NA,52.25034476,NA,12.7062047361747,NA,NA,"July18",1,NA,0.105507031,NA,12.7062047361747,NA,NA,NA,66.533267535,NA,12.7062047361747,NA,NA
"11","WT",0,"July27",1,NA,-1.1698124735,NA,12.7062047361747,NA,NA,NA,0.0717454045,NA,12.7062047361747,NA,NA,NA,52.25034476,NA,12.7062047361747,NA,NA,"July20",1,NA,0.12048981,NA,12.7062047361747,NA,NA,NA,75.98231777,NA,12.7062047361747,NA,NA
"12","WT",0,"July27",1,NA,-1.1698124735,NA,12.7062047361747,NA,NA,NA,0.0717454045,NA,12.7062047361747,NA,NA,NA,52.25034476,NA,12.7062047361747,NA,NA,"July27",1,NA,0.0910726255,NA,12.7062047361747,NA,NA,NA,57.431879735,NA,12.7062047361747,NA,NA
"13","WT",100,"Aug29",1,NA,-0.05017141,NA,12.7062047361747,NA,NA,NA,-0.000970497,NA,12.7062047361747,NA,NA,NA,16.09436663,NA,12.7062047361747,NA,NA,"July18",1,NA,0.118831126,NA,12.7062047361747,NA,NA,NA,74.93427922,NA,12.7062047361747,NA,NA
