"","ID_2","Vcmax","Jmax","Rd","Amax","ID","Jmax_Vcmax_ratio","row","column","event","event_short","block","construct","construct2","sample_date"
"1","LCOR-003",96.2373788947309,156.905374887875,1.30679437549219,30.5053398636018,"LCOR-003",1.63039950474446,7,6,"LC-102 4A","4A","large","LC-102","transgenic","July27"
"2","LCOR-040",93.3994293641358,143.668163514506,0.428339267169557,29.7879555527412,"LCOR-040",1.53821243333712,14,11,"LC-102 5C","5C","large","LC-102","transgenic","Aug29"
"3","LCOR-063",95.3738487520238,165.495490341262,2.05255143232385,32.201115136979,"LCOR-063",1.73522923219296,11,22,"LC-102 2H","2H","large","LC-102","transgenic","Jun14"
"4","LCOR-065",79.7850898314597,117.473597077038,-0.188118287002194,25.5377343628749,"LCOR-065",1.47237531881198,11,25,"LC-102 2H","2H","large","LC-102","transgenic","Aug29"
"5","LCOR-073",111.744929789298,190.320633259667,1.68104075644881,36.3779453466535,"LCOR-073",1.70317018963211,3,7,"LC-102 13-15E","13-15E","large","LC-102","transgenic","Jun22"
"6","LCOR-092",70.5721943042986,105.764908993356,0.534319630964618,22.5117770948699,"LCOR-092",1.49867678107486,10,5,"LC-102 8-9D","8-9D","large","Escape","control","Aug29"
"7","LCOR-101",95.8155441385439,166.369588359236,2.44242021968462,31.2728781017278,"LCOR-101",1.73635280011221,8,20,"LC-102 16-20","16-20","large","Escape","control","July20"
"8","LCOR-155",105.233807255985,167.872500694114,1.11771076910888,33.5376261730322,"LCOR-155",1.5952335572708,14,46,"LC-102 5A","5A","small","LC-102","transgenic","Jun14"
"9","LCOR-164",73.0007520209271,117.296851766925,1.28209326999008,24.0574775397129,"LCOR-164",1.60678963599306,2,11,"LC-102 5A","5A","large","LC-102","transgenic","Jun22"
"10","LCOR-164",73.0007520209271,117.296851766925,1.28209326999008,24.0574775397129,"LCOR-164",1.60678963599306,2,11,"LC-102 5A","5A","large","LC-102","transgenic","July20"
"11","LCOR-165",24.4294734198928,53.4078742221464,0.426753308032189,11.3650540783948,"LCOR-165",2.18620652619784,4,22,"LC-102 5A","5A","large","LC-102","transgenic","Aug29"
"12","LCOR-199",109.022944664742,172.11968253974,1.85911441626165,33.1572885009449,"LCOR-199",1.57874732762931,8,25,"CT717 3","CT3","large","Control","control","Jun22"
"13","LCOR-203",36.4824094111884,90.2472817321427,1.61924609522334,17.8987340625041,"LCOR-203",2.47372043647056,15,10,"CT717 3","CT3","large","Control","control","July27"
"14","LCOR-204",72.7871708523511,125.294358740085,1.08849717254609,25.7780231082126,"LCOR-204",1.72137970569353,15,21,"CT717 3","CT3","large","Control","control","July20"
"15","LCOR-211",70.4984273906951,123.341380033686,1.75172665610602,24.9949298853742,"LCOR-211",1.74956214767942,15,4,"LC-102 2H","2H","large","LC-102","transgenic","July20"
"16","LCOR-228",105.600139966163,159.556372559824,0.48564303358482,31.7037188573208,"LCOR-228",1.51094849505834,8,3,"LC-102 4A","4A","large","LC-102","transgenic","July18"
"17","LCOR-229",70.4428717812696,139.345424862111,1.60448420522206,28.1220881562887,"LCOR-229",1.9781337889629,5,24,"LC-102 4A","4A","large","LC-102","transgenic","Jun22"
"18","LCOR-231",95.4325589230376,170.003906763499,2.52551725545368,32.1125519045512,"LCOR-231",1.78140362871963,11,9,"LC-102 4A","4A","large","LC-102","transgenic","July20"
"19","LCOR-242",80.1363976791465,133.604174180437,0.154044779125506,28.5271969087158,"LCOR-242",1.66720963319772,3,20,"LC-102 5A","5A","large","LC-102","transgenic","Aug29"
