"","date","SPAD","Midday_WP","ID","Response_curve","E","Emm","A","Ca","Ci","CO2_r_sp","Qin","gsw","RHcham","VPcham","VPDleaf","Fm","Fv.Fm","Fs","Fm.","PhiPS2","ETR","PhiCO2","NPQ","Fmin","Fo.","Fv..Fm.","qP","qN","qP_Fo","qN_Fo","Tleaf","sample_date"
"1","6/14/23 8:58",NA,1.21,"LCOR-307","Q",0.004569089,4.569089432,19.84310085,377.9700114,251.7453844,400,1800.036333,0.281945614,46.71588401,1.511281575,1.697262508,2499.92,"0.76069065",106.8843936,927.922,"0.88481317","669.4565106",0.013774046,"1.694105755",485.38,"485.38","0.476917241","1.855276124","0.78032603","2.490500082","0.826642634",25.15167333,"Jun14"
"2","6/14/23 8:59",NA,1.21,"LCOR-307","Q",0.004119159,4.11915914,19.45739161,378.7220118,247.9241742,400,1500.135333,0.264557091,47.25450052,1.507950337,1.626178301,2499.92,"0.76069065",122.9017655,948.798,"0.870465826","548.9700975",0.016218971,"1.634828488",482.92,"482.92","0.491019163","1.772773633","0.769024294","2.356043116","0.81566489",24.75820667,"Jun14"
"3","6/14/23 9:00",NA,1.21,"LCOR-307","Q",0.00389446,3.894460385,18.64086611,379.6894127,244.5762186,400,999.9845,0.244343007,46.53187039,1.51559298,1.658272003,2499.92,"0.76069065",137.534609,1122.98,"0.877527107","369.0796088",0.023349153,"1.226148284",489.62,"489.62","0.563999359","1.555900895","0.684942546","1.878019813","0.724070456",24.96931333,"Jun14"
"4","6/14/23 9:01",NA,1.21,"LCOR-307","Q",0.00389877,3.898769795,16.85010889,381.5478813,253.6710364,400,600.0105667,0.234840151,45.54919105,1.516686409,1.723775989,2499.92,"0.76069065",152.8271068,1739.33,"0.912134496","230.4074239",0.035332412,"0.437289071",545.93,"545.93","0.686126267","1.32939743","0.389249689","1.390357184","0.399959873",25.318,"Jun14"
"5","6/14/23 9:02",NA,1.21,"LCOR-307","Q",0.003699582,3.699581526,10.80030116,387.6784213,300.2538657,400,300.0450667,0.229065503,46.18101819,1.512731618,1.675717163,2499.92,"0.76069065",168.3722599,2171.22,"0.922452695","116.6547986",0.046655687,"0.151389541",609.71,"609.71","0.719185527","1.282635231","0.173896022","1.273293913","0.17284846",25.04621333,"Jun14"
"6","6/14/23 9:04",NA,1.21,"LCOR-307","Q",0.00350945,3.509449765,5.865863975,392.6719268,339.9144288,400,149.9629,0.224691254,47.01784961,1.5107354,1.619743563,2499.92,"0.76069065",184.8100909,2331.43,"0.920731014","58.19178866",0.054317061,"0.072268951",635.85,"635.85","0.727270388","1.266009218","0.090388236","1.23854715","0.088601269",24.7387,"Jun14"
"7","6/14/23 9:05",NA,1.21,"LCOR-307","Q",0.003507118,3.507117708,1.571971446,396.9913854,375.0149531,400,50.01574194,0.220536129,46.61420591,1.513825113,1.647603117,2499.92,"0.76069065",205.4816565,2486.27,"0.917353443","19.33242128",0.061022022,"0.005490152",638.33,"638.33","0.743257973","1.234232899","0.007332442","1.208034584","0.007177917",24.90349032,"Jun14"
"8","6/14/23 9:07",NA,1.21,"LCOR-307","Q",0.003469881,3.469881225,-0.895880451,399.4656462,395.7766248,400,0.0499931,0.21714672,46.17157423,1.516113783,1.654485601,2800.8,"0.921637108",0,0,"0","0",0,"0",0,"0","0","0","0","0","0",24.95205161,"Jun14"
"23","6/14/23 9:48",NA,0.9,"LCOR-318","Q",0.004482703,4.48270282,22.01725657,412.7822982,270.8993072,436.591,1799.983548,0.277363712,47.05465557,1.518920168,1.690816319,2800.8,"0.921637108",404.6601777,942.845,"0.570809436","431.8661994",0.015142462,"1.970583712",501.93,"501.93","0.467643144","1.220609011","0.808203596","0.744000498","0.719769005",25.1579129,"Jun14"
"24","6/14/23 9:49",NA,0.9,"LCOR-318","Q",0.004014523,4.014523134,21.09831172,410.1520735,263.5828758,432.592,1499.984516,0.255098957,47.31180333,1.512884001,1.640341952,2800.8,"0.921637108",409.1870368,964.718,"0.575848034","363.1291515",0.017439129,"1.903231825",494.14,"494.14","0.487788141","1.180528973","0.795991607","0.745439792","0.711295437",24.85995484,"Jun14"
"25","6/14/23 9:51",NA,0.9,"LCOR-318","Q",0.003698024,3.698024167,20.02297755,409.9036111,262.1850691,431.514,1000.0646,0.239166116,46.78400419,1.509960667,1.607376173,2800.8,"0.921637108",412.5598885,1140.87,"0.638381333","268.5186037",0.024866449,"1.454968577",500.59,"500.59","0.561220823","1.137486899","0.721642807","0.790446123","0.643054414",24.66829333,"Jun14"
"26","6/14/23 9:52",NA,0.9,"LCOR-318","Q",0.003666185,3.66618499,17.88395915,409.8971801,269.0675409,429.44,599.9965333,0.225166746,45.39551272,1.520047716,1.687557046,2800.8,"0.921637108",416.3647974,1700.73,"0.755184658","190.7570363",0.037173587,"0.646822247",554.38,"554.38","0.674034091","1.120395344","0.489699166","0.867081284","0.426165483",25.14675667,"Jun14"
"27","6/14/23 9:53",NA,0.9,"LCOR-318","Q",0.003633661,3.63366063,11.46411956,410.1633873,313.781431,423.137,299.9965,0.219613393,44.69361597,1.511447447,1.713055828,2800.8,"0.921637108",420.4355202,2053.18,"0.79522715","100.5491318",0.048876641,"0.364127841",621.37,"621.37","0.697362141","1.140335994","0.343034647","0.890409228","0.289626877",25.23501667,"Jun14"
"28","6/14/23 9:54",NA,0.9,"LCOR-318","Q",0.003439656,3.439656136,5.832812119,410.3058935,354.915901,417.474,150.0174333,0.213572619,45.41033056,1.5120068,1.665951801,2800.8,"0.921637108",424.776001,2197.91,"0.806736399","51.00579036",0.053212402,"0.274301496",648.11,"648.11","0.705124414","1.144105045","0.280063548","0.896232322","0.23355869",24.99093,"Jun14"
"29","6/14/23 9:56",NA,0.9,"LCOR-318","Q",0.003320027,3.320027412,1.305855235,410.4162566,389.2371124,412.845,50.00359355,0.2054872,45.44269488,1.510407789,1.668884567,2800.8,"0.921637108",430.4489088,2381.31,"0.819238609","17.26054917",0.052250565,"0.176159341",662.99,"662.99","0.721586018","1.135330492","0.196224173","0.902411382","0.162509802",24.99796774,"Jun14"
"30","6/14/23 9:57",NA,0.9,"LCOR-318","Q",0.003166141,3.166140815,-1.087558873,410.3581948,408.6139828,410.459,0.0499931,0.197732573,45.67778333,1.514170059,1.65172266,2739.22,"0.841467089",0,0,"0","0",0,"0",0,"0","0","0","0","0","0",24.92714516,"Jun14"
"45","6/14/23 10:55",NA,0.5,"LCOR-412","Q",0.001604368,1.604367984,11.57436878,412.6711162,218.8753245,424.756,1800.001613,0.101365208,47.99063701,1.505965708,1.604622664,2739.22,"0.841467089",471.0238221,855.469,"0.449396972","340.0105479",0.008367729,"2.202009658",508.13,"508.13","0.406021726","1.106829863","0.844318696","0.912710798","0.817258502",24.63203871,"Jun14"
"46","6/14/23 10:56",NA,0.5,"LCOR-412","Q",0.001381427,1.381427185,10.2578818,410.2210886,205.0904799,420.936,1499.974,0.084455538,47.06805222,1.513505642,1.652605176,2739.22,"0.841467089",473.0412344,863.226,"0.452007661","285.0336651",0.008995825,"2.173236209",504.64,"504.64","0.415402224","1.088120466","0.839528681","0.90958631","0.813893156",24.9283,"Jun14"
"47","6/14/23 10:57",NA,0.5,"LCOR-412","Q",0.001238903,1.238902779,9.627764395,410.040656,197.7245751,420.142,1000.0179,0.076315317,46.47390803,1.515562202,1.637954548,2739.22,"0.841467089",474.4935521,914.76,"0.481291757","202.4335001",0.012738002,"1.994468494",490.7,"490.7","0.463575145","1.038217346","0.811404835","0.916260687","0.791535318",24.8615,"Jun14"
