obs,time,elapsed,date,hhmmss,averaging,SPAD,Midday_WP,ID,Leaf,Response_curve,A,Ca,Qin,TIME,E,Emm,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd/dt,αVc,Edyn,Hr,Hs,dHs/dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,DarkAdaptedID,Qmax_d,Fo,Fm,Fv/Fm,A_dark,LightAdaptedID,Qmax,Fs,Fm',PhiPS2,PS2/1,Qabs_fs,A_fs,ETR,PhiCO2,NPQ,alt._Fo',DarkPulseID,Fmin,Fo',Fv'/Fm',qP,qN,qP_Fo,qN_Fo,qL,1-qL,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,F_avg,dF/dt,dF_dc/dt,F_dc_avg,period,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
1,1692978524,0,20230825 08:48:43,8:48:43,5,,,LCOR-001,9,Q,14.58252757,409.8311935,1500.02871,1692978516,0.002467149,2.46714941,277.6677387,28.01663835,41.35191357,0.192607066,2.943437001,0.185869186,0.116753976,241.7415938,25.51897369,24.89490968,3.159810125,59.22233107,1.853781859,3.130207517,1.306028266,-108.801289,-25.01873026,-1.794593882,106.1269807,14.58252757,2.46714941,14.38819426,432.4565082,417.6978606,0.030138906,67.22748661,2.459404858,15.97009305,18.38274364,0.000283232,78.55,21,3,1,0,53702.085,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1261.235003,14.58252757,#DIV/0!,0.011562102,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1261.235003,0.840807242,0.161157978,6,0.5,0: Broadleaf,2,FALSE,1692978516,409.8311935,425.4246129,18.37249032,15.95070323,410.5353226,18.26816129,600.0085806,100.799871,0.09999761,24.73724839,24.89490968,999.9,0,0,9999.396774,0,646.814,1500.02871,0.973002097,0.026998116,0,853.9515484,5.00022,14271.78065,14099.49032,36.22348387,39.33845161,36.90696774,37.22551613,38.03796774,1454.665806,40.36290323,0,1692978525,0,853.56052,-38.75323085,-654.5153857,14264.632,15,1692978399,8:46:39,1692978399,1692978399,2,0.302,-0.019,-0.679,0.059,422,16,0.28,0.05,100,100,-0.704,0.1045,-1.19456216,0.000439478,2.00E-06,-3.80E-10,-0.071131448,-0.011920631,0.001912794,-4.02E-05,23,2006,0,18,2.1,2.1,1.0498,2.58423,1.39771,2.27295,1.39526,2.42432,34.5092,15.7606,18,584.245,377.483,21.6792,27.7277,30,27.4499,27.7958,21.0489,8.24483,81.4546,21.68,425.94,16.0435,98.6321,93.2816
2,1692978684,160.5,20230825 08:51:24,8:51:24,5,,,LCOR-001,9,Q,14.0828716,410.0547419,999.9782581,1692978676,0.002290384,2.290384164,274.085715,27.65525402,41.37453151,0.180015984,2.943359882,0.174115576,0.109336252,161.9012854,24.77813102,24.4506871,3.077022752,58.01002636,1.781701335,3.071367911,1.295321418,-101.0059416,-4.875133383,-0.348362973,55.6718474,14.0828716,2.290384164,14.28125096,431.773163,417.3635758,-0.02077991,67.22180366,2.276722399,15.40492744,17.64209091,-0.000122563,78.55,20,3,1,0,53757.11538,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,841.1759106,14.0828716,#DIV/0!,0.016741886,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,841.1759106,0.8411942,0.161904806,6,0.5,0: Broadleaf,2,FALSE,1692978676,410.0547419,425.0764839,17.6580871,15.40819355,410.6732258,17.56676452,600.0124839,100.8,0.100019632,24.41996452,24.4506871,999.9,0,0,9998.945484,0,669.8436774,999.9782581,0.959993419,0.040006629,0,753.9639032,5.00022,8762.31,9346.014839,34.96541935,38.93322581,36.32841935,37.63280645,36.90496774,955.1725806,39.80580645,0,1692978686,0,753.76156,-13.81900002,-104.8738463,8760.7492,15,1692978615,8:50:14,1692978615,1692978606,3,0.085,0,-0.594,0.05,422,15,0.29,0.04,100,100,-0.618,0.091,-1.109108381,0.000439478,2.00E-06,-3.80E-10,-0.071575729,-0.011920631,0.001912794,-4.02E-05,23,2006,0,18,1.2,1.3,1.07178,2.56714,1.39771,2.27295,1.39526,2.49023,34.8985,15.7694,18,584.989,375.159,21.6796,27.7334,30.0001,27.477,27.8213,21.4822,11.3785,76.4935,21.68,425.078,15.4287,98.6332,93.2879
3,1692978849,325,20230825 08:54:08,8:54:08,5,,,LCOR-001,9,Q,12.97660668,410.0111333,499.9838333,1692978841,0.002005806,2.005805537,267.2309342,26.96468063,41.37177942,0.156899742,2.94373224,0.152397557,0.095642216,82.09071052,24.24513893,24.04768333,3.003563841,56.02060957,1.706494827,3.046191107,1.297069014,-88.45602417,37.27815747,2.656201093,33.56904492,12.97660668,2.005805537,12.72796292,430.2450176,417.1689091,0.034007546,67.21589841,2.002385292,14.93660232,16.90530061,-3.63E-05,78.55,20,3,1,0,53792.97075,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,421.1746535,12.97660668,#DIV/0!,0.030810512,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,421.1746535,0.842376544,0.16418673,6,0.5,0: Broadleaf,2,FALSE,1692978841,410.0111333,423.8099333,16.91205667,14.94020333,410.5908333,16.83449667,600.0091,100.8040667,0.09997242,24.28257667,24.04768333,999.9,0,0,10000.65933,0,695.3283333,499.9838333,0.919986733,0.080013487,0,784.4002333,5.00022,5031.178333,4592.035333,36.69563333,41.31856667,38.531,40.9081,38.8289,455.3783333,39.608,0,1692978850,0,784.44384,4.515999988,33.90153849,5031.6328,15,1692978769,8:52:48,1692978769,1692978769,4,0.039,0,-0.556,0.039,422,15,0.34,0.11,100,100,-0.579,0.0774,-1.070253938,0.000439478,2.00E-06,-3.80E-10,-0.072027142,-0.011920631,0.001912794,-4.02E-05,23,2006,0,18,1.3,1.3,1.08276,2.58789,1.39771,2.27295,1.39526,2.36572,35.1286,15.7694,18,585.148,373.592,21.6797,27.6479,29.9998,27.4209,27.7661,21.7057,13.2082,70.0297,21.68,423.656,14.9633,98.66,93.3167
4,1692978961,437.5,20230825 08:56:01,8:56:01,5,,,LCOR-001,9,Q,9.292311416,410.005129,250.0010968,1692978953,0.001929839,1.929838603,302.5002935,30.52463322,41.37270756,0.15217602,2.943438886,0.147936492,0.092831375,41.31911492,23.97242766,23.84639032,2.967450104,55.37193176,1.681425695,3.036602917,1.286024408,-85.1058824,60.87272127,4.332274445,21.41822823,9.292311416,1.929838603,9.249015564,426.6211903,416.9237273,0.067897252,67.21380408,1.889348476,14.7559751,16.62119273,-0.00137271,78.55,20,3,1,0,53793.96095,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,210.7361233,9.292311416,#DIV/0!,0.044094535,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,210.7361233,0.842940795,0.165275735,6,0.5,0: Broadleaf,2,FALSE,1692978953,410.005129,420.0883871,16.66299355,14.76536774,410.5775484,16.59003548,600.0176774,100.8077742,0.100006297,24.22999355,23.84639032,999.9,0,0,9998.623548,0,708.6188387,250.0010968,0.899975419,0.100024632,0,840.14,5.00022,3154.559355,2258.69,35.78606452,41.01187097,37.75374194,39.22558065,38.23558065,220.4945161,24.50677419,0,1692978962,0,840.1334615,5.682188048,-5.375384674,3154.634231,15,1692978923,8:55:22,1692978923,1692978916,5,0.008,0,-0.554,0.039,420,15,0.36,0.07,100,100,-0.572,0.0722,-1.062924244,0.000439478,2.00E-06,-3.80E-10,-0.072146651,-0.011920631,0.001912794,-4.02E-05,23,2006,0,18,0.6,0.8,1.08032,2.58545,1.39771,2.27295,1.39526,2.38403,35.1747,15.7606,18,585.252,372.249,21.6798,27.5971,30.0002,27.384,27.7309,21.6609,14.0801,65.7712,21.68,420.107,14.761,98.6679,93.3248
5,1692979022,498,20230825 08:57:01,8:57:01,5,,,LCOR-001,9,Q,3.805161583,410.4982333,99.99674,1692979014,0.001856483,1.856483431,359.7081234,36.29636116,41.42133904,0.145740424,2.943670256,0.141847255,0.088995658,16.50954173,23.68755371,23.62396,2.927986264,54.42976188,1.637225245,3.007959595,1.29076102,-81.87091932,71.1099155,5.050737991,10.79927591,3.805161583,1.856483431,4.47672221,421.0411308,416.9487758,-0.098419578,67.21380408,1.860456266,14.39100722,16.22872606,-0.00139686,78.55,20,3,1,0,53829.29632,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,84.28226783,3.805161583,#DIV/0!,0.045147831,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,84.28226783,0.842850155,0.1651008,6,0.5,0: Broadleaf,2,FALSE,1692979014,410.4982333,415.0654667,16.22540667,14.39905,411.0012333,16.19340667,600.0015,100.8050667,0.09996939,24.07204,23.62396,999.9,0,0,10000.20767,0,710.8336,99.99674,0.899967833,0.100032203,0,793.3137,5.00022,1810.280333,875.7811,34.01223333,39.54556667,36.21016667,37.18716667,36.58303333,85.49433333,9.5,0,1692979023,0,793.25524,-11.37715386,-33.18769243,1810.1156,15,1692979049,8:57:28,1692979049,1692979046,6,0.06,-0.001,-0.503,0.032,415,14,0.79,0.1,100,100,-0.503,0.032,-1.062924244,0.000439478,2.00E-06,-3.80E-10,-0.072146651,-0.011920631,0.001912794,-4.02E-05,23,2006,0,18,1.6,1.8,1.07178,2.57812,1.39771,2.27417,1.39526,2.63062,35.2209,15.7694,18,585.11,371.811,21.6796,27.5924,30.0001,27.3751,27.724,21.4801,15.8836,62.6696,21.68,415.127,14.3656,98.663,93.3286
6,1692979170,646,20230825 08:59:29,8:59:29,5,,,LCOR-001,9,Q,1.612209072,410.0540323,49.99189677,1692979162,0.001846868,1.846867809,383.5880275,38.70715601,41.37779143,0.145089936,2.943578229,0.14123083,0.088607445,8.239820895,23.42459629,23.49016774,2.904470418,54.3760192,1.614446977,2.969042238,1.29002344,-81.44687039,57.9459035,4.108577195,-11.1525688,1.612209072,1.846867809,1.729092189,418.3705178,416.6192242,-0.00058339,67.18470423,1.759399949,14.15671073,15.93148788,-0.00812284,78.55,21,3,1,0,53865.96043,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,42.12848561,1.612209072,#DIV/0!,0.038268859,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,42.12848561,0.842706285,0.16482313,6,0.5,0: Broadleaf,2,FALSE,1692979162,410.0540323,412.4235484,15.99917419,14.18186129,410.5990323,15.93877097,600.0021613,100.8081613,0.099982948,23.85530968,23.49016774,999.9,0,0,9999.377419,0,720.9507419,49.99189677,0.899818,0.100182,0,773.2579355,5.00022,1377.537419,414.7622581,32.79009677,39.03809677,35.56835484,37.40493548,35.46148387,40.48451613,4.51,0,1692979171,0,773.2291154,-3.160649575,26.9733333,1377.645769,15,1692979133,8:58:53,1692979133,1692979130,7,-0.033,0,-0.541,0.028,412,14,1.38,0.13,100,100,-0.546,0.0591,-1.035572418,0.000439478,2.00E-06,-3.80E-10,-0.072741284,-0.011920631,0.001912794,-4.02E-05,23,2006,0,18,0.6,0.7,1.07056,2.58667,1.39771,2.27417,1.39526,2.62817,35.2671,15.7606,18,584.774,369.876,21.6792,27.5854,30,27.3608,27.7078,21.444,16.5669,57.3275,21.68,412.47,14.1641,98.6723,93.3355
7,1692979253,729.5,20230825 09:00:53,9:00:53,5,,,LCOR-001,9,Q,-0.857392573,410.2295333,0.00500022,1692979245,0.001761672,1.76167212,411.8054866,41.55559327,41.39656267,0.138369309,2.94414409,0.134855428,0.084592918,3.99E-05,23.38505426,23.46993333,2.900928358,54.34253499,1.612168025,2.966677991,1.288760333,-77.68974049,59.06622118,4.186498186,-14.43698122,-0.857392573,1.76167212,-0.839985204,415.8355164,416.7064061,-0.004109306,67.18040145,1.724237959,14.16665806,15.91297879,-0.009271255,78.55,20,3,1,0,53885.04673,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,0.000210018,-0.857392573,#DIV/0!,-4082.462513,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.000210018,0.042001848,0.007980351,6,0.5,0: Broadleaf,2,FALSE,1692979245,410.2295333,410.0948333,15.97618,14.24268667,410.7515333,15.91445667,600.0117667,100.8107667,0.099965767,23.84206333,23.46993333,999.9,0,0,10002.33667,0,737.2805,0.00500022,0,0,0,594.5533333,0.00500022,1059.883333,-0.146666667,33.3998,40.15393333,36.3498,38.74546667,35.9664,0,0,0,1692979255,0,594.65,-1.117948439,-374.3042724,1058.369231,15,1692979221,9:00:21,1692979216,1692979221,8,0.023,0.002,-0.522,0.028,410,14,0.87,0.05,100,100,-0.522,0.0605,-1.012739446,0.000439478,2.00E-06,-3.80E-10,-0.070958344,-0.011920631,0.001912794,-4.02E-05,23,2006,0,18,0.6,0.5,1.06567,2.57324,1.39771,2.27539,1.39526,2.64038,35.3365,15.7519,18,585.168,369.588,21.6799,27.569,30,27.3459,27.6917,21.3692,16.3665,53.8615,21.68,410.169,14.1341,98.6759,93.3418
22,1692981084,2560.1,20230825 09:31:23,9:31:23,5,,,LCOR-231,9,Q,14.78252083,407.0833333,1499.971,1692981076,0.002071132,2.071132296,246.5223095,24.87760671,41.08049728,0.157978473,2.943722487,0.153415123,0.096283471,241.7321182,24.92909346,24.23552667,3.037610602,56.85297969,1.707278557,3.002971112,1.330332045,-91.33693425,-30.3327069,-2.160771012,117.9017061,14.78252083,2.071132296,13.27254606,429.586289,415.7060061,0.089246241,67.20510448,2.199996262,14.91840976,17.03597152,0.008398165,78.55,4,1,1,0,53836.0386,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1261.18639,14.78252083,#DIV/0!,0.011721123,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1261.18639,0.840807182,0.161157861,6,0.5,0: Broadleaf,2,FALSE,1692981076,407.0833333,422.7082667,16.91811667,14.88211667,407.1913333,16.87611667,600.0273,100.8142,0.100020547,24.04439667,24.23552667,999.9,0,0,9999.598667,0,216.044,1499.971,0.973003967,0.026996333,0,1538.973,5.00022,24468.72667,14098.96333,34.45596667,40.2562,36.43526667,37.3685,36.2998,1454.613,40.35833333,0,1692981085,0,1535.3516,-362.5746159,-5389.000008,24414.176,15,1692981107,9:31:46,1692981102,1692981107,23,-1.122,-0.002,-0.108,0.042,424,15,0.46,0.04,100,100,-0.108,0.042,0.497844244,0.000439478,2.00E-06,-3.80E-10,-0.071335791,-0.011920631,0.001912794,-4.02E-05,23,2006,0,18,6.2,6.3,1.10352,2.6001,1.39771,2.27905,1.39526,2.65259,36.0816,15.4279,18,603.255,361.06,21.6783,28.5948,30.0001,28.3548,28.6988,22.1207,6.81194,0,21.68,423.794,14.9842,98.4947,93.1973
23,1692981228,2704.1,20230825 09:33:47,9:33:47,5,,,LCOR-231,9,Q,15.44108077,409.8068333,999.9779667,1692981220,0.002152532,2.152532456,251.5834064,25.38806949,41.35489105,0.167761485,2.943785782,0.162625451,0.102089261,161.9009237,24.67185834,24.17472667,3.026553809,56.55454243,1.722282068,3.045347013,1.304271741,-94.92668132,16.38262726,1.168020456,84.52489013,15.44108077,2.152532456,15.11594624,432.092534,417.003103,-0.056003834,67.13818117,2.17584069,14.91840078,17.05974606,-0.000503984,78.55,5,1,1,0,53795.57521,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,841.1755025,15.44108077,#DIV/0!,0.018356551,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,841.1755025,0.841194037,0.161904491,6,0.5,0: Broadleaf,2,FALSE,1692981220,409.8068333,426.1295333,17.06697667,14.95124667,409.8531333,16.99105667,600.0185,100.8131,0.10003195,24.27795333,24.17472667,999.9,0,0,10000.06767,0,218.4641667,999.9779667,0.959997333,0.0400025,0,1013.964667,5.00022,11298.81333,9346.021667,36.81646667,41.02686667,38.0935,40.52686667,38.58516667,955.177,39.80033333,0,1692981229,0,1013.0524,-88.69615399,-895.1461551,11289.804,15,1692981197,9:33:16,1692981197,1692981187,24,0.088,-0.003,-0.016,0.032,426,15,0.47,0.07,100,100,-0.046,0.0758,-0.535382922,0.000439478,2.00E-06,-3.80E-10,-0.076529528,-0.011920631,0.001912794,-4.02E-05,23,2006,0,18,0.5,0.7,1.1084,2.60254,1.39771,2.27905,1.39526,2.63062,36.1989,15.4104,18,602.694,359.911,21.6816,28.6383,30.0002,28.3741,28.7167,22.1952,8.25605,0,21.68,425.765,14.858,98.4819,93.1851
24,1692981348,2824.1,20230825 09:35:47,9:35:47,5,,,LCOR-231,9,Q,13.33986048,409.9468667,499.9945,1692981340,0.002165339,2.165338812,273.498229,27.6000693,41.36978133,0.169616156,2.94343275,0.164367236,0.103187586,82.09252719,24.19624611,23.84205,2.966675612,54.77402317,1.667769795,3.044818873,1.298905817,-95.49144163,68.71277487,4.891262834,60.20512327,13.33986048,2.165338812,13.520817,430.4796649,416.7808,-0.004192585,67.15907544,2.135945907,14.39375613,16.49829394,-0.000727096,78.55,5,1,1,0,53785.78256,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,421.1836727,13.33986048,#DIV/0!,0.031672311,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,421.1836727,0.842376612,0.16418686,6,0.5,0: Broadleaf,2,FALSE,1692981340,409.9468667,424.1740667,16.52648333,14.39698,409.9002667,16.46211667,600.0141,100.8149667,0.100016947,24.27506,23.84205,999.9,0,0,9997.875333,0,219.0822333,499.9945,0.919983867,0.08001628,0,881.1719,5.00022,5357.235667,4592.129667,37.7185,41.8645,39.3289,41.4582,39.59556667,455.3873333,39.61,0,1692981349,0,881.06236,-10.77007694,-42.26153855,5356.8468,15,1692981307,9:35:06,1692981307,1692981296,25,0.093,-0.002,0.074,0.028,424,14,0.35,0.05,100,100,0.047,0.0638,-0.442669059,0.000439478,2.00E-06,-3.80E-10,-0.078385873,-0.011920631,0.001912794,-4.02E-05,23,2006,0,18,0.7,0.9,1.10474,2.60986,1.39771,2.27905,1.39526,2.58789,36.3165,15.3929,18,602.637,358.971,21.6807,28.6977,30.0001,28.4128,28.7542,22.1258,11.9145,0,21.68,424.55,14.3634,98.473,93.1785
