obs,time,elapsed,date,hhmmss,averaging,SPAD,Midday_WP,ID,Leaf number,Response_curve,A,Ca,Qin,TIME,E,Emm,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd/dt,αVc,Edyn,Hr,Hs,dHs/dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,DarkAdaptedID,Qmax_d,Fo,Fm,Fv/Fm,A_dark,LightAdaptedID,Qmax,Fs,Fm',PhiPS2,PS2/1,Qabs_fs,A_fs,ETR,PhiCO2,NPQ,alt._Fo',DarkPulseID,Fmin,Fo',Fv'/Fm',qP,qN,qP_Fo,qN_Fo,qL,1-qL,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,F_avg,dF/dt,dF_dc/dt,F_dc_avg,period,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
1,1693334174,0,20230829 11:36:13,11:36:13,5,,,LCOR-065,,Q,10.29914006,399.2181818,1500.016364,1693334171,0.001184045,1.184044655,157.3722113,16.0014163,40.59202236,0.071120396,2.957847617,0.070183862,0.04394803,241.7394553,29.11301631,28.20336364,3.840062373,57.3054289,2.175421446,3.796187356,1.664640927,-52.21636927,-31.45779574,-2.320686459,155.7446038,10.29914006,1.184044655,10.64161106,418.4376048,407.8175818,-0.053056866,67.23071887,1.183550152,20.23714348,21.39586303,-9.67E-05,78.55,0,0,1,0,53554.34405,RECT-1119-20230829-11_30_23,8150.18,559.1730769,2573.72,0.782737409,-1.646419819,RECT-1120-20230829-11_36_16,8169.62,823.5955385,962.85,0.144627368,0.5,1261.224545,10.29914006,91.20379339,0.009471398,1.673022797,410.1056974,DARK-1121-20230829-11_36_22,548.93,548.93,0.429890429,0.336428444,0.795573862,0.344965128,0.799619002,0.224231018,0.775768982,1261.224545,0.840807191,0.161157879,6,0.5,0: Broadleaf,2,FALSE,1693334171,399.2181818,409.9898182,21.39503636,20.23634545,399.3877273,21.2625,600.0109091,101.5788182,0.099973545,28.00609091,28.20336364,999.9,0,0,10004.25909,0,803.8975455,1500.016364,0.973005727,0.026994064,0,816.7976364,5.00022,12861.97273,14099.37273,37.693,41.23845455,38.14181818,38.67009091,39.49427273,1454.656364,40.36,0,352,0,823.5955385,-92.12635897,-1488.724786,12971.91538,15,1693334146,11:35:46,1693334139,1693334146,43,0.428,0.013,-0.15,0.133,410,20,0.33,0.1,100,100,-0.17,0.1326,-0.539125146,-1.58E-05,2.57E-06,-5.48E-10,0.13251,0,0,0,21,1995,1,16,0.6,0.5,1.08032,2.62329,1.39771,2.27173,1.39526,2.6355,35.638,15.2528,18,603.648,377.098,26.9994,28.076,30.0002,27.7916,28.1373,21.6526,0,100,27,410,25.804,98.5753,93.1569
2,1693334289,115.5,20230829 11:38:09,11:38:09,5,,,LCOR-065,,Q,9.874067069,399.6969091,999.9960909,1693334286,0.001093568,1.093567888,161.2886301,16.39954435,40.640479,0.069083719,2.957481671,0.068199589,0.042703236,161.904374,28.48267133,27.81858182,3.754889921,57.84507011,2.172016402,3.754885936,1.582873519,-48.22634388,-0.002898977,-0.000213279,113.6749178,9.874067069,1.093567888,10.03160168,418.4862771,408.3634909,-0.025649907,67.14044737,1.095953353,20.29195917,21.36401273,9.00E-05,78.55,0,0,1,0,53577.05052,RECT-1119-20230829-11_30_23,8150.18,559.1730769,2573.72,0.782737409,-1.646419819,RECT-1122-20230829-11_38_11,8197.12,694.81652,913.02,0.238990909,0.5,841.1910158,9.874067069,100.5185029,0.013695447,1.818908677,400.7889671,DARK-1123-20230829-11_38_18,499.2,499.2,0.453243083,0.527290803,0.800522531,0.616660668,0.824354092,0.378838961,0.621161039,841.1910158,0.841194304,0.161905007,6,0.5,0: Broadleaf,2,FALSE,1693334286,399.6969091,410.008,21.36166364,20.29146364,399.9006364,21.23367273,600.0041818,101.5782727,0.099969145,27.81856364,27.81858182,999.9,0,0,10002.23636,0,813.0486364,999.9960909,0.959991,0.040009036,0,692.7894545,5.00022,7266.461818,9346.178182,34.818,38.53381818,35.63627273,36.31227273,37.09636364,955.1863636,39.81,0,113,0,694.81652,-27.01076918,-366.1630764,7293.7196,15,1693334241,11:37:20,1693334241,1693334233,44,-0.035,-0.005,-0.185,0.128,410,20,0.78,0.14,100,100,-0.204,0.1279,-0.573777398,-1.58E-05,2.57E-06,-5.48E-10,0.127990476,0,0,0,21,1995,1,16,0.8,0.9,1.08032,2.62817,1.39771,2.27173,1.39526,2.57568,35.7078,15.244,18,605.081,377.247,27.001,28.0925,30.0002,27.8243,28.1699,21.657,0,100,27,410,24.0073,98.5779,93.1615
3,1693334379,205.5,20230829 11:39:39,11:39:39,5,,,LCOR-065,,Q,8.835339301,400.7728,499.9938,1693334376,0.000870186,0.870186108,155.3745637,15.79819796,40.74983626,0.059752763,2.956654335,0.059089918,0.03699014,82.09185314,27.66917009,27.12637,3.605810509,58.65323857,2.150837529,3.667039675,1.45497298,-38.37520738,45.79059339,3.351373865,92.85861301,8.835339301,0.870186108,9.042303675,418.4432834,409.3670545,-0.033734206,67.14886317,0.863943508,20.30120118,21.14866061,-0.000335588,78.55,0,0,1,0,53625.11732,RECT-1119-20230829-11_30_23,8150.18,559.1730769,2573.72,0.782737409,-1.646419819,RECT-1124-20230829-11_39_41,8201.01,708.0852,1290.9,0.451479433,0.5,421.1827934,8.835339301,95.07768436,0.024886485,0.993740801,459.8830779,DARK-1125-20230829-11_39_48,530,530,0.589433728,0.765954528,0.627688724,0.796492218,0.636778417,0.573315047,0.426684953,421.1827934,0.842376032,0.164185742,6,0.5,0: Broadleaf,2,FALSE,1693334376,400.7728,409.9569,21.15339,20.30161,401.0802,21.02343,599.9991,101.5781,0.10004847,27.41364,27.12637,999.9,0,0,9997.56,0,725.545,499.9938,0.9199953,0.0800043,0,708.6827,5.00022,3744.023,4592.142,34.312,38.625,36.0372,35.3874,36.3246,455.393,39.6,0,87.79999995,0,708.0852,8.019769244,24.56615388,3742.018,15,1693334352,11:39:12,1693334352,1693334351,45,-0.106,0.002,-0.291,0.13,410,20,0.36,0.14,100,100,-0.308,0.13,-0.680113748,-1.58E-05,2.57E-06,-5.48E-10,0.129938095,0,0,0,21,1995,1,16,0.5,0.5,1.08154,2.62451,1.39771,2.27173,1.39526,2.58179,35.801,15.244,18,604.512,376.748,26.9987,28.0943,30,27.8389,28.184,21.6592,0,100,27,410,24.0222,98.5814,93.1623
4,1693334508,334,20230829 11:41:47,11:41:47,5,,,LCOR-065,,Q,6.978424712,402.7299,249.9737,1693334505,0.000783477,0.783477147,193.8536479,19.71187146,40.95130584,0.055740224,2.956942249,0.055163005,0.034528241,41.31432687,27.26741204,26.85722,3.549255123,59.14740321,2.145479641,3.627343763,1.403775481,-34.55134217,59.08864177,4.314406699,70.16603317,6.978424712,0.783477147,6.917436461,418.5461135,411.433697,0.011328177,67.13965382,0.788386336,20.33158199,21.10270545,0.000114446,78.55,0,0,1,0,53666.84,RECT-1119-20230829-11_30_23,8150.18,559.1730769,2573.72,0.782737409,-1.646419819,RECT-1126-20230829-11_41_50,8187.58,764.74532,2082.96,0.632856454,0.5,210.7128947,6.978424712,66.67550771,0.040931736,0.235607021,531.9436315,DARK-1127-20230829-11_41_56,589.93,589.93,0.716782847,0.882912386,0.247385056,0.865091215,0.243608126,0.681084919,0.318915081,210.7128947,0.842940256,0.165274694,6,0.5,0: Broadleaf,2,FALSE,1693334505,402.7299,410.0237,21.09942,20.33249,403.1959,20.96734,600.0127,101.5844,0.0998947,27.22788,26.85722,999.9,0,0,9998.573,0,584.4548,249.9737,0.9000024,0.09999759,0,764.7332,5.00022,2066.665,2258.454,34.7248,39.5248,36.8624,36.2498,36.8372,220.478,24.5,0,126.2,0,764.74532,1.11615385,0.98692311,2066.9,15,1693334467,11:41:06,1693334467,1693334465,46,-0.162,0.002,-0.453,0.132,410,20,0.89,0.1,100,100,-0.466,0.1321,-0.842205743,-1.58E-05,2.57E-06,-5.48E-10,0.13206,0,0,0,21,1995,1,16,0.7,0.7,1.08154,2.63306,1.39771,2.27173,1.39526,2.53784,35.8711,15.2353,18,605.804,376.856,27,27.9876,29.9996,27.7683,28.1118,21.6614,0,100,27,410,24.1373,98.6068,93.1857
5,1693334607,433.5,20230829 11:43:27,11:43:27,5,,,LCOR-065,,Q,3.260955051,406.456,99.99387273,1693334604,0.000635605,0.6356048,285.7196307,29.05306111,41.32999534,0.046473988,2.957144589,0.046072011,0.028830833,16.50907218,27.02499863,26.6253,3.501145415,59.38999528,2.137219009,3.598617914,1.363926406,-28.03017168,74.45899205,5.426334465,68.36422701,3.260955051,0.6356048,3.130835714,418.5198502,415.2167879,0.023474438,67.13886424,0.636332897,20.39592592,21.01868,4.34E-05,78.55,0,0,1,0,53696.9792,RECT-1119-20230829-11_30_23,8150.18,559.1730769,2573.72,0.782737409,-1.646419819,RECT-1128-20230829-11_43_29,8166.2,730.00728,2335.91,0.687484843,0.5,84.27985314,3.260955051,28.97056081,0.058227141,0.101806148,547.0725608,DARK-1129-20230829-11_43_36,633.93,633.93,0.7286154,0.943549701,0.122595745,0.903849466,0.118046394,0.819367804,0.180632196,84.27985314,0.842850175,0.165100838,6,0.5,0: Broadleaf,2,FALSE,1693334604,406.456,409.9754545,21.01828182,20.39600909,406.887,20.8901,599.9737273,101.5839091,0.099902536,27.09234545,26.6253,999.9,0,0,9999.769091,0,516.7313636,99.99387273,0.899998818,0.1000013,0,731.4143636,5.00022,862.0148182,875.7629091,34.97136364,40,36.76681818,36.93163636,37.312,85.49363636,9.5,0,97.39999986,0,730.00728,20.3595385,14.57969241,861.05668,15,1693334580,11:42:59,1693334580,1693334568,47,0.028,-0.004,-0.425,0.128,410,20,0.73,0.22,100,100,-0.431,0.1282,-0.813819683,-1.58E-05,2.57E-06,-5.48E-10,0.128175,0,0,0,21,1995,1,16,0.5,0.7,1.08154,2.61719,1.39771,2.27051,1.39526,2.64893,35.8244,15.2353,18,605.157,376.937,26.9994,27.893,29.9999,27.7003,28.0464,21.6646,0,100,27,410,24.6716,98.6238,93.1986
6,1693334698,524,20230829 11:44:57,11:44:57,5,,,LCOR-065,,Q,1.350576656,408.4118182,50.00052727,1693334695,0.000710972,0.710972055,358.3234558,36.43555406,41.52870999,0.052284641,2.957219848,0.051776468,0.032405538,8.240583117,26.90018878,26.53636364,3.482847978,59.25070596,2.125078074,3.586586927,1.357769904,-31.35386761,79.54524306,5.792625087,62.22458366,1.350576656,0.710972055,1.746811742,418.5370263,417.0188788,-0.058124776,67.13871862,0.656483467,20.20200575,20.88343333,-0.007249714,78.55,0,0,1,0,53709.37995,RECT-1119-20230829-11_30_23,8150.18,559.1730769,2573.72,0.782737409,-1.646419819,RECT-1130-20230829-11_45_00,8162.37,694.894,2437.15,0.714874341,0.5,42.13541647,1.350576656,15.06076404,0.071127729,0.056036764,552.447202,DARK-1131-20230829-11_45_06,624.2,624.2,0.743881173,0.961006095,0.070053141,0.92773025,0.067791918,0.86323958,0.13676042,42.13541647,0.842699443,0.164809924,6,0.5,0: Broadleaf,2,FALSE,1693334695,408.4118182,410.0528182,20.89896364,20.20282727,408.8721818,20.76678182,599.9802727,101.5835455,0.099873445,27.0353,26.53636364,999.9,0,0,10000.23182,0,478.5780909,50.00052727,0.900009273,0.099990736,0,694.5506364,5.00022,460.4179091,414.8669091,34.86354545,40.312,36.92009091,38.67027273,37.562,40.50090909,4.499090909,0,88.39999986,0,694.894,-5.363692325,-10.1206154,461.11776,15,1693334671,11:44:31,1693334671,1693334665,48,-0.033,0.004,-0.457,0.132,410,20,0.84,0.17,100,100,-0.461,0.1322,-0.846807886,-1.58E-05,2.57E-06,-5.48E-10,0.132175,0,0,0,21,1995,1,16,0.4,0.6,1.08032,2.62085,1.39771,2.26807,1.39526,2.66357,35.8244,15.2265,18,604.988,376.204,27.0002,27.8182,29.9999,27.642,27.9882,21.6502,0,98.9842,27,410,23.3818,98.6278,93.2061
7,1693334798,624.5,20230829 11:46:38,11:46:38,5,,,LCOR-065,,Q,-1.006497261,410.7928,0.00500022,1693334795,0.000547882,0.547882128,441.8081443,44.9222175,41.76863588,0.040130785,2.959033299,0.039830859,0.024921047,3.99E-05,27.00069186,26.59056,3.493988172,59.13109306,2.134091366,3.609084927,1.359896805,-24.16160183,87.94426685,6.405481829,70.18818675,-1.006497261,0.547882128,-0.96508414,418.562126,419.5706182,-0.005088608,67.1447078,0.540884592,20.45241105,20.98383333,-0.000345584,78.55,0,0,1,0,53743.18695,RECT-1132-20230829-11_46_40,8161.41,576.36,2575.73,0.77623431,-1.006497261,-,-,0,0,#DIV/0!,0.5,0.000210018,-1.006497261,#DIV/0!,0,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,1.288270805,#DIV/0!,#DIV/0!,0.000210018,0.042001848,0.007980351,6,0.5,0: Broadleaf,2,FALSE,1693334795,410.7928,410.0113,20.9887,20.45227,411.2728,20.85397,599.9472,101.5783,0.09981091,27.14184,26.59056,999.9,0,0,10011.04,0,442.6278,0.00500022,0,0,0,576,0.00500022,118.29,-0.5,35.25,40.875,37.7374,38.6874,37.5998,0,0,0,98.0999999,0,576.36,1.430769577,-21.55384622,119.92,15,1693334771,11:46:11,1693334769,1693334771,49,-0.024,0.003,-0.481,0.135,410,20,1,0.24,100,100,-0.48,0.1347,-0.870731607,-1.58E-05,2.57E-06,-5.48E-10,0.13474,0,0,0,21,1995,1,16,0.5,0.5,1.08032,2.60986,1.39771,2.27051,1.39526,2.56348,35.8244,15.2178,18,604.958,376.53,26.9993,27.7837,30.0001,27.6007,27.9488,21.6651,0,100,27,410,24.587,98.6324,93.2052
22,1693336901,2727.1,20230829 12:21:40,12:21:40,5,,,LCOR-314,9,Q,14.6359396,394.1085,1500.052,1693336898,0.00321555,3.215549765,290.7748451,29.56355909,40.06966257,0.253580237,2.956598282,0.242087453,0.152293828,241.7450865,28.12623897,27.05995,3.59178134,61.71830111,2.28031623,3.69471646,1.31146511,-141.8057446,76.85603036,5.626879357,182.4222516,14.6359396,3.215549765,14.3772227,418.0597396,403.6799333,-0.061321814,67.24117091,3.237115504,19.28458133,22.45378667,-0.00093581,78.55,0,0,1,0,53600.42006,RECT-1146-20230829-12_13_53,8159.48,651.0653846,2936.64,0.778295813,-0.676353435,RECT-1147-20230829-12_21_43,8164.87,774.905,933.73,0.170097351,0.5,1261.254451,14.6359396,107.2680208,0.012140526,2.145063348,441.2298933,DARK-1148-20230829-12_21_49,531.27,531.27,0.431023958,0.394635492,0.832682706,0.561884974,0.876326674,0.270559614,0.729440386,1261.254451,0.840807152,0.161157804,6,0.5,0: Broadleaf,2,FALSE,1693336898,394.1085,410.0107,22.42824,19.28501,394.6885,22.30424,600.0383,101.5717,0.09995279,27.54212,27.05995,999.9,0,0,9997.872,0,347.9694,1500.052,0.9730031,0.02699674,0,766.5199,5.00022,11945.15,14099.73,36.2248,39.9372,36.9622,37.9748,38.3498,1454.692,40.359,0,469.5999999,0,774.905,-119.4400002,-1856.438464,12074.82,15,1693336932,12:22:11,1693336931,1693336932,64,-0.653,-0.033,-0.58,0.124,410,19,0.33,0.03,100,100,-0.58,0.124,-0.316844302,-1.58E-05,2.57E-06,-5.48E-10,0.15764,0,0,0,21,1995,1,16,7.4,7.5,1.08032,2.62817,1.39771,2.26196,1.39526,2.65747,35.0594,14.9551,18,602.862,374.203,26.9996,27.2066,30.0001,26.9586,27.3042,21.6488,0,95.4092,27,410,19.6307,98.7087,93.2504
23,1693337030,2856.1,20230829 12:23:49,12:23:49,5,,,LCOR-314,9,Q,15.28562077,393.5264545,999.9769091,1693337027,0.003015563,3.015563451,284.5121252,28.92666729,40.01027658,0.24890548,2.957042811,0.237824164,0.1495946,161.9007313,27.47570037,26.62797273,3.501696588,61.71510646,2.248985576,3.644141127,1.252711012,-132.9863482,108.2027643,7.894314198,145.0114615,15.28562077,3.015563451,15.72010048,418.0207236,402.2939879,-0.066107797,67.13243797,3.012472194,19.17254791,22.11855333,-2.66E-05,78.55,0,0,1,0,53655.40292,RECT-1146-20230829-12_13_53,8159.48,651.0653846,2936.64,0.778295813,-0.676353435,RECT-1149-20230829-12_23_52,8177.91,636.2942308,916.78,0.305946649,0.5,841.1746019,15.28562077,128.6772755,0.018975816,2.203211239,437.4083807,DARK-1150-20230829-12_23_58,466.73,466.73,0.490902943,0.623232461,0.817786883,1.055590295,0.883742752,0.457149024,0.542850976,841.1746019,0.841194026,0.16190447,6,0.5,0: Broadleaf,2,FALSE,1693337027,393.5264545,409.9989091,22.1202,19.17131818,394.1379091,21.99759091,599.9952727,101.5710909,0.100032136,27.3067,26.62797273,999.9,0,0,10000.45364,0,361.2555455,999.9769091,0.960003091,0.039996864,0,635.6197273,5.00022,6602.001818,9346.022727,34.88045455,38.30072727,36.09063636,34.92009091,36.85209091,955.1781818,39.8,0,127.0999999,0,636.2942308,-9.318700852,-70.00854705,6607.093462,15,1693337001,12:23:21,1693336988,1693337001,65,-0.002,-0.002,-0.582,0.123,410,19,0.57,0.07,100,100,-0.612,0.1226,-0.971573273,-1.58E-05,2.57E-06,-5.48E-10,0.122625,0,0,0,21,1995,1,16,0.7,0.5,1.08032,2.62695,1.39771,2.26318,1.39526,2.40723,35.0364,14.9463,18,602.062,373.723,26.9993,27.232,30,26.9951,27.3364,21.6582,0.934982,93.1004,27,410,18.8858,98.7078,93.2521
24,1693337158,2984.6,20230829 12:25:58,12:25:58,5,,,LCOR-314,9,Q,13.55053482,395.1720909,499.9913636,1693337155,0.003350186,3.350186488,303.8953715,30.89711349,40.17723889,0.269193069,2.957049924,0.256282099,0.161284697,82.09146271,26.69659853,26.03106364,3.380465771,58.03920006,2.087142941,3.596091847,1.29332283,-147.7432241,167.2828035,12.15452647,113.7855686,13.55053482,3.350186488,13.74534574,417.2565273,403.3776121,-0.023666034,67.14107621,3.226457692,17.24384433,20.49361879,-0.016784589,78.55,0,0,1,0,53696.05951,RECT-1146-20230829-12_13_53,8159.48,651.0653846,2936.64,0.778295813,-0.676353435,RECT-1151-20230829-12_26_00,8181.36,721.84296,1565.02,0.538764386,0.5,421.180746,13.55053482,113.4585931,0.033778582,0.876423304,545.1408551,DARK-1152-20230829-12_26_07,524.67,524.67,0.664751888,0.810474398,0.568672081,0.922558982,0.600120421,0.58909157,0.41090843,421.180746,0.842376042,0.164185761,6,0.5,0: Broadleaf,2,FALSE,1693337155,395.1720909,410.0466364,20.52855455,17.24711818,395.6078182,20.44997273,599.9955455,101.5702727,0.099961118,27.08038182,26.03106364,999.9,0,0,10000.57455,0,408.0013636,499.9913636,0.919995091,0.080004873,0,722.5765455,5.00022,3750.855455,4592.119091,35.61918182,39.41445455,37.05645455,36.23845455,37.562,455.3909091,39.6,0,126.2,0,721.84296,10.3779231,60.10461551,3746.6228,15,1693337120,12:25:19,1693337114,1693337120,66,0.173,-0.044,-0.409,0.079,410,18,0.26,0.06,100,100,-0.435,0.0786,-0.798436204,-1.58E-05,2.57E-06,-5.48E-10,0.07857619,0,0,0,21,1995,1,16,0.7,0.6,1.0791,2.63184,1.39771,2.26318,1.39526,2.51587,35.0134,14.9376,18,601.915,373.001,27.0004,27.1974,29.9999,26.9809,27.3227,21.6271,9.05933,88.1376,27,410,17.2891,98.7179,93.2757
