obs,time,elapsed,date,hhmmss,averaging,SPAD,Midday_WP,ID,Response_curve,A,Ca,Qin,TIME,E,Emm,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd/dt,αVc,Edyn,Hr,Hs,dHs/dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,DarkAdaptedID,Qmax_d,Fo,Fm,Fv/Fm,A_dark,LightAdaptedID,Qmax,Fs,Fm',PhiPS2,PS2/1,Qabs_fs,A_fs,ETR,PhiCO2,NPQ,alt._Fo',DarkPulseID,Fmin,Fo',Fv'/Fm',qP,qN,qP_Fo,qN_Fo,qL,1-qL,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,F_avg,dF/dt,dF_dc/dt,F_dc_avg,period,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
1,1694106264,0,20230907 10:04:24,10:04:24,5,,,LCOR-065,CO2,13.71291504,385.9211613,1499.975161,1694106256,0.000891978,0.891977886,73.80060005,7.470382358,39.06443353,0.072176493,2.948677595,0.071209186,0.04459157,241.7334584,26.51989746,25.63726129,3.302507177,63.77028522,2.068197626,3.243199585,1.234309552,-39.33622477,-48.49583356,-3.495866265,150.4055338,13.71291504,0.891977886,13.26294917,408.0540432,394.0871212,0.096039301,67.25043917,1.11664435,19.54739491,20.49620727,0.027179152,78.55,37,6,1,0,53755.37178,RECT-1407-20230906-12_22_20,8135.41,751.3846154,2279.14,0.670320992,-1.20856664,RECT-1408-20230907-10_04_24,8179.27,842.75224,983.13,0.142786569,0.5,1261.190235,13.71291504,90.04051355,0.01183127,1.318248858,523.7593416,DARK-1409-20230907-10_04_31,520.67,520.67,0.470395573,0.303545734,0.737010014,0.605741341,0.848309889,0.187536917,0.812463083,1261.190235,0.840807413,0.161158308,6,0.5,0: Broadleaf,2,FALSE,1694106256,385.9211613,399.9790645,20.43191613,19.55811613,385.2191613,20.29191613,599.9677742,101.1238387,0.100031458,25.33219677,25.63726129,999.9,0,0,9997.095161,0,551.2434839,1499.975161,0.972994097,0.027006223,0,844.2608065,5.00022,13204.53871,14098.95484,38.52996774,39.778,38.84251613,35.78409677,39.32225806,1454.605161,40.37,0,1694106265,0,842.75224,-93.45607678,-1422.669229,13181.816,15,1694106289,10:04:48,1694106289,1694106282,1,-0.029,0.1,0.702,0.14,400,19,0.42,0.1,100,100,0.702,0.14,-0.272622404,0.001863201,1.75E-06,-3.11E-10,0.04,0,0,0,-6,2030,-1,-1,1302.6,1302.6,1.0791,2.59888,1.39771,2.27783,1.39526,2.6416,32.8424,15.7781,18,562.318,383.152,22.8463,25.4052,29.9959,25.2817,25.6312,21.6109,5.12514,98.0992,23.3058,400,18.5825,99.0456,93.503
2,1694106365,100.5,20230907 10:06:04,10:06:04,5,,,LCOR-065,CO2,10.01160841,289.6222903,1500.028387,1694106357,0.001091858,1.091858009,87.17311641,8.824231621,29.31745792,0.081813816,2.950058306,0.080573909,0.050468529,241.7423611,26.87094049,26.02581935,3.379417126,61.5453725,2.04444469,3.321849567,1.334972436,-48.15093821,-46.13853194,-3.337631609,144.1152594,10.01160841,1.091858009,9.88917434,305.8629336,295.6081091,0.037891415,67.23960887,1.39464179,19.21223005,20.42904121,0.028030494,78.55,36,6,1,0,53723.21742,RECT-1407-20230906-12_22_20,8135.41,751.3846154,2279.14,0.670320992,-1.20856664,RECT-1410-20230907-10_06_05,8166.53,698.4063462,806.64,0.134178387,0.5,1261.235156,10.01160841,84.61524926,0.00889618,1.825473569,469.0817114,DARK-1411-20230907-10_06_11,471.47,471.47,0.415513736,0.322921663,0.81458452,1.958789258,0.963832309,0.21799326,0.78200674,1261.235156,0.840807525,0.161158524,6,0.5,0: Broadleaf,2,FALSE,1694106357,289.6222903,299.950129,20.19672903,19.12692258,289.1222903,20.04572903,599.9997742,101.1265806,0.099944042,25.73571935,26.02581935,999.9,0,0,10004.66774,0,626.6873548,1500.028387,0.972994516,0.027005677,0,698.6129032,5.00022,11010.8,14099.44516,39.8223871,40.61058065,39.67516129,38.52793548,40.5843871,1454.653226,40.37709677,0,98,0,698.4063462,-49.98499147,-746.817094,11007.66154,15,1694106401,10:06:40,1694106401,1694106389,2,0.095,0.011,0.5,0.151,300,19,0.6,0.14,100,100,0.5,0.151,-0.301705467,0.001863201,1.75E-06,-3.11E-10,0.139935,0,0,0,-6,2030,-1,-1,1.3,1.4,0.861816,2.60864,1.39771,2.27661,1.39526,2.59521,32.8647,15.7781,18,564.327,382.43,24.1406,25.3199,29.9996,25.1783,25.5276,17.2811,0,97.3541,24.1311,300,19.9388,99.0463,93.5057
3,1694106477,212.5,20230907 10:07:56,10:07:56,5,,,LCOR-065,CO2,6.01072293,193.6963548,1499.977742,1694106469,0.001475655,1.475654633,106.0526664,10.73564541,19.60776143,0.115891044,2.949363394,0.113419375,0.071104789,241.7344493,26.74509614,26.01722903,3.377700022,63.20537459,2.096254358,3.316576116,1.281445664,-65.07636931,-49.02208717,-3.546431925,124.0895609,6.01072293,1.475654633,5.836357228,203.9659149,198.1075455,-0.020304532,67.11308563,1.475930308,19.25375179,20.69913576,-9.27E-06,78.55,34,6,1,0,53707.76114,RECT-1407-20230906-12_22_20,8135.41,751.3846154,2279.14,0.670320992,-1.20856664,RECT-1412-20230907-10_07_57,8161.57,620.19404,705.97,0.121500857,0.5,1261.192703,6.01072293,76.61799712,0.005724176,2.228380809,433.1619938,DARK-1413-20230907-10_08_03,437.93,437.93,0.37967619,0.320011789,0.85442182,-1.888730297,1.029726366,0.225965994,0.774034006,1261.192703,0.840807612,0.161158691,6,0.5,0: Broadleaf,2,FALSE,1694106469,193.6963548,199.9927097,20.70796452,19.2629129,193.6953548,20.55296452,600.0187742,101.1293548,0.100022694,25.70892581,26.01722903,999.9,0,0,10000.44516,0,657.8666129,1499.977742,0.972991323,0.027008468,0,620.5022258,5.00022,9850.98129,14098.96774,41.18122581,41.63480645,41.20341935,38.38887097,41.788,1454.597742,40.38,0,110,0,620.19404,-19.68384614,-281.9099996,9846.5252,15,1694106501,10:08:20,1694106499,1694106501,3,-0.232,0.004,0.001,0.155,200,19,0.62,0.13,100,100,0.001,0.155,-0.206984953,0.001863201,1.75E-06,-3.11E-10,0.1511,0,0,0,-6,2030,-1,-1,1.3,1.5,0.637207,2.61597,1.39771,2.27661,1.39526,2.55493,32.9092,15.7606,18,566.086,382.561,23.1336,25.2533,29.9999,25.102,25.4524,12.7603,0,97.0048,23.1427,200,19.3742,99.0432,93.4934
4,1694106577,312.5,20230907 10:09:36,10:09:36,5,,,LCOR-065,CO2,2.107328304,97.68904194,1500.094516,1694106569,0.002059382,2.059381893,74.24622326,7.515731205,9.888780178,0.15992509,2.94874766,0.155258095,0.097444276,241.7525821,26.51553608,25.85251613,3.344922914,61.73478549,2.037920994,3.301090265,1.307001921,-90.81874149,-35.3694154,-2.556155208,113.00827,2.107328304,2.059381893,2.162305582,101.8450369,99.67173758,-0.006324513,67.14788771,1.926585268,18.06256965,20.03261212,-0.015409351,78.55,33,5,1,0,53703.8803,RECT-1407-20230906-12_22_20,8135.41,751.3846154,2279.14,0.670320992,-1.20856664,RECT-1414-20230907-10_09_37,8179.4,595.4434615,664.89,0.104448162,0.5,1261.290532,2.107328304,65.86973894,0.00262897,2.427845207,417.340929,DARK-1415-20230907-10_09_43,448.4,448.4,0.325602731,0.320784048,0.881747272,-0.802900136,1.056615487,0.241567128,0.758432872,1261.290532,0.840807375,0.161158233,6,0.5,0: Broadleaf,2,FALSE,1694106569,97.68904194,99.99746129,20.13216452,18.11431935,97.82604194,20.00916452,600.022871,101.1270645,0.100053516,25.63002903,25.85251613,999.9,0,0,9997.174194,0,660.4014516,1500.094516,0.972997677,0.02700231,0,595.5101613,5.00022,9375.152581,14100.09355,38.76790323,40.51793548,39.18319355,36.91512903,40.18719355,1454.723226,40.37129032,0,98,0,595.4434615,-6.031179499,-182.3948718,9373.127308,15,1694106609,10:10:09,1694106594,1694106609,4,0.098,-0.033,-0.137,0.123,100,18,0.66,0.08,100,100,-0.137,0.123,-0.438792295,0.001863201,1.75E-06,-3.11E-10,0.15546,0,0,0,-6,2030,-1,-1,1.3,1.3,0.401611,2.59888,1.39771,2.27539,1.39526,2.56592,32.9537,15.7431,18,566.671,381.31,24.4669,25.2257,30.0002,25.0663,25.4157,8.0509,11.1268,95.88,24.5285,100,18.5138,99.0408,93.4969
5,1694106685,421,20230907 10:11:25,10:11:25,5,,,LCOR-065,CO2,0.084463508,49.8349,1499.96,1694106677,0.001486916,1.486915901,47.6655616,4.82496003,5.044551926,0.117959178,2.948577343,0.115398889,0.072349709,241.7303284,26.61320637,25.95335161,3.364955563,63.67977382,2.095847962,3.291230224,1.2691076,-65.57299124,-59.40883762,-4.294825844,112.4536737,0.084463508,1.486915901,0.077912591,50.97726973,50.89481273,0.000661423,67.20711482,1.474277014,19.265008,20.70204485,0.001256312,78.55,33,6,1,0,53707.92192,RECT-1407-20230906-12_22_20,8135.41,751.3846154,2279.14,0.670320992,-1.20856664,RECT-1416-20230907-10_11_25,8194.26,591.0303846,651.37,0.092634932,0.5,1261.177132,0.084463508,58.41452866,0.001025257,2.498994427,411.9735843,DARK-1417-20230907-10_11_32,440.53,440.53,0.323686998,0.286186755,0.885326415,-0.603307978,1.065465071,0.213311962,0.786688038,1261.177132,0.840807176,0.16115785,6,0.5,0: Broadleaf,2,FALSE,1694106677,49.8349,49.99346129,20.7047871,19.24868065,50.0749,20.5507871,600.0095484,101.1252581,0.100026339,25.57962581,25.95335161,999.9,0,0,9996.385484,0,633.8357419,1499.96,0.973004258,0.026995942,0,591.0314839,5.00022,9170.570323,14098.84516,34.95545161,37.99977419,35.91503226,34.82022581,36.85064516,1454.602581,40.35774194,0,106.7,0,591.0303846,-1.863863252,-77.56273513,9169.755,15,1694106712,10:11:52,1694106712,1694106709,5,0.003,0.032,-0.24,0.154,50,19,0.63,0.07,100,100,-0.24,0.154,-0.340836793,0.001863201,1.75E-06,-3.11E-10,0.122904762,0,0,0,-6,2030,-1,-1,1.5,1.3,0.285645,2.63672,1.39771,2.27661,1.39526,2.6355,33.0429,15.7344,18,567.542,381.835,24.6041,25.2106,30,25.0455,25.3951,5.73104,0,95.88,24.6305,50,19.3796,99.0335,93.4841
6,1694106788,524,20230907 10:13:08,10:13:08,5,,,LCOR-065,CO2,-2.204842745,-4.837619677,1499.993226,1694106780,0.001796137,1.796137083,20.37136552,2.062080444,-0.489685432,0.14223872,2.949661015,0.138535146,0.086909186,241.7363415,26.49685584,25.87366129,3.349115099,63.08590838,2.071860911,3.284189709,1.277254188,-79.20964535,-52.4942293,-3.791351153,106.2411157,-2.204842745,1.796137083,-1.889190643,-7.174317939,-5.127677939,-0.026633678,67.20728438,1.809883858,18.52515364,20.39006545,-0.017253351,78.55,32,5,1,0,53746.11915,RECT-1407-20230906-12_22_20,8135.41,751.3846154,2279.14,0.670320992,-1.20856664,RECT-1418-20230907-10_13_08,8184.42,587.9597308,636.4,0.076116074,0.5,1261.205409,-2.204842745,47.99900188,-0.00078994,2.581301069,405.9342518,DARK-1419-20230907-10_13_15,438.8,438.8,0.310496543,0.245143063,0.892628536,-0.42127609,1.075263761,0.182952625,0.817047375,1261.205409,0.840807404,0.161158289,6,0.5,0: Broadleaf,2,FALSE,1694106780,-4.837619677,-7.051095161,20.4679871,18.70865806,-4.622619677,20.3469871,600.0152581,101.1244839,0.099974655,25.54355484,25.87366129,999.9,0,0,10002.61774,0,629.1921935,1499.993226,0.972994258,0.027005994,0,587.9596774,5.00022,9171.858065,14099.12581,36.34048387,38.6006129,37.32641935,31.97364516,36.94322581,1454.623226,40.37,0,100.7,0,587.9597308,-1.745743588,-1.319316261,9171.865,15,1694106816,10:13:36,1694106813,1694106816,6,0.135,-0.034,-0.215,0.121,-7,18,0.5,0.05,100,100,-0.215,0.121,-0.33745074,0.001863201,1.75E-06,-3.11E-10,0.154405,0,0,0,-6,2030,-1,-1,1.3,1.3,0.0317383,4.99756,1.39771,2.27417,1.39526,2.40845,33.0875,15.6906,18,568.217,381.23,25.6205,25.1523,29.9999,24.9969,25.3425,0,12.6224,94.3837,25.6983,0,18.3111,99.0392,93.4946
7,1694106893,628.4000001,20230907 10:14:52,10:14:52,5,,,LCOR-065,CO2,12.81691392,386.8260667,1500.034333,1694106885,0.00158483,1.584829774,208.4698643,21.10184903,39.15551673,0.121543076,2.94946282,0.118827573,0.074506157,241.7426894,26.91508862,26.12507667,3.399312858,62.1571804,2.08586385,3.355789044,1.313449008,-69.89099303,-34.63269154,-2.5092194,134.7097855,12.81691392,1.584829774,13.15171756,407.9633201,394.6527939,-0.021190356,67.22397656,1.565994109,19.0305525,20.56530121,-0.000182413,78.55,32,5,1,0,53674.88144,RECT-1407-20230906-12_22_20,8135.41,751.3846154,2279.14,0.670320992,-1.20856664,RECT-1420-20230907-10_14_53,8180.66,569.8838846,663.61,0.141236744,0.5,1261.23983,12.81691392,89.06670318,0.011120391,2.434456985,416.8362634,DARK-1421-20230907-10_14_59,424.73,424.73,0.359970465,0.392356478,0.871182748,-1.067804342,1.057453318,0.292420213,0.707579787,1261.23983,0.840807308,0.161158104,6,0.5,0: Broadleaf,2,FALSE,1694106885,386.8260667,400.2559333,20.60671333,19.05455333,386.0980667,20.45371333,600.0045,101.1225667,0.09997261,25.90727667,26.12507667,999.9,0,0,10001.68133,0,639.6839,1500.034333,0.972998967,0.027001097,0,569.8947667,5.00022,8951.945667,14099.54,37.7913,39.3331,38.0664,34.45806667,38.49143333,1454.668333,40.36633333,0,102.2,0,569.8838846,-16.92789745,-241.1169232,8951.718846,15,1694106922,10:15:21,1694106911,1694106922,7,-0.074,0.032,0.728,0.153,400,19,0.28,0.1,100,100,0.728,0.153,-0.202767509,0.001863201,1.75E-06,-3.11E-10,0.120645,0,0,0,-6,2030,-1,-1,1.3,1.3,1.08398,2.64526,1.39771,2.27539,1.39526,2.41333,33.0652,15.6906,18,568.697,382.36,24.7792,25.0493,29.9999,24.9142,25.2621,21.719,0,94.7713,24.6973,400,20.0195,99.0532,93.505
8,1694106998,733.4000001,20230907 10:16:37,10:16:37,5,,,LCOR-065,CO2,13.33736367,386.1165806,1499.934839,1694106990,0.00156045,1.560450216,199.5328192,20.19708541,39.08344296,0.120586697,2.949118976,0.117912951,0.073930882,241.7263132,26.79080808,26.06376774,3.387011687,62.57378513,2.083648962,3.329907177,1.303362725,-68.81585453,-45.65968424,-3.30535121,123.9454232,13.33736367,1.560450216,13.50133648,407.7937998,394.0573212,-0.005986569,67.23790833,1.533989532,19.04845915,20.55608061,-0.000966474,78.55,32,5,1,0,53688.28594,RECT-1407-20230906-12_22_20,8135.41,751.3846154,2279.14,0.670320992,-1.20856664,RECT-1422-20230907-10_16_38,8169.79,567.9359615,669.87,0.152169881,0.5,1261.155997,13.33736367,95.95497922,0.011533807,2.402361652,419.2975301,DARK-1423-20230907-10_16_44,429.67,429.67,0.358577037,0.424371517,0.870124955,-1.250500146,1.053355803,0.321056813,0.678943187,1261.155997,0.84080719,0.161157876,6,0.5,0: Broadleaf,2,FALSE,1694106990,386.1165806,400.0566129,20.58496774,19.05662258,385.3505806,20.43596774,599.9934194,101.121871,0.100000652,25.7765871,26.06376774,999.9,0,0,9999.796774,0,705.9231613,1499.934839,0.973003645,0.026996661,0,567.8817742,5.00022,8965.314839,14098.6129,38.94525806,39.937,38.61274194,36.30212903,39.56229032,1454.577097,40.35774194,0,102.8000002,0,567.9359615,6.933846156,89.76923077,8966.047308,15,1694107022,10:17:02,1694107018,1694107022,8,0.039,-0.004,0.766,0.149,400,19,0.3,0.06,100,100,0.766,0.149,-0.276854503,0.001863201,1.75E-06,-3.11E-10,0.15312,0,0,0,-6,2030,-1,-1,1.4,1.3,1.08032,2.61841,1.39771,2.27539,1.39526,2.6355,33.0429,15.6906,18,568.727,382.679,23.7423,24.9871,30,24.849,25.1996,21.6545,0,95.1685,23.7371,400,20.4373,99.0594,93.5096
9,1694107098,833.9000001,20230907 10:18:18,10:18:18,5,,,LCOR-065,CO2,19.72048211,579.3839032,1500.000645,1694107090,0.001603791,1.603791237,310.507879,31.4297163,58.64544168,0.124025296,2.949745257,0.121199399,0.075998157,241.7369466,26.74912648,26.05275806,3.384806802,62.62360468,2.081558956,3.323920695,1.303247846,-70.72719357,-48.74577714,-3.527275271,118.7367006,19.72048211,1.603791237,19.51546965,611.700353,591.5652303,0.053153315,67.23811128,1.60133178,18.99415994,20.56241273,2.00E-05,78.55,31,5,1,0,53712.03141,RECT-1407-20230906-12_22_20,8135.41,751.3846154,2279.14,0.670320992,-1.20856664,RECT-1424-20230907-10_18_18,8167.48,591.1741538,720.54,0.179540131,0.5,1261.211342,19.72048211,113.2190249,0.016594403,2.163099897,438.603735,DARK-1425-20230907-10_18_25,426.8,426.8,0.407666472,0.440409363,0.841422201,-4.19411442,1.020189499,0.317954895,0.682045105,1261.211342,0.8408072,0.161157895,6,0.5,0: Broadleaf,2,FALSE,1694107090,579.3839032,600.033,20.56462903,18.99386452,577.9649032,20.40862903,600.0173226,101.1203548,0.099995523,25.74623226,26.05275806,999.9,0,0,10003.50484,0,740.9397097,1500.000645,0.973004065,0.026996223,0,591.049129,5.00022,9340.145806,14099.24194,39.40090323,40.6933871,39.32429032,38.76783871,40.43932258,1454.640645,40.36,0,98.5999999,0,591.1741538,10.00246154,187.2683761,9342.447692,15,1694107131,10:18:51,1694107131,1694107126,9,-0.02,0.006,1.419,0.156,600,19,0.45,0.08,100,100,1.419,0.156,-0.237996202,0.001863201,1.75E-06,-3.11E-10,0.149242857,0,0,0,-6,2030,-1,-1,1.3,1.3,1.4856,2.66602,1.39771,2.27661,1.39526,2.64038,33.0429,15.6731,18,569.289,382.867,24.0496,24.9703,30.0001,24.8212,25.1734,29.7594,0,95.0189,24.0259,600,19.2824,99.0591,93.5066
10,1694107207,942.9000001,20230907 10:20:07,10:20:07,5,,,LCOR-065,CO2,22.99411121,775.7831935,1499.971613,1694107199,0.001609642,1.609642201,467.8662317,47.35932153,78.52792787,0.127237877,2.94915518,0.124264998,0.07792694,241.7330041,26.60474817,25.89976452,3.354296586,63.05852118,2.078295591,3.295820377,1.276000995,-70.98522105,-47.16710567,-3.408653996,120.1720234,22.99411121,1.609642201,22.65002425,815.467178,792.0857394,0.064433766,67.23912229,1.613377499,18.94267967,20.52326182,-6.18E-05,78.55,31,5,1,0,53720.58403,RECT-1407-20230906-12_22_20,8135.41,751.3846154,2279.14,0.670320992,-1.20856664,RECT-1426-20230907-10_20_07,8159.47,621.0478077,762.83,0.18586342,0.5,1261.187313,22.99411121,117.2042933,0.019190391,1.98774301,453.9218469,DARK-1427-20230907-10_20_14,432.53,432.53,0.432992934,0.429252777,0.821131695,12.38771759,0.992508366,0.298953964,0.701046036,1261.187313,0.840807454,0.161158386,6,0.5,0: Broadleaf,2,FALSE,1694107199,775.7831935,800.0258387,20.53163548,18.95505484,773.4491935,20.37563548,600.0049355,101.1240323,0.100032052,25.60310645,25.89976452,999.9,0,0,9999.78871,0,778.7661613,1499.971613,0.972995032,0.027004919,0,621.0579032,5.00022,9836.16871,14098.93548,40.10877419,41.35264516,39.27403226,40.58641935,41.425,1454.599677,40.37193548,0,106.6000001,0,621.0478077,3.231418814,39.90837609,9836.409231,15,1694107236,10:20:36,1694107232,1694107236,10,0.149,0.001,2.334,0.156,800,19,0.24,0.06,100,100,2.334,0.156,-0.258360697,0.001863201,1.75E-06,-3.11E-10,0.15556,0,0,0,-6,2030,-1,-1,1.3,1.4,1.8689,2.63306,1.39771,2.27539,1.39526,2.45239,33.0652,15.6381,18,569.649,382.91,24.126,24.9892,30.0004,24.8233,25.1734,37.4292,0,95.0032,24.1953,800,19.5597,99.0552,93.4971
