obs,time,elapsed,date,hhmmss,averaging,Group name,Control v transgenic,ID,Event_short,Plant age,Flow,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd/dt,αVc,Edyn,Hr,Hs,dHs/dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,DarkAdaptedID,Qmax_d,Fo,Fm,Fv/Fm,A_dark,LightAdaptedID,Qmax,Fs,Fm',PhiPS2,PS2/1,Qabs_fs,A_fs,ETR,PhiCO2,NPQ,alt._Fo',DarkPulseID,Fmin,Fo',Fv'/Fm',qP,qN,qP_Fo,qN_Fo,qL,1-qL,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,F_avg,dF/dt,dF_dc/dt,F_dc_avg,period,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
15,1693419322,2612,20230830 11:15:22,11:15:22,5,,Control,LCOR-310,16-20,,467.9759677,1693419314,0.000862322,0.862322373,3.240224395,410.3233871,322.6921895,32.79085909,41.69563691,0.065616569,2.956487173,0.064818138,0.040582262,289.5832764,25.42681958,24.89865484,3.160516284,61.67432609,1.841913924,2.986516499,1.31860236,-38.02841667,-150.7393653,-10.72256947,90.0929249,3.240224395,0.862322373,3.534799127,422.0038282,417.6531333,-0.044294501,66.77150205,0.707370756,17.02464066,18.01798462,-0.015150471,77.18,0,0,1,0,54245.15172,RECT-1245-20230830-10_48_44,8148.21,610.344,2532.66,0.759010684,-1.222561962,RECT-1256-20230830-11_15_23,8179.86,670.8306154,693.74,0.033023012,0.5,1513.271825,3.240224395,24.98639712,0.002949098,2.650733704,372.4338285,DARK-1257-20230830-11_15_30,562.47,562.47,0.189220746,0.174521099,0.933371908,0.274706036,0.956616914,0.146330355,0.853669645,1800.103548,1513.271825,0.840658209,0.160870344,6,0.5,0: Broadleaf,2,FALSE,1693419314,410.3233871,414.9313871,18.12612581,17.04056774,408.3433871,18.06112581,101.5789355,0.037589961,23.95292903,24.89865484,999.9,0,0,9996.529677,0,1271.220323,1800.103548,0.977999032,0.022000971,0,670.9029032,5.00022,12793.58065,16955.50645,37.64690323,41.86664516,38.64087097,37.27793548,38.63690323,1755.609355,39.49483871,0,593.5999999,0,670.8306154,-7.373948729,-204.4444444,12790.96923,15,1693419344,11:15:44,1693419344,1693419339,16,0.211,0.031,1.98,0.065,415,17,0.82,0.11,100,100,1.98,0.065,1.7692,0,0,0,0.03461,0,0,0,-1,-1,-1,-1,8.3,8.5,1.2561,2.64526,0.19043,0,4.28589,4.99756,39.5917,14.3422,18,461.722,829.258,19.4382,29.727,30.0012,29.382,29.6828,25.1564,0,89.3289,19.4664,414.77,17.7221,98.3514,92.9789
16,1693419450,2740,20230830 11:17:30,11:17:30,5,,Control,LCOR-310,16-20,,471.2565161,1693419442,0.000295465,0.295465392,3.125915405,410.0085484,138.4863168,14.07198325,41.66211909,0.018955166,2.958395373,0.018887952,0.011810989,241.7391216,25.60722572,25.03612258,3.186531776,53.70993813,1.63470585,3.043581705,1.551825926,-13.03002379,-122.4654225,-8.725624079,97.51805124,3.125915405,0.295465392,3.286976386,420.8321398,416.7594121,-0.030762566,66.7736842,0.421826321,15.81491838,16.23011678,0.016819114,77.18,0,0,1,0,54243.79438,RECT-1245-20230830-10_48_44,8148.21,610.344,2532.66,0.759010684,-1.222561962,RECT-1258-20230830-11_17_31,8191.8,658.4934231,685.87,0.039915111,0.5,1261.220042,3.125915405,25.17086874,0.003447834,2.692623967,370.1536579,DARK-1259-20230830-11_17_38,553,553,0.193724758,0.206040317,0.932882414,0.362478841,0.960710934,0.173031789,0.826968211,1500.010645,1261.220042,0.840807394,0.161158271,6,0.5,0: Broadleaf,2,FALSE,1693419442,410.0085484,414.1426774,16.08759677,15.71746452,408.1315484,16.04359677,101.5745484,0.038257632,24.26828065,25.03612258,999.9,0,0,10007.78839,0,1283.670323,1500.010645,0.972995935,0.027003977,0,658.5357742,5.00022,10398.9,14099.29677,35.44941935,39.20948387,36.32029032,36.19541935,37.14890323,1454.640645,40.37,0,125.8000002,0,658.4934231,-4.084547017,-101.4290599,10398.23077,15,1693419472,11:17:52,1693419472,1693419467,17,-0.102,-0.021,1.877,0.044,414,16,1.01,0.47,100,100,1.877,0.044,1.9799,0,0,0,0.06531,0,0,0,-1,-1,-1,-1,1.8,1.9,1.26099,2.64648,0.19043,0,4.32495,4.99756,39.3169,14.3159,18,464.725,833.235,20.082,29.7848,29.9977,29.4603,29.7627,25.2593,12.8525,85.9198,20.1441,414.133,16.1623,98.3423,92.9737
17,1693419593,2883,20230830 11:19:53,11:19:53,5,,Control,LCOR-310,16-20,,470.17,1693419585,0.000394881,0.394881049,3.187604795,409.9365484,208.617214,21.19873258,41.65588782,0.02641609,2.956793708,0.026285677,0.016440211,161.8944389,25.20240392,24.87429355,3.155925373,54.43765665,1.665606087,3.059657946,1.490319286,-17.41425427,-82.5896202,-5.885474482,56.00508999,3.187604795,0.394881049,2.710387017,420.8897623,416.9285091,0.076568315,66.77348191,0.480399593,15.88317313,16.44930769,0.005464205,77.18,0,0,1,0,54180.58101,RECT-1245-20230830-10_48_44,8148.21,610.344,2532.66,0.759010684,-1.222561962,RECT-1260-20230830-11_19_54,8195.76,640.67128,681.25,0.059565094,0.5,841.1419977,3.187604795,25.0513509,0.00524307,2.717666055,368.8038525,DARK-1261-20230830-11_20_01,528.33,528.33,0.224469725,0.265359142,0.923705178,0.572288946,0.963114285,0.218828594,0.781171406,999.9381613,841.1419977,0.841194016,0.161904451,6,0.5,0: Broadleaf,2,FALSE,1693419585,409.9365484,414.2109355,16.39126774,15.89560645,408.2234516,16.35964839,101.5769355,0.038516923,24.3561871,24.87429355,999.9,0,0,9998.465161,0,1292.136452,999.9381613,0.959998968,0.040001023,0,640.7240968,5.00022,6753.288387,9345.657419,33.69941935,38.01183871,35.26790323,33.66303226,35.7013871,955.1396774,39.79806452,0,140.5999999,0,640.67128,-5.756538472,-28.05769229,6753.1092,15,1693419549,11:19:08,1693419546,1693419549,18,-0.164,-0.012,1.713,0.032,415,15,0.92,0.15,100,100,1.713,0.0316,1.71305,0,0,0,0.03162,0,0,0,-1,-1,-1,-1,0.8,0.7,1.26099,2.65015,0.189209,0,4.31396,4.99756,39.0436,14.3159,18,465.215,831.408,21.3312,29.8226,29.9998,29.5361,29.8437,25.2501,11.5445,82.8912,21.4396,414.34,15.7813,98.3288,92.9639
18,1693419671,2960.5,20230830 11:21:10,11:21:10,5,,Control,LCOR-310,16-20,,471.6672,1693419663,0.000710976,0.710976464,3.186138162,410.2438667,291.9307252,29.66371709,41.6857732,0.046812854,2.957180347,0.046405027,0.029039487,121.9851913,25.10948031,24.86921,3.154968108,52.72514831,1.634849525,3.100701614,1.520118584,-31.35406206,-46.29934227,-3.30255363,41.02923333,3.186138162,0.710976464,3.007302403,421.1184341,416.9060424,0.056428972,66.77348191,0.705686046,15.17153721,16.0587951,-0.000593074,77.18,0,0,1,0,54151.37445,RECT-1245-20230830-10_48_44,8148.21,610.344,2532.66,0.759010684,-1.222561962,RECT-1262-20230830-11_21_12,8192.22,623.411,677.59,0.079958382,0.5,631.1808815,3.186138162,25.23410099,0.006984844,2.737747015,367.7285507,DARK-1263-20230830-11_21_18,525.8,525.8,0.224014522,0.356933922,0.92436443,0.805683609,0.965018238,0.301046751,0.698953249,749.9958333,631.1808815,0.841579184,0.162647825,6,0.5,0: Broadleaf,2,FALSE,1693419663,410.2438667,414.6679333,16.08911,15.19924,408.3128667,16.05511,101.5739,0.038278963,24.5788,24.86921,999.9,0,0,10000.95733,0,1296.211,749.9958333,0.947004767,0.052995187,0,623.4321333,5.00022,4985.382667,6969.816,34.43516667,39.07276667,36.2915,33.229,35.8331,705.5153333,39.47933333,0,75.20000005,0,623.411,-4.750700865,-47.52991455,4985.227308,15,1693419691,11:21:31,1693419691,1693419688,19,0.218,0.002,1.931,0.034,414,15,1.29,0.16,100,100,1.931,0.034,1.71305,0,0,0,0.03162,0,0,0,-1,-1,-1,-1,2.1,2,1.26221,2.65015,0.19043,0,4.32495,4.99756,39.0931,14.3159,18,466.266,833.802,23.3496,29.7975,30.0002,29.5338,29.8437,25.2865,12.3288,80.6393,23.3697,414.164,15.5769,98.328,92.9685
19,1693419759,3048.5,20230830 11:22:38,11:22:38,5,,Control,LCOR-310,16-20,,468.9233,1693419751,0.000674675,0.674674552,3.04891007,409.9216667,288.5499529,29.3199992,41.65276346,0.043602383,2.956557571,0.043248274,0.027061747,82.09281646,25.35516923,25.18373667,3.214675617,52.29388137,1.667614389,3.188928313,1.547061228,-29.75314775,-21.51818079,-1.541300547,29.28018737,3.04891007,0.674674552,2.956028945,420.7123413,416.8712061,-0.000167383,66.77921715,0.567634822,15.55900952,16.33924242,-0.009750743,77.23223353,0,0,1,0,54047.67205,RECT-1245-20230830-10_48_44,8148.21,610.344,2532.66,0.759010684,-1.222561962,RECT-1264-20230830-11_22_40,8184.07,592.91548,675.03,0.121645734,0.5,421.1879121,3.04891007,25.61785641,0.010141488,2.751922137,366.9732643,DARK-1265-20230830-11_22_46,512.07,512.07,0.241411493,0.503893716,0.919350289,1.269432644,0.966349965,0.435186572,0.564813428,499.9999,421.1879121,0.842375993,0.164185666,6,0.5,0: Broadleaf,2,FALSE,1693419751,409.9216667,414.1767,16.41166667,15.56257,408.1406667,16.37666667,101.5737667,0.037752923,25.04873667,25.18373667,999.9,0,0,9997.437667,0,1304.823667,499.9999,0.920004633,0.079995593,0,592.9643333,5.00022,3226.923333,4592.21,35.10176667,39.87893333,37.04143333,35.3456,36.6164,455.4013333,39.6,0,86,0,592.91548,-3.201692298,-16.7069232,3226.4172,15,1693419781,11:23:00,1693419781,1693419776,20,-0.149,0.001,1.781,0.035,415,16,0.85,0.1,100,100,1.781,0.035,1.930619048,0,0,0,0.03389,0,0,0,-1,-1,-1,-1,1.1,1.2,1.25732,2.65259,0.19043,0,4.29443,4.99756,39.1676,14.2809,18,461.91,831.638,22.4918,29.7419,30.0008,29.5085,29.8216,25.1797,0,79.8888,22.2754,414.008,16.8631,98.3317,92.9751
20,1693419888,3178,20230830 11:24:48,11:24:48,5,,Control,LCOR-310,16-20,,462.0624667,1693419880,0.000527876,0.527876158,2.662631021,409.9020667,275.821749,28.02714146,41.65147691,0.034119559,2.956084176,0.033902278,0.02120833,41.31234523,25.08028871,25.08308667,3.195462419,52.00262648,1.651022417,3.174882748,1.544440002,-23.27933855,-17.27500442,-1.236481667,-0.478479406,2.662631021,0.527876158,2.717900113,420.1514674,416.573097,-0.001135811,66.77142663,0.528653522,15.5758727,16.25083427,5.1557E-05,77.18,0,0,1,0,54047.21493,RECT-1245-20230830-10_48_44,8148.21,610.344,2532.66,0.759010684,-1.222561962,RECT-1266-20230830-11_24_49,8159.02,543.8088077,708.14,0.232060316,0.5,210.7029822,2.662631021,24.44790034,0.018439193,2.576496173,376.5444932,DARK-1267-20230830-11_24_56,486.2,486.2,0.313412602,0.740430712,0.89154931,1.680346766,0.94912595,0.661992611,0.338007389,249.9619667,210.7029822,0.842940168,0.165274525,6,0.5,0: Broadleaf,2,FALSE,1693419880,409.9020667,413.6405333,16.24810333,15.57378,408.0151,16.20858333,101.5755333,0.037706253,24.97469,25.08308667,999.9,0,0,9994.579,0,1327.869,249.9619667,0.899992033,0.100008037,0,543.7973,5.00022,1593.324667,2258.339333,35.94976667,41.33103333,38.22896667,38.17273333,37.87673333,220.464,24.49766667,0,127.5999999,0,543.8088077,0.975076926,-18.61846155,1593.248077,15,1693419844,11:24:04,1693419844,1693419835,21,0.106,0.004,1.887,0.04,415,16,1.45,0.16,100,100,1.887,0.0395,1.886857143,0,0,0,0.03952381,0,0,0,-1,-1,-1,-1,0.7,0.9,1.24756,2.64771,0.19043,0,4.23584,4.99756,39.2173,14.2634,18,455.051,824.662,21.6692,29.7001,30.0002,29.4857,29.8083,24.9915,0,80.676,21.5795,413.555,18.8072,98.3504,92.9895
21,1693419981,3270.5,20230830 11:26:20,11:26:20,5,,Control,LCOR-310,16-20,,459.5949667,1693419973,0.000449729,0.449728665,2.629027031,409.8749,263.258163,26.74933203,41.64687495,0.030490628,2.957103361,0.030317042,0.018963665,33.05332544,24.87214392,24.94887667,3.169999063,54.08603015,1.698828476,3.140974612,1.471170587,-19.83303412,-24.57245333,-1.755421706,-13.10758372,2.629027031,0.449728665,2.720236683,420.39316,416.8021879,-0.00311481,66.76869807,0.453414294,16.14413108,16.72306294,0.000450259,77.18,0,0,1,0,54109.77588,RECT-1245-20230830-10_48_44,8148.21,610.344,2532.66,0.759010684,-1.222561962,RECT-1268-20230830-11_26_22,8157.8,539.5683846,751.47,0.281982801,0.5,168.6064003,2.629027031,23.77205251,0.02284367,2.370274262,388.4545669,DARK-1269-20230830-11_26_28,483.13,483.13,0.357086777,0.789675842,0.869072421,1.501506564,0.926585431,0.707076434,0.292923566,200.0253333,168.6064003,0.842925231,0.165245696,6,0.5,0: Broadleaf,2,FALSE,1693419973,409.8749,413.5477333,16.71931333,16.14201,407.8279,16.67131333,101.5709333,0.0378135,24.79474333,24.94887667,999.9,0,0,10000.81267,0,1336.556667,200.0253333,0.899995533,0.100004523,0,539.5613667,5.00022,1308.225,1797.968,35.60603333,41.2914,37.5977,37.93516667,37.91013333,175.521,19.504,0,90.4000001,0,539.5683846,1.819897441,-5.723076958,1308.150769,15,1693420000,11:26:40,1693420000,1693419998,22,0.16,0.009,2.047,0.048,412,16,1.33,0.19,100,100,2.047,0.048,1.886857143,0,0,0,0.03952381,0,0,0,-1,-1,-1,-1,2.3,2.4,1.24756,2.65381,0.19043,0,4.23706,4.99756,39.2671,14.2459,18,454.547,824.363,21.3716,29.7247,30.0008,29.5144,29.8419,25.0005,0,83.1187,21.3774,414.172,18.8243,98.3475,92.9831
22,1693420121,3411,20230830 11:28:41,11:28:41,5,,Control,LCOR-310,16-20,,461.0884,1693420113,0.000483924,0.483924245,2.14152158,409.716,294.8290047,29.95749506,41.63113145,0.032366089,2.957268131,0.032170576,0.020124077,16.50899164,24.88088343,24.99058333,3.177892915,53.31277436,1.686016319,3.16249968,1.491876597,-21.3410592,-12.97991006,-0.927944124,-18.73992174,2.14152158,0.483924245,1.782418573,419.5521455,416.8645515,0.055687545,66.77041991,0.486783485,15.97754223,16.59876993,0.000246942,77.18,0,0,1,0,54093.86768,RECT-1245-20230830-10_48_44,8148.21,610.344,2532.66,0.759010684,-1.222561962,RECT-1270-20230830-11_28_42,8161.86,567.66384,975.92,0.418329535,0.5,84.2775248,2.14152158,17.62788889,0.039916734,1.595151242,440.8679925,DARK-1271-20230830-11_28_49,525.73,525.73,0.461298057,0.906853018,0.775682261,1.116747708,0.809825232,0.839862967,0.160137033,99.99085333,84.2775248,0.842852341,0.165105018,6,0.5,0: Broadleaf,2,FALSE,1693420113,409.716,412.7607,16.59306,15.97379333,407.7003333,16.54895333,101.5721333,0.037594983,24.90917,24.99058333,999.9,0,0,10001.62933,0,1364.308,99.99085333,0.899922067,0.100077803,0,567.5839333,5.00022,773.6071,875.7136,32.96016667,38.656,34.9122,35.8207,35.5205,85.48433333,9.507,0,138.2,0,567.66384,9.18900001,4.251692315,773.61868,15,1693420084,11:28:04,1693420084,1693420061,23,-0.031,-0.004,2.016,0.044,415,16,1.39,0.15,100,100,2.016,0.0442,2.015619048,0,0,0,0.044105,0,0,0,-1,-1,-1,-1,0.6,1,1.24512,2.65015,0.19043,0,4.23462,4.99878,39.4916,14.2196,18,454.563,822.924,22.2301,29.8366,29.9993,29.601,29.9199,24.9431,0,82.3745,22.2639,412.386,17.6782,98.3211,92.9586
23,1693420212,3502,20230830 11:30:12,11:30:12,5,,Control,LCOR-310,16-20,,457.7114839,1693420204,0.000534632,0.534632337,1.077750927,410.0872903,352.6287225,35.83023701,41.66854221,0.035894653,2.95697134,0.035654333,0.022305416,8.239713074,24.78417863,24.96891613,3.173789806,53.44387275,1.686616597,3.155865229,1.487173208,-23.57728605,-15.13528627,-1.081832542,-31.55469178,1.077750927,0.534632337,1.398920136,418.4145359,416.8357939,-0.047610682,66.76920959,0.54415696,15.88142584,16.58582797,-0.000421622,77.18,0,0,1,0,54091.5033,RECT-1245-20230830-10_48_44,8148.21,610.344,2532.66,0.759010684,-1.222561962,RECT-1272-20230830-11_30_13,8165.34,607.8042308,1191.98,0.490088566,0.5,42.12950218,1.077750927,10.32359366,0.054600999,1.124750415,480.1877501,DARK-1273-20230830-11_30_20,564.2,564.2,0.526669911,0.930542179,0.681080642,1.004366596,0.697429559,0.863784539,0.136215461,49.9933129,42.12950218,0.842702748,0.164816304,6,0.5,0: Broadleaf,2,FALSE,1693420204,410.0872903,411.7874839,16.59909355,15.90989355,408.1327097,16.55693226,101.5711935,0.037764332,24.87397419,24.96891613,999.9,0,0,10000.03806,0,1316.37,49.9933129,0.899921032,0.100078948,0,607.5485161,5.00022,486.6892581,414.788871,32.43103226,38.64090323,34.72745161,36.31432258,35.13880645,40.49129032,4.504193548,0,89,0,607.8042308,23.73716236,-132.3833502,485.4314231,15,1693420186,11:29:45,1693420186,1693420184,24,-0.061,-0.002,1.955,0.042,412,16,0.86,0.22,100,100,1.955,0.0422,1.95465,0,0,0,0.042165,0,0,0,-1,-1,-1,-1,0.4,0.5,1.23901,2.65015,0.19043,0,4.20776,4.99756,39.6167,14.2021,18,451.417,819.131,22.407,29.8745,30.0006,29.6398,29.9592,24.8239,0,82.0014,22.4089,411.739,17.4803,98.3194,92.9557
24,1693420301,3591,20230830 11:31:41,11:31:41,5,,Control,LCOR-310,16-20,,458.672871,1693420293,0.000548349,0.548349272,-0.781920607,410.4627419,435.0060107,44.20125302,41.70739498,0.036070479,2.957479052,0.035827849,0.022414069,3.99035E-05,24.82564788,25.05736452,3.190568416,52.70649263,1.672621464,3.1734638,1.517946952,-24.18220291,-14.37718467,-1.028408998,-39.58775668,-0.781920607,0.548349272,-0.697123011,416.2226613,417.2028727,-0.009000203,66.76920959,0.539352299,15.75807268,16.45215944,-2.26032E-05,77.18,0,0,1,0,54089.56276,RECT-1274-20230830-11_31_42,8162.02,689.86,1547.14,0.554106286,-0.781920607,-,-,0,0,#DIV/0!,0.5,0.000210018,-0.781920607,#DIV/0!,2.06695E-10,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,1.804707913,#DIV/0!,#DIV/0!,0.00500022,0.000210018,0.042001848,0.007980351,6,0.5,0: Broadleaf,2,FALSE,1693420293,410.4627419,409.7343226,16.46108065,15.75558065,408.4527419,16.42008065,101.5731613,0.037510574,24.96719355,25.05736452,999.9,0,0,10002.72484,0,1447.716129,0.00500022,0,0,0,688.6290323,0.00500022,216.2,-0.941935484,32.66506452,39.75377419,35.32041935,37.95141935,35.48170968,0,0,0,86.79999995,0,689.86,62.73076906,-4.461538124,216.512,15,1693420326,11:32:05,1693420326,1693420318,25,0.055,-0.001,2.01,0.041,410,16,1.03,0.12,100,100,2.01,0.041,1.95465,0,0,0,0.042165,0,0,0,-1,-1,-1,-1,1.9,2,1.23291,2.65503,0.19165,0,4.20776,4.99756,39.7673,14.1846,18,451.922,818.748,22.5071,29.9393,30.0006,29.6979,30.0176,24.7054,0,81.6311,22.4704,409.134,17.7712,98.299,92.9375
