obs,time,elapsed,date,hhmmss,averaging,Group name,Control v transgenic,ID,Event_short,Plant age,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd/dt,αVc,Edyn,Hr,Hs,dHs/dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,DarkAdaptedID,Qmax_d,Fo,Fm,Fv/Fm,A_dark,LightAdaptedID,Qmax,Fs,Fm',PhiPS2,PS2/1,Qabs_fs,A_fs,ETR,PhiCO2,NPQ,alt._Fo',DarkPulseID,Fmin,Fo',Fv'/Fm',qP,qN,qP_Fo,qN_Fo,qL,1-qL,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,F_avg,dF/dt,dF_dc/dt,F_dc_avg,period,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
1,1694193345,0,20230908 10:15:44,10:15:44,5,,Control,LCOR-310,16-20,,1694193337,0.001446056,1.446055919,9.505566607,397.6500333,233.5945403,23.69390002,40.33433367,0.09869959,2.953619467,0.096903241,0.060723197,289.5624275,26.04318168,25.01407,3.18234581,54.53204873,1.705180091,3.126932017,1.477165719,-63.77106602,-46.87044826,-3.352143497,175.5687697,9.505566607,1.446055919,9.552827085,416.174074,404.3753455,-0.004039033,66.62159113,1.239956133,15.02100839,16.64815245,-0.021973389,77.18,1,0,1,0,54017.28533,RECT-1407-20230906-12_22_20,8135.41,751.3846154,2279.14,0.670320992,-1.20856664,RECT-1550-20230908-10_15_42,8156.78,784.931,831.4,0.055892471,0.5,1513.16342,9.505566607,42.28722093,0.007080619,1.741327881,477.3486569,DARK-1551-20230908-10_15_48,624.47,624.47,0.248893433,0.224563862,0.874941831,0.580750817,0.947625526,0.178656971,0.821343029,1799.974667,1513.16342,0.840658176,0.160870279,6,0.5,0: Broadleaf,2,FALSE,1694193337,397.6500333,409.9361333,16.81111,15.07830333,397.0326,16.75042,492.2924667,101.4056667,0.026070513,24.71972333,25.01407,999.9,0,0,9997.327667,0,1127.822333,1799.974667,0.9780006,0.021999273,0,785.2027,5.00022,14579.93333,16954.3,35.42066667,38.14973333,35.7206,33.36226667,36.82466667,1755.484667,39.49,0,1694193345,0,784.931,-33.12676929,-558.2384625,14575.1,15,1694193315,10:15:14,1694193312,1694193315,1,-1.202,-0.031,0.657,0.061,410,16,0.52,0.18,100,100,0.617,0.0607,-0.378901733,0.001863201,1.75183E-06,-3.1065E-10,0.06069,0,0,0,-6,2030,-1,-1,0.5,0.5,1.26587,2.58911,0.184326,0,4.46167,4.99756,33.9865,15.6906,18,482.77,866.086,23.6952,24.9743,30.0009,24.5872,24.878,25.3482,18.331,65.0208,23.6771,410,14.9598,99.016,93.484
2,1694193450,105.5,20230908 10:17:30,10:17:30,5,,Control,LCOR-310,16-20,,1694193442,0.001082141,1.082141283,9.701950619,397.6595,168.0359852,17.04469327,40.33650407,0.0705266,2.953712788,0.069604258,0.043584525,241.7290864,26.12489624,25.12113333,3.202713363,52.35504549,1.663529047,3.177399678,1.539184316,-47.7224306,-21.20341188,-1.519273676,171.2839702,9.701950619,1.082141283,9.74479343,416.3883628,404.2635273,0.004605427,66.64679102,1.146529108,15.14901116,16.46717762,0.009446918,77.18,1,0,1,0,53971.47793,RECT-1407-20230906-12_22_20,8135.41,751.3846154,2279.14,0.670320992,-1.20856664,RECT-1552-20230908-10_17_27,8153.67,739.29148,799.92,0.075793229,0.5,1261.16841,9.701950619,47.79401327,0.008651118,1.849209921,466.8012461,DARK-1553-20230908-10_17_34,595.07,595.07,0.256088109,0.295965438,0.878360163,1.249161215,0.968230919,0.238228301,0.761771699,1499.949333,1261.16841,0.840807341,0.161158168,6,0.5,0: Broadleaf,2,FALSE,1694193442,397.6595,410.0499,16.39998667,15.09837667,396.9686,16.35971667,490.6512,101.4092667,0.025513773,24.98798,25.12113333,999.9,0,0,9997.502333,0,1135.644667,1499.949333,0.972997867,0.02700201,0,739.3736,5.00022,11475.20667,14098.73333,36.40806667,38.99153333,36.65393333,33.78306667,37.4414,1454.583,40.36566667,0,103.4000001,0,739.29148,-12.00684612,-142.2769228,11473.732,15,1694193418,10:16:58,1694193418,1694193417,2,0.074,-0.02,0.729,0.04,410,15,0.23,0.19,100,100,0.69,0.0403,-0.305297863,0.001863201,1.75183E-06,-3.1065E-10,0.040265,0,0,0,-6,2030,-1,-1,0.5,0.6,1.26587,2.59399,0.184326,0,4.45557,4.99756,34.1225,15.6906,18,480.792,865.898,23.9627,25.1693,30.0003,24.7914,25.079,25.3586,12.6579,62.3808,23.8608,410,15.4456,98.9862,93.4568
3,1694193519,174,20230908 10:18:38,10:18:38,5,,Control,LCOR-310,16-20,,1694193511,0.001188036,1.188036234,9.49914315,397.7082333,199.2833461,20.2150903,40.34309945,0.080484609,2.954111316,0.079285966,0.049659935,161.9044045,25.64339799,24.88937333,3.158766487,52.67291435,1.675000939,3.180004296,1.483765548,-52.39239791,17.89309123,1.280502546,128.6856004,9.49914315,1.188036234,9.484598315,416.2755592,404.4572788,-0.001290207,66.64679102,1.139495774,15.05214482,16.46233217,-0.005247385,77.18,0,0,1,0,53980.77133,RECT-1407-20230906-12_22_20,8135.41,751.3846154,2279.14,0.670320992,-1.20856664,RECT-1554-20230908-10_18_36,8148.61,694.59024,791.62,0.122571133,0.5,841.1952037,9.49914315,51.55312443,0.012729162,1.879083399,463.9624798,DARK-1555-20230908-10_18_42,564.4,564.4,0.287031657,0.427030015,0.867490115,2.411552938,0.973663726,0.346989817,0.653010183,1000.0016,841.1952037,0.841193858,0.161904145,6,0.5,0: Broadleaf,2,FALSE,1694193511,397.7082333,409.9535,16.51240667,15.07757667,397.0532333,16.46640667,488.5954,101.4125667,0.026367887,25.00172333,24.88937333,999.9,0,0,9999.438667,0,1141.940667,1000.0016,0.960005667,0.03999437,0,694.6330333,5.00022,7185.969667,9346.269333,36.60386667,39.5456,36.39153333,36.39546667,38.229,955.2063333,39.79533333,0,66.20000005,0,694.59024,-6.006615389,-75.4546154,7185.476,15,1694193541,10:19:00,1694193541,1694193537,3,-0.075,0.005,0.655,0.046,410,15,0.71,0.05,100,100,0.655,0.046,-0.305297863,0.001863201,1.75183E-06,-3.1065E-10,0.040265,0,0,0,-6,2030,-1,-1,1.7,1.7,1.26465,2.59888,0.184326,0,4.44702,4.99878,34.2133,15.6993,18,479.283,866.904,24.3739,25.2861,30.0008,24.9135,25.2068,25.3443,12.1622,60.4978,24.3925,410,15.1409,98.9696,93.4421
4,1694193630,285.5,20230908 10:20:30,10:20:30,5,,Control,LCOR-310,16-20,,1694193622,0.001064198,1.064197544,9.49679961,397.6236,177.5839968,18.01432731,40.33540076,0.072107747,2.953766042,0.071143908,0.044550466,121.9841915,25.52136369,24.86659,3.154474844,52.3660461,1.673186449,3.195174304,1.481288395,-46.93111167,34.23468443,2.450964213,111.7387285,9.49679961,1.064197544,9.63070006,416.1736361,404.2963515,-0.025755805,66.64869351,1.065343656,15.18966818,16.47877413,-0.000175789,77.18,0,0,1,0,53956.20534,RECT-1407-20230906-12_22_20,8135.41,751.3846154,2279.14,0.670320992,-1.20856664,RECT-1556-20230908-10_20_27,8151.18,656.93884,788.59,0.166945003,0.5,631.1727147,9.49679961,52.68556541,0.016961073,1.890145703,462.9200101,DARK-1557-20230908-10_20_34,530.07,530.07,0.327825613,0.50924942,0.852195738,3.538497488,0.975647028,0.410902543,0.589097457,749.9857333,631.1727147,0.841579628,0.162648683,6,0.5,0: Broadleaf,2,FALSE,1694193622,397.6236,409.8174667,16.49415667,15.20759333,396.993,16.44366,488.1117667,101.4143,0.026863857,25.08157333,24.86659,999.9,0,0,9997.308333,0,1148.928333,749.9857333,0.946994267,0.053005953,0,656.9241,5.00022,5088.490667,6969.698,36.58726667,40.12913333,37.4998,34.24973333,37.9958,705.4963333,39.49,0,109.4000001,0,656.93884,0.117076935,-29.01923069,5088.2984,15,1694193600,10:20:00,1694193600,1694193595,4,0.014,0.005,0.67,0.05,410,15,0.49,0.11,100,100,0.63,0.0505,-0.36565107,0.001863201,1.75183E-06,-3.1065E-10,0.050495,0,0,0,-6,2030,-1,-1,0.5,0.6,1.26587,2.59766,0.184326,0,4.44946,4.99878,34.3042,15.6818,18,479.745,865.576,24.7679,25.4527,30.0008,25.1037,25.3977,25.3625,5.88492,59.3693,24.8825,410,15.1584,98.9448,93.4236
5,1694193699,354,20230908 10:21:38,10:21:38,5,,Control,LCOR-310,16-20,,1694193691,0.001328707,1.328706711,9.300294046,397.8023667,218.8246501,22.19774853,40.35339207,0.088032181,2.955586827,0.086601046,0.054252297,82.0890766,25.32446426,24.73178,3.129185133,50.04678878,1.609143984,3.215279187,1.520041149,-58.59596597,72.51795422,5.187812505,101.1988774,9.300294046,1.328706711,9.609701311,415.6044322,403.9856424,-0.046074621,66.61381496,1.216682649,14.25896511,15.79742797,-0.012492345,77.18,0,0,1,0,53990.60211,RECT-1407-20230906-12_22_20,8135.41,751.3846154,2279.14,0.670320992,-1.20856664,RECT-1558-20230908-10_21_36,8156.2,618.40584,827.44,0.252627574,0.5,421.169566,9.300294046,53.1995229,0.024951615,1.754447452,476.0405948,DARK-1559-20230908-10_21_42,527.27,527.27,0.362769506,0.696385915,0.828657378,2.748446557,0.950217564,0.593757978,0.406242022,499.9782333,421.169566,0.842375803,0.164185301,6,0.5,0: Broadleaf,2,FALSE,1694193691,397.8023667,409.7733667,15.86288667,14.27026667,397.1113667,15.83188667,492.6333667,101.4130667,0.02773773,25.18689,24.73178,999.9,0,0,10007.766,0,1154.842,499.9782333,0.920007033,0.079992777,0,618.3846,5.00022,3175.639,4592.014,36.008,39.79146667,37.21233333,31.6914,37.37053333,455.383,39.595,0,66.20000005,0,618.40584,2.272769243,12.21307692,3175.6884,15,1694193723,10:22:02,1694193715,1694193723,5,0.024,-0.019,0.691,0.031,409,14,0.29,0.07,100,100,0.691,0.031,-0.36565107,0.001863201,1.75183E-06,-3.1065E-10,0.050495,0,0,0,-6,2030,-1,-1,1.6,1.7,1.27075,2.6001,0.184326,0,4.48364,4.99756,34.3725,15.6643,18,488.904,864.656,27.555,25.486,30,25.1668,25.4626,25.4658,10.477,57.501,27.5882,410,14.5934,98.9411,93.4256
6,1694193826,481,20230908 10:23:45,10:23:45,5,,Control,LCOR-310,16-20,,1694193818,0.001141904,1.14190438,8.420529455,399.4581613,200.2213509,20.31068165,40.52149038,0.071177664,2.954310618,0.070238525,0.043982424,41.31874256,25.97977886,25.41782581,3.25975203,48.81944217,1.650484616,3.380793681,1.609267414,-50.35798317,97.93324457,7.063200241,95.9572042,8.420529455,1.14190438,8.095936495,416.4553868,406.1682,0.046969243,66.78267919,1.133448866,14.89326737,16.25492797,-0.000193197,77.18,0,0,1,0,53800.54207,RECT-1407-20230906-12_22_20,8135.41,751.3846154,2279.14,0.670320992,-1.20856664,RECT-1560-20230908-10_23_43,8146.11,639.1035,1150.3,0.444402764,0.5,210.7349776,8.420529455,46.82560332,0.045692918,0.981343997,567.7132047,DARK-1561-20230908-10_23_49,557.13,557.13,0.515665479,0.861804373,0.655536263,1.281465994,0.738887921,0.751266533,0.248733467,249.9998387,210.7349776,0.842940454,0.165275077,6,0.5,0: Broadleaf,2,FALSE,1694193818,399.4581613,410.2884516,16.27036774,14.89981613,398.7974516,16.22899355,491.7692258,101.4146129,0.026524897,26.03270323,25.41782581,999.9,0,0,10000.36806,0,1164.500323,249.9998387,0.899984097,0.10001591,0,639.0795484,5.00022,1636.199677,2258.683871,35.19309677,39.393,36.80229032,34.45535484,36.98974194,220.4967742,24.50387097,0,125,0,639.1035,0.615555569,2.154871858,1636.255,15,1694193798,10:23:18,1694193715,1694193775,6,0.024,0.01,0.691,0.041,409,15,0.29,0.08,100,100,0.661,0.0414,-0.341350637,0.001863201,1.75183E-06,-3.1065E-10,0.04137,0,0,0,-6,2030,-1,-1,1.9,0.8,1.27319,2.59766,0.184326,0,4.4812,4.99756,34.3497,15.6556,18,483.088,871.193,24.5258,25.4939,30.0013,25.226,25.5306,25.498,0,57.9473,24.1612,410,17.6756,98.9429,93.4248
7,1694193894,549.5,20230908 10:24:54,10:24:54,5,,Control,LCOR-310,16-20,,1694193886,0.000824203,0.824202936,7.810522633,400.2469333,169.6128264,17.20521429,40.60031546,0.056319547,2.954855777,0.055729925,0.034883664,33.04830042,25.40460626,24.96736333,3.173495931,52.42087744,1.709410301,3.260934163,1.46408563,-36.34734946,72.73153644,5.216771631,74.64925903,7.810522633,0.824202936,7.816129647,416.9697558,407.1018182,0.00285823,66.60335625,0.859965034,15.85721358,16.88526084,0.003176678,77.18,0,0,1,0,53926.23048,RECT-1407-20230906-12_22_20,8135.41,751.3846154,2279.14,0.670320992,-1.20856664,RECT-1562-20230908-10_24_51,8137.5,664.9680385,1320.7,0.49650334,0.5,168.5806989,7.810522633,41.85044005,0.05350013,0.725706065,606.3220347,DARK-1563-20230908-10_24_58,595.2,595.2,0.549329901,0.903834544,0.569165172,1.151790342,0.627351741,0.809004778,0.190995222,199.9948333,168.5806989,0.84292527,0.165245771,6,0.5,0: Broadleaf,2,FALSE,1694193886,400.2469333,410.3449333,16.85174667,15.84657,399.5979333,16.78874667,483.6843333,101.4117333,0.026434153,25.42392667,24.96736333,999.9,0,0,10003.74667,0,1169.633667,199.9948333,0.899992967,0.10000703,0,664.9808667,5.00022,1368.474333,1797.685333,35.48936667,39.8247,37.29986667,35.66853333,37.36223333,175.4936667,19.50133333,0,66.4000001,0,664.9680385,-3.735692301,10.67999999,1368.464231,15,1694193928,10:25:27,1694193928,1694193913,7,-0.05,0.021,0.649,0.063,412,16,0.28,0.08,100,100,0.649,0.063,-0.341350637,0.001863201,1.75183E-06,-3.1065E-10,0.04137,0,0,0,-6,2030,-1,-1,3,2,1.26465,2.59888,0.184326,0,4.42017,4.99756,34.418,15.6643,18,475.935,865.646,23.3228,25.5653,30.0001,25.292,25.6035,25.3302,0,60.1442,23.5169,410,17.6572,98.9369,93.413
8,1694194013,668,20230908 10:26:52,10:26:52,5,,Control,LCOR-310,16-20,,1694194005,0.00136321,1.36320961,4.673038633,403.3797419,312.4218485,31.6906241,40.91697117,0.092128843,2.954237237,0.090561986,0.056739797,16.50362396,24.98117014,24.75616129,3.133745776,50.94273298,1.642811825,3.224820753,1.490933951,-60.11754378,76.53021792,5.47938978,38.39568788,4.673038633,1.36320961,5.034769655,415.9095573,409.7096364,-0.034038672,66.64194457,1.220838005,14.48411303,16.0940028,-0.016218834,77.18,0,0,1,0,53941.86231,RECT-1407-20230906-12_22_20,8135.41,751.3846154,2279.14,0.670320992,-1.20856664,RECT-1564-20230908-10_26_50,8131.81,706.78744,1675.85,0.578251371,0.5,84.25110949,4.673038633,24.35915978,0.069810419,0.359990453,671.669955,DARK-1565-20230908-10_26_56,634.27,634.27,0.621523406,0.930377465,0.366770626,1.048241044,0.394886515,0.834919357,0.165080643,99.95964516,84.25110949,0.842851226,0.165102867,6,0.5,0: Broadleaf,2,FALSE,1694194005,403.3797419,409.9157097,16.19565161,14.51736129,402.5777419,16.16865161,479.4634839,101.4088387,0.026525829,25.23667097,24.75616129,999.9,0,0,10000.52097,0,1178.838387,99.95964516,0.899939258,0.100060535,0,706.4996129,5.00022,734.739129,875.4308387,35.147,40.5,37.43729032,36.7316129,37.30829032,85.45677419,9.5,0,116.6000001,0,706.78744,14.93592308,15.30784618,735.12768,15,1694194042,10:27:22,1694194042,1694194032,8,0.16,-0.036,0.802,0.027,410,14,0.65,0.1,100,100,0.802,0.027,-0.391592695,0.001863201,1.75183E-06,-3.1065E-10,0.06283,0,0,0,-6,2030,-1,-1,1.4,1.7,1.25977,2.60132,0.184326,0,4.38599,4.99756,34.5777,15.6468,18,471.13,861.257,26.1282,25.7669,30.0007,25.4649,25.7713,25.2388,12.7095,57.9885,26.2206,410,14.5274,98.9059,93.3927
9,1694194134,788.9000001,20230908 10:28:53,10:28:53,5,,Control,LCOR-310,16-20,,1694194126,0.001019287,1.019286924,2.126868006,406.7486452,346.4638827,35.14312937,41.25803864,0.067358894,2.954191061,0.066517147,0.041647968,8.242770574,25.33271507,25.06503548,3.19202724,50.98871786,1.674980024,3.285001259,1.517047217,-44.95055334,76.87478383,5.521339185,45.68834025,2.126868006,1.019286924,2.078925316,416.3446461,413.6637758,0.006102487,66.77767073,1.018626713,15.25305337,16.50997343,-0.000189272,77.18,0,0,1,0,53884.25466,RECT-1407-20230906-12_22_20,8135.41,751.3846154,2279.14,0.670320992,-1.20856664,RECT-1566-20230908-10_28_51,8127.02,710.0794231,1854.47,0.617098458,0.5,42.14758832,2.126868006,13.00460587,0.079137023,0.228998043,698.6401826,DARK-1567-20230908-10_28_57,634.6,634.6,0.657799803,0.938125027,0.258230265,1.037445145,0.277969892,0.838405005,0.161594995,50.01510323,42.14758832,0.842697217,0.16480563,6,0.5,0: Broadleaf,2,FALSE,1694194126,406.7486452,409.934129,16.51304516,15.25656129,406.0535161,16.46421935,478.6955484,101.4063871,0.0273586,25.54771613,25.06503548,999.9,0,0,10000.50065,0,1188.094194,50.01510323,0.900101645,0.099898148,0,710.0706452,5.00022,373.7931935,415.0133226,34.9613871,40.86280645,36.85241935,38.786,37.625,40.51870968,4.496774194,0,118.6000001,0,710.0794231,1.945743592,-2.46793157,373.8525,15,1694194106,10:28:26,1694194106,1694194099,9,-0.097,0.022,0.704,0.049,409,15,1.22,0.1,100,100,0.696,0.0488,-0.329431846,0.001863201,1.75183E-06,-3.1065E-10,0.04882,0,0,0,-6,2030,-1,-1,0.5,0.6,1.26099,2.60254,0.184326,0,4.38721,4.99878,34.7379,15.6468,18,470.101,860.557,23.8671,25.8977,30.0003,25.6055,25.9124,25.2557,0,58.1662,23.8861,410,16.9205,98.892,93.3799
10,1694194221,876.4000001,20230908 10:30:21,10:30:21,5,,Control,LCOR-310,16-20,,1694194213,0.001042753,1.042753238,-1.169257965,410.8961,427.4998546,43.36494967,41.68068949,0.071361433,2.954483426,0.070417527,0.04409472,3.99035E-05,25.00455097,24.79926333,3.141822445,51.83741364,1.675372686,3.231975843,1.466449758,-45.98541779,75.60378467,5.41479749,35.03320428,-1.169257965,1.042753238,-1.102185018,416.2867801,417.7834242,-0.015965971,66.77727433,1.044160553,15.22562407,16.5141986,0.000143796,77.18,0,0,1,0,53942.38239,RECT-1568-20230908-10_30_18,8133.04,641.464,2146.44,0.701149811,-1.169257965,-,-,0,0,#DIV/0!,0.5,0.000210018,-1.169257965,#DIV/0!,2.16739E-10,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,1.426228724,#DIV/0!,#DIV/0!,0.00500022,0.000210018,0.042001848,0.007980351,6,0.5,0: Broadleaf,2,FALSE,1694194213,410.8961,409.9658667,16.51614,15.22835667,410.2803667,16.47199333,477.8122,101.4101,0.028413257,25.27391667,24.79926333,999.9,0,0,10001.794,0,1194.433,0.00500022,0,0,0,641.7266667,0.00500022,30.42666667,-0.586666667,34.62483333,41.062,36.4769,39.68113333,37.39773333,0,0,0,85.5,0,641.464,26.23846162,17.42307693,30.904,15,1694194195,10:29:55,1694194195,1694194192,10,-0.093,-0.005,0.613,0.044,410,15,0.76,0.07,100,100,0.616,0.0442,-0.42212303,0.001863201,1.75183E-06,-3.1065E-10,0.044155,0,0,0,-6,2030,-1,-1,0.4,0.5,1.26099,2.6001,0.184326,0,4.38843,4.99756,34.8296,15.6293,18,470.177,860.044,25.1738,26.0128,30.0007,25.7156,26.0225,25.267,0,58.2099,25.2337,410,16.2928,98.8708,93.3608
