"","row","column","ID","event","event_short","block","H497"
"1",5,8,"LCOR-078","LC-102 13-15E","13-15E","large",3566.16
"2",8,12,"LCOR-303","LC-102 13-15E","13-15E","large",3505.2
"3",10,13,"LCOR-077","LC-102 13-15E","13-15E","large",3992.88
"4",6,16,"LCOR-072","LC-102 13-15E","13-15E","large",2773.68
"5",7,16,"LCOR-610","LC-102 13-15E","13-15E","large",3185.16
"6",3,26,"LCOR-605","LC-102 13-15E","13-15E","large",3063.24
"7",3,7,"LCOR-073","LC-102 13-15E","13-15E","large",3749.04
"8",7,9,"LCOR-076","LC-102 13-15E","13-15E","large",3931.92
"9",4,25,"LCOR-606","LC-102 13-15E","13-15E","large",2956.56
"10",12,50,"LCOR-081","LC-102 13-15E","13-15E","small",2057.4
"11",5,45,"LCOR-304","LC-102 13-15E","13-15E","small",1280.16
"12",3,4,"LCOR-308","LC-102 13-15E","13-15E","large",3566.16
"13",14,19,"LCOR-080","LC-102 13-15E","13-15E","large",2697.48
"14",3,14,"LCOR-604","LC-102 13-15E","13-15E","large",4480.56
"15",3,16,"LCOR-611","LC-102 13-15E","13-15E","large",2819.4
"16",1,5,"LCOR-082","LC-102 13-15E","13-15E","large",3230.88
"17",15,25,"LCOR-301","LC-102 13-15E","13-15E","large",3627.12
"18",13,24,"LCOR-084","LC-102 13-15E","13-15E","large",4297.68
"19",15,28,"LCOR-083","LC-102 13-15E","13-15E","large",3230.88
"20",6,23,"LCOR-106","LC-102 16-20","16-20","large",2987.04
"21",15,26,"LCOR-508","LC-102 16-20","16-20","large",3840.48
"22",10,27,"LCOR-322","LC-102 16-20","16-20","large",3413.76
"23",2,46,"LCOR-112","LC-102 16-20","16-20","small",1554.48
"24",13,4,"LCOR-107","LC-102 16-20","16-20","large",3230.88
"25",9,13,"LCOR-320","LC-102 16-20","16-20","large",3596.64
"26",3,48,"LCOR-505","LC-102 16-20","16-20","small",3474.72
"27",9,6,"LCOR-310","LC-102 16-20","16-20","large",2895.6
"28",10,51,"LCOR-312","LC-102 16-20","16-20","small",2346.96
