SYS,SYS,SYS,SYS,SYS,USERDEF,USERDEF,USERDEF,USERDEF,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,MATCH,MATCH,MATCH,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,META,META,META,META,META,META,META
Obs#,Time,Date,configName,configAuthor,remark,,,,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,flashID,Fo,Fm,Fv/Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,rh_s,rh_r,Tref,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,pitch,roll,heading,angle_inc_leaf,direct_pct,slope_leaf,az_leaf,dec_solar,az_solar,zenith_solar,gps_time,gps_date,latitude,longitude,altitude,gps_sats,gps_HDOP,match_time,match_date,rh_adj,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
,HHMMSS,YYYYMMDD,,,,,,,mol+1m-2s-1,mol+1m-2s-1,mol+1m-2s-1,mmol+1m-2s-1,kPa,kPa,kPa,kPa,mmol+1mol-1,mmol+1mol-1,mmol+1mol-1,cm+2,,,,,,,,,,umol+1m-2s-1,%,%,C,C,kPa,umol+1sec-1,umol+1sec-1,%,umol+1m-2s-1,V,,,,,,,,,,,,,,,,,,HHMMSS,YYYYMMDD,%,,,,,,,,umol+1sec-1,(umol+1m-2s-1)s-1,s,,,umol+1m-2s-1,Hz,s-1,s,ms,ms,ms,,%,,,,,V,V,V,V,V,V,V,V,V,A,,,,,,,,,,,,,,,,,
1,04:14:48,2023-08-01,Night sampling,CH,,,,,-4.099231,2.918283,10.129755,8.920914,1.235808,0.983681,1.323814,0.088007,9.719020,12.210091,13.079619,0.441786,PSF-00281_20230801041448,99.743484,283.809540,0.648555,0.000000,0.000000,0.000000,0.5,0.80,0.292596,60.20,47.92,17.86,11.07,101.21,156.3,158.7,-1.5,1,4.126,4,-113,188,,,,,,,,00:00:00,0000-00-00,0.000000,0.000000,0.000000,0,0.000000,04:14:40,2023-08-01,-0.99,-0.153,-0.326,-0.573,0.528,-0.327,-0.619,0,150,-9999.000,-9999.000000,1,rectangular,6000,5,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.488078,2.530374,1.657077,0.937550,0.363151,-0.067981,0.221189,0.107565,99.743484,0.000826,2.413877,-0.000026,1.000000,2.436657,-0.000021,1.000000,0.600512,0.600643,0.106516,0.000000,PSF-00281_20230801041448,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2022-09-01T17:42:39.413Z
2,04:15:09,2023-08-01,Night sampling,CH,,,,,-9.590678,2.918043,4.194147,8.793804,1.238591,0.990026,1.447977,0.209386,9.782044,12.238016,14.306873,0.441786,PSF-00281_20230801041509,99.727753,269.506226,0.629961,0.000000,0.000000,0.000000,0.5,0.80,0.242923,61.02,48.77,17.68,12.43,101.21,156.2,158.5,-1.4,1,4.124,-41,-129,216,,,,,,,,00:00:00,0000-00-00,0.000000,0.000000,0.000000,0,0.000000,04:14:40,2023-08-01,-0.99,-0.503,-0.970,-1.329,0.023,-0.268,-0.181,0,150,-9999.000,-9999.000000,1,rectangular,6000,5,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.489213,2.531455,1.656822,0.937096,0.365772,-0.052641,0.222607,0.107412,99.727753,0.000854,2.413877,-0.000026,1.000000,2.436657,-0.000021,1.000000,0.600512,0.600643,0.106516,0.000000,PSF-00281_20230801041509,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2022-09-01T17:42:39.413Z
3,04:15:39,2023-08-01,Night sampling,CH,,,,,-41.949451,2.918168,3.136344,7.345026,1.228451,1.020845,1.462312,0.233861,10.086952,12.138308,14.449082,0.441786,PSF-00281_20230801041539,83.340881,295.661316,0.718120,0.000000,0.000000,0.000000,0.5,0.80,0.298572,61.51,51.12,17.42,12.58,101.20,156.3,158.6,-1.5,1,4.122,-28,-145,190,,,,,,,,00:00:00,0000-00-00,0.000000,0.000000,0.000000,0,0.000000,04:14:40,2023-08-01,-0.99,7.533,19.864,28.838,0.039,-0.144,-0.149,0,150,-9999.000,-9999.000000,1,rectangular,6000,5,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.492268,2.532132,1.656954,0.937300,0.369595,-0.048427,0.224689,0.107483,83.340881,0.000847,2.413877,-0.000026,1.000000,2.436657,-0.000021,1.000000,0.600512,0.600643,0.106516,0.000000,PSF-00281_20230801041539,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2022-09-01T17:42:39.413Z
4,04:15:56,2023-08-01,Night sampling,CH,,,,,34.129448,2.918039,2.688200,6.452671,1.235573,1.053194,1.475233,0.239660,10.407210,12.209398,14.577618,0.441786,PSF-00281_20230801041556,90.547440,360.409851,0.748765,0.000000,0.000000,0.000000,0.5,0.80,0.270652,62.43,53.22,17.28,12.71,101.20,156.2,158.4,-1.4,1,4.122,-41,-145,172,,,,,,,,00:00:00,0000-00-00,0.000000,0.000000,0.000000,0,0.000000,04:14:40,2023-08-01,-0.99,2.508,4.614,7.847,-0.364,-0.244,-1.172,0,150,-9999.000,-9999.000000,1,rectangular,6000,5,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.494966,2.533333,1.656817,0.936761,0.371733,-0.045579,0.225821,0.107356,90.547440,0.000830,2.413877,-0.000026,1.000000,2.436657,-0.000021,1.000000,0.600512,0.600643,0.106516,0.000000,PSF-00281_20230801041556,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2022-09-01T17:42:39.413Z
5,04:16:40,2023-08-01,Night sampling,CH,,,,,42.012291,2.919546,2.729842,6.203186,1.220736,1.045584,1.447671,0.226936,10.331656,12.062366,14.304769,0.441786,PSF-00281_20230801041640,90.076447,428.615570,0.789843,0.000000,0.000000,0.000000,0.5,0.80,0.271648,62.91,53.88,16.97,12.43,101.20,156.4,158.7,-1.5,1,4.121,-28,-99,270,,,,,,,,00:00:00,0000-00-00,0.000000,0.000000,0.000000,0,0.000000,04:14:40,2023-08-01,-0.99,1.847,6.127,12.617,0.306,0.868,0.587,0,150,-9999.000,-9999.000000,1,rectangular,6000,5,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.495869,2.533995,1.658420,0.937673,0.376428,-0.045188,0.228914,0.107316,90.076447,0.000855,2.413877,-0.000026,1.000000,2.436657,-0.000021,1.000000,0.600512,0.600643,0.106516,0.000000,PSF-00281_20230801041640,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2022-09-01T17:42:39.413Z
6,04:17:05,2023-08-01,Night sampling,CH,,,,,-36.610401,2.919859,3.172915,6.700686,1.225243,1.036087,1.436170,0.210927,10.237105,12.106072,14.190145,0.441786,PSF-00281_20230801041705,79.546448,417.364960,0.809408,0.000000,0.000000,0.000000,0.5,0.80,0.373010,63.83,53.97,16.80,12.31,101.21,156.5,158.7,-1.4,1,4.118,-38,163,89,,,,,,,,00:00:00,0000-00-00,0.000000,0.000000,0.000000,0,0.000000,04:14:40,2023-08-01,-0.99,5.356,11.866,63.361,1.098,1.494,-0.420,0,150,-9999.000,-9999.000000,1,rectangular,6000,5,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.496010,2.535188,1.658754,0.937539,0.379003,-0.044629,0.230670,0.107587,79.521774,0.000821,2.413877,-0.000026,1.000000,2.436657,-0.000021,1.000000,0.600512,0.600643,0.106516,0.000000,PSF-00281_20230801041705,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2022-09-01T17:42:39.413Z
7,04:18:00,2023-08-01,Night sampling,CH,,,,,-20.160414,2.920009,3.414571,6.818574,1.187927,0.995411,1.387443,0.199516,9.836049,11.738380,13.709877,0.441786,PSF-00281_20230801041800,80.071808,401.520264,0.800578,0.000000,0.000000,0.000000,0.5,0.80,0.020526,63.15,52.91,16.48,11.78,101.20,156.5,158.6,-1.4,0,4.119,-32,178,119,,,,,,,,00:00:00,0000-00-00,0.000000,0.000000,0.000000,0,0.000000,04:14:40,2023-08-01,-0.99,0.698,2.530,9.431,0.010,0.048,-0.381,0,150,-9999.000,-9999.000000,1,rectangular,6000,5,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.494728,2.534372,1.658914,0.937425,0.383900,-0.046521,0.234424,0.106576,79.996704,0.000825,2.413877,-0.000026,1.000000,2.436657,-0.000021,1.000000,0.600512,0.600643,0.106516,0.000000,PSF-00281_20230801041800,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2022-09-01T17:42:39.413Z
8,04:18:26,2023-08-01,Night sampling,CH,,,,,-10.460190,2.919267,4.049383,6.553741,1.218351,1.033255,1.380041,0.161690,10.209698,12.038658,13.636335,0.441786,PSF-00281_20230801041826,78.490379,446.727264,0.824299,0.000000,0.000000,0.000000,0.5,0.80,0.147815,65.43,55.49,16.32,11.70,101.20,156.4,158.7,-1.5,0,4.116,1,-142,175,,,,,,,,00:00:00,0000-00-00,0.000000,0.000000,0.000000,0,0.000000,04:14:40,2023-08-01,-0.99,0.057,0.058,0.112,0.200,0.066,0.044,0,150,-9999.000,-9999.000000,1,rectangular,6000,5,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.498013,2.537302,1.658123,0.937569,0.386393,-0.045650,0.236196,0.106933,78.490379,0.000835,2.413877,-0.000026,1.000000,2.436657,-0.000021,1.000000,0.600512,0.600643,0.106516,0.000000,PSF-00281_20230801041826,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2022-09-01T17:42:39.413Z
