"","ID","Timepoint","n.x","A_sd","A","A_se","ETR_6800_sd","ETR_6800","ETR_6800_se","Tleaf_6800_sd","Tleaf_6800","Tleaf_6800_se","PhiPS2_6800_sd","PhiPS2_6800","PhiPS2_6800_se","Qin_sd","Qin","Qin_se","Ci_sd","Ci","Ci_se","n.y","gsw_sd","gsw","gsw_se","PAR_sd","PAR","PAR_se","ETR_sd","ETR","ETR_se","Tleaf_sd","Tleaf","Tleaf_se","VPDleaf_sd","VPDleaf","VPDleaf_se","PhiPS2_sd","PhiPS2","PhiPS2_se","Rd","Resp_temp","R","Theta_e","Jt","Jo","Rl","Jc","Jo_ratio","R_6800","Theta_e_6800","Jt_6800","Jo_6800","Rl_6800","Jc_6800","Jo_ratio_6800","row","column","event","event_short","block","construct","construct2","H497","Class","treatment"
"1","LCOR-001","8",1,NA,19.44558328,NA,NA,132.322638,NA,NA,23.17482,NA,NA,0.393125703,NA,NA,799.9878333,NA,NA,310.2319948,NA,1,NA,0.405262,NA,NA,224,NA,NA,67.017502,NA,NA,15.98,NA,NA,0.536431,NA,NA,0.746508,NA,-1.985342885,26.27978387,0.219052335110853,0.380361529547475,85.2009826186345,10.2400140257563,1.28000175321954,74.9609685928782,0.120186571927126,0.219052335110853,0.193562868972597,154.84794015672,56.6713190511464,7.0839148813933,98.1766211055732,0.365980451491896,3,9,"LC-102 4A","4A","large","LC-102","transgenic",4968.24,"intermediate","drought"
"2","LCOR-001","10",1,NA,23.75311001,NA,NA,210.7037985,NA,NA,27.58525,NA,NA,0.334134539,NA,NA,1499.977,NA,NA,257.0264777,NA,1,NA,0.39908,NA,NA,1442,NA,NA,372.511963,NA,NA,23.19,NA,NA,1.428065,NA,NA,0.645731,NA,-1.985342885,26.27978387,0.634123798825025,0.327090585370115,471.664624103705,256.395703735804,32.0494629669755,215.268920367902,0.543597485656312,0.634123798825025,0.162380009744782,243.566279876948,104.330140917966,13.0412676147457,139.236138958983,0.4283439438771,3,9,"LC-102 4A","4A","large","LC-102","transgenic",4968.24,"intermediate","drought"
"3","LCOR-001","12",1,NA,24.12578493,NA,NA,237.7202491,NA,NA,29.84705333,NA,NA,0.37697215,NA,NA,1499.997333,NA,NA,291.3411721,NA,1,NA,0.281941,NA,NA,1923,NA,NA,240.400101,NA,NA,28.36,NA,NA,2.499459,NA,NA,0.312455,NA,-1.985342885,26.27978387,1.35890014337004,0.150920157676751,290.219463212392,134.438463354928,16.804807919366,155.780999857464,0.463230349428845,1.35890014337004,0.185024065276029,277.535604454861,125.982557516574,15.7478196895718,151.553046938287,0.453932956688676,3,9,"LC-102 4A","4A","large","LC-102","transgenic",4968.24,"intermediate","drought"
"4","LCOR-001","14",1,NA,20.3932409,NA,NA,201.5823384,NA,NA,33.06361333,NA,NA,0.319671289,NA,NA,1499.969667,NA,NA,275.7112492,NA,1,NA,0.517466,NA,NA,1076,NA,NA,255.282516,NA,NA,27.89,NA,NA,2.236294,NA,NA,0.593201,NA,-1.985342885,26.27978387,1.26793038306293,0.29932311166444,322.071668150938,165.626717393958,20.7033396742448,156.444950756979,0.514254229019418,1.26793038306293,0.154734703937175,232.097362337987,105.643846851992,13.2054808564989,126.453515485996,0.455170389649451,3,9,"LC-102 4A","4A","large","LC-102","transgenic",4968.24,"intermediate","drought"
"5","LCOR-001","18",1,NA,12.69631682,NA,NA,148.8373971,NA,NA,32.03986129,NA,NA,0.442169225,NA,NA,800.0266452,NA,NA,197.3654726,NA,1,NA,0.176687,NA,NA,87,NA,NA,26.02766,NA,NA,23.91,NA,NA,1.500016,NA,NA,0.747897,NA,-1.985342885,26.27978387,0.705135603347101,0.381095758006969,33.1553309466063,-6.45904319559581,-0.807380399449476,39.6143741422021,-0.194811603780928,0.705135603347101,0.219487382727949,175.59575446757,88.5012391517132,11.0626548939642,87.0945153158566,0.504005574736479,3,9,"LC-102 4A","4A","large","LC-102","transgenic",4968.24,"intermediate","drought"
"6","LCOR-035","8",1,NA,16.77342191,NA,NA,134.4358714,NA,NA,24.75813871,NA,NA,0.399410114,NA,NA,799.9754194,NA,NA,229.697574,NA,1,NA,0.153453,NA,NA,774,NA,NA,168.457428,NA,NA,20.83,NA,NA,1.147211,NA,NA,0.544076,NA,-1.393447623,26.53107333,0.528001532466855,0.273355528458819,211.577179027126,100.038187919417,12.5047734899272,111.538991107709,0.472821257847434,0.528001532466855,0.196884822469611,157.503018428622,63.9887475204144,7.9985934400518,93.5142709082072,0.406269976022163,11,12,"LC-102 5C","5C","large","LC-102","transgenic",3718.56,"intermediate","drought"
"7","LCOR-035","10",1,NA,16.51053253,NA,NA,186.1382188,NA,NA,30.21917333,NA,NA,0.295166676,NA,NA,1500.036333,NA,NA,95.62107912,NA,1,NA,0.147981,NA,NA,1747,NA,NA,199.991104,NA,NA,26.43,NA,NA,2.155493,NA,NA,0.286166,NA,-1.393447623,26.53107333,0.98874123768587,0.13702373437105,239.380463946224,119.274749545483,14.9093436931854,120.105714400741,0.498264342792306,0.98874123768587,0.141781511530069,212.677418642763,101.472719343175,12.6840899178969,111.204699299588,0.477120326129312,11,12,"LC-102 5C","5C","large","LC-102","transgenic",3718.56,"intermediate","drought"
"8","LCOR-035","12",1,NA,6.24957222,NA,NA,152.4930412,NA,NA,31.66286,NA,NA,0.241820652,NA,NA,1499.995667,NA,NA,124.7104123,NA,1,NA,0.076121,NA,NA,2034,NA,NA,212.989899,NA,NA,31.64,NA,NA,3.369563,NA,NA,0.261812,NA,-1.393447623,26.53107333,1.77237694714231,0.124150156327494,252.521417970123,155.397946388082,19.4247432985102,97.1234715820409,0.615385212221752,1.77237694714231,0.113582685740572,170.373536457081,100.632692046054,12.5790865057568,69.7408444110271,0.590659172420269,11,12,"LC-102 5C","5C","large","LC-102","transgenic",3718.56,"intermediate","drought"
"9","LCOR-035","14",1,NA,5.017947465,NA,NA,154.9523565,NA,NA,33.50360645,NA,NA,0.24572026,NA,NA,1499.998387,NA,NA,153.6648829,NA,1,NA,0.043954,NA,NA,550,NA,NA,125.952515,NA,NA,29.26,NA,NA,2.798088,NA,NA,0.573032,NA,-1.393447623,26.53107333,1.35758152807482,0.288661733839012,158.763953611456,96.177302828971,12.0221628536214,62.5866507824855,0.605788030854573,1.35758152807482,0.115644027118879,173.465854144502,105.978569851002,13.2473212313752,67.4872842935008,0.610947730166642,11,12,"LC-102 5C","5C","large","LC-102","transgenic",3718.56,"intermediate","drought"
"10","LCOR-035","16",1,NA,3.66354732,NA,NA,133.8087435,NA,NA,33.09931613,NA,NA,0.39752098,NA,NA,800.0275806,NA,NA,-2109.643613,NA,1,NA,0.017561,NA,NA,1267,NA,NA,181.48822,NA,NA,33.78,NA,NA,3.84308,NA,NA,0.35816,NA,-1.393447623,26.53107333,2.25252668810073,0.175079921349278,221.826260349536,141.830574374357,17.7288217967946,79.9956859751785,0.639376844521799,2.25252668810073,0.195886222076093,156.714380320411,98.4226543549407,12.3028317943676,58.2917259654703,0.628038436253969,11,12,"LC-102 5C","5C","large","LC-102","transgenic",3718.56,"intermediate","drought"
"11","LCOR-035","18",1,NA,3.267070988,NA,NA,96.20921889,NA,NA,31.84534667,NA,NA,0.285836216,NA,NA,799.9820333,NA,NA,-1434.54981,NA,1,NA,0.011821,NA,NA,55,NA,NA,16.625603,NA,NA,23.18,NA,NA,1.440423,NA,NA,0.750641,NA,-1.393447623,26.53107333,0.687014361198942,0.382546242451065,21.0400433348086,9.03036658320572,1.12879582290071,12.0096767516029,0.429199048666687,0.687014361198942,0.136849409822248,109.477069125507,67.9883837770048,8.49854797212559,41.4886853485024,0.621028534286584,11,12,"LC-102 5C","5C","large","LC-102","transgenic",3718.56,"intermediate","drought"
