ID,mPA
LCOR-064,1.15
LCOR-213,0.65
LCOR-201,0.6
LCOR-346,0.48
LCOR-282,1.7
LCOR-062,0.8
LCOR-310,0.65
LCOR-296,0.67
LCOR-250,1.1
LCOR-279,0.55
LCOR-342,0.55
LCOR-076,0.8
LCOR-231,
LCOR-511,0.73
LCOR-041,0.7
LCOR-286,0.55
LCOR-289,0.95
LCOR-161,1.1
LCOR-233,1
LCOR-218,1.1
LCOR-156,0.65
LCOR-077,0.5
LCOR-320,1.15
LCOR-544,0.95
LCOR-269,1
LCOR-014,1.15
LCOR-091,1.5
LCOR-562,1.01
LCOR-507,1.3
LCOR-271,1.1
LCOR-072,0.9
LCOR-247,0.6
LCOR-079,1.45
LCOR-058,1.8
LCOR-209,0.6
LCOR-503,1
LCOR-322,1.5
LCOR-159,0.8
LCOR-232,0.8
LCOR-412,1.85
