Obs#,Time,Date,configName,configAuthor,remark,Observation,ID,Timepoint,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,flashID,Fo,Fm,Fv/Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,rh_s,rh_r,Tref,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,pitch,roll,heading,angle_inc_leaf,direct_pct,slope_leaf,az_leaf,dec_solar,az_solar,zenith_solar,gps_time,gps_date,latitude,longitude,altitude,gps_sats,gps_HDOP,match_time,match_date,rh_adj,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
1,8:21:05,6/27/23,Auto gsw+F,LI-COR Default,,TEST,LCOR-286,8,0.319645,2.918372,0.28809,2.581044,1.158428,1.085619,2.048514,0.890087,10.753704,11.474919,20.291763,0.441786,PSF-00281_20230627082105,0,0,0,81.514481,206.134232,0.604556,0.5,0.8,93.999695,54.45,51.03,18.43,17.82,100.95,156.3,157.9,-1,389,4.1,-41,-161,85,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,8:18:43,6/27/23,-0.71,-0.003,-0.001,-9999,-0.998,-0.754,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,196.306229,25,-6.790422,196.061249,196.406937,-0.345688,2.491979,2.522453,1.657171,0.935521,0.354962,-0.005215,0.066903,0.467978,81.514481,0.001079,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20230627082105,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2021-01-19T12:57:14.097Z
2,8:22:08,6/27/23,Auto gsw+F,LI-COR Default,,TEST,LCOR-092,8,0.278856,2.918247,0.254534,2.193543,1.196577,1.134716,2.052597,0.85602,11.239787,11.852551,20.331753,0.441786,PSF-00281_20230627082208,0,0,0,88.441727,226.30983,0.609201,0.5,0.8,90.720009,56.47,53.55,18.36,17.86,100.96,156.3,158.1,-1.1,372,4.099,-44,-179,83,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,8:18:43,6/27/23,-0.71,0.004,0,-9999,-0.459,1.61,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,216.487885,25,-6.803124,215.946075,216.564331,-0.618256,2.495194,2.525096,1.657038,0.935902,0.355861,-0.00421,0.074667,0.452706,88.441727,0.001091,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20230627082208,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2021-01-19T12:57:14.097Z
3,8:22:23,6/27/23,Auto gsw+F,LI-COR Default,,TEST,LCOR-344,8,0.290863,2.919135,0.264508,2.270501,1.195101,1.131114,2.047758,0.852657,11.204283,11.838109,20.284122,0.441786,PSF-00281_20230627082223,0,0,0,83.553673,221.427216,0.622658,0.5,0.8,77.144264,56.44,53.42,18.35,17.82,100.95,156.4,157.8,-0.9,310,4.098,-43,-166,138,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,8:18:43,6/27/23,-0.71,0.001,0.002,-9999,0.249,0.189,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,212.064743,25,-6.451082,211.983566,212.18602,-0.202454,2.49503,2.525061,1.657982,0.93527,0.356026,-0.004482,0.076389,0.394538,83.553673,0.001073,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20230627082223,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2021-01-19T12:57:14.097Z
1,8:33:14,6/27/23,Auto gsw+F,LI-COR Default,,1,LCOR-268,8,0.378734,2.917539,0.335218,2.460423,1.224692,1.155278,1.954074,0.729382,11.442535,12.130042,19.354261,0.441786,PSF-00281_20230627083314,0,0,0,93.983887,307.828949,0.694688,0.5,0.8,42.651299,57.7,54.43,18.39,17.08,100.96,156.2,158,-1.2,153,4.076,-61,172,212,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,8:23:46,6/27/23,-1.01,-0.003,-0.001,-0.018,0.751,1.449,1.197,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,295.507538,25,-8.534301,295.338745,295.603546,-0.264801,2.496308,2.527097,1.656286,0.935774,0.355499,-0.012661,0.348059,0.249246,93.983887,0.001083,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20230627083314,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2021-01-19T12:57:14.097Z
2,8:39:49,6/27/23,Auto gsw+F,LI-COR Default,,2,LCOR-092,8,0.103575,2.919616,0.100027,0.785468,1.170993,1.148857,1.95159,0.780597,11.378457,11.597695,19.328846,0.441786,PSF-00281_20230627083949,0,0,0,97.423912,227.008591,0.570836,0.5,0.8,81.553726,57.62,56.53,17.7,17.06,100.97,156.4,156.9,-0.3,357,4.071,-63,169,69,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,8:39:37,6/27/23,-0.97,0.001,-0.001,-0.017,0.669,1.231,3.127,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,217.991348,25,-6.563591,216.2565,217.606232,-1.349731,2.499067,2.527033,1.658495,0.93285,0.365488,-0.005543,0.372805,0.438643,97.423912,0.001073,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20230627083949,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2021-01-19T12:57:14.097Z
3,8:44:46,6/27/23,Auto gsw+F,LI-COR Default,,3,LCOR-344,8,0.17861,2.919034,0.168312,1.030609,1.178181,1.149125,1.787344,0.609164,11.381195,11.668969,17.702263,0.441786,PSF-00281_20230627084446,0,0,0,98.559738,371.940125,0.735012,0.5,0.8,67.712624,59.8,58.32,17.21,15.68,100.97,156.4,157.8,-0.9,230,4.064,-21,174,110,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,8:39:37,6/27/23,-0.97,0.004,0.005,-0.013,-0.555,-1.213,-0.197,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,363.271606,25,-6.115372,362.655029,363.17984,-0.524811,2.501399,2.529929,1.657874,0.935265,0.372782,-0.014703,0.391066,0.320681,98.559738,0.001066,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20230627084446,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2021-01-19T12:57:14.097Z
4,8:48:18,6/27/23,Auto gsw+F,LI-COR Default,,4,LCOR-563,8,0.087237,2.918145,0.084705,0.612782,1.173132,1.155843,1.89249,0.719358,11.447443,11.618676,18.743187,0.441786,PSF-00281_20230627084818,0,0,0,84.622978,225.545135,0.624807,0.5,0.8,74.120796,60.14,59.25,17.05,16.57,100.97,156.3,157.6,-0.9,297,4.059,-23,139,129,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,8:39:37,6/27/23,-0.97,-0.001,-0.001,-9999,0.013,-0.046,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,219.696167,25,-4.028524,219.5009,219.774261,-0.273361,2.502591,2.5304,1.65693,0.9348,0.375176,-0.003721,0.404466,0.382298,84.622978,0.00108,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20230627084818,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2021-01-19T12:57:14.097Z
5,8:52:42,6/27/23,Auto gsw+F,LI-COR Default,,5,LCOR-062,8,0.247975,2.918425,0.228555,1.335869,1.192287,1.154612,1.773762,0.581475,11.435427,11.808564,17.567564,0.441786,PSF-00281_20230627085242,0,0,0,86.277367,312.054535,0.723518,0.5,0.8,44.121304,61.63,59.68,16.92,15.56,100.97,156.3,158.2,-1.2,152,4.056,-27,132,114,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,8:52:31,6/27/23,-0.99,0.003,0,-9999,0.105,-0.141,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,303.098907,25,-6.167997,302.945129,303.218872,-0.273743,2.503142,2.532356,1.657227,0.936199,0.377138,-0.012889,0.421096,0.248282,86.277367,0.001103,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20230627085242,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2021-01-19T12:57:14.097Z
6,8:54:47,6/27/23,Auto gsw+F,LI-COR Default,,6,LCOR-003,8,0.331946,2.918237,0.298044,1.710928,1.225544,1.177298,1.796501,0.570957,11.659679,12.13749,17.79211,0.441786,PSF-00281_20230627085447,0,0,0,89.402321,349.262878,0.744026,0.5,0.8,39.329174,62.76,60.29,17.07,15.76,100.97,156.3,158,-1.1,132,4.05,-29,153,97,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,8:52:31,6/27/23,-0.99,0.004,0.004,0.008,0.021,0.217,0.147,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,337.003479,25,-8.478047,337.219482,337.118042,0.10144,2.503875,2.533785,1.657027,0.935813,0.374921,-0.012378,0.429073,0.229401,89.402321,0.001067,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20230627085447,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2021-01-19T12:57:14.097Z
7,8:58:59,6/27/23,Auto gsw+F,LI-COR Default,,7,LCOR-251,8,0.27291,2.918262,0.249571,1.41594,1.240982,1.201064,1.80517,0.564188,11.89576,12.291121,17.879032,0.441786,PSF-00281_20230627085859,0,0,0,88.704941,343.168243,0.741512,0.5,0.8,61.986176,63.23,61.19,17.15,15.83,100.97,156.3,158,-1.1,209,4.042,-14,162,141,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,8:52:31,6/27/23,-0.99,0.005,0.002,-0.012,0.024,0.142,0.245,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,330.986389,25,-8.414535,330.45459,331.11441,-0.659821,2.504982,2.53437,1.657054,0.935803,0.373708,-0.012449,0.446346,0.30085,88.704941,0.001074,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20230627085859,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2021-01-19T12:57:14.097Z
