Obs#,Time,Date,configName,configAuthor,ID,,,,Fv/Fm,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,flashID,Fo,Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,rh_s,rh_r,Tref,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,pitch,roll,heading,angle_inc_leaf,direct_pct,slope_leaf,az_leaf,dec_solar,az_solar,zenith_solar,gps_time,gps_date,latitude,longitude,altitude,gps_sats,gps_HDOP,match_time,match_date,rh_adj,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
1,4:23:36 AM,8/29/23,Night sampling,CH,LCOR-064,,,,0.78752,0.031033,2.917424,0.030707,0.232178,1.561938,1.55538,2.314025,0.752088,15.338259,15.402926,22.819582,0.441786,PSF-00508_20230829042336,90.267776,424.830078,0,0,0,0.5,0.8,0.255484,60.01,59.76,21.68,19.77,101.41,156.2,156.3,-0.1,1,4.098,50,-17,283,,,,,,,,0,0000-00-00,nan,nan,nan,0,nan,0.18130787,45167,0.01,-0.004,-0.006,-0.023,0.29,0.045,0.275,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.494377,2.510811,1.652626,0.935607,0.311424,-0.021797,0.126372,0.108098,90.267776,0.000232,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230829042336,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-09-01T17:42:39.413Z
2,4:23:55 AM,8/29/23,Night sampling,CH,LCOR-064,,,,0.777258,0.012079,2.91886,0.01203,0.103241,1.580629,1.577717,2.433701,0.853072,15.558382,15.5871,23.999519,0.441786,PSF-00508_20230829042355,90.722321,407.297028,0,0,0,0.5,0.8,0.254092,60.98,60.86,21.62,20.59,101.41,156.3,156.4,-0.1,1,4.093,49,-40,252,,,,,,,,0,0000-00-00,44.588623,-123.199371,67.900002,6,1.65,0.18130787,45167,0.01,0,0,0.001,-0.029,0.13,-0.056,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.495892,2.512162,1.654098,0.935994,0.312245,-0.011845,0.129063,0.108103,90.722321,0.000239,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230829042355,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-09-01T17:42:39.413Z
3,4:26:20 AM,8/29/23,Night sampling,CH,LCOR-213,,,,0.843549,0.028201,2.920841,0.027931,0.191435,1.574259,1.568867,2.256138,0.681879,15.471453,15.524622,22.249006,0.441786,PSF-00508_20230829042620,73.549744,470.113983,0,0,0,0.5,0.8,-0.000023,61.65,61.44,21.37,19.37,101.4,156.6,156.5,0.1,0,4.062,29,8,332,,,,,,,,0.4771875,45167,44.588604,-123.199356,71.099998,7,1.44,0.18130787,45167,0.01,-0.005,-0.012,-0.059,0.38,0.101,0.058,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.496732,2.513153,1.656137,0.936087,0.315327,-0.022808,0.149665,0.1074,73.549744,0.000234,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230829042620,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-09-01T17:42:39.413Z
4,4:26:37 AM,8/29/23,Night sampling,CH,LCOR-213,,,,0.832936,0.050918,2.921846,0.050046,0.359607,1.596128,1.586011,2.310734,0.714605,15.640593,15.740369,22.787516,0.441786,PSF-00508_20230829042637,73.272232,438.588379,0,0,0,0.5,0.8,-0.000854,62.66,62.26,21.33,19.75,101.4,156.7,156.4,0.2,0,4.09,47,8,335,,,,,,,,0.477384259,45167,44.588646,-123.19931,74.300003,9,1,0.18130787,45167,0.01,-0.001,-0.005,-0.014,-0.188,-0.121,-0.228,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.497859,2.514558,1.657174,0.935881,0.315832,-0.018038,0.151868,0.107398,73.272232,0.000229,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230829042637,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-09-01T17:42:39.413Z
5,4:28:35 AM,8/29/23,Night sampling,CH,LCOR-201,,,,0.834507,0.055752,2.920283,0.054707,0.397431,1.60031,1.589115,2.32272,0.722409,15.671359,15.781762,22.905941,0.441786,PSF-00508_20230829042835,73.766113,445.736633,0,0,0,0.5,0.8,-0.001133,63.79,63.35,21.08,19.83,101.4,156.5,156.4,0.1,0,4.09,29,-54,336,,,,,,,,0.47875,45167,44.588642,-123.19931,73.099998,9,1,0.18130787,45167,0.01,-0.004,-0.002,-0.002,0.015,0.145,0.11,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.499393,2.516188,1.655561,0.935926,0.319014,-0.014239,0.167648,0.107397,73.766113,0.000231,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230829042835,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-09-01T17:42:39.413Z
6,4:28:59 AM,8/29/23,Night sampling,CH,LCOR-201,,,,0.83457,0.043236,2.921237,0.042605,0.330935,1.599846,1.590531,2.372059,0.772213,15.685396,15.777258,23.392622,0.441786,PSF-00508_20230829042859,79.54216,480.819946,0,0,0,0.5,0.8,0.275048,63.96,63.59,21.04,20.17,101.4,156.6,156.5,0.1,1,4.087,52,-10,350,,,,,,,,0.479039352,45167,44.588902,-123.199257,68.300003,12,0.82,0.18130787,45167,0.01,-0.002,-0.001,-0.003,0.21,0.048,0.576,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.499731,2.516429,1.656545,0.935997,0.319618,-0.009872,0.170799,0.108109,79.623344,0.000232,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230829042859,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-09-01T17:42:39.413Z
7,4:31:29 AM,8/29/23,Night sampling,CH,LCOR-282,,,,0.829762,0.06818,2.917919,0.066623,0.444867,1.57144,1.558883,2.235767,0.664327,15.374696,15.498542,22.050556,0.441786,PSF-00508_20230829043129,78.454613,460.851776,0,0,0,0.5,0.8,0.062315,63.78,63.27,20.79,19.22,101.39,156.2,153.1,2,0,4.085,62,-45,326,,,,,,,,0.480775463,45167,44.588894,-123.199287,68.199997,12,0.82,0.188402778,45167,-0.03,-0.002,-0.008,-0.018,0.151,0.009,0.283,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.499372,2.516306,1.653133,0.92767,0.322802,-0.017768,0.18942,0.107562,78.454613,0.00023,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230829043129,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-09-01T17:42:39.413Z
8,4:31:44 AM,8/29/23,Night sampling,CH,LCOR-282,,,,0.824272,0.078832,2.919492,0.076759,0.462262,1.580603,1.567571,2.179944,0.599341,15.45901,15.587528,21.498091,0.441786,PSF-00508_20230829043144,78.760384,448.195709,0,0,0,0.5,0.8,0.0282,64.25,63.72,20.77,18.82,101.4,156.4,156,0.3,0,4.083,51,14,7,,,,,,,,0.480902778,45167,44.588799,-123.199226,67.400002,13,0.82,0.188402778,45167,-0.03,-0.011,-0.019,-0.054,-0.2,-0.062,0.534,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.499976,2.516949,1.654747,0.93494,0.323097,-0.022031,0.191161,0.107474,78.739288,0.000237,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230829043144,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-09-01T17:42:39.413Z
9,4:33:35 AM,8/29/23,Night sampling,CH,LCOR-346,,,,0.826915,0.048309,2.919297,0.047523,0.307108,1.585161,1.576503,2.228102,0.642941,15.547709,15.633101,21.973885,0.441786,PSF-00508_20230829043335,69.584015,402.021301,0,0,0,0.5,0.8,0.002726,65.25,64.89,20.56,19.17,101.4,156.4,156.6,-0.1,0,4.082,61,-4,17,,,,,,,,0.482233796,45167,44.588799,-123.199234,66.900002,13,0.82,0.188402778,45167,-0.03,-0.001,-0.009,-0.017,-0.133,-0.132,0.146,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.501616,2.518379,1.654547,0.936431,0.325757,-0.015798,0.204683,0.107407,69.85009,0.000229,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230829043335,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-09-01T17:42:39.413Z
10,4:33:48 AM,8/29/23,Night sampling,CH,LCOR-346,,,,0.831903,0.020241,2.920029,0.020101,0.122251,1.583249,1.579804,2.188464,0.605215,15.579886,15.613859,21.582432,0.441786,PSF-00508_20230829043348,78.203201,465.227356,0,0,0,0.5,0.8,0.106446,65.26,65.12,20.54,18.88,101.4,156.5,156.3,0.1,0,4.077,33,-40,325,,,,,,,,0.482372685,45167,44.58889,-123.199234,64.900002,14,0.8,0.188402778,45167,-0.03,-0.002,-0.011,-0.031,0.039,-0.158,0.099,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.501926,2.5184,1.6553,0.935701,0.32605,-0.018757,0.206088,0.107675,78.203201,0.000231,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230829043348,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-09-01T17:42:39.413Z
