ID,Rd,Date,Time,Resp_temp
LCOR-064,-0.715227471,20230828 19:54:07,19:54:07,22.22162667
LCOR-213,-0.806518728,20230828 19:56:41,19:56:41,22.30994667
LCOR-201,-0.763350985,20230828 19:59:02,19:59:02,22.56106333
LCOR-346,-0.942635633,20230828 20:02:07,20:02:07,22.83444516
LCOR-310,-1.001203656,20230828 20:03:55,20:03:55,22.57953333
LCOR-062,-0.594368727,20230828 20:06:00,20:06:00,22.70432333
LCOR-282,-0.691123493,20230828 20:08:13,20:08:13,22.72338667
LCOR-296,-0.984808735,20230828 20:10:58,20:10:58,22.57280645
LCOR-250,-0.93284392,20230828 20:12:30,20:12:30,22.44880667
LCOR-279,-0.840653928,20230828 20:14:16,20:14:16,22.67309667
LCOR-342,-0.871594362,20230828 20:16:49,20:16:49,22.83566774
LCOR-076,-1.15372262,20230828 20:19:47,20:19:47,22.88860333
LCOR-511,-1.198234952,20230828 20:22:12,20:22:12,22.94558667
LCOR-041,-0.956095571,20230828 20:24:12,20:24:12,22.98564667
LCOR-286,-1.342719595,20230828 20:26:10,20:26:10,23.04702333
LCOR-289,-1.304093412,20230828 20:28:26,20:28:26,23.22046774
LCOR-161,-0.754644029,20230828 20:30:44,20:30:44,23.37248667
LCOR-233,-1.062937355,20230828 20:32:54,20:32:54,23.03505
LCOR-503,-0.972248792,20230829 11:17:34,11:17:34,25.29229
LCOR-322,-1.069439268,20230829 11:20:16,11:20:16,25.47986364
LCOR-232,-1.034723819,20230829 11:24:14,11:24:14,25.40181818
LCOR-412,-1.333239952,20230829 11:26:46,11:26:46,25.63664545
LCOR-218,-1.923397113,20230829 09:52:52,09:52:52,21.95072667
LCOR-156,-1.278589066,20230829 09:56:08,09:56:08,21.80104667
LCOR-077,-1.361839952,20230829 10:00:15,10:00:15,22.27564667
LCOR-320,-0.826262965,20230829 10:02:57,10:02:57,22.36427
LCOR-544,-0.832594469,20230829 10:05:11,10:05:11,22.69188333
LCOR-269,-0.84392722,20230829 10:07:20,10:07:20,22.68435161
LCOR-507,-0.793023788,20230829 10:11:21,10:11:21,22.80584516
LCOR-562,-0.681923587,20230829 10:13:34,10:13:34,23.15575806
LCOR-014,-1.106617873,20230829 10:15:43,10:15:43,22.85991613
LCOR-091,-0.535481378,20230829 10:18:06,10:18:06,23.03946333
LCOR-271,-0.505926457,20230829 10:21:19,10:21:19,23.23690968
LCOR-079,-0.743768536,20230829 10:24:17,10:24:17,23.47622333
LCOR-072,-2.332768144,20230829 10:27:06,10:27:06,23.24389667
LCOR-247,-1.449372544,20230829 10:29:54,10:29:54,23.27029677
LCOR-058,-0.771923535,20230829 10:32:15,10:32:15,23.48235161
LCOR-209,-0.574687849,20230829 10:34:43,10:34:43,23.77500333
