SYS,SYS,SYS,SYS,SYS,USERDEF,USERDEF,USERDEF,USERDEF,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,MATCH,MATCH,MATCH,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,META,META,META,META,META,META,META
Obs#,Time,Date,configName,configAuthor,remark,Observation,,ID,gsw,gtw,gbw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,flashID,Fo,Fm,Fv/Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,rh_s,rh_r,Tref,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,pitch,roll,heading,angle_inc_leaf,direct_pct,slope_leaf,az_leaf,dec_solar,az_solar,zenith_solar,gps_time,gps_date,latitude,longitude,altitude,gps_sats,gps_HDOP,match_time,match_date,rh_adj,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
,HHMMSS,YYYYMMDD,,,,,,,mol+1m-2s-1,mol+1m-2s-1,mol+1m-2s-1,mmol+1m-2s-1,kPa,kPa,kPa,kPa,mmol+1mol-1,mmol+1mol-1,mmol+1mol-1,cm+2,,,,,,,,,,umol+1m-2s-1,%,%,C,C,kPa,umol+1sec-1,umol+1sec-1,%,umol+1m-2s-1,V,,,,,,,,,,,,,,,,,,HHMMSS,YYYYMMDD,%,,,,,,,,umol+1sec-1,(umol+1m-2s-1)s-1,s,,,umol+1m-2s-1,Hz,s-1,s,ms,ms,ms,,%,,,,,V,V,V,V,V,V,V,V,V,A,,,,,,,,,,,,,,,,,
1,8:25:31,7/26/23,Auto gsw+F,LI-COR Default,,1,,,0.058242,0.057103,2.921097,0.607514,1.364572,1.347414,2.424181,1.059609,13.275997,13.44505,23.885324,0.441786,PSF-00508_20230726082531,0,0,0,99.380852,219.139084,0.546494,0.5,0.8,128.368774,53.56,52.88,21.34,20.53,101.49,156.6,156.2,0.3,587,4.102,53,-33,295,,,,,,,,0:00:00,0000-00-00,44.588661,-123.199318,71.599998,11,0.81,8:24:54,7/26/23,0.01,-0.004,-0.002,-0.005,11.647,0.485,12.166,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,210.083481,25,-6.399087,209.274536,209.997162,-0.722626,2.485042,2.501889,1.6564,0.935396,0.315794,-0.009328,0.061212,0.612813,99.380852,0.000414,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230726082531,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-04-21T19:36:20.491Z
2,8:29:34,7/26/23,Auto gsw+F,LI-COR Default,,2,,LCOR-228,0.097895,0.09472,2.920982,1.493055,1.368764,1.326587,2.934952,1.566188,13.068307,13.483803,28.912441,0.441786,PSF-00508_20230726082934,0,0,0,85.995193,111.695946,0.230096,0.5,0.8,134.649979,53.41,51.77,21.43,23.66,101.51,156.6,153.9,1.7,1463,4.101,52,-22,262,,,,,,,,15:31:28,7/26/23,44.58865,-123.199333,71.599998,11,0.81,8:24:54,7/26/23,0.01,0,0.002,0.02,-0.038,-0.004,0.238,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,109.038948,25,-1.921916,108.832237,108.950241,-0.118004,2.483473,2.501661,1.656282,0.929624,0.3146,0.025786,0.095194,1.366528,85.995193,0.000412,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230726082934,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-04-21T19:36:20.491Z
3,8:30:25,7/26/23,Auto gsw+F,LI-COR Default,,3,,LCOR-211,0.13914,0.132811,2.919864,1.353574,1.350178,1.311897,2.365877,1.015699,12.922934,13.300016,23.305229,0.441786,PSF-00508_20230726083025,0,0,0,81.160065,224.660904,0.638744,0.5,0.8,35.554718,52.7,51.2,21.43,20.13,101.52,156.5,156.3,0.1,139,4.093,51,-17,200,,,,,,,,15:32:20,7/26/23,44.588829,-123.19928,69.699997,14,0.75,8:24:54,7/26/23,0.01,0.001,0.003,-9999,0.194,-3.995,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,214.248062,25,-7.158363,215.433243,214.43425,0.998993,2.482697,2.500659,1.65513,0.935627,0.314649,-0.014825,0.101907,0.227168,81.160065,0.000415,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230726083025,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-04-21T19:36:20.491Z
4,8:34:55,7/26/23,Auto gsw+F,LI-COR Default,,4,,LCOR-575,0.116258,0.111806,2.919561,2.000935,1.355007,1.298428,3.131012,1.776006,12.794854,13.352386,30.85334,0.441786,PSF-00508_20230726083455,0,0,0,102.00119,139.997147,0.271405,0.5,0.8,187.237564,52.52,50.33,21.54,24.74,101.48,156.4,155.5,0.6,1725,4.092,34,51,328,,,,,,,,15:36:50,7/26/23,44.588837,-123.199265,69.199997,15,0.72,8:24:54,7/26/23,0.01,0,0,-0.002,0.079,0.837,12.901,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,134.071472,25,-4.530101,132.694962,133.525314,-0.830353,2.481452,2.50038,1.654818,0.933726,0.313215,0.037264,0.136622,1.591786,102.00119,0.000409,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230726083455,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-04-21T19:36:20.491Z
5,8:36:18,7/26/23,Auto gsw+F,LI-COR Default,,5,,LCOR-346,0.082067,0.079823,2.919937,0.983752,1.328478,1.300662,2.55523,1.226752,12.816579,13.090678,25.178963,0.441786,PSF-00508_20230726083618,0,0,0,82.329155,250.723587,0.671634,0.5,0.8,315.355927,50.98,49.91,21.7,21.38,101.48,156.5,156,0.3,1174,4.089,42,25,341,,,,,,,,15:38:13,7/26/23,44.58881,-123.199265,70.300003,14,0.82,8:36:07,7/26/23,-0.02,0.001,0.001,0.004,1.46,1.147,-28.437,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,241.37056,25,-6.382661,241.707092,241.605133,0.101959,2.480831,2.498207,1.655205,0.934905,0.311156,-0.003824,0.14693,1.117677,82.329155,0.000412,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230726083618,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-04-21T19:36:20.491Z
6,8:37:30,7/26/23,Auto gsw+F,LI-COR Default,,6,,LCOR-092,0.099796,0.096498,2.919681,1.064485,1.34812,1.318022,2.446599,1.09848,12.988415,13.28501,24.109949,0.441786,PSF-00508_20230726083730,0,0,0,109.811783,316.990509,0.65358,0.5,0.8,143.393143,51.14,50,21.89,20.68,101.48,156.5,154.6,1.2,548,4.086,22,14,172,,,,,,,,15:39:26,7/26/23,44.588688,-123.19928,68.099998,15,0.71,8:36:07,7/26/23,-0.02,0,0.001,0.011,0.611,2.395,1.872,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,309.1185,25,-5.46642,309.000488,309.18103,-0.180542,2.48091,2.498393,1.654941,0.931303,0.308821,-0.014038,0.155719,0.579465,109.811783,0.000411,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230726083730,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-04-21T19:36:20.491Z
7,8:38:47,7/26/23,Auto gsw+F,LI-COR Default,,7,,LCOR-314,0.13998,0.133578,2.920376,1.731572,1.356998,1.308073,2.646415,1.289418,12.891169,13.373325,26.080641,0.441786,PSF-00508_20230726083847,0,0,0,113.045456,260.571167,0.566163,0.5,0.8,45.100899,50.85,49.02,22.09,21.96,101.47,156.5,156.3,0.2,199,4.085,-1,-12,20,,,,,,,,15:40:42,7/26/23,44.588882,-123.19928,69.099998,14,0.75,8:36:07,7/26/23,-0.02,0.002,-0.001,0.016,-1.944,-2.519,-9.068,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,249.843124,25,-7.412063,250.161057,249.982071,0.178986,2.4795,2.497939,1.655656,0.935569,0.306354,-0.001731,0.164917,0.278802,113.045456,0.000403,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230726083847,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-04-21T19:36:20.491Z
8,8:40:12,7/26/23,Auto gsw+F,LI-COR Default,,8,,,0.053,0.052055,2.920781,0.838234,1.320368,1.296681,2.920299,1.599931,12.777956,13.011374,28.777655,0.441786,PSF-00508_20230726084012,0,0,0,114.86721,194.941467,0.410761,0.5,0.8,152.988205,49.15,48.27,22.2,23.58,101.48,156.6,156.6,0,931,4.084,-26,-49,32,,,,,,,,15:42:07,7/26/23,44.588882,-123.199303,71.599998,14,0.73,8:36:07,7/26/23,-0.02,0.002,-0.001,-0.004,-4.204,-1.407,10.014,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,182.866211,25,-9.994696,177.030441,180.66275,-3.632309,2.478432,2.495506,1.656074,0.936342,0.305023,0.015855,0.174987,0.908785,114.86721,0.000412,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230726084012,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-04-21T19:36:20.491Z
