obs,time,elapsed,date,hhmmss,averaging,Group name,Control v transgenic,obs,ID,Leaf number,Plant age,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd/dt,αVc,Edyn,Hr,Hs,dHs/dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,DarkAdaptedID,Qmax_d,Fo,Fm,Fv/Fm,A_dark,LightAdaptedID,Qmax,Fs,Fm',PhiPS2,PS2/1,Qabs_fs,A_fs,ETR,PhiCO2,NPQ,alt._Fo',DarkPulseID,Fmin,Fo',Fv'/Fm',qP,qN,qP_Fo,qN_Fo,qL,1-qL,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,F_avg,dF/dt,dF_dc/dt,F_dc_avg,period,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
,s,s,,,s,,,,,,weeks,s,mol m⁻² s⁻¹,mmol m⁻² s⁻¹,µmol m⁻² s⁻¹,µmol mol⁻¹,µmol mol⁻¹,Pa,Pa,mol m⁻² s⁻¹,mol m⁻² s⁻¹,mol m⁻² s⁻¹,mol m⁻² s⁻¹,W m⁻²,°C,°C,kPa,%,kPa,kPa,kPa,W m⁻²,W m⁻²,W m⁻²,W m⁻²,µmol m⁻² s⁻¹,mmol m⁻² s⁻¹,µmol m⁻² s⁻¹,µmol mol⁻¹,µmol mol⁻¹,µmol mol⁻¹ s⁻¹,cm³,mmol m⁻² s⁻¹,mmol mol⁻¹,mmol mol⁻¹,mmol mol⁻¹ s⁻¹,cm³,µmol s⁻¹,%,,%,µmol s⁻¹,,,,,,µmol m⁻² s⁻¹,,,,,,,µmol m⁻² s⁻¹,µmol m⁻² s⁻¹,µmol m⁻² s⁻¹,µmol µmol⁻¹,,,,,,,,,,,,,µmol m⁻² s⁻¹,µmol m⁻² s⁻¹,,J/µmol,cm²,,,mol m⁻² s⁻¹,,s,µmol mol⁻¹,µmol mol⁻¹,mmol mol⁻¹,mmol mol⁻¹,µmol mol⁻¹,mmol mol⁻¹,µmol s⁻¹,kPa,kPa,°C,°C,°C,°C,°C,rpm,µmol m⁻² s⁻¹,µmol m⁻² s⁻¹,µmol m⁻² s⁻¹,,,,,µmol m⁻² s⁻¹,,,°C,°C,°C,°C,°C,µmol m⁻² s⁻¹,µmol m⁻² s⁻¹,µmol m⁻² s⁻¹,s,,,min⁻¹,min⁻¹,,s,secs,,s,s,,µmol/mol,mmol/mol,µmol/mol,mmol/mol,µmol/mol,mmol/mol,%,%,%,%,µmol/mol,mmol/mol,mmol/mol,,,,mmol/mol,,,,µmol mol⁻¹,µmol mol⁻¹,mmol mol⁻¹,mmol mol⁻¹,min,min,V,V,V,V,V,V,°C,V,,µmol s⁻¹,µmol s⁻¹,°C,°C,°C,°C,°C,%,%,%,°C,µmol mol⁻¹,mmol mol⁻¹,%,%
1,1693236409,0,20230828 08:26:49,8:26:49,5,,Transgenic,1,LCOR-064,,,1693236405,0.000221517,0.221517374,1.728205528,407.977,229.1282728,23.26592394,41.42641034,0.016133766,2.956012957,0.016085005,0.010057497,33.05155063,24.50226326,23.72619412,2.946067388,51.5717889,1.578835405,3.061432304,1.367231983,-9.768916191,101.9408286,7.224782743,132.4482457,1.728205528,0.221517374,3.181455125,416.1521034,413.1143697,-0.042046308,67.14704493,0.691941247,15.32917108,15.7092097,0.056062424,78.55,27,5,1,0,54152.85217,-,0,0,0,#DIV/0!,0.5,RECT-680-20230828-08_26_45,8189.43,689.2528846,1309.38,0.473603626,0.5,168.5966307,1.728205528,39.92398778,0.007284876,-1,#DIV/0!,DARK-681-20230828-08_26_52,506.67,506.67,0.613045869,0.772541909,2.58428563,0.473603626,#DIV/0!,0.567895786,0.432104214,200.0136471,168.5966307,0.842925636,0.165246478,6,0.5,0: Broadleaf,2,FALSE,1693236405,407.977,409.7954118,15.54874118,15.33068824,408.489,15.48774118,600.0553529,101.4417059,0.099337694,24.36586471,23.72619412,999.9,0,0,10007.36,0,135.9456471,200.0136471,0.899969588,0.100030465,0,688.0042941,5.00022,1457.591176,1797.845294,37.187,40.5,39.19441176,38.98876471,38.937,175.5052941,19.50529412,0,1693236412,0,689.2528846,-25.58820509,-50.79965811,1459.911923,15,1693236427,8:27:07,1693236427,1693236426,2,0.026,-0.003,-0.512,0.061,410,15,0.78,0.24,100,100,-0.512,0.061,-1.028093951,0.000439478,2.00E-06,-3.80E-10,-0.055803178,-0.011920631,0.001912794,-4.02E-05,23,2006,0,18,0.1,0.3,1.07178,2.56226,1.39771,2.28027,1.39526,2.44263,30.029,15.6643,18,570.467,399.405,23.5832,23.4388,29.9996,23.3703,23.7259,21.4783,0,100,-999.9,410,56.859,99.3252,93.9455
2,1693236644,234.5,20230828 08:30:43,8:30:43,5,,Transgenic,2,LCOR-213,,,1693236636,0.001548743,1.548742674,8.037407294,401.3308667,299.5462906,30.41413757,40.74873425,0.137864963,2.953567384,0.13438713,0.084297119,33.05461112,23.8342838,23.1119,2.838875954,56.45150091,1.69487313,3.002352643,1.144002824,-68.29955192,147.9378169,10.44370291,123.136579,8.037407294,1.548742674,8.01926276,416.3066056,408.1823455,-0.0039718,67.26,1.600562795,15.17121631,16.74130182,0.000676913,78.45517612,9,1,1,0,54139.79946,-,0,0,0,#DIV/0!,0.5,RECT-682-20230828-08_30_40,8150.25,983.2572692,2825.74,0.652035478,0.5,168.6142356,8.037407294,54.97123184,0.044702081,-1,#DIV/0!,DARK-683-20230828-08_30_46,675,675,0.76112452,0.856673857,4.186281481,0.652035478,#DIV/0!,0.588101275,0.411898725,200.0348,168.6142356,0.842924509,0.165244303,6,0.5,0: Broadleaf,2,FALSE,1693236636,401.3308667,409.9895667,16.69266333,15.16982,401.9288667,16.62866333,600.0184,101.434,0.100015023,24.04096667,23.1119,999.9,0,0,9994.239667,0,119.0402,200.0348,0.900011267,0.099988677,0,983.7724667,5.00022,2060.161333,1798.065,37.0186,40.625,39.02686667,40.41016667,39.02273333,175.5333333,19.5,0,232.5999999,0,983.2572692,-62.48406837,-120.7606838,2058.838077,15,1693236669,8:31:08,1693236664,1693236669,3,-0.086,0.006,-0.598,0.064,410,15,0.31,0.1,100,100,-0.598,0.064,-1.00197643,0.000439478,2.00E-06,-3.80E-10,-0.05912215,-0.011920631,0.001912794,-4.02E-05,23,2006,0,18,3.6,3.6,1.07422,2.56226,1.39893,2.28027,1.39526,2.37183,29.8578,15.6468,18,589.853,401.512,23.3479,23.0779,29.9996,22.9935,23.3456,21.523,0,100,-999.9,410,56.859,99.3775,93.9764
3,1693236810,400.5,20230828 08:33:29,8:33:29,5,,Transgenic,3,LCOR-201,,,1693236802,0.00200107,2.001069812,9.475842665,399.7079032,308.9280057,31.36565127,40.58259034,0.184838865,2.95424543,0.178646009,0.112192874,33.05213441,23.82288921,23.17439032,2.849622044,57.52379785,1.738039762,3.021427352,1.111582282,-88.24717872,154.8225841,10.93651572,110.5640555,9.475842665,2.001069812,9.710739524,416.287944,406.5616848,-0.029027879,67.26,2.055731651,15.15319926,17.17236485,0.000222302,78.45644402,14,2,1,0,54140.48591,-,0,0,0,#DIV/0!,0.5,RECT-684-20230828-08_33_26,8137.08,989.8034231,2973.85,0.667164308,0.5,168.6012068,9.475842665,56.24235372,0.05323712,-1,#DIV/0!,DARK-685-20230828-08_33_32,733.47,733.47,0.753360122,0.885584846,4.05449439,0.667164308,#DIV/0!,0.656241332,0.343758668,200.0192903,168.6012068,0.842924733,0.165244734,6,0.5,0: Broadleaf,2,FALSE,1693236802,399.7079032,409.9832258,17.11838065,15.15163548,400.3149032,17.05038065,600.0212258,101.4306129,0.100004868,24.14647097,23.17439032,999.9,0,0,9998.420645,0,129.646,200.0192903,0.900005903,0.099994081,0,990.4211935,5.00022,2070.109032,1797.919032,37.512,41.10258065,39.431,41.40506452,39.562,175.5180645,19.5,0,163.5999999,0,989.8034231,-115.9079316,-219.9364103,2068.821538,15,1693236839,8:33:58,1693236831,1693236839,4,-0.009,0.004,-0.607,0.068,410,15,0.53,0.05,100,100,-0.607,0.068,-1.088275754,0.000439478,2.00E-06,-3.80E-10,-0.053518655,-0.011920631,0.001912794,-4.02E-05,23,2006,0,18,2.4,2.4,1.07422,2.5647,1.39771,2.27905,1.39526,2.36084,29.7937,15.6293,18,585.223,401.574,23.3292,22.8969,29.9998,22.7904,23.1424,21.5376,0,100,-999.9,410,56.859,99.4009,93.9858
4,1693236991,582,20230828 08:36:31,8:36:31,5,,Transgenic,4,LCOR-282,,,1693236983,0.000321229,0.321228584,2.371540924,407.5117667,241.8798597,24.55930598,41.37676524,0.024009,2.954481727,0.023901134,0.01494786,33.04711544,24.23523978,23.4519,2.897774784,51.80292513,1.563130809,3.017456649,1.334643975,-14.16618055,107.1421119,7.577582504,133.6006293,2.371540924,0.321228584,2.168987548,416.2211498,413.9873394,0.006887428,67.25930233,0.325065096,15.07254182,15.39266485,-1.33E-05,78.45202788,26,4,1,0,54151.54284,-,0,0,0,#DIV/0!,0.5,RECT-686-20230828-08_36_27,8147.48,1025.573077,2350.75,0.563725161,0.5,168.5776615,2.371540924,47.51573472,0.011101951,-1,#DIV/0!,DARK-687-20230828-08_36_34,673.73,673.73,0.713397852,0.790197447,3.489157378,0.563725161,#DIV/0!,0.519104624,0.480895376,199.9916333,168.5776615,0.84292357,0.16524249,6,0.5,0: Broadleaf,2,FALSE,1693236983,407.5117667,410.0141333,15.39497333,15.0787,408.1757667,15.32297333,600.0188667,101.4351333,0.10000901,24.12455667,23.4519,999.9,0,0,9999.316,0,168.4001333,199.9916333,0.900066,0.099934,0,1026.481667,5.00022,2146.58,1797.698,37.75,41.6954,39.7624,41.28726667,39.7122,175.505,19.49,0,179.5999999,0,1025.573077,-109.4420513,-218.8064957,2144.773462,15,1693237020,8:37:00,1693237020,1693237014,5,-0.058,0.005,-0.664,0.072,410,15,0.71,0.33,100,100,-0.664,0.072,-1.097305656,0.000439478,2.00E-06,-3.80E-10,-0.049498377,-0.011920631,0.001912794,-4.02E-05,23,2006,0,18,2.7,2.5,1.07544,2.55981,1.39771,2.28027,1.39526,2.48535,29.687,15.5943,18,571.224,401.891,23.2517,22.768,29.9999,22.6324,22.9862,21.55,0,100,-999.9,410,56.859,99.4191,93.9897
5,1693237129,719.5999999,20230828 08:38:48,8:38:48,5,,Transgenic,5,LCOR-346,,,1693237121,0.000571915,0.571914847,4.593958335,405.1707333,243.627106,24.73538148,41.13685385,0.047701457,2.954960306,0.04727776,0.029586354,33.04768355,24.02152965,22.78373,2.783022377,52.87318248,1.581223873,2.99059712,1.201798504,-25.22144475,189.8827079,13.37186719,211.0808139,4.593958335,0.571914847,4.705537188,416.2713967,411.5429091,-0.010555152,67.26,0.59129455,15.0144644,15.59630485,3.92E-05,78.45719721,27,5,1,0,54192.69083,-,0,0,0,#DIV/0!,0.5,RECT-688-20230828-08_38_45,8137.95,1034.887308,2520.72,0.589447734,0.5,168.5778801,4.593958335,49.68392473,0.024285264,-1,#DIV/0!,DARK-689-20230828-08_38_51,665.73,665.73,0.735896887,0.800992292,3.786399892,0.589447734,#DIV/0!,0.515268276,0.484731724,199.9915333,168.5778801,0.842925085,0.165245413,6,0.5,0: Broadleaf,2,FALSE,1693237121,405.1707333,409.9962333,15.57400667,15.01102,405.8697333,15.50400667,600.0225667,101.4297,0.099977403,23.97565333,22.78373,999.9,0,0,10002.568,0,162.2918,199.9915333,0.900012967,0.09998702,0,1035.240333,5.00022,2200.031,1797.668333,37.89566667,41.812,39.87913333,41.04146667,39.812,175.494,19.5,0,135.5,0,1034.887308,-76.04478621,-150.1517947,2199.329231,15,1693237154,8:39:14,1693237154,1693237147,6,-0.034,-0.001,-0.699,0.07,410,15,0.72,0.42,100,100,-0.699,0.07,-1.155140675,0.000439478,2.00E-06,-3.80E-10,-0.044288574,-0.011920631,0.001912794,-4.02E-05,23,2006,0,18,1.8,1.9,1.07544,2.56104,1.39771,2.28027,1.39526,2.38647,29.6657,15.568,18,569.471,401.86,23.1807,22.7047,30,22.5529,22.9055,21.5516,0,100,-999.9,410,56.859,99.426,93.9882
6,1693237295,885.5999999,20230828 08:41:34,8:41:34,5,,Transgenic,6,LCOR-062,,,1693237287,0.000276444,0.276444093,1.50628044,408.3810333,290.8818114,29.534925,41.46530556,0.021904282,2.954730366,0.021814469,0.013642082,33.05002018,23.94213319,22.91447,2.805157646,52.18233368,1.546013933,2.962715202,1.259143714,-12.1911845,144.2212976,10.15579621,175.2359295,1.50628044,0.276444093,1.511998711,416.2033462,414.6261879,0.009187186,67.26,0.275347614,14.95901635,15.23007879,1.37E-05,78.45520437,40,7,1,0,54214.48596,-,0,0,0,#DIV/0!,0.5,RECT-690-20230828-08_41_31,8193.83,838.4605,1617.42,0.4816062,0.5,168.5879008,1.50628044,40.59648914,0.005968877,-1,#DIV/0!,DARK-691-20230828-08_41_37,548.53,548.53,0.660861125,0.728755531,2.948644559,0.4816062,#DIV/0!,0.476759814,0.523240186,200.0031667,168.5879008,0.842926158,0.165247484,6,0.5,0: Broadleaf,2,FALSE,1693237287,408.3810333,410.0001,15.22629,14.95407333,408.9930333,15.15329,600.0401333,101.4357667,0.100059367,23.81984,22.91447,999.9,0,0,10000.66467,0,177.3945,200.0031667,0.899956767,0.10004327,0,839.3798,5.00022,1783.284333,1797.741,37.937,41.687,39.9454,40.26006667,39.687,175.4946667,19.508,0,164,0,838.4605,-140.7525812,-281.0752137,1781.417308,15,1693237312,8:41:51,1693237312,1693237312,7,0.087,0.004,-0.612,0.073,410,15,0.61,0.27,100,100,-0.612,0.073,-1.18915632,0.000439478,2.00E-06,-3.80E-10,-0.044903926,-0.011920631,0.001912794,-4.02E-05,23,2006,0,18,2.3,2.5,1.07544,2.55249,1.39771,2.28027,1.39526,2.64648,29.623,15.5592,18,555.631,402.115,23.0598,22.6452,30,22.4781,22.83,21.5536,0,100,-999.9,410,56.859,99.4344,93.989
7,1693237404,994.5999999,20230828 08:43:23,8:43:23,5,,Transgenic,7,LCOR-310,,,1693237396,0.00070727,0.707269849,6.05277421,403.6588667,232.6161033,23.61732483,40.98315826,0.059284973,2.954256311,0.058631882,0.036703004,33.05305131,23.7105652,22.79440333,2.784823706,53.93601253,1.586453515,2.941362256,1.198370191,-31.19060034,144.1774537,10.14199488,156.1818995,6.05277421,0.707269849,6.282181878,416.2284955,409.9579939,-0.023172294,67.26,0.731616211,14.9306291,15.64955394,0.000228211,78.45698435,41,7,1,0,54222.31144,-,0,0,0,#DIV/0!,0.5,RECT-692-20230828-08_43_20,8126.95,1037.355385,2800.07,0.629525196,0.5,168.6038349,6.05277421,53.07018111,0.032933855,-1,#DIV/0!,DARK-693-20230828-08_43_26,-3781.93,-3781.93,2.350655519,0.267808358,-0.740381234,0.629525196,#DIV/0!,-0.976360156,1.976360156,200.0221333,168.6038349,0.842925891,0.165246969,6,0.5,0: Broadleaf,2,FALSE,1693237396,403.6588667,409.997,15.62559,14.92938667,404.3158667,15.55059,600.0129333,101.4292,0.099991227,23.69964333,22.79440333,999.9,0,0,9998.621667,0,205.2556,200.0221333,0.899982333,0.10001766,0,1037.324333,5.00022,2158.049,1797.932333,37.875,41.5872,39.7934,39.9081,39.5704,175.516,19.50833333,0,106.6000001,0,1037.355385,-90.76581202,-173.2752137,2157.943077,15,1693237429,8:43:48,1693237429,1693237422,8,-0.046,0.002,-0.657,0.075,410,15,1.28,0.15,100,100,-0.657,0.075,-1.1021953,0.000439478,2.00E-06,-3.80E-10,-0.041007138,-0.011920631,0.001912794,-4.02E-05,23,2006,0,18,1.5,1.5,1.07544,2.55371,1.39771,2.27905,1.39526,2.55493,29.6443,15.533,18,554.997,402.359,22.9766,22.6055,30,22.4361,22.7871,21.5555,0,100,-999.9,410,56.859,99.4364,93.9906
8,1693237575,1165.6,20230828 08:46:14,8:46:14,5,,Transgenic,8,LCOR-296,,,1693237567,0.000744264,0.744263585,5.905664138,403.7961935,249.5474089,25.33464773,40.99435199,0.064441857,2.954036543,0.063670947,0.039862836,33.04933212,23.57873642,22.58823871,2.750209324,54.41676208,1.588852155,2.919784446,1.161357169,-32.8220241,157.5323804,11.06384343,168.8235319,5.905664138,0.744263585,6.274177274,416.1655818,410.0192364,-0.048284329,67.26,0.766735378,14.92061178,15.67484182,8.32E-05,78.45597658,7,1,1,0,54238.02193,-,0,0,0,#DIV/0!,0.5,RECT-694-20230828-08_46_11,8130.56,960.2420769,2826.4,0.660259667,0.5,168.583998,5.905664138,55.6546072,0.032065108,-1,#DIV/0!,DARK-695-20230828-08_46_17,679.47,679.47,0.759598783,0.869221597,4.159712717,0.660259667,#DIV/0!,0.615063652,0.384936348,199.9984839,168.583998,0.84292638,0.165247913,6,0.5,0: Broadleaf,2,FALSE,1693237567,403.7961935,410.0020645,15.65026452,14.9176871,404.3671935,15.57726452,600.0313226,101.4223871,0.099996342,23.57740323,22.58823871,999.9,0,0,9998.046129,0,210.1477097,199.9984839,0.899955129,0.100044871,0,960.7044194,5.00022,2042.859032,1797.698065,37.57012903,41.558,39.45935484,39.13680645,39.25,175.4890323,19.50903226,0,168.8000002,0,960.2420769,-62.65039317,-122.08,2041.917692,15,1693237595,8:46:34,1693237593,1693237595,9,0.086,-0.001,-0.571,0.073,410,15,0.65,0.49,100,100,-0.571,0.073,-1.147685865,0.000439478,2.00E-06,-3.80E-10,-0.039101246,-0.011920631,0.001912794,-4.02E-05,23,2006,0,18,2.4,2.5,1.07544,2.55127,1.39771,2.28027,1.39526,2.53906,29.5804,15.5067,18,591.972,401.95,22.8305,22.5615,30.0001,22.3842,22.7349,21.5522,0,100,-999.9,410,56.859,99.4489,93.9888
9,1693237697,1288.1,20230828 08:48:17,8:48:17,5,,Transgenic,9,LCOR-250,,,1693237689,0.001065944,1.065943708,6.442930498,403.1322,289.6000723,29.4011393,40.92728939,0.09750849,2.954097809,0.0957551,0.060001847,33.04756316,23.47861685,22.42383,2.722876035,55.43302104,1.61687647,2.916811026,1.105999565,-47.00811754,181.027035,12.70199727,179.7684779,6.442930498,1.065943708,6.359425112,416.169231,409.7051091,0.00190156,67.25957168,1.08398155,14.8735708,15.9403497,-1.75E-05,78.45295488,108,18,1,0,54242.9409,-,0,0,0,#DIV/0!,0.5,RECT-696-20230828-08_48_13,8123.95,1028.5588,2666.9,0.614324197,0.5,168.5787265,6.442930498,51.78099537,0.035253146,-1,#DIV/0!,DARK-697-20230828-08_48_20,-128,-128,1.0479958,0.58618956,-20.83515625,0.614324197,#DIV/0!,-0.07294893,1.07294893,199.9927333,168.5787265,0.842924259,0.16524382,6,0.5,0: Broadleaf,2,FALSE,1693237689,403.1322,410.0047333,15.92617,14.87722,403.8232,15.85117,600.0099,101.4232,0.100045693,23.56049667,22.42383,999.9,0,0,9998.313667,0,203.7807,199.9927333,0.900022867,0.09997709,0,1029.042,5.00022,2145.103667,1797.681667,37.5,41.437,39.4288,39.379,39.25,175.498,19.49433333,0,120.2,0,1028.5588,-73.52769242,-152.0930772,2144.1904,15,1693237732,8:48:52,1693237732,1693237723,10,-0.12,0.002,-0.691,0.075,410,15,0.43,0.07,100,100,-0.691,0.075,-1.061979923,0.000439478,2.00E-06,-3.80E-10,-0.039638391,-0.011920631,0.001912794,-4.02E-05,23,2006,0,18,1.7,1.7,1.07544,2.55859,1.39771,2.28027,1.39526,2.6355,29.6017,15.4892,18,479.476,401.846,22.7725,22.5577,30.0002,22.3722,22.7222,21.5471,0,100,-999.9,410,56.859,99.4444,93.9836
