flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00281_20230627194452,19:44:52,2023-06-27,PFA-00299,PSA-00311,PSF-00281,0.000000,0.000000,0.000000,290.391418,83.291176,0.713176,75.066658

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,197.767853,6980.787598,1
0.010000,267.480621,6980.787598,1
0.020000,273.432251,6980.787598,1
0.030000,275.012268,6980.787598,1
0.040000,276.003601,6980.787598,1
0.050000,276.900879,6980.787598,1
0.060000,277.745239,6980.787598,1
0.070000,278.499481,6980.787598,1
0.080000,279.174683,6980.787598,1
0.090000,279.717194,6980.787598,1
0.100000,280.184631,6980.787598,1
0.110000,280.537598,6980.787598,1
0.120000,280.811920,6980.787598,1
0.130000,281.010742,6980.787598,1
0.140000,281.175964,6980.787598,1
0.150000,281.293640,6980.787598,1
0.160000,281.377319,6980.787598,1
0.170000,281.433472,6980.787598,1
0.180000,281.479950,6980.787598,1
0.190000,281.492828,6980.787598,1
0.200000,281.506073,6980.787598,1
0.210000,281.514648,6980.787598,1
0.220000,281.501068,6980.787598,1
0.230000,281.498566,6980.787598,1
0.240000,281.501404,6980.787598,1
0.250000,281.503204,6980.787598,1
0.260000,281.496033,6980.787598,1
0.270000,281.499268,6980.787598,1
0.280000,281.508911,6980.787598,1
0.290000,281.499268,6980.787598,1
0.300000,281.535400,6922.618164,2
0.310000,281.318665,6864.448242,2
0.320000,281.311859,6806.278809,2
0.330000,281.123047,6748.108887,2
0.340000,281.112671,6689.939453,2
0.350000,280.933136,6631.769531,2
0.360000,280.927063,6573.600098,2
0.370000,280.768280,6515.430176,2
0.380000,280.767914,6457.260742,2
0.390000,280.606995,6399.090820,2
0.400000,280.413879,6340.921387,2
0.410000,280.426727,6282.751465,2
0.420000,280.265442,6224.582031,2
0.430000,280.294769,6166.412109,2
0.440000,280.134918,6108.242676,2
0.450000,279.937134,6050.072754,2
0.460000,279.983276,5991.903320,2
0.470000,279.828064,5933.733398,2
0.480000,279.647827,5875.563965,2
0.490000,279.708252,5817.394043,2
0.500000,279.554840,5759.224609,2
0.510000,279.378540,5701.054688,2
0.520000,279.443268,5642.885254,2
0.530000,279.278748,5584.715332,2
0.540000,279.099213,5526.545898,2
0.550000,278.916107,5468.375977,2
0.560000,278.966187,5410.206543,2
0.570000,278.809204,5352.036621,2
0.580000,278.628235,5293.867188,2
0.590000,278.427612,5235.697266,2
0.600000,282.847168,6980.787598,3
0.610000,283.532745,6980.787598,3
0.620000,283.676849,6980.787598,3
0.630000,283.758759,6980.787598,3
0.640000,283.799530,6980.787598,3
0.650000,283.861053,6980.787598,3
0.660000,283.925781,6980.787598,3
0.670000,283.976898,6980.787598,3
0.680000,284.038788,6980.787598,3
0.690000,284.095642,6980.787598,3
0.700000,284.151428,6980.787598,3
0.710000,284.192566,6980.787598,3
0.720000,284.284119,6980.787598,3
0.730000,284.303436,6980.787598,3
0.740000,284.376373,6980.787598,3
0.750000,284.437195,6980.787598,3
0.760000,284.502258,6980.787598,3
0.770000,284.545532,6980.787598,3
0.780000,284.598480,6980.787598,3
0.790000,284.647827,6980.787598,3
0.800000,284.711853,6980.787598,3
0.810000,284.738647,6980.787598,3
0.820000,284.790527,6980.787598,3
0.830000,284.829132,6980.787598,3
0.839999,284.866699,6980.787598,3
0.849999,284.903534,6980.787598,3
0.859999,284.962524,6980.787598,3
0.869999,284.990784,6980.787598,3
0.879999,285.024414,6980.787598,3
0.889999,285.062683,6980.787598,3
