flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00508_20230726084912,08:49:12,2023-07-26,PFA-00566,PSA-00583,PSF-00508,0.000000,0.000000,0.000000,0.870109,75.307487,-85.549522,1318.357056

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,0.249624,6999.712891,1
0.010000,0.375509,6999.712891,1
0.020000,0.373363,6999.712891,1
0.030000,0.374436,6999.712891,1
0.040000,0.376225,6999.712891,1
0.050000,0.369072,6999.712891,1
0.060000,0.368357,6999.712891,1
0.070000,0.360847,6999.712891,1
0.080000,0.371933,6999.712891,1
0.090000,0.375867,6999.712891,1
0.100000,0.374794,6999.712891,1
0.110000,0.366211,6999.712891,1
0.120000,0.376582,6999.712891,1
0.130000,0.378013,6999.712891,1
0.140000,0.419855,6999.712891,1
0.150000,0.649810,6999.712891,1
0.160000,0.867963,6999.712891,1
0.170000,0.869393,6999.712891,1
0.180000,0.867963,6999.712891,1
0.190000,0.852227,6999.712891,1
0.200000,0.862956,6999.712891,1
0.210000,0.862241,6999.712891,1
0.220000,0.857234,6999.712891,1
0.230000,0.863314,6999.712891,1
0.240000,0.861526,6999.712891,1
0.250000,0.864029,6999.712891,1
0.260000,0.861883,6999.712891,1
0.270000,0.866175,6999.712891,1
0.280000,0.870109,6999.712891,1
0.290000,0.864387,6999.712891,1
0.300000,0.860095,6941.392578,2
0.310000,0.866175,6883.072754,2
0.320000,0.875473,6824.752441,2
0.330000,0.866532,6766.432617,2
0.340000,0.875831,6708.112305,2
0.350000,0.870824,6649.791992,2
0.360000,0.882268,6591.472168,2
0.370000,0.865817,6533.151855,2
0.380000,0.860453,6474.832031,2
0.390000,0.865102,6416.511719,2
0.400000,0.871539,6358.191406,2
0.410000,0.861526,6299.871582,2
0.420000,0.860810,6241.551270,2
0.430000,0.870109,6183.231445,2
0.440000,0.882626,6124.911133,2
0.450000,0.863314,6066.590820,2
0.460000,0.873327,6008.270996,2
0.470000,0.888705,5949.950684,2
0.480000,0.894070,5891.630371,2
0.490000,0.906944,5833.310547,2
0.500000,0.919819,5774.990234,2
0.510000,0.946999,5716.670410,2
0.520000,0.989914,5658.350098,2
0.530000,1.032472,5600.029785,2
0.540000,1.097202,5541.709961,2
0.550000,1.186609,5483.389648,2
0.560000,1.333237,5425.069824,2
0.570000,1.497746,5366.749512,2
0.580000,1.606464,5308.429199,2
0.590000,1.614332,5250.109375,2
0.600000,1.571059,6999.712891,3
0.610000,1.477003,6999.712891,3
0.620000,1.423717,6999.712891,3
0.630000,1.386881,6999.712891,3
0.640000,1.367927,6999.712891,3
0.650000,1.374364,6999.712891,3
0.660000,1.364350,6999.712891,3
0.670000,1.353979,6999.712891,3
0.680000,1.351833,6999.712891,3
0.690000,1.326084,6999.712891,3
0.700000,1.294613,6999.712891,3
0.710000,1.264930,6999.712891,3
0.720000,1.230955,6999.712891,3
0.730000,1.208782,6999.712891,3
0.740000,1.145124,6999.712891,3
0.750000,1.015663,6999.712891,3
0.760000,0.978470,6999.712891,3
0.770000,1.089334,6999.712891,3
0.780000,1.112580,6999.712891,3
0.790000,1.048207,6999.712891,3
0.800000,0.979185,6999.712891,3
0.810000,0.949502,6999.712891,3
0.820000,0.924110,6999.712891,3
0.830000,0.893712,6999.712891,3
0.839999,0.891209,6999.712891,3
0.849999,0.874758,6999.712891,3
0.859999,0.873685,6999.712891,3
0.869999,0.869751,6999.712891,3
0.879999,0.858307,6999.712891,3
0.889999,0.871539,6999.712891,3
