SYS,SYS,SYS,SYS,SYS,USERDEF,USERDEF,USERDEF,USERDEF,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,MATCH,MATCH,MATCH,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,META,META,META,META,META,META,META
Obs#,Time,Date,configName,configAuthor,remark,,,,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,flashID,Fo,Fm,Fv/Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,rh_s,rh_r,Tref,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,pitch,roll,heading,angle_inc_leaf,direct_pct,slope_leaf,az_leaf,dec_solar,az_solar,zenith_solar,gps_time,gps_date,latitude,longitude,altitude,gps_sats,gps_HDOP,match_time,match_date,rh_adj,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
,HHMMSS,YYYYMMDD,,,,,,,mol+1m-2s-1,mol+1m-2s-1,mol+1m-2s-1,mmol+1m-2s-1,kPa,kPa,kPa,kPa,mmol+1mol-1,mmol+1mol-1,mmol+1mol-1,cm+2,,,,,,,,,,umol+1m-2s-1,%,%,C,C,kPa,umol+1sec-1,umol+1sec-1,%,umol+1m-2s-1,V,,,,,,,,,,,,,,,,,,HHMMSS,YYYYMMDD,%,,,,,,,,umol+1sec-1,(umol+1m-2s-1)s-1,s,,,umol+1m-2s-1,Hz,s-1,s,ms,ms,ms,,%,,,,,V,V,V,V,V,V,V,V,V,A,,,,,,,,,,,,,,,,,
1,05:16:00,2023-07-25,Night sampling,CH,,,,,0.013203,2.919950,0.013144,0.105950,1.582027,1.579037,2.384504,0.802477,15.551805,15.581251,23.484779,0.441786,PSF-00508_20230725051600,81.172226,437.034119,0.814266,0.000000,0.000000,0.000000,0.5,0.80,0.078474,62.97,62.85,21.11,20.26,101.53,156.5,156.3,0.1,0,4.095,6,15,268,,,,,,,,12:17:58,2023-07-25,44.588936,-123.199272,53.799999,7,1.020000,05:14:28,2023-07-25,-0.22,-0.001,-0.001,-0.001,-0.059,-0.018,-0.191,0,150,-9999.000,-9999.000000,1,rectangular,6000,5,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.498718,2.515365,1.655219,0.935597,0.318708,-0.009730,0.280239,0.107607,81.172226,0.000230,2.400422,-0.000034,1.000000,2.415003,-0.000039,1.000000,0.602514,0.600977,0.107400,0.000000,PSF-00508_20230725051600,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-09-01T17:42:39.413Z
2,05:17:48,2023-07-25,Night sampling,CH,,,,,0.029773,2.921555,0.029472,0.225883,1.595636,1.589271,2.358600,0.762964,15.653910,15.716599,23.231604,0.441786,PSF-00508_20230725051748,74.158432,446.351044,0.833856,0.000000,0.000000,0.000000,0.5,0.80,0.036012,63.86,63.60,21.02,20.08,101.53,156.7,155.6,0.7,0,4.092,11,2,63,,,,,,,,12:19:46,2023-07-25,44.588844,-123.199265,50.700001,11,0.780000,05:14:28,2023-07-25,-0.22,-0.000,-0.002,-0.004,0.193,0.175,0.209,0,150,-9999.000,-9999.000000,1,rectangular,6000,5,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.499756,2.516610,1.656873,0.933855,0.319835,-0.010718,0.290361,0.107493,74.158432,0.000235,2.400422,-0.000034,1.000000,2.415003,-0.000039,1.000000,0.602514,0.600977,0.107400,0.000000,PSF-00508_20230725051748,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-09-01T17:42:39.413Z
3,05:20:11,2023-07-25,Night sampling,CH,,,,,-0.047143,2.920278,-0.047916,-0.359791,1.670245,1.680384,2.417121,0.746876,16.553755,16.453875,23.811474,0.441786,PSF-00508_20230725052011,75.111511,407.817017,0.815821,0.000000,0.000000,0.000000,0.5,0.80,0.240935,67.16,67.57,20.94,20.48,101.51,156.5,156.1,0.3,1,4.090,73,-74,240,,,,,,,,12:22:09,2023-07-25,44.588852,-123.199265,50.599998,13,0.750000,05:14:28,2023-07-25,-0.22,-0.002,-0.003,0.007,-0.260,-0.089,0.025,0,150,-9999.000,-9999.000000,1,rectangular,6000,5,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.505135,2.521180,1.655556,0.935180,0.320838,-0.005337,0.303894,0.108035,75.111511,0.000229,2.400422,-0.000034,1.000000,2.415003,-0.000039,1.000000,0.602514,0.600977,0.107400,0.000000,PSF-00508_20230725052011,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-09-01T17:42:39.413Z
4,05:21:20,2023-07-25,Night sampling,CH,,,,,-0.026591,2.918998,-0.026835,-0.196659,1.643037,1.648585,2.372213,0.729177,16.240862,16.186197,23.369600,0.441786,PSF-00508_20230725052120,73.191406,368.629944,0.801450,0.000000,0.000000,0.000000,0.5,0.80,0.517231,66.14,66.36,20.92,20.18,101.51,156.4,156.3,0.0,2,4.088,54,-116,340,,,,,,,,12:23:17,2023-07-25,44.588779,-123.199257,52.700001,13,0.750000,05:14:28,2023-07-25,-0.22,-0.011,-0.015,-0.021,0.253,-0.016,-0.012,0,150,-9999.000,-9999.000000,1,rectangular,6000,5,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.503505,2.519772,1.654239,0.935615,0.321049,-0.008587,0.310322,0.108789,73.191406,0.000234,2.400422,-0.000034,1.000000,2.415003,-0.000039,1.000000,0.602514,0.600977,0.107400,0.000000,PSF-00508_20230725052120,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-09-01T17:42:39.413Z
5,05:23:11,2023-07-25,Night sampling,CH,,,,,0.045635,2.920218,0.044933,0.282125,1.656354,1.648401,2.281464,0.625110,16.235884,16.314219,22.471222,0.441786,PSF-00508_20230725052311,85.417625,459.524628,0.814117,0.000000,0.000000,0.000000,0.5,0.80,0.042060,66.76,66.44,20.90,19.55,101.53,156.5,155.2,0.8,0,4.088,6,24,70,,,,,,,,12:25:09,2023-07-25,44.588779,-123.199303,53.000000,13,0.750000,05:14:28,2023-07-25,-0.22,-0.002,-0.007,-0.047,0.070,0.093,0.499,0,150,-9999.000,-9999.000000,1,rectangular,6000,5,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.503616,2.520632,1.655494,0.932981,0.321320,-0.015433,0.320819,0.107511,85.243103,0.000234,2.400422,-0.000034,1.000000,2.415003,-0.000039,1.000000,0.602514,0.600977,0.107400,0.000000,PSF-00508_20230725052311,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-09-01T17:42:39.413Z
6,05:23:45,2023-07-25,Night sampling,CH,,,,,0.037303,2.919954,0.036833,0.232277,1.649081,1.642532,2.276934,0.627853,16.178793,16.243303,22.427603,0.441786,PSF-00508_20230725052345,78.182098,446.329590,0.824833,0.000000,0.000000,0.000000,0.5,0.80,0.054953,66.49,66.23,20.90,19.51,101.52,156.5,155.0,0.9,0,4.087,9,48,59,,,,,,,,12:25:43,2023-07-25,44.588783,-123.199295,52.900002,13,0.750000,05:14:28,2023-07-25,-0.22,-0.002,-0.003,-0.021,-0.025,0.933,0.715,0,150,-9999.000,-9999.000000,1,rectangular,6000,5,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.503336,2.520269,1.655222,0.932437,0.321408,-0.015714,0.323998,0.107543,78.182098,0.000229,2.400422,-0.000034,1.000000,2.415003,-0.000039,1.000000,0.602514,0.600977,0.107400,0.000000,PSF-00508_20230725052345,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-09-01T17:42:39.413Z
7,05:24:15,2023-07-25,Night sampling,CH,,,,,0.063442,2.919393,0.062093,0.366868,1.646728,1.636379,2.235124,0.588396,16.117590,16.219528,22.014967,0.441786,PSF-00508_20230725052415,76.881767,468.271149,0.835818,0.000000,0.000000,0.000000,0.5,0.80,0.005812,66.41,65.99,20.89,19.22,101.53,156.4,155.3,0.7,0,4.081,54,-135,136,,,,,,,,12:26:12,2023-07-25,44.588932,-123.199280,55.000000,12,0.780000,05:14:28,2023-07-25,-0.22,-0.001,-0.004,-0.017,0.786,0.036,-0.051,0,150,-9999.000,-9999.000000,1,rectangular,6000,5,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.503014,2.520152,1.654646,0.933190,0.321436,-0.019025,0.326656,0.107415,76.881767,0.000239,2.400422,-0.000034,1.000000,2.415003,-0.000039,1.000000,0.602514,0.600977,0.107400,0.000000,PSF-00508_20230725052415,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-09-01T17:42:39.413Z
8,05:26:36,2023-07-25,Night sampling,CH,,,,,0.037706,2.920799,0.037225,0.230808,1.672576,1.666074,2.289786,0.617209,16.410238,16.474285,22.553576,0.441786,PSF-00508_20230725052636,72.545174,433.386688,0.832609,0.000000,0.000000,0.000000,0.5,0.80,0.030838,67.46,67.20,20.89,19.60,101.53,156.6,155.1,1.0,0,4.080,20,58,174,,,,,,,,12:28:32,2023-07-25,44.588783,-123.199242,54.000000,14,0.710000,05:26:30,2023-07-25,-0.10,-0.008,-0.015,-0.106,0.126,0.067,18.246,0,150,-9999.000,-9999.000000,1,rectangular,6000,5,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.504651,2.521450,1.656093,0.932608,0.321485,-0.014629,0.339828,0.107480,72.545174,0.000229,2.400422,-0.000034,1.000000,2.415003,-0.000039,1.000000,0.602514,0.600977,0.107400,0.000000,PSF-00508_20230725052636,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-09-01T17:42:39.413Z
