flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00508_20230828182839,18:28:39,2023-08-28,PFA-00566,PSA-00583,PSF-00508,0.000000,0.000000,0.000000,447.383575,90.027092,0.798770,41.248528

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,224.842072,6999.712891,1
0.010000,344.308014,6999.712891,1
0.020000,389.781464,6999.712891,1
0.030000,408.495056,6999.712891,1
0.040000,417.629608,6999.712891,1
0.050000,423.168182,6999.712891,1
0.060000,426.941528,6999.712891,1
0.070000,429.583679,6999.712891,1
0.080000,431.470154,6999.712891,1
0.090000,432.895660,6999.712891,1
0.100000,433.927429,6999.712891,1
0.110000,434.689178,6999.712891,1
0.120000,435.291412,6999.712891,1
0.130000,435.819275,6999.712891,1
0.140000,436.246979,6999.712891,1
0.150000,436.640015,6999.712891,1
0.160000,436.983337,6999.712891,1
0.170000,437.309143,6999.712891,1
0.180000,437.604553,6999.712891,1
0.190000,437.879578,6999.712891,1
0.200000,438.178528,6999.712891,1
0.210000,438.386688,6999.712891,1
0.220000,438.638794,6999.712891,1
0.230000,438.876984,6999.712891,1
0.240000,439.103729,6999.712891,1
0.250000,439.313660,6999.712891,1
0.260000,439.517151,6999.712891,1
0.270000,439.712769,6999.712891,1
0.280000,439.923035,6999.712891,1
0.290000,440.068970,6999.712891,1
0.300000,440.246704,6941.392578,2
0.310000,440.232758,6883.072754,2
0.320000,440.341827,6824.752441,2
0.330000,440.333618,6766.432617,2
0.340000,440.428375,6708.112305,2
0.350000,440.447327,6649.791992,2
0.360000,440.529572,6591.472168,2
0.370000,440.471283,6533.151855,2
0.380000,440.348267,6474.832031,2
0.390000,440.406555,6416.511719,2
0.400000,440.269958,6358.191406,2
0.410000,440.259216,6299.871582,2
0.420000,440.120087,6241.551270,2
0.430000,440.143341,6183.231445,2
0.440000,439.977753,6124.911133,2
0.450000,439.833649,6066.590820,2
0.460000,439.872253,6008.270996,2
0.470000,439.785706,5949.950684,2
0.480000,439.622650,5891.630371,2
0.490000,439.659119,5833.310547,2
0.500000,439.562927,5774.990234,2
0.510000,439.381958,5716.670410,2
0.520000,439.380157,5658.350098,2
0.530000,439.228180,5600.029785,2
0.540000,439.042938,5541.709961,2
0.550000,438.827271,5483.389648,2
0.560000,438.609467,5425.069824,2
0.570000,438.604462,5366.749512,2
0.580000,438.462128,5308.429199,2
0.590000,438.240753,5250.109375,2
0.600000,441.775208,6999.712891,3
0.610000,442.649597,6999.712891,3
0.620000,442.849518,6999.712891,3
0.630000,442.868469,6999.712891,3
0.640000,442.835205,6999.712891,3
0.650000,442.801605,6999.712891,3
0.660000,442.775848,6999.712891,3
0.670000,442.757263,6999.712891,3
0.680000,442.759033,6999.712891,3
0.690000,442.742218,6999.712891,3
0.700000,442.771912,6999.712891,3
0.710000,442.752228,6999.712891,3
0.720000,442.752594,6999.712891,3
0.730000,442.764038,6999.712891,3
0.740000,442.779053,6999.712891,3
0.750000,442.759766,6999.712891,3
0.760000,442.785156,6999.712891,3
0.770000,442.798004,6999.712891,3
0.780000,442.791229,6999.712891,3
0.790000,442.808380,6999.712891,3
0.800000,442.842712,6999.712891,3
0.810000,442.833069,6999.712891,3
0.820000,442.847015,6999.712891,3
0.830000,442.884552,6999.712891,3
0.839999,442.912811,6999.712891,3
0.849999,442.913177,6999.712891,3
0.859999,442.925323,6999.712891,3
0.869999,442.943573,6999.712891,3
0.879999,442.966827,6999.712891,3
0.889999,442.988647,6999.712891,3
