SYS,SYS,SYS,SYS,SYS,USERDEF,USERDEF,USERDEF,USERDEF,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,MATCH,MATCH,MATCH,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,META,META,META,META,META,META,META
Obs#,Time,Date,configName,configAuthor,remark,Observation,,,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,flashID,Fo,Fm,Fv/Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,rh_s,rh_r,Tref,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,pitch,roll,heading,angle_inc_leaf,direct_pct,slope_leaf,az_leaf,dec_solar,az_solar,zenith_solar,gps_time,gps_date,latitude,longitude,altitude,gps_sats,gps_HDOP,match_time,match_date,rh_adj,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
,HHMMSS,YYYYMMDD,,,,,,,mol+1m-2s-1,mol+1m-2s-1,mol+1m-2s-1,mmol+1m-2s-1,kPa,kPa,kPa,kPa,mmol+1mol-1,mmol+1mol-1,mmol+1mol-1,cm+2,,,,,,,,,,umol+1m-2s-1,%,%,C,C,kPa,umol+1sec-1,umol+1sec-1,%,umol+1m-2s-1,V,,,,,,,,,,,,,,,,,,HHMMSS,YYYYMMDD,%,,,,,,,,umol+1sec-1,(umol+1m-2s-1)s-1,s,,,umol+1m-2s-1,Hz,s-1,s,ms,ms,ms,,%,,,,,V,V,V,V,V,V,V,V,V,A,,,,,,,,,,,,,,,,,
1,08:20:48,2023-08-28,Auto gsw+F,LI-COR Default,,001,,,0.048985,2.920627,0.048177,0.437346,1.407218,1.394876,2.311053,0.903834,13.753020,13.874713,22.786221,0.441786,PSF-00508_20230828082048,0.000000,0.000000,0.000000,82.441093,323.865295,0.745446,0.5,0.80,23.469721,57.24,56.73,20.76,19.75,101.42,156.6,156.5,0.0,79,4.016,54,0,302,,,,,,,,15:21:40,2023-08-28,44.588890,-123.199333,84.699997,12,0.720000,08:15:29,2023-08-28,-0.31,-0.001,-0.002,-0.043,-0.176,-0.175,-0.350,1,150,0.005,2.000000,0,mpf,7000,500,5.000000,2.000000,300,300,300,323.865295,25,0.507401,323.604584,324.590179,-0.985596,2.490479,2.507630,1.655915,0.936169,0.323234,-0.011412,0.097248,0.175143,82.441093,0.000408,2.400422,-0.000034,1.000000,2.415003,-0.000039,1.000000,0.602514,0.600977,0.107400,0.000000,PSF-00508_20230828082048,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-04-21T19:36:20.491Z
2,08:22:35,2023-08-28,Auto gsw+F,LI-COR Default,,002,,,0.047596,2.919966,0.046833,0.420846,1.433473,1.421594,2.327962,0.894489,14.016621,14.133753,22.953230,0.441786,PSF-00508_20230828082235,0.000000,0.000000,0.000000,77.681061,303.125366,0.743733,0.5,0.80,29.522055,58.64,58.15,20.66,19.87,101.42,156.5,156.8,-0.2,99,4.015,52,5,281,,,,,,,,15:23:27,2023-08-28,44.588833,-123.199348,84.800003,13,0.690000,08:15:29,2023-08-28,-0.31,-0.004,-0.005,-9999.000,-0.047,0.013,-9999.000,1,150,0.005,2.000000,0,mpf,7000,500,5.000000,2.000000,300,300,300,303.125366,25,2.991473,304.423920,307.399078,-2.975159,2.492438,2.509602,1.655234,0.936988,0.324433,-0.009035,0.111704,0.192809,77.681061,0.000408,2.400422,-0.000034,1.000000,2.415003,-0.000039,1.000000,0.602514,0.600977,0.107400,0.000000,PSF-00508_20230828082235,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-04-21T19:36:20.491Z
3,08:23:44,2023-08-28,Auto gsw+F,LI-COR Default,,003,,,0.060258,2.919624,0.059040,0.512495,1.431150,1.416680,2.295313,0.864163,13.969132,14.111815,22.632874,0.441786,PSF-00508_20230828082344,0.000000,0.000000,0.000000,89.913368,371.710541,0.758109,0.5,0.80,26.839746,58.74,58.14,20.61,19.64,101.42,156.4,155.9,0.3,89,4.010,29,-59,258,,,,,,,,15:24:35,2023-08-28,44.588684,-123.199341,83.000000,15,0.630000,08:15:29,2023-08-28,-0.31,-0.002,-0.003,-0.011,0.273,0.288,0.603,1,150,0.005,2.000000,0,mpf,7000,500,5.000000,2.000000,300,300,300,371.710541,25,2.774276,375.702728,375.673950,0.028778,2.492442,2.509756,1.654883,0.934725,0.325140,-0.010979,0.120615,0.183576,89.913368,0.000412,2.400422,-0.000034,1.000000,2.415003,-0.000039,1.000000,0.602514,0.600977,0.107400,0.000000,PSF-00508_20230828082344,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-04-21T19:36:20.491Z
4,08:26:21,2023-08-28,Auto gsw+F,LI-COR Default,,004,,,0.148236,2.918064,0.141070,1.048853,1.475835,1.446198,2.216120,0.740284,14.260414,14.552651,21.852312,0.441786,PSF-00508_20230828082621,0.000000,0.000000,0.000000,81.998703,393.112427,0.791412,0.5,0.80,32.808441,60.96,59.74,20.50,19.08,101.41,156.3,156.5,-0.2,104,4.009,44,21,324,,,,,,,,15:27:13,2023-08-28,44.588955,-123.199371,78.800003,15,0.630000,08:26:12,2023-08-28,-0.38,-0.005,-0.002,0.000,0.183,0.434,0.921,1,150,0.005,2.000000,0,mpf,7000,500,5.000000,2.000000,300,300,300,393.112427,25,1.113361,399.461395,394.703003,4.758392,2.494645,2.512964,1.653282,0.936210,0.326510,-0.016110,0.140706,0.196598,81.998703,0.000411,2.400422,-0.000034,1.000000,2.415003,-0.000039,1.000000,0.602514,0.600977,0.107400,0.000000,PSF-00508_20230828082621,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-04-21T19:36:20.491Z
5,08:27:20,2023-08-28,Auto gsw+F,LI-COR Default,,005,,,0.025586,2.919239,0.025363,0.213233,1.426164,1.420141,2.263283,0.837120,14.003019,14.062407,22.316660,0.441786,PSF-00508_20230828082720,0.000000,0.000000,0.000000,72.367073,296.402679,0.755849,0.5,0.80,21.059752,59.12,58.87,20.45,19.42,101.42,156.4,156.5,-0.1,70,4.007,32,-79,1,,,,,,,,15:28:11,2023-08-28,44.588936,-123.199356,78.300003,14,0.660000,08:26:12,2023-08-28,-0.38,0.001,-0.002,-0.009,0.073,-0.063,-0.220,1,150,0.005,2.000000,0,mpf,7000,500,5.000000,2.000000,300,300,300,296.402679,25,2.195694,297.459839,299.539520,-2.079681,2.493478,2.510425,1.654487,0.936223,0.327267,-0.011668,0.147845,0.167350,72.367073,0.000406,2.400422,-0.000034,1.000000,2.415003,-0.000039,1.000000,0.602514,0.600977,0.107400,0.000000,PSF-00508_20230828082720,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-04-21T19:36:20.491Z
6,08:28:02,2023-08-28,Auto gsw+F,LI-COR Default,,006,,,0.085273,2.917762,0.082852,0.632384,1.460302,1.442426,2.220322,0.760020,14.223145,14.399412,21.893644,0.441786,PSF-00508_20230828082802,0.000000,0.000000,0.000000,94.688057,343.592041,0.724417,0.5,0.80,22.994146,60.75,60.01,20.39,19.11,101.41,156.2,156.7,-0.3,79,4.007,62,-17,40,,,,,,,,15:28:53,2023-08-28,44.588909,-123.199356,78.000000,14,0.670000,08:26:12,2023-08-28,-0.38,-0.001,0.002,-0.008,-0.063,-0.282,-0.362,1,150,0.005,2.000000,0,mpf,7000,500,5.000000,2.000000,300,300,300,343.592041,25,0.162441,343.703613,343.824097,-0.120483,2.495046,2.512706,1.652972,0.936571,0.328036,-0.014450,0.152929,0.175697,94.688057,0.000412,2.400422,-0.000034,1.000000,2.415003,-0.000039,1.000000,0.602514,0.600977,0.107400,0.000000,PSF-00508_20230828082802,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-04-21T19:36:20.491Z
7,08:28:52,2023-08-28,Auto gsw+F,LI-COR Default,,007,,,0.035884,2.919601,0.035448,0.277870,1.443306,1.435461,2.223894,0.780588,14.154325,14.231678,21.928646,0.441786,PSF-00508_20230828082852,0.000000,0.000000,0.000000,88.658813,366.092468,0.757824,0.5,0.80,29.792698,60.32,59.99,20.31,19.14,101.42,156.4,156.3,0.1,98,4.005,57,-8,351,,,,,,,,15:29:43,2023-08-28,44.588730,-123.199318,76.300003,14,0.660000,08:26:12,2023-08-28,-0.38,0.000,-0.004,-0.014,0.182,0.277,0.361,1,150,0.005,2.000000,0,mpf,7000,500,5.000000,2.000000,300,300,300,365.571503,25,-0.324882,365.697754,365.628326,0.069427,2.495042,2.512125,1.654859,0.935591,0.329010,-0.013322,0.158735,0.191989,88.658813,0.000407,2.400422,-0.000034,1.000000,2.415003,-0.000039,1.000000,0.602514,0.600977,0.107400,0.000000,PSF-00508_20230828082852,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-04-21T19:36:20.491Z
8,08:29:15,2023-08-28,Auto gsw+F,LI-COR Default,,008,,,0.123217,2.920274,0.118229,0.873533,1.458284,1.433639,2.194113,0.735829,14.136010,14.379017,21.634464,0.441786,PSF-00508_20230828082915,0.000000,0.000000,0.000000,90.324638,388.294464,0.767381,0.5,0.80,29.835138,61.09,60.05,20.28,18.92,101.42,156.5,156.4,0.1,97,4.004,33,-10,9,,,,,,,,15:30:06,2023-08-28,44.588703,-123.199333,76.300003,15,0.630000,08:26:12,2023-08-28,-0.38,-0.001,-0.001,-0.011,0.216,0.174,0.533,1,150,0.005,2.000000,0,mpf,7000,500,5.000000,2.000000,300,300,300,388.294464,25,1.113361,395.015350,389.885040,5.130310,2.495132,2.513193,1.655551,0.935932,0.329495,-0.015320,0.161460,0.191054,90.324638,0.000409,2.400422,-0.000034,1.000000,2.415003,-0.000039,1.000000,0.602514,0.600977,0.107400,0.000000,PSF-00508_20230828082915,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-04-21T19:36:20.491Z
