PRISM Time Series Data
Location:  Lat: 44.5865   Lon: -123.1956   Elev: 64m
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2023-04-01 - 2023-05-31
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2024-Jan-08
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),vpdmin (hPa),vpdmax (hPa)
2023-04-01,20.44,4.0,6.8,9.5,0.12,3.39
2023-04-02,13.87,3.1,7.0,10.8,0.03,4.71
2023-04-03,4.24,1.1,4.5,7.8,0.10,2.86
2023-04-04,2.39,1.0,5.2,9.5,0.13,4.77
2023-04-05,1.49,1.0,5.2,9.5,0.10,4.08
2023-04-06,7.66,2.2,6.3,10.5,0.17,3.65
2023-04-07,8.37,6.9,9.7,12.4,0.13,1.73
2023-04-08,6.36,6.5,9.9,13.4,0.32,5.26
2023-04-09,0.52,5.8,10.4,15.0,0.38,8.42
2023-04-10,17.66,8.6,11.2,13.8,0.07,2.92
2023-04-11,19.42,3.7,6.6,9.5,0.08,0.82
2023-04-12,3.90,3.1,7.0,11.0,0.38,6.09
2023-04-13,2.01,1.1,5.6,10.0,0.14,5.03
2023-04-14,0.25,0.9,6.9,12.9,0.06,8.07
2023-04-15,0.00,1.8,8.7,15.6,0.10,10.31
2023-04-16,0.01,5.2,10.1,15.0,0.50,8.37
2023-04-17,3.66,4.3,7.8,11.2,0.51,4.75
2023-04-18,5.56,2.3,5.9,9.5,0.19,3.79
2023-04-19,2.40,2.4,6.0,9.5,0.44,4.19
2023-04-20,2.62,1.9,5.9,10.0,0.18,4.53
2023-04-21,11.68,2.9,5.9,9.0,0.15,1.11
2023-04-22,0.84,7.6,10.1,12.6,0.06,2.44
2023-04-23,2.86,10.0,15.2,20.4,0.10,9.80
2023-04-24,1.99,6.9,10.1,13.3,0.27,6.18
2023-04-25,0.00,3.3,8.8,14.3,0.04,6.09
2023-04-26,0.00,3.5,11.1,18.7,0.20,12.16
2023-04-27,0.00,5.5,14.6,23.6,0.36,16.26
2023-04-28,0.00,9.6,17.2,24.8,1.13,16.52
2023-04-29,0.00,9.8,20.4,31.1,0.87,29.63
2023-04-30,0.00,8.6,17.9,27.1,0.44,23.43
2023-05-01,0.00,7.3,12.4,17.4,0.52,11.67
2023-05-02,1.03,7.6,11.7,15.9,0.51,8.53
2023-05-03,0.00,7.0,12.5,18.1,0.17,8.45
2023-05-04,0.00,7.1,14.4,21.7,0.31,13.29
2023-05-05,3.32,8.0,11.0,14.0,0.29,4.34
2023-05-06,5.25,8.0,11.0,14.0,0.13,4.39
2023-05-07,1.01,4.9,10.9,16.8,0.11,8.41
2023-05-08,0.00,4.3,10.9,17.6,0.19,11.47
2023-05-09,2.14,8.1,10.2,12.4,0.51,3.67
2023-05-10,0.00,6.3,12.2,18.1,0.29,9.77
2023-05-11,0.84,5.5,14.1,22.8,0.07,15.70
2023-05-12,0.00,7.5,15.5,23.4,0.09,15.56
2023-05-13,0.00,7.8,18.0,28.2,0.13,23.02
2023-05-14,0.00,10.3,21.5,32.8,0.32,37.43
2023-05-15,0.00,14.3,23.7,33.1,2.52,37.64
2023-05-16,0.00,10.7,20.5,30.3,0.57,28.58
2023-05-17,0.00,9.9,19.3,28.8,0.38,23.72
2023-05-18,0.00,10.9,21.0,31.0,0.36,28.81
2023-05-19,0.02,9.8,17.7,25.5,0.30,16.94
2023-05-20,0.00,10.2,19.2,28.2,0.38,19.73
2023-05-21,0.00,11.1,19.0,26.8,0.43,18.19
2023-05-22,0.00,8.0,14.0,19.9,0.86,10.15
2023-05-23,0.00,7.2,12.4,17.6,1.10,10.69
2023-05-24,0.00,5.6,12.0,18.5,0.29,11.77
2023-05-25,0.00,6.1,14.5,22.9,0.27,15.71
2023-05-26,0.00,8.2,17.6,27.0,0.40,22.74
2023-05-27,0.02,10.0,18.5,27.0,0.52,21.03
2023-05-28,0.00,7.6,14.8,22.0,0.42,12.30
2023-05-29,0.00,7.3,15.2,23.1,0.50,17.97
2023-05-30,0.00,6.8,16.2,25.6,0.34,20.87
2023-05-31,0.00,6.0,12.4,18.7,0.69,11.32
